t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.42,2.471202,119.21166666666669,-0.43882666666666725,-3.5833333333333353,20.0,-10.0,0.09409247061735494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.43,2.4674994,119.17500000000003,-0.3702600000000006,-3.6666666666666687,20.0,-10.0,0.09407136528287482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.44,2.4644824666666665,119.13750000000003,-0.3016933333333339,-3.750000000000002,20.0,-10.0,0.09405025994839471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.45,2.4621511999999997,119.0991666666667,-0.23312666666666726,-3.8333333333333357,20.0,-10.0,0.09402915461391459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.46,2.4605056,119.06000000000003,-0.1645600000000006,-3.916666666666669,20.0,-10.0,0.09400804927943447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.47000000000000003,2.4595456666666666,119.02000000000002,-0.09599333333333392,-4.000000000000003,20.0,-10.0,0.09398694394495435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.48,2.4592714,118.97916666666669,-0.027426666666667238,-4.083333333333336,20.0,-10.0,0.09396583861047424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.49,2.4596828,118.93750000000001,0.04113999999999944,-4.166666666666669,20.0,-10.0,0.09394473327599412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.5,2.4607798666666665,118.89500000000001,0.10970666666666612,-4.250000000000002,20.0,-10.0,0.093923627941514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.51,2.4625625999999996,118.85166666666667,0.17827333333333278,-4.333333333333335,20.0,-10.0,0.09390252260703388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
