t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
25.47,1.1924340024107818,-0.15819437175592344,-0.005198758720811727,5.590198899399875e-05,11.785273426521222,-0.00011369900448767074,2.417441392652611,1.0,-0.0,0.4114,1.0,0.0
25.48,1.1923830978983072,-0.15819382205324,-0.005090451247461482,5.4970268343882946e-05,11.78499689680203,-0.0001118039779879975,2.374077474499029,1.0,-0.0,0.4114,1.0,0.0
25.490000000000002,1.1923492468624968,-0.15818739085702688,-0.003385103581054293,0.0006431196213120989,11.976641719968862,0.07057792477357024,0.006689774686347166,1.0,-0.0,0.4114,1.0,0.0
25.5,1.192316101056599,-0.15818106687499084,-0.003314580589782336,0.0006323982036045818,11.780462758952636,-0.0012862392426241979,2.277861147450292,1.0,-0.0,0.4114,1.0,0.0
25.51,1.1922836457883241,-0.15817484831931722,-0.003245526827495199,0.0006218555673612526,11.780286451474456,-0.0012647964072091636,2.2369452221701436,1.0,-0.0,0.4114,1.0,0.0
25.52,1.192228490057161,-0.15816338571573824,-0.005515573116325305,0.0011462603578979462,11.499594445340387,0.06292888422788055,0.004831866390226877,1.0,-0.0,0.4114,1.0,0.0
25.53,1.1921744834037302,-0.15815211424314643,-0.0054006653430685265,0.0011271472591809265,11.785788932790814,-0.0022925207157958923,2.9858255210719378,1.0,-0.0,0.4114,1.0,0.0
25.54,1.1921216018889127,-0.15814103071312854,-0.005288151481754594,0.0011083530017882853,11.785501663357671,-0.002254294518361853,2.933832786219549,1.0,-0.0,0.4114,1.0,0.0
25.55,1.192096075515714,-0.15812286176500007,-0.0025526373198732537,0.0018168948128469285,12.100261699425761,0.08502600008413844,0.00796507801548713,1.0,-0.0,0.4114,1.0,0.0
25.560000000000002,1.1920710809419568,-0.1581049958527475,-0.002499457375709239,0.0017865912252544068,11.778381593299683,-0.003633789625693857,3.488098607936292,1.0,-0.0,0.4114,1.0,0.0
25.57,1.1920466070884863,-0.15808742791849306,-0.0024473853470486353,0.001756793425445459,11.778248643439273,-0.0035731824505088137,3.4245189576387522,1.0,-0.0,0.4114,1.0,0.0
25.580000000000002,1.19202259475201,-0.158068904399299,-0.0024012336476370967,0.0018523519194061872,11.777538203929385,0.011469488333799136,0.004888496425767049,1.0,-0.0,0.4114,1.0,0.0
25.59,1.1919990826725435,-0.158050689834172,-0.0023512079466446612,0.0018214565126985285,11.778003084119092,-0.0037047038388123743,0.1369450307536317,1.0,-0.0,0.4114,1.0,0.0
25.6,1.191976060428066,-0.15803277906631072,-0.0023022244477562217,0.0017910767861280355,11.777878019866613,-0.003642913025397057,0.13356474655728748,1.0,-0.0,0.4114,1.0,0.0
25.61,1.1919296012912413,-0.1579999205285851,-0.0046459136824825555,0.003285853772561472,11.49075729183284,0.17937580473685544,0.0047324112595188445,1.0,-0.0,0.4114,1.0,0.0
25.62,1.1918841100531004,-0.15796761035294393,-0.004549123814097503,0.003231017564118683,11.783614784206206,-0.006571707545122944,4.071368095465093,1.0,-0.0,0.4114,1.0,0.0
25.63,1.1918395665490873,-0.15793583937619507,-0.004454350401303807,0.003177097674886707,11.783372809535244,-0.006462035128237366,3.996157341060725,1.0,-0.0,0.4114,1.0,0.0
25.64,1.1918133262683066,-0.1579027225211806,-0.002624028078065096,0.003311685501446798,11.991638678788645,0.01615861434691956,0.00888050688319611,1.0,-0.0,0.4114,1.0,0.0
25.650000000000002,1.1917876326600423,-0.15787015834490042,-0.002569360826438737,0.003256417628016948,11.778560070195162,-0.006623371002893596,2.002653032229034,1.0,-0.0,0.4114,1.0,0.0
25.66,1.1917624743352835,-0.15783813761184198,-0.0025158324758879236,0.0032020733058448787,11.778423402066098,-0.006512835256033896,1.9699081766045416,1.0,-0.0,0.4114,1.0,0.0
25.67,1.19173523218564,-0.15780238714332356,-0.0027242149643368144,0.003575046851841409,11.746994101386132,0.04476502813834843,0.006377359242241646,1.0,-0.0,0.4114,1.0,0.0
25.68,1.1917085575807809,-0.15776723336801113,-0.002667460485913119,0.0035153775312441,11.778810537410843,-0.007150093703682818,0.7124829485461208,1.0,-0.0,0.4114,1.0,0.0
25.69,1.1916824386968563,-0.15773266631281252,-0.0026118883924565865,0.0034567055198621174,11.778668651214783,-0.0070307550624882,0.7024367854272657,1.0,-0.0,0.4114,1.0,0.0
25.7,1.1916368570796225,-0.157712196270395,-0.004558161723373024,0.0020470042417495274,11.538447200290028,-0.16915459432306992,0.006749458376029607,1.0,-0.0,0.4114,1.0,0.0
25.71,1.1915922250794144,-0.15769206767469957,-0.004463200020802757,0.002012859569544597,11.783395404308433,-0.004094008483499055,3.487113675464738,1.0,-0.0,0.4114,1.0,0.0
25.72,1.191548522912544,-0.15767227482570595,-0.004370216687036042,0.0019792848993612088,11.783158000052007,-0.004025719139089194,3.4219558943853716,1.0,-0.0,0.4114,1.0,0.0
25.73,1.191513611056139,-0.1576528679239755,-0.0034911856405000392,0.0019406901730430219,11.877483725584321,-0.0046282331032121435,0.007610690983098911,1.0,-0.0,0.4114,1.0,0.0
25.740000000000002,1.1914794265300759,-0.15763378472169248,-0.0034184526063229556,0.0019083202283033199,11.780727964101251,-0.0038813803460860438,0.827772799818255,1.0,-0.0,0.4114,1.0,0.0
25.75,1.191445954181639,-0.1576150198155599,-0.00334723484369123,0.0018764906132576395,11.780546131515807,-0.0038166404566066397,0.8167269130940756,1.0,-0.0,0.4114,1.0,0.0
25.76,1.191406074885239,-0.15759955625158587,-0.003987929639989521,0.0015463563974019584,11.695116624444205,-0.03961328892906442,0.006177496346475861,1.0,-0.0,0.4114,1.0,0.0
25.77,1.1913670264075142,-0.1575843505730926,-0.0039048477724897353,0.0015205678493245404,11.781969824099974,-0.0030927127948039168,1.0490503202261765,1.0,-0.0,0.4114,1.0,0.0
25.78,1.191328791439742,-0.15756939847671603,-0.00382349677722953,0.0014952096376585687,11.781762119431225,-0.003041135698649081,1.0324771481994282,1.0,-0.0,0.4114,1.0,0.0
25.79,1.191316103865358,-0.15754553178640016,-0.0012687574383969395,0.002386669031587064,12.078568720659911,0.10697691579290786,0.006429576928073536,1.0,-0.0,0.4114,1.0,0.0
25.8,1.1913036806154402,-0.15752206325400214,-0.0012423249917636707,0.0023468532398001705,11.775171893595992,-0.004773338063174128,3.528053898477295,1.0,-0.0,0.4114,1.0,0.0
25.810000000000002,1.1912915161832291,-0.15749898623099212,-0.0012164432211019265,0.00230770230100264,11.77510581247941,-0.004693706479600341,3.4622320074515165,1.0,-0.0,0.4114,1.0,0.0
25.82,1.191284433003606,-0.15746940167623708,-0.0007083179623083429,0.0029584554755037887,11.83297503105523,0.07809464133206588,0.0038168373392583922,1.0,-0.0,0.4114,1.0,0.0
25.830000000000002,1.1912774973902251,-0.15744031078089188,-0.0006935613380935917,0.0029090895345200555,11.77377079490577,-0.005916910951007577,1.2185027387623077,1.0,-0.0,0.4114,1.0,0.0
25.84,1.1912707062687897,-0.15741170529798923,-0.0006791121435499653,0.0028605482902652555,11.773733903345235,-0.005818179069040111,1.1960526526716537,1.0,-0.0,0.4114,1.0,0.0
25.85,1.1912444049301738,-0.1573992502894139,-0.0026301338615913753,0.00124550085753217,11.53787739383503,-0.1937991457387535,0.0036517439519949493,1.0,-0.0,0.4114,1.0,0.0
25.86,1.1912186515361123,-0.157387002967733,-0.0025753394061415417,0.0012247321680907263,11.77857533465398,-0.00249100171506434,3.674619867094302,1.0,-0.0,0.4114,1.0,0.0
25.87,1.1911934346710937,-0.15737495986807803,-0.0025216865018469117,0.0012043099654966572,11.778438348515355,-0.0024494643361814526,3.603117442578536,1.0,-0.0,0.4114,1.0,0.0
25.88,1.1911802764341817,-0.15736118699941237,-0.0013158236912043544,0.001377286866565249,11.916703537277106,0.020758388418225412,0.004451042278126056,1.0,-0.0,0.4114,1.0,0.0
25.89,1.1911673923272053,-0.1573476438050191,-0.0012884106976376055,0.0013543194393284095,11.77528955922801,-0.002754573733130498,1.400762598479034,1.0,-0.0,0.4114,1.0,0.0
25.900000000000002,1.1911547766391242,-0.1573343264528111,-0.0012615688081034728,0.0013317352207986442,11.775221026744095,-0.002708638878656819,1.3764093622133828,1.0,-0.0,0.4114,1.0,0.0
