species,lat,lon,eventDate,year,locality,stateProvince,county,country,recordedBy,institutionCode,collectionCode,basisOfRecord,catalogNumber,datasetName,publishingOrgKey,publisher,gbifID,occurrenceID,identifiedBy,coordinateUncertaintyInMeters
Gyriosomus Guérin-Méneville,-28.02331,-70.35709,2023-02-14,2023,Copiapó,Región De Atacama,Copiapó,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699767,KIM753_BBDD_INVERT_1657,AF-FG,
Gyriosomus Guérin-Méneville,-28.29438,-70.49999,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699789,KIM753_BBDD_INVERT_1679,AF-FG,
Gyriosomus Guérin-Méneville,-28.29438,-70.49999,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699790,KIM753_BBDD_INVERT_1680,AF-FG,
Gyriosomus Guérin-Méneville,-28.29438,-70.49999,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699791,KIM753_BBDD_INVERT_1681,AF-FG,
Gyriosomus Guérin-Méneville,-28.46151,-70.60439,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699803,KIM753_BBDD_INVERT_1693,AF-FG,
Gyriosomus Guérin-Méneville,-28.46693,-70.59701,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699814,KIM753_BBDD_INVERT_1704,AF-FG,
Gyriosomus Guérin-Méneville,-28.46693,-70.59701,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699815,KIM753_BBDD_INVERT_1705,AF-FG,
Gyriosomus Guérin-Méneville,-28.46693,-70.59701,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699816,KIM753_BBDD_INVERT_1706,AF-FG,
Gyriosomus Guérin-Méneville,-28.75851,-70.69289,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699863,KIM753_BBDD_INVERT_1753,AF-FG,
Gyriosomus Guérin-Méneville,-28.75851,-70.69289,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699864,KIM753_BBDD_INVERT_1754,AF-FG,
Gyriosomus Guérin-Méneville,-28.75851,-70.69289,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699865,KIM753_BBDD_INVERT_1755,AF-FG,
Gyriosomus Guérin-Méneville,-28.87525,-70.72023,2023-02-14,2023,Vallenar,Región De Atacama,Huasco,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699885,KIM753_BBDD_INVERT_1775,AF-FG,
Gyriosomus Guérin-Méneville,-29.6682,-70.92937,2023-02-14,2023,La Serena,Región De Coquimbo,Elqui,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699914,KIM753_BBDD_INVERT_1808,AF-FG,
Gyriosomus Guérin-Méneville,-29.67371,-70.9281,2023-02-14,2023,La Serena,Región De Coquimbo,Elqui,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699929,KIM753_BBDD_INVERT_1820,AF-FG,
Gyriosomus Guérin-Méneville,-30.31824,-70.96697,2023-02-14,2023,Río Hurtado,Región De Coquimbo,Limarí,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699974,KIM753_BBDD_INVERT_1868,AF-FG,
Gyriosomus Guérin-Méneville,-30.32127,-70.96799,2023-02-14,2023,Río Hurtado,Región De Coquimbo,Limarí,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699991,KIM753_BBDD_INVERT_1885,AF-FG,
Gyriosomus Guérin-Méneville,-31.45053,-71.21054,2023-02-14,2023,Canela,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700051,KIM753_BBDD_INVERT_1948,AF-FG,
Gyriosomus Guérin-Méneville,-31.45053,-71.21054,2023-02-14,2023,Canela,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700052,KIM753_BBDD_INVERT_1949,AF-FG,
Gyriosomus Guérin-Méneville,-31.49437,-71.2356,2023-02-14,2023,Illapel,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700094,KIM753_BBDD_INVERT_1984,AF-FG,
Gyriosomus Guérin-Méneville,-31.58265,-71.2158,2023-02-14,2023,Illapel,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700110,KIM753_BBDD_INVERT_2000,AF-FG,
Gyriosomus Guérin-Méneville,-31.58265,-71.2158,2023-02-14,2023,Illapel,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700111,KIM753_BBDD_INVERT_2001,AF-FG,
Gyriosomus Guérin-Méneville,-31.60855,-71.2131,2023-02-14,2023,Illapel,Región De Coquimbo,Choapa,Chile,AF-FG,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392700122,KIM753_BBDD_INVERT_2012,AF-FG,
Gyriosomus Guérin-Méneville,-29.571791,-71.294571,2023-03-09T13:19,2023,,Coquimbo,,Chile,jachatata,iNaturalist,Observations,HUMAN_OBSERVATION,196291035,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,5828028232,https://www.inaturalist.org/observations/196291035,jachatata,1654.0
Gyriosomus Guérin-Méneville,-33.587669,-70.726834,2023-11-26T19:57:24,2023,,Región Metropolitana de Santiago,,Chile,jose_silval,iNaturalist,Observations,HUMAN_OBSERVATION,192275414,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,4500536752,https://www.inaturalist.org/observations/192275414,Camilo Colilaf,931.0
Gyriosomus Guérin-Méneville,-25.230899,-70.404728,2023-11-26T11:36,2023,,Antofagasta,,Chile,Juan Mauricio Contreras,iNaturalist,Observations,HUMAN_OBSERVATION,193837126,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,4901872707,https://www.inaturalist.org/observations/193837126,Camilo Colilaf,1494.0
Gyriosomus Guérin-Méneville,-28.66891,-70.64698,2023-11-21,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699292,KIM753_BBDD_INVERT_2247,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.67192,-70.64848,2023-11-24,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699311,KIM753_BBDD_INVERT_2266,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.67192,-70.64848,2023-11-24,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699312,KIM753_BBDD_INVERT_2267,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.67745,-70.6512,2023-11-23,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699320,KIM753_BBDD_INVERT_2275,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.68271,-70.64946,2023-11-21,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699322,KIM753_BBDD_INVERT_2277,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.68571,-70.65071,2023-11-23,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699329,KIM753_BBDD_INVERT_2284,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.68761,-70.66673,2023-11-22,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699334,KIM753_BBDD_INVERT_2289,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.68894,-70.678,2023-11-20,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699338,KIM753_BBDD_INVERT_2293,Andrés Fierro,
Gyriosomus Guérin-Méneville,-28.68812,-70.67082,2023-11-20,2023,Las Verbenas,Región de Atacama,Huasco,Chile,Mauro Rios y Cristobal Tello,CNX,,HUMAN_OBSERVATION,,KIM753_BBDD_INVERT,67d051a0-c480-43a2-b419-98f29a078589,,6392699361,KIM753_BBDD_INVERT_2316,Andrés Fierro,
Gyriosomus resplendens,-30.96,-70.77,2023,2023,,,,Chile,,,,PRESERVED_SPECIMEN,GyrTULA1,,ada9d123-ddb4-467d-8891-806ea8d94230,,6191348802,PX226377,,
Gyriosomus resplendens,-30.96,-70.77,2023,2023,,,,Chile,,,,PRESERVED_SPECIMEN,GyrResTULA1,,ada9d123-ddb4-467d-8891-806ea8d94230,,6196236649,PX238781,,
Gyriosomus Guérin-Méneville,-32.818864,-71.452304,2022-01-17T12:52,2022,,Valparaíso,,Chile,GreeganOwO,iNaturalist,Observations,HUMAN_OBSERVATION,351004624,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,6235417465,https://www.inaturalist.org/observations/351004624,GreeganOwO,61.0
Gyriosomus Guérin-Méneville,-29.275537,-71.282653,2022-02-01T19:04:58,2022,,Coquimbo,,Chile,John G. Phillips,iNaturalist,Observations,HUMAN_OBSERVATION,106036146,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947563513,https://www.inaturalist.org/observations/106036146,Vicente Villablanca-Miranda,4.0
Gyriosomus Guérin-Méneville,-31.076961,-71.658508,2022-03-17T16:10:28,2022,,Coquimbo,,Chile,Ariel Cabrera Foix,iNaturalist,Observations,HUMAN_OBSERVATION,108841690,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,4851849011,https://www.inaturalist.org/observations/108841690,Vicente Villablanca-Miranda,
Gyriosomus Guérin-Méneville,-29.946339,-71.22063,2022-03-20T11:03,2022,,Coquimbo,,Chile,Bastian Riveros Flores,iNaturalist,Observations,HUMAN_OBSERVATION,116021926,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,5062546702,https://www.inaturalist.org/observations/116021926,Bastian Riveros Flores,
Gyriosomus confusus,-28.968815,-71.341293,2022-09-15T13:50,2022,,Atacama,,Chile,Rodrigo_Barahona,iNaturalist,Observations,HUMAN_OBSERVATION,135136469,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3912293305,https://www.inaturalist.org/observations/135136469,Vicente Villablanca-Miranda,488.0
Gyriosomus Guérin-Méneville,-28.188801,-71.126425,2022-09-24T13:22,2022,,Atacama,,Chile,Pablo Silva,iNaturalist,Observations,HUMAN_OBSERVATION,137293431,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3925364713,https://www.inaturalist.org/observations/137293431,Vicente Villablanca-Miranda,122.0
Gyriosomus Guérin-Méneville,-29.59381,-71.274915,2022-09-01T14:02,2022,,Coquimbo,,Chile,jachatata,iNaturalist,Observations,HUMAN_OBSERVATION,133558263,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947263787,https://www.inaturalist.org/observations/133558263,Vicente Villablanca-Miranda,1682.0
Gyriosomus Guérin-Méneville,-30.395917,-70.872008,2022-09-23T18:21:48,2022,,Coquimbo,,Chile,Diego Almendras,iNaturalist,Observations,HUMAN_OBSERVATION,136346578,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947664846,https://www.inaturalist.org/observations/136346578,Vicente Villablanca-Miranda,5.0
Gyriosomus Guérin-Méneville,-29.196506,-71.464594,2022-09-22T13:32,2022,,Coquimbo,,Chile,Rodrigo_Barahona,iNaturalist,Observations,HUMAN_OBSERVATION,141368169,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3963349303,https://www.inaturalist.org/observations/141368169,Rodrigo_Barahona,1953.0
Gyriosomus Guérin-Méneville,-28.116943,-71.138429,2022-09-23,2022,,Atacama,,Chile,Orlando Fuenzalida,iNaturalist,Observations,HUMAN_OBSERVATION,136972789,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,5938397389,https://www.inaturalist.org/observations/136972789,Vicente Villablanca-Miranda,5011.0
Gyriosomus Guérin-Méneville,-28.431179,-71.186074,2022-10-12T18:17:04,2022,,Atacama,,Chile,Darío De la Fuente,iNaturalist,Observations,HUMAN_OBSERVATION,139096610,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947123802,https://www.inaturalist.org/observations/139096610,Vicente Villablanca-Miranda,
Gyriosomus Guérin-Méneville,-30.011531,-70.686828,2022-10-08T18:59:17,2022,,Coquimbo,,Chile,Ana Sandoval,iNaturalist,Observations,HUMAN_OBSERVATION,138346136,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947246009,https://www.inaturalist.org/observations/138346136,Vicente Villablanca-Miranda,
Gyriosomus Guérin-Méneville,-27.67003,-70.496713,2022-10-12T12:36,2022,,Atacama,,Chile,carlossilvaponce,iNaturalist,Observations,HUMAN_OBSERVATION,138583727,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947258214,https://www.inaturalist.org/observations/138583727,Camilo Colilaf,221.0
Gyriosomus Guérin-Méneville,-28.431176,-71.186061,2022-10-12T18:18:59,2022,,Atacama,,Chile,Matías,iNaturalist,Observations,HUMAN_OBSERVATION,138547955,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947261156,https://www.inaturalist.org/observations/138547955,Vicente Villablanca-Miranda,7.0
Gyriosomus Guérin-Méneville,-28.45763,-71.174903,2022-10-10T11:46:56,2022,,Atacama,,Chile,macarena96,iNaturalist,Observations,HUMAN_OBSERVATION,138464491,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947264107,https://www.inaturalist.org/observations/138464491,Vicente Villablanca-Miranda,5.0
Gyriosomus Guérin-Méneville,-30.036727,-70.741432,2022-10-15T02:00,2022,,Coquimbo,,Chile,By.Ulises,iNaturalist,Observations,HUMAN_OBSERVATION,139084884,iNaturalist research-grade observations,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,3947363783,https://www.inaturalist.org/observations/139084884,Camilo Colilaf,4.0
