especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
hopei,GyrG42_02,G. hopei (24),El Tangue,IV,-30.3542,-71.5754,116,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevis,GyrTABA05,G. laevis (25),Tabaqueros,IV,-30.4859,-71.0797,415,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevis,GyrTABA06,G. laevis (25),Tabaqueros,IV,-30.4859,-71.0797,415,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
luczotii,GyrTABA03,G. luczoti (25),Tabaqueros,IV,-30.4859,-71.0797,415,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
leechi,GyrOVA9,G. leechi (26),Ovalle,IV,-30.604,-71.1995,216,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
leechi,GleeOVA1,G. leechi (26),Ovalle,IV,-30.604,-71.1995,216,2015,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
multigranulosus,GyrOVA4,G. multigranulosus (26),Ovalle,IV,-30.604,-71.1995,216,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
multigranulosus,GyrOVA3,G. multigranulosus (26),Ovalle,IV,-30.604,-71.1995,216,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
crispaticollis,GyrSOCO5,G. crispaticollis (27),Socos,IV,-30.7116,-71.4902,66,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
crispaticollis,GyrSOCO6,G. crispaticollis (27),Socos,IV,-30.7116,-71.4902,66,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
crispaticollis,GyrG46_01,G. crispaticollis (27),Desembocadura rio Limarí,IV,-30.7353,-71.6573,22,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
peniciliger,GyrPenSOCO1,G. peniciliger (27),Socos,IV,-30.7116,-71.4902,66,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
peniciliger,GyrLIMA1,G. peniciliger (27),Desembocadura rio Limarí,IV,-30.7471,-71.6528,144,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
reedi,GyrSOCO1,G. reedi (27),Socos,IV,-30.7116,-71.4902,66,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
reedi,GyrSOCO2,G. reedi (27),Socos,IV,-30.7116,-71.4902,66,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
hopei,GyrB03_07,G. aff. hopei (28),Alcones,IV,-30.7933,-71.5383,240,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
bridgesi,GyrALC1,G. bridgesi (28),Alcones,IV,-30.8117,-71.545,314,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
peniciliger,GyrB03_01,G. peniciliger (28),Alcones,IV,-30.7933,-71.5383,240,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GyrPAL1,G. aff. paulseni (29),El Palqui,IV,-30.8883,-71.0207,499,2015,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
reedi,GyrDURA1,G. aff. reedi (29),El Durazno,IV,-30.8496,-71.1625,781,2022,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
reedi,GyrMANT2,G. aff. reedi (29),Cuesta los Mantos,IV,-30.8961,-71.1949,694,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
reedi,GyrMANT1,G. aff. reedi (29),Cuesta los Mantos,IV,-30.8961,-71.1949,694,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
resplendens,GyrTULA1,G. resplendens (30),Cuesta Tulahuen,IV,-30.9649,-70.7683,987,2023,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
resplendens,GyrResTULA1,G. resplendens (30),Cuesta Tulahuen,IV,-30.9649,-70.7683,987,2023,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
foveopunctatus,GyrFovSORU1,G. aff. foveopunctatus (31),Soruco,IV,-31.1144,-71.1103,874,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GyrCIST1,G. aff. paulseni (31),La Cisterna,IV,-31.0102,-71.1749,858,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
pumilus,GyrPumCIST1,G. pumilus (31),La Cisterna,IV,-31.0102,-71.1749,858,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
foveopunctatus,GyrCEE1,G. foveopunctatus (32),Cuesta el Espino,IV,-31.35,-71.0833,1664,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
foveopunctatus,GyrCEE2,G. foveopunctatus (32),Cuesta el Espino,IV,-31.35,-71.0833,1664,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
foveopunctatus,GyrPOZO1,G. foveopunctatus (33),Los Pozos,IV,-31.3682,-71.2433,559,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
nigrociliatus,GyrNigPOZO1,G. nigrociliatus (33),Los Pozos,IV,-31.3682,-71.2433,559,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
pumilus,GyrPumPOZO1,G. pumilus (33),Los Pozos,IV,-31.3682,-71.2433,559,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
modestus,GyrPECA2,G. aff. modestus (34),Peaje Canela,IV,-31.4373,-71.5623,190,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GpauCANE2,G. aff. paulseni (34),Canela,IV,-31.4053,-71.4636,273,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GyrPECA1,G. aff. paulseni (34),Peaje Canela,IV,-31.4373,-71.5623,190,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GyrQUEN1,G. aff. paulseni (34),Quendaño,IV,-31.5178,-71.3778,288,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
coriaceus,GyrRUTA1,G. aff. coriaceus (34),Ruta 5 Norte Km268,IV,-31.4914,-71.5611,157,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
coriaceus,GyrRUTA3,G. coriaceus (34),Ruta 5 Norte Km268,IV,-31.4914,-71.5611,157,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
freyi,GfreCANE1,G. freyi (34),Canela,IV,-31.4053,-71.4636,273,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
freyi,GyrCANEB4,G. freyi (34),Canela Baja,IV,-31.4053,-71.4636,273,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
melcheri,GyrOSCU1,G. melcheri (34),Puerto Oscuro,IV,-31.4143,-71.5756,140,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
melcheri,GyrOSCU05,G. melcheri (34),Puerto Oscuro,IV,-31.4143,-71.5756,140,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
melcheri,GyrOSCU06,G. melcheri (34),Puerto Oscuro,IV,-31.4143,-71.5756,140,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
modestus,GyrMIN2,G. modestus (35),Mincha Sur,IV,-31.592,-71.4541,45,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
freyi,GyrVILO7,G. freyi (36),Los Vilos,IV,-31.8641,-71.4942,32,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
modestus,Gyr1VILO1,G. modestus (36),Los Vilos,IV,-31.8641,-71.4942,32,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
paulseni,GyrCAVI1,G. paulseni (36),Cuesta Cavilolen,IV,-31.8055,-71.3409,261,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevigatus,GyrMOLL01,G. laevigatus (37),Los Molles,V,-32.2371,-71.5192,43,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevigatus,GyrALI2,G. laevigatus (38),Alicahue,V,-32.3973,-70.7792,1152,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevigatus,GyrALI3,G. laevigatus (38),Alicahue,V,-32.3973,-70.7792,1152,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
laevigatus,GyrPULL1,G. laevigatus (39),Pullay,V,-32.4201,-71.3368,46,2020,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
