D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1017,0.4949,4.3518,0.9097,1.9868,3.7943,6.2754,9.01910,0.3568,0.001655,0.3061,0.00435,0.00435,0.07659,90,0.0763,banda<=ruido,0,83.0,1,83,0,400,1,0.012048,9.2197e-7,0.96129
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1153,0.9928,4.3416,0.0000,1.9738,4.3066,7.4094,8.63820,0.3559,0.001642,0.3093,0.00238,0.00238,0.07635,94,0.0755,banda<=ruido,0,90.0,1,90,0,400,1,0.011111,1.7678e-7,0.99147
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1288,0.9799,4.3883,0.0000,1.9951,4.2570,8.4532,7.64438,0.3457,0.001815,0.3113,0.00375,0.00375,0.07777,99,0.0732,banda<=ruido,0,99.0,1,99,0,400,1,0.010101,1.5000e-6,0.99328
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1424,0.9998,4.2903,0.0000,1.9873,4.3618,9.5040,7.18181,0.3380,0.001627,0.3134,0.00327,0.00327,0.07874,99,0.0735,banda<=ruido,0,108.0,1,108,0,450,1,0.009259,6.2157e-7,0.98430
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1559,0.9544,4.3089,0.0000,1.9895,4.0950,10.5932,6.71136,0.3368,0.001700,0.3163,0.00320,0.00320,0.07733,94,0.0715,banda<=ruido,0,120.0,1,120,0,450,1,0.008333,1.0332e-6,0.98641
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1695,0.8242,4.3506,0.0000,1.9972,4.1928,11.6360,7.60484,0.3315,0.001422,0.3184,0.00324,0.00324,0.07795,93,0.0687,banda<=ruido,0,137.0,1,137,0,400,1,0.007299,5.0127e-7,0.99351
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1831,0.9871,4.3277,0.0000,1.9900,4.3615,12.6189,5.14815,0.3203,0.001872,0.3203,0.00279,0.00279,0.07792,97,0.0684,banda<=ruido,0,156.0,1,156,0,400,1,0.006410,6.5325e-7,0.98125
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.1966,0.6873,4.3266,0.0000,1.9878,3.9586,13.6399,4.64435,0.3152,0.001924,0.3220,0.00247,0.00247,0.07804,84,0.0656,banda<=ruido,0,185.0,1,185,0,250,1,0.005405,1.8804e-7,0.96705
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2102,0.9710,4.2497,0.0000,1.9593,4.3373,14.6826,4.57601,0.3151,0.001852,0.3250,0.00418,0.00418,0.07702,102,0.0648,banda<=ruido,0,195.0,1,195,0,250,1,0.005128,1.2615e-6,0.98506
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2237,0.9998,4.3545,0.7540,1.9501,4.0849,15.6087,4.35074,0.3024,0.001807,0.3261,0.00343,0.00343,0.07683,93,0.0634,banda<=ruido,0,218.0,1,218,0,350,1,0.004587,3.7641e-7,0.99036
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2373,0.9659,4.3726,0.9756,1.9948,4.1604,16.5320,4.94034,0.2919,0.001610,0.3269,0.00450,0.00450,0.07869,98,0.0621,banda<=ruido,0,253.0,1,253,0,450,1,0.003953,4.5406e-7,0.94690
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2508,0.9902,4.3387,0.3843,1.9756,4.3885,17.4880,3.58564,0.2898,0.001889,0.3286,0.00312,0.00312,0.07880,99,0.0616,banda<=ruido,0,296.0,1,296,0,550,1,0.003378,5.8268e-7,0.97665
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2644,0.9264,4.3626,0.0000,1.9926,4.2161,18.4298,4.05878,0.2956,0.001654,0.3296,0.00322,0.00322,0.07827,91,0.0595,banda<=ruido,0,328.0,1,328,0,600,1,0.003049,9.5707e-8,0.97027
D,6,parada,0.47,0.94,6.8,0.0079,1.105,25,20,16,0,1.2780,0.9871,4.3475,0.0000,1.9980,4.3581,19.2132,5.05484,0.2982,0.001984,0.3289,0.00314,0.00314,0.07790,98,0.0613,banda<=ruido,0,318.0,1,318,0,550,1,0.003145,6.4372e-7,0.97579
