beta,sigma,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,8,0.3,2,-0.14638552546627415,11.9,-0.0009049032668426185,0.1260180102539661
0.8,8,0.47,2,-0.2861416373954539,1.3,0.001762184896342806,0.13036126838761575
0.8,8,0.65,2,-0.32581171225054095,0.5,-0.004207316564794602,0.13076320295682578
0.88,3,0.3,2,-0.18663499356788715,7.7,0.0019405207622435346,0.1332653836085725
0.88,3,0.47,2,-0.2936083043983631,1,-0.0014817905242695021,0.13127026364371566
0.88,3,0.65,2,-0.32178583046823594,0.6,0.003353381642722997,0.12859330752476153
0.88,5,0.3,2,-0.18663499356788715,7.5,-0.0018706634785763867,0.1304522384706551
0.88,5,0.47,2,-0.2936083043983631,0.9,0.004222222157652483,0.13004461476420823
0.88,5,0.65,2,-0.32178583046823594,0.5,-0.0037226622877934274,0.1292439665812423
0.88,6.8,0.3,2,-0.18663499356788715,8,0.0015317907975606268,0.12980781418464993
0.88,6.8,0.47,2,-0.2936083043983631,0.8,0.0010371463084822789,0.12951847269384237
0.88,6.8,0.65,2,-0.32178583046823594,0.5,0.0030870832981859083,0.1330653586907465
0.88,8,0.3,2,-0.18663499356788715,6.8,0.0022630198054007086,0.1314029674102719
0.88,8,0.47,2,-0.2936083043983631,1,-0.009848791135077136,0.12783374787799315
0.88,8,0.65,2,-0.32178583046823594,0.7,-0.004272759178681941,0.12680730024608522
0.94,3,0.3,2,-0.221376540240629,5.2,-0.0005079792270504748,0.13546741735294865
0.94,3,0.47,2,-0.3000449444819189,0.8,-0.0011338950332436812,0.1268914485780551
0.94,3,0.65,2,-0.32566041639347987,0.5,-0.00076840031073061,0.1298283081548636
0.94,5,0.3,2,-0.221376540240629,5.3,-0.009688538327675402,0.12917529830185984
0.94,5,0.47,2,-0.3000449444819189,1.2,0.004802070312100046,0.1302578635521303
0.94,5,0.65,2,-0.32566041639347987,0.7,0.0018229808941991276,0.13332136621913973
0.94,6.8,0.3,2,-0.221376540240629,6.1,-0.004242741567255839,0.13390054448690658
0.94,6.8,0.47,2,-0.3000449444819189,0.7,0.004867312825153818,0.13200658835237897
0.94,6.8,0.65,2,-0.32566041639347987,0.9,-0.002149147032113125,0.13033326120652067
0.94,8,0.3,2,-0.221376540240629,4.9,0.0012583521745109182,0.13007798122931719
0.94,8,0.47,2,-0.3000449444819189,0.9,-0.00475444974954123,0.12608075166507038
0.94,8,0.65,2,-0.32566041639347987,0.8,0.00467601854707271,0.13350028479232992
0.98,3,0.3,2,-0.2315232623825593,2.5,0.007698326133162042,0.1260782881777792
0.98,3,0.47,2,-0.30604145730666144,1.1,-0.0009631230406195197,0.13019636345818653
0.98,3,0.65,2,-0.3241299811722664,0.4,-0.0025686329421143795,0.12917006865931743
0.98,5,0.3,2,-0.2315232623825593,3.7,0.004968182617245211,0.1329447998837631
0.98,5,0.47,2,-0.30604145730666144,0.7,-0.0034243521686401963,0.13285390659596533
0.98,5,0.65,2,-0.3241299811722664,0.7,-0.002109146913519321,0.1254674150095739
0.98,6.8,0.3,2,-0.2315232623825593,3.6,0.004850960778927071,0.1264172532042415
0.98,6.8,0.47,2,-0.30604145730666144,1,0.004220866105349171,0.13554556008737642
0.98,6.8,0.65,2,-0.3241299811722664,0.6,-0.008439253446464496,0.12990610948389433
0.98,8,0.3,2,-0.2315232623825593,3.6,0.0034564932943986397,0.13297834390698623
0.98,8,0.47,2,-0.30604145730666144,0.9,-0.0009175987489754045,0.13277387211690928
0.98,8,0.65,2,-0.3241299811722664,0.6,0.000523725597135658,0.12817508846455064
0.8,3,0.3,3,-0.17219399434565666,8.6,0.008944209421199828,0.1300675814612451
0.8,3,0.47,3,-0.31639831679749053,0.4,0.009741185843524472,0.13176392787173066
0.8,3,0.65,3,-0.35813334990344914,0.3,-0.007731884441537992,0.1323981643318869
0.8,5,0.3,3,-0.17219399434565666,11.1,0.0017596736263924481,0.13603825382976628
0.8,5,0.47,3,-0.31639831679749053,0.4,-0.0006771903567817364,0.12607031701572888
0.8,5,0.65,3,-0.35813334990344914,0.1,0.0004606477405830153,0.13128647102173854
0.8,6.8,0.3,3,-0.17219399434565666,10,-0.0065958770190652875,0.12984992788780828
0.8,6.8,0.47,3,-0.31639831679749053,0.3,0.006448079500684013,0.13205696100870487
0.8,6.8,0.65,3,-0.35813334990344914,0.2,0.0033684543146997995,0.13192882415247473
0.8,8,0.3,3,-0.17219399434565666,8.7,0.007953643238141272,0.12986330734404944
0.8,8,0.47,3,-0.31639831679749053,0.4,-0.0017383744788543821,0.12838505520390847
0.8,8,0.65,3,-0.35813334990344914,0.1,0.0022153601327114456,0.1261817520133178
0.88,3,0.3,3,-0.20302372025542426,6.1,-0.0017416985571072892,0.13017774864194742
0.88,3,0.47,3,-0.3363363864269958,0.1,0.0013939257868288606,0.12698945580077592
0.88,3,0.65,3,-0.35500141366609145,0.2,0.0036601101508669572,0.13395418128872677
0.88,5,0.3,3,-0.20302372025542426,5.5,-0.0019079829419380294,0.12714848303010665
