semilla,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.538135593220339,0.9927744539878083,4.388903701701797,0,3.122929986582505,4.383806632288358,4.747942101459148,127.77433252477819,0.7729352050777878,0.001891218883124234,0.10575243564075203,0.0033021120252834935,0.0033021120252834935,0.07816019741306085,100,0.27820386607895536,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5669491525423729,0.9182958340544896,4.286058365115997,0,2.9573605450001335,4.294920208350962,4.667818208747539,164.6019962849258,0.8019672693736799,0.0017470020534836122,0.09923727813662885,0.0019942698027749645,0.0019942698027749645,0.07653216252592399,89,0.28736559121131267,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5957627118644068,0.7978009196353439,4.370380213980763,0,3.0700257963452375,4.169013652500018,4.64336174021966,152.99311624392348,0.8233536955749943,0.0017669137937067483,0.09231195258725972,0.0014543823590871807,0.0014543823590871807,0.07843524298281407,74,0.2952152911468265,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6245762711864407,0.9709505944546686,4.358259401673746,0,2.967954982066588,4.229073089992858,4.733561213724861,152.43034072759897,0.829617366162334,0.00181177668092984,0.08464211106872056,0.0020786202952611937,0.0020786202952611937,0.07669420138630079,86,0.3030234122349509,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6533898305084747,0.6303074079971902,4.4014851600711875,0,2.991133464604486,3.8228984251741553,4.585049061011184,196.29415903944934,0.8648152562793031,0.0017019269386494727,0.08054478553227823,0.002339093737089362,0.002339093737089362,0.0759823553103488,80,0.3091955041582833,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6822033898305084,0.975617030221205,4.305982257216468,0,2.990179505692403,4.249977038849875,4.623976725708588,205.07201367597403,0.8755521424207281,0.001524288878212021,0.07414640035439399,0.0024860489210148523,0.0024860489210148523,0.07664246219093918,85,0.3136593040487326,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7110169491525424,0.941291028227705,4.309946692531065,0,3.071835518811687,4.263548388410479,4.5110245294313875,155.08361146860315,0.904102384475424,0.0019564225048676336,0.07043150704788648,0.0017431876824100384,0.0017431876824100384,0.07771474870457312,84,0.319296429787925,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7398305084745762,0.8112781244591328,4.358935310644143,0,3.096990868698013,4.15884025774462,4.566593596311155,155.44199072379325,0.9102589138778772,0.0019524598101594952,0.06538463421397406,0.003008928893701454,0.003008928893701454,0.0782543910350651,97,0.32452051310583824,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7686440677966101,0.9901592635041827,4.394519897575874,0.21084230031853213,3.0944239002902516,4.203509656433581,4.495068252252485,178.88248034863673,0.9307984623214802,0.0017309557214898776,0.06155569453039836,0.0015651924331176598,0.0015651924331176598,0.0789052199157887,71,0.32958959622822254,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.797457627118644,0.9097361225311662,4.309691190708516,0,3.0468281916327635,4.352666072155157,4.5363384561331275,184.85084921400622,0.9355394824399902,0.0018003671817014384,0.05717561282807206,0.0013764467607769587,0.0013764467607769587,0.07786143746296881,79,0.3334967917178233,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.826271186440678,0.9927744539878083,4.39056812620363,0,3.0527679750013617,4.191394337923015,4.413922568162592,231.13830684764434,0.9588254439289209,0.0015461140877746306,0.05424017222151035,0.001515386479134108,0.001515386479134108,0.07846502221818086,81,0.3362370787536972,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8550847457627118,0.934068055375491,4.383772393905361,0,3.1505767923867474,4.372021772127106,4.355335154889603,241.32553909887127,0.9719781656292713,0.001651696487403678,0.05124307145524087,0.0015192302437267505,0.0015192302437267505,0.07827454740856771,78,0.3404249906397612,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8838983050847458,0.9991983542636398,4.28858924025174,0,3.1010599963510947,4.392552383651495,4.223594891674212,331.74150406563535,0.9907808696161648,0.0014590809117414694,0.04895759407432295,0.0009597085616982332,0.0009597085616982332,0.07869818900804965,70,0.34273768875886246,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9127118644067796,0.9264046681474138,4.322080731754612,0,3.097201422989352,4.169467551406632,4.187888374871732,201.56857208930438,0.9934782002883207,0.0015695883625779046,0.04610225378575986,0.0008752140152095064,0.0008752140152095064,0.07800252698245463,59,0.34602134923870415,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9415254237288135,0.999799616411146,4.312775135787069,0,3.083241162187005,4.3045987461668265,3.9956578392960336,189.77095420176408,0.984166879004217,0.0016653144909149022,0.044371876917361525,0.0008372073484659986,0.0008372073484659986,0.07762998587824405,63,0.3480351711676748,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9703389830508474,0.9182958340544896,4.265981919893211,0,3.0296207180887755,4.314535612027068,2.980256575894281,145.9033215837947,0.9732331458232294,0.001897177660038088,0.047019570314637237,0.005157970479756774,0.005157970479756774,0.07809800433204511,104,0.34152495605762406,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9991525423728813,1.1204568716150842,4.34209911378043,0.16866093149667025,2.943227067990673,4.138744515401224,1.1890550687003585,42.62330031824562,0.843718416740499,0.0019211724042971009,0.07841686111596685,0.007043570767719484,0.007043570767719484,0.07615925143403007,109,0.3059027992025484,banda<=ruido,0
