t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
31.26,2.0011790561533203,-0.5487490740132528,0.002565773226335048,-0.004059732549571345,11.74753997542711,0.008257083151670532,0.05495881056625376,3.4737090676732896,1.0,-0.0,0.4114,1.0,0.003353218468647405,0.011673394824122833,0.0,0.0,2.0
31.27,2.0012039257516614,-0.5487987427590877,0.002486959834121842,-0.004966874583491053,11.762542392934416,-0.10885704407036491,0.054947707906369984,0.019927991479415166,1.0,-0.0,0.4114,1.0,0.003353466563414323,0.011673544494227701,0.0,0.0,2.0
31.28,2.0012268528762442,-0.548847583692492,0.002292712458280492,-0.0048840933404328685,11.748690314899038,0.009933749166982106,0.05493661879235699,1.1404094231231536,1.0,-0.0,0.4114,1.0,0.003353770094638869,0.011673689566884693,0.0,0.0,2.0
31.29,2.0012479112723662,-0.5488956106103395,0.0021058396121930206,-0.004802691784758987,11.749575258469504,0.009768186680865737,0.05492552884321313,1.1164384053620175,1.0,-0.0,0.4114,1.0,0.003354068567009673,0.01167382330844476,0.0,0.0,2.0
31.3,2.0012789980611476,-0.5489409760144767,0.0031086788781331705,-0.0045365404137169135,11.892340711912817,0.031938164525048905,0.054914304106928796,0.01948519320863623,1.0,-0.0,0.4114,1.0,0.0033543620648409634,0.011673946149088803,0.0,0.0,2.0
31.310000000000002,2.0013078073734025,-0.5489855853285449,0.002880931225475551,-0.0044609314068216315,11.744670281681087,0.009073080827433827,0.05490321878791732,1.4252215528751029,1.0,-0.0,0.4114,1.0,0.0033546392978662464,0.011674127488690027,0.0,0.0,2.0
31.32,2.0013344243872635,-0.5490294511540453,0.0026617013860810966,-0.004386582550041271,11.745692419272665,0.008921862813643263,0.054892132504261434,1.433263549126677,1.0,-0.0,0.4114,1.0,0.003354911910341108,0.011674295543011514,0.0,0.0,2.0
31.330000000000002,2.001376039824324,-0.5490565315870843,0.004161543706044055,-0.002708043303904577,11.951981078395555,0.20142470953640326,0.05488084991445688,0.02152111122507898,1.0,-0.0,0.4114,1.0,0.0033551799792747214,0.011674450808925704,0.0,0.0,2.0
31.34,2.001414830527303,-0.5490831606795727,0.0038790702978954436,-0.002662909248839501,11.738103191022166,0.005416086607809154,0.05486977079598315,3.450397811357733,1.0,-0.0,0.4114,1.0,0.00335534547080996,0.011674693565641889,0.0,0.0,2.0
31.35,2.0014509001027103,-0.549109345953853,0.003606957540755031,-0.002618527428025509,11.73934646914315,0.005325818497679002,0.054858690504068976,3.428825217711736,1.0,-0.0,0.4114,1.0,0.0033555082041529447,0.0116749198447426,0.0,0.0,2.0
31.36,2.0014732188891236,-0.5491206066132258,0.002231878641326927,-0.0011260659372817885,11.606990532068627,0.17909537888924643,0.05484773383460193,0.023772668377459345,1.0,-0.0,0.4114,1.0,0.003355668225273546,0.011675130250599144,0.0,0.0,2.0
31.37,2.0014935325852337,-0.5491316795949425,0.0020313696109912,-0.0011072981716604253,11.747938916359713,0.002252131874563577,0.054836645433563466,2.665747427824293,1.0,-0.0,0.4114,1.0,0.0033557370404141583,0.011675260443519887,0.0,0.0,2.0
31.38,2.0015119195485482,-0.5491425680269638,0.0018386963314718668,-0.0010888432021327514,11.74887920645768,0.0022145963433208506,0.05482555614503024,2.657034666053018,1.0,-0.0,0.4114,1.0,0.0033558047086357594,0.01167537894008053,0.0,0.0,2.0
31.39,2.001548102729851,-0.5491396813711504,0.0036183181302907293,0.0002886655813386478,11.985554615858264,0.1653010540165679,0.05481424239257422,0.01659367687196381,1.0,-0.0,0.4114,1.0,0.003355871249053668,0.011675486197366532,0.0,0.0,2.0
31.400000000000002,2.0015815954468574,-0.5491368428262673,0.0033492717006623437,0.000283854488316337,11.739714428444593,-0.0005773311626772956,0.05480316175448512,3.4576341155735317,1.0,-0.0,0.4114,1.0,0.003355853608379253,0.01167569726592413,0.0,0.0,2.0
31.41,2.001612498684037,-0.5491340515904655,0.0030903237179248227,0.0002791235801777314,11.740926242071497,-0.000567708976632674,0.05479207997261496,3.4419424058469863,1.0,-0.0,0.4114,1.0,0.0033558362617160777,0.01167589264010667,0.0,0.0,2.0
31.42,2.001656882689479,-0.5491198388520081,0.004438400544211189,0.0014212738457321324,11.933769219154364,0.1370580318665281,0.054780815431291444,0.020725787409614907,1.0,-0.0,0.4114,1.0,0.0033558192041639556,0.011676072908990216,0.0,0.0,2.0
31.43,2.0016981278395454,-0.5491058629925251,0.004124515006636259,0.0013975859483032634,11.734333735491008,-0.0028425476914642647,0.0547697398715076,2.853515066390524,1.0,-0.0,0.4114,1.0,0.0033557323485400494,0.011676331815688626,0.0,0.0,2.0
31.44,2.001736350501674,-0.5490921200640334,0.0038222662128624208,0.0013742928491648756,11.735730144747139,-0.002795171896606527,0.054758662993720744,2.8413034642447177,1.0,-0.0,0.4114,1.0,0.0033556469405098756,0.011676572412397347,0.0,0.0,2.0
31.45,2.00179444351074,-0.5490763387336928,0.005809300906609643,0.001578133034059667,12.010444163249666,0.02446082218737497,0.05474732680136975,0.025053217808061825,1.0,-0.0,0.4114,1.0,0.0033555629559468706,0.011676795377926433,0.0,0.0,2.0
31.46,2.0018486776278834,-0.5490608204255245,0.005423411714340699,0.0015518308168253393,11.725693296927727,-0.003156266068119334,0.0547362593968678,2.60405176669992,1.0,-0.0,0.4114,1.0,0.0033554665144836784,0.011677134253812648,0.0,0.0,2.0
31.470000000000002,2.001899193562906,-0.5490455607558258,0.005051593502241179,0.0015259669698782503,11.727381814548059,-0.0031036616336506785,0.054725190398656184,2.6195539445254163,1.0,-0.0,0.4114,1.0,0.0033553716803782054,0.011677450619495986,0.0,0.0,2.0
31.48,2.0019601277565644,-0.5490323475395845,0.006093419365819884,0.0013213216241307242,11.897019103629445,-0.024557441489703125,0.05471396126318507,0.030416632818527606,1.0,-0.0,0.4114,1.0,0.0033552784268411576,0.011677745295783618,0.0,0.0,2.0
31.490000000000002,2.0020169623811754,-0.549019354543614,0.005683462461115515,0.0012992995970618787,11.722805171435477,-0.0026426432482614484,0.05470289658478689,1.642284422851711,1.0,-0.0,0.4114,1.0,0.003355197679408572,0.011678100745246625,0.0,0.0,2.0
31.5,2.0020698474439045,-0.5490065780975761,0.0052885062729026875,0.0012776446037775142,11.724605257414462,-0.0025985991941237575,0.05469183020737025,1.6516852442326833,1.0,-0.0,0.4114,1.0,0.00335511827776653,0.011678432280556856,0.0,0.0,2.0
31.51,2.002138183818286,-0.5489794604210515,0.006833637438131433,0.0027117676524655793,11.95741573982745,0.1720947658425678,0.054680542921063925,0.03203219753591023,1.0,-0.0,0.4114,1.0,0.0033550401994851876,0.011678740776756109,0.0,0.0,2.0
31.52,2.0022019626529626,-0.5489527947058023,0.006377883467664674,0.002666571524924486,11.717309523543989,-0.005423535304931159,0.05466948342888028,3.515035563970675,1.0,-0.0,0.4114,1.0,0.0033548744803508705,0.011679139405606668,0.0,0.0,2.0
31.53,2.002261350315948,-0.5489265734191405,0.005938766298532546,0.002622128666175745,11.719305939704144,-0.005333143049848972,0.05465842205240013,3.500242315844977,1.0,-0.0,0.4114,1.0,0.003354711523202125,0.011679511448808948,0.0,0.0,2.0
31.54,2.002315123951194,-0.5488888806823217,0.005377363524593076,0.0037692736818883098,11.704631667127263,0.13765740188550782,0.05464737376349524,0.03673247124221669,1.0,-0.0,0.4114,1.0,0.003354551282005859,0.01167985787684303,0.0,0.0,2.0
31.55,2.002364889545524,-0.5488518161577831,0.004976559432969631,0.003706452453856838,11.723903509005186,-0.0075385473637766195,0.054636308046414526,1.382215390854729,1.0,-0.0,0.4114,1.0,0.0033543209375030765,0.011680171556381966,0.0,0.0,2.0
31.560000000000002,2.00241079762375,-0.5488153693753202,0.004590807822590247,0.0036446782462925572,11.725709806754475,-0.007412904907713676,0.05462524062451893,1.3891099388462582,1.0,-0.0,0.4114,1.0,0.0033540944320753414,0.011680461855682223,0.0,0.0,2.0
31.57,2.0024560262425903,-0.5487829533135768,0.004522861884027759,0.003241606174330352,11.763846487372502,-0.048368648635464646,0.05461413711532189,0.034000534428999724,1.0,-0.0,0.4114,1.0,0.003353871701738068,0.011680729652805208,0.0,0.0,2.0
31.580000000000002,2.002497544532239,-0.5487510775195292,0.004151828964837145,0.0031875794047581795,11.727476049697126,-0.006483212348660704,0.05460306802686177,0.6779442566358078,1.0,-0.0,0.4114,1.0,0.0033536736035829694,0.01168099348641511,0.0,0.0,2.0
