t,z,vz,thrust,delta,A,e_R,lf
15.24,0.32207927766008465,-0.009973070860492124,11.312883194204852,0.010346199569968365,1.0,-0.0,0.4114
15.25,0.32198204021919485,-0.009723744088979833,11.801919212581476,4.136630200964765,1.0,-0.0,0.4114
15.26,0.3218872337143273,-0.009480650486755336,11.80117123226694,4.08527322399902,1.0,-0.0,0.4114
15.27,0.3217901398023124,-0.009709391201489384,11.744551114231914,0.015956913376773338,1.0,-0.0,0.4114
15.280000000000001,0.3216954732380979,-0.009466656421452155,11.801128173604468,0.48098394554790724,1.0,-0.0,0.4114
15.290000000000001,0.3216031733379887,-0.009229990010915854,11.800399969264356,0.4811848859727659,1.0,-0.0,0.4114
15.3,0.3214986922672842,-0.010448107070450829,11.625825952855802,0.015535025922379861,1.0,-0.0,0.4114
15.31,0.32139682322334734,-0.010186904393689557,11.803344321211354,1.5035081524526754,1.0,-0.0,0.4114
15.32,0.32129750090550885,-0.009932231783847304,11.80256071318107,1.4897678433666985,1.0,-0.0,0.4114
15.33,0.32122588219388704,-0.0071618711621830485,12.104443274599712,0.016716971312710147,1.0,-0.0,0.4114
15.34,0.32115605395005575,-0.006982824383128472,11.79348561348655,2.626502436688574,1.0,-0.0,0.4114
15.35,0.32108797141232026,-0.006808253773550268,11.792948473149385,2.598475713771863,1.0,-0.0,0.4114
15.36,0.32104503290133185,-0.004293851098838291,12.073728320965438,0.011458993859500971,1.0,-0.0,0.4114
15.370000000000001,0.32100316785311817,-0.004186504821367328,11.784881553296515,2.440408172122252,1.0,-0.0,0.4114
15.38,0.32096234943110985,-0.004081842200833128,11.784559514464103,2.4113502483398523,1.0,-0.0,0.4114
15.39,0.3209071241074303,-0.005522532367957949,11.599117179945022,0.006870161758131509,1.0,-0.0,0.4114
15.4,0.32085327941684266,-0.0053844690587590005,11.788567597103874,1.602980394344013,1.0,-0.0,0.4114
15.41,0.32080078084351976,-0.005249857332290011,11.788153407176278,1.5842760086917274,1.0,-0.0,0.4114
15.42,0.32072886602643985,-0.007191481707993512,11.539005074915579,0.008836051788718297,1.0,-0.0,0.4114
15.43,0.3206587490797869,-0.007011694665293673,11.79357444512398,2.153901077200631,1.0,-0.0,0.4114
