eje_A,eje_B,eje_C,combo,rule_id,clase,pendiente,z_agg,holon_ratio
A2,B1,C1,A2-B1-C1,A2-B1-C1-r1,I,0.5038785440585339,0.28284271187461874,0.6310502392430345
A2,B1,C1,A2-B1-C1,A2-B1-C1-r2,II,0.37901680284872097,0.7071067796865472,0.691282358134691
A2,B1,C1,A2-B1-C1,A2-B1-C1-r3,I,0.469809617845441,1.1313708476484758,0.7923202096074415
A2,B1,C1,A2-B1-C1,A2-B1-C1-r4,II,0.3533028892364137,1.131370847498476,0.9659722138890359
A2,B1,C2,A2-B1-C2,A2-B1-C2-r0,I,0.5037740702804717,0.9899494915611667,0.5372800405211302
A2,B1,C2,A2-B1-C2,A2-B1-C2-r1,I,0.4592443826634408,0.14142135593730976,0.8827775758180042
A2,B1,C2,A2-B1-C2,A2-B1-C2-r2,I,0.5182879851208605,0.35355338991827345,0.798621737187376
A2,B1,C2,A2-B1-C2,A2-B1-C2-r3,I,0.34356675664420966,1.131370847498476,0.5921223486345161
A2,B1,C2,A2-B1-C2,A2-B1-C2-r4,II,0.4016665950706751,0.848528135623857,0.7604374137387104
A2,B1,C2,A2-B1-C2,A2-B1-C2-r0,I,0.3324310306335362,0.3863703299156272,0.6698374482020795
A2,B1,C2,A2-B1-C2,A2-B1-C2-r1,II,0.36934787766242844,0.9899494915611664,2.6438645738944833
A2,B1,C2,A2-B1-C2,A2-B1-C2-r2,II,0.3733727687545526,0.42426406781192866,1.3755509099647871
A2,B1,C2,A2-B1-C2,A2-B1-C2-r3,I,0.30898978841419117,0.5656854237492379,0.7646943008978615
A2,B1,C2,A2-B1-C2,A2-B1-C2-r4,I,0.6061014717821165,0.9899494915611664,2.8897553488354624
