rule_id,clase,N,npart,sep_media,fof_b0.20,ngrupos_b0.20,fof_b0.30,ngrupos_b0.30,fof_b0.50,ngrupos_b0.50,dens_k8_cv,par
A2-B0-C2-r39,III,2000,2000,7.745961543236626,0.39549999999999974,64,0.5304999999999996,41,0.5634999999999983,6,4.576282896001966,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39
A2-B0-C2-r9v2fix,I,4000,4000,6.147973751119519,0.51025,46,0.547249999999993,7,0.5537500000000062,1,6.132953568616422,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39
A2-B0-C2-r39,III,4000,4000,6.147973751119519,0.49375,41,0.5479999999999885,2,0.5540000000000063,1,6.4211762775018695,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39
A2-B0-C2-batch3-r76,I,2000,2000,7.745961543236626,0.6054999999999994,69,0.6710000000000018,16,0.6804999999999835,2,4.197080404181096,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26
A2-B0-C2-batch3-r26,III,2000,2000,7.745961543236626,0.6004999999999994,64,0.6590000000000005,21,0.6774999999999836,2,4.28371721390348,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26
A2-B0-C2-batch3-r76,I,4000,4000,6.147973751119519,0.6502500000000019,24,0.6605000000000226,1,0.6667500000000236,1,5.917344690394628,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26
A2-B0-C2-batch3-r26,III,4000,4000,6.147973751119519,0.6545000000000022,22,0.663000000000023,1,0.6677500000000238,1,6.078594869766308,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26
A2-B0-C2-batch3-r86,I,2000,2000,7.745961543236626,0.5539999999999994,71,0.632,25,0.6509999999999845,1,4.32634789132048,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12
A2-B0-C2-batch3-r12,III,2000,2000,7.745961543236626,0.6254999999999995,61,0.693000000000001,11,0.6984999999999827,1,4.265225390711227,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12
A2-B0-C2-batch3-r86,I,4000,4000,6.147973751119519,0.6467500000000018,28,0.6642500000000232,1,0.6702500000000242,1,5.949180099902279,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12
A2-B0-C2-batch3-r12,III,4000,4000,6.147973751119519,0.6732499999999968,14,0.6765000000000251,1,0.6807500000000258,1,6.07197426324396,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12
A2-B0-C2-batch4-r18,I,2000,2000,7.745961543236626,0.40799999999999975,71,0.5409999999999996,37,0.5684999999999878,1,4.571440905587984,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19
A2-B0-C2-batch4-r19,III,2000,2000,7.745961543236626,0.5794999999999995,70,0.6405000000000007,22,0.6564999999999843,1,4.4297759488641555,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19
A2-B0-C2-batch4-r18,I,4000,4000,6.147973751119519,0.4930000000000001,49,0.5462499999999971,6,0.552500000000006,1,6.33008947541605,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19
A2-B0-C2-batch4-r19,III,4000,4000,6.147973751119519,0.6192500000000004,34,0.6290000000000178,1,0.6362500000000189,1,6.041844607455874,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19
A2-B0-C2-batch3-r5,I,2000,2000,7.745961543236626,0.38399999999999973,60,0.5299999999999994,43,0.5589999999999935,3,4.440120596819075,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114
A2-B0-C2-batch3-r114,III,2000,2000,7.745961543236626,0.4209999999999997,67,0.5454999999999993,35,0.5779999999999875,2,4.42711967872223,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114
A2-B0-C2-batch3-r5,I,4000,4000,6.147973751119519,0.5060000000000001,48,0.5592500000000034,4,0.5692500000000086,1,6.568393828178082,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114
A2-B0-C2-batch3-r114,III,4000,4000,6.147973751119519,0.4917500000000002,54,0.5412499999999975,9,0.5485000000000053,1,6.1420847969960315,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114
A2-B0-C2-batch4-r13,I,2000,2000,7.745961543236626,0.3884999999999998,65,0.5339999999999995,40,0.5654999999999897,3,4.644071025258917,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94
A2-B0-C2-batch4-r94,III,2000,2000,7.745961543236626,0.5489999999999995,65,0.6205000000000003,20,0.637999999999985,1,4.341547092258182,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94
A2-B0-C2-batch4-r13,I,4000,4000,6.147973751119519,0.49525000000000013,42,0.5484999999999887,3,0.5545000000000063,1,6.497746345852623,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94
A2-B0-C2-batch4-r94,III,4000,4000,6.147973751119519,0.6187499999999964,18,0.6290000000000178,1,0.6335000000000185,1,6.381148783312789,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94
A2-B0-C2-batch3-r35,I,2000,2000,7.745961543236626,0.5959999999999992,61,0.6690000000000009,15,0.6854999999999835,4,4.402616737907266,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31
A2-B0-C2-batch3-r31,III,2000,2000,7.745961543236626,0.6009999999999993,70,0.6725000000000018,15,0.6889999999999832,3,4.21055194887473,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31
A2-B0-C2-batch3-r35,I,4000,4000,6.147973751119519,0.6582499999999959,13,0.6660000000000235,1,0.6710000000000242,1,6.0634970810891895,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31
A2-B0-C2-batch3-r31,III,4000,4000,6.147973751119519,0.6644999999999998,22,0.6742500000000248,1,0.6802500000000257,1,5.861819137169118,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31
A2-B0-C2-r12v1fix,I,2000,2000,7.745961543236626,0.2459999999999999,50,0.38999999999999974,51,0.4615000000000014,11,5.056319160398894,PAR_v2_G_r12v1fix_r19
A2-B0-C2-r19,III,2000,2000,7.745961543236626,0.4924999999999996,65,0.6064999999999994,29,0.6199999999999858,2,4.420614079613081,PAR_v2_G_r12v1fix_r19
A2-B0-C2-r12v1fix,I,4000,4000,6.147973751119519,0.3332499999999997,49,0.4565000000000011,13,0.46949999999999315,1,6.499349547033065,PAR_v2_G_r12v1fix_r19
A2-B0-C2-r19,III,4000,4000,6.147973751119519,0.5885000000000011,41,0.6122500000000152,1,0.6180000000000161,1,6.458957531846896,PAR_v2_G_r12v1fix_r19
A2-B0-C2-batch4-r23,I,2000,2000,7.745961543236626,0.5774999999999995,73,0.6505000000000015,17,0.666499999999984,2,4.314282846840117,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10
A2-B0-C2-batch4-r10,III,2000,2000,7.745961543236626,0.6444999999999993,66,0.704999999999997,13,0.714499999999982,1,4.142663887191608,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10
A2-B0-C2-batch4-r23,I,4000,4000,6.147973751119519,0.6555,22,0.6615000000000228,1,0.6647500000000233,1,6.190590638365688,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10
A2-B0-C2-batch4-r10,III,4000,4000,6.147973751119519,0.681000000000002,27,0.6942500000000279,1,0.7017500000000286,2,5.8942212276517285,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10
A2-B0-C2-batch4-r51,I,2000,2000,7.745961543236626,0.7800000000000001,44,0.8024999999999797,4,0.8074999999999783,1,3.9312766067197265,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36
A2-B0-C2-batch4-r36,III,2000,2000,7.745961543236626,0.7850000000000005,35,0.8134999999999839,5,0.818999999999978,1,3.8126089831024497,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36
A2-B0-C2-batch4-r51,I,4000,4000,6.147973751119519,0.797000000000028,5,0.7995000000000442,1,0.8027500000000446,1,5.632069453117278,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36
A2-B0-C2-batch4-r36,III,4000,4000,6.147973751119519,0.8192500000000423,3,0.8210000000000475,1,0.8237500000000478,1,5.648280863170306,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36
