seed,brazo,etiqueta,n_edges,n_tri,dof,n_sweeps,eventos_por_sweep,dt,h,h_null,h_shuf,aristas_tocadas,frac_cobertura,frac_aristas_cero,gini_cobertura,entropia_cobertura,conteo_max,conteo_medio,frac_punteria,solape_nodos_trio,disp_intra_trio_destino,disp_intra_trio_real
2,B_casi_correcto,B trío CASI-correcto (1+2),513,161,674,116,483,4.879,0.33957041272971755,1.496310689620956,0.3410856906459559,318,0.6198830409356725,0.3801169590643275,0.5239588504271953,0.9065000049336216,5.0,0.9415204678362573,0.7287784679089027,0.13043478260869565,0.022643213441066443,0.019458164658177266
2,C_azar,C trío AL AZAR (=REWIRE),513,161,674,116,483,5.041,0.3170662746144605,1.496310689620956,0.3410856906459559,295,0.5750487329434698,0.4249512670565302,0.5648097699966501,0.8941793344161024,4.0,0.9415204678362573,0.6231884057971014,0.18012422360248448,0.026683907158768574,0.01989467589699772
2,D_sin_trios,D SIN TRÍOS (=GLOBAL),513,161,674,116,513,6.247,1.0356051347200135,1.496310689620956,0.3410856906459559,513,1.0,0.0,0.0,1.0,1.0,1.0,0.6023391812865497,nan,nan,0.019652265961093977
2,E_equivocado,E trío EQUIVOCADO (=LOC.ROTO),513,161,674,116,483,5.357,0.4908108277903216,1.496310689620956,0.3410856906459559,309,0.6023391812865497,0.39766081871345027,0.5469228627123364,0.8996527246049493,6.0,0.9415204678362573,1.0,3.0,0.030755429200947725,0.030755429200947725
2,F_azar_desalineado,F azar DESALINEADO (nuevo),513,161,674,116,483,4.456,0.4789314379337092,1.496310689620956,0.3410856906459559,313,0.6101364522417154,0.3898635477582846,0.531102312948232,0.9044257629827771,5.0,0.9415204678362573,0.5921325051759835,0.10559006211180125,0.03413729103854666,0.03568473289570106
2,G_trio_real_azar,G trío real AZAR c/reempl.,513,161,674,116,483,5.074,0.3143825426015302,1.496310689620956,0.3410856906459559,223,0.4346978557504873,0.5653021442495128,0.7018431747646088,0.8393674053798909,7.0,0.9415204678362573,1.0,3.0,0.024519398076256232,0.024321072283143043
2,H_azarTri_desalin,H sueltas-DE-triáng. desalin.,513,161,674,116,483,5.654,0.49727841130165257,1.496310689620956,0.3410856906459559,246,0.47953216374269003,0.52046783625731,0.6512739174829183,0.861682808224695,6.0,0.9415204678362573,1.0,0.12422360248447205,0.02848404016552428,0.02905649079352997
2,I_azarTri_alineado,I sueltas-DE-triáng. alineado,513,161,674,116,483,5.082,0.3504011861696512,1.496310689620956,0.3410856906459559,243,0.47368421052631576,0.5263157894736843,0.6607904624685708,0.858342935771347,7.0,0.9415204678362573,1.0,0.19875776397515527,0.025660828012413334,0.020967023229043334
3,A_correcto,A trío CORRECTO (=REAL),606,221,827,99,663,5.021,0.20567529067681173,1.5117224891767953,0.3840208936841803,404,0.6666666666666666,0.33333333333333337,0.49538551140181886,0.9198293221558254,5.0,1.0940594059405941,1.0,3.0,0.024454475571219624,0.024454475571219624
3,B_casi_correcto,B trío CASI-correcto (1+2),606,221,827,99,663,5.66,0.3883911784232059,1.5117224891767953,0.3840208936841803,400,0.6600660066006601,0.33993399339933994,0.5073672525623603,0.9169883834863306,5.0,1.0940594059405941,0.7767722473604827,0.11764705882352941,0.028154860446418562,0.02183781331170752
3,C_azar,C trío AL AZAR (=REWIRE),606,221,827,99,663,6.129,0.3711322046895378,1.5117224891767953,0.3840208936841803,407,0.6716171617161716,0.3283828382838284,0.5005176988287063,0.9187475748007432,6.0,1.0940594059405941,0.6455505279034691,0.12217194570135746,0.019344614046015018,0.023047798688015465
3,D_sin_trios,D SIN TRÍOS (=GLOBAL),606,221,827,99,606,5.3,2.464539795722119,1.5117224891767953,0.3840208936841803,606,1.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.6666666666666666,nan,nan,0.017703180803931223
3,E_equivocado,E trío EQUIVOCADO (=LOC.ROTO),606,221,827,99,663,5.463,0.48244812738039766,1.5117224891767953,0.3840208936841803,404,0.6666666666666666,0.33333333333333337,0.49538551140181886,0.9198293221558254,5.0,1.0940594059405941,1.0,3.0,0.03126726723021743,0.031267267230217416
