rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r8,I,572605,6,0.33,0.289,7.13,7,0.154,0.48823433629471374,0.05345224833962783,1.1836267176591901,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r137,I,485118,4,0.436,0.243,4.66,7,0.251,0.4901111203335927,0.6380730611704392,3.130610263641488,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r65,I,478134,5,0.61,0.34,4.68,7,0.344,0.4903763656633309,0.4242640678119285,3.822750824342106,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r192,I,590453,5,0.758,0.203,6.26,6,0.2,0.49279488728437626,0.7071067796865476,2.7801958918592007,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r104,I,581917,4,0.373,0.135,4.79,6,0.205,0.4938846699761572,0.8485281356238566,2.8823779725686673,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r188,I,590065,7,0.398,0.117,5.5,7,0.277,0.49543166922258525,0.7071067798365472,2.569851561173602,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r61,I,477746,8,0.599,0.179,4.58,7,0.265,0.49549733822908837,0.7071067802865473,3.702549465488967,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r124,I,583857,6,0.77,0.313,6.51,6,0.333,0.49556905925513567,0.2828427118746191,1.094731778182601,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r91,I,580656,5,0.448,0.158,7.04,6,0.323,0.4968037824537224,0.848528135623857,3.0371561537332505,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r167,I,588028,8,0.699,0.162,5.77,6,0.312,0.4970582801383794,0.989949491561166,4.547436729356542,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r148,I,486185,6,0.434,0.164,4.96,7,0.285,0.49905386210933345,0.42426406781192816,3.0419325235505887,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r25,I,574254,5,0.329,0.152,5.53,6,0.259,0.4994540416655394,0.4086825976354479,1.6250350986613475,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r191,I,590356,8,0.372,0.273,5.4,6,0.279,0.5016507834152454,0.5656854237492379,1.6888690373827018,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r18,I,473575,6,0.62,0.337,5.5,6,0.316,0.5031320129177096,0.4242640679619285,2.154495714418434,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r175,I,588804,7,0.706,0.209,7.07,7,0.201,0.5038823237067259,0.5656854237492379,3.785693947053518,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r106,I,582111,5,0.788,0.243,6.3,6,0.303,0.5084483465537022,0.4242640678119285,3.204868493656176,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r204,I,591617,5,0.417,0.181,6.03,6,0.274,0.508593931234412,0.10690449667925536,2.38669084520813,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r183,I,589580,6,0.497,0.115,6.15,6,0.328,0.5105277053534738,0.4242640678119288,1.9224916414182984,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r14,I,573187,7,0.501,0.253,6.51,6,0.234,0.5109000649121194,0.14142135593730976,1.6522460828924117,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r170,I,588319,7,0.694,0.163,5.17,7,0.251,0.511326039424577,0.5311685644911839,3.7847046770675243,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r134,I,484827,5,0.611,0.121,5.47,7,0.291,0.5127383682520894,1.131370847498476,4.065180673053194,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r34,I,375127,5,0.618,0.178,5.61,6,0.296,0.5127744610260139,0.5656854238992377,2.7096593192518528,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r103,I,581820,5,0.315,0.21,5.83,6,0.223,0.5133112777317137,0.3863703299156272,2.3337775630746305,cs090_fase5b_candidatas_v4.csv,False
