rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch3-r55,I,477164,5,0.471,0.149,4.87,6,0.218,0.5814093800787539,0.9192388136675118,3.8455349261073577,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r73,I,578910,5,0.664,0.141,4.73,7,0.205,0.5814553882259165,0.0,4.540011994772269,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r20,I,473769,4,0.488,0.343,5.3,6,0.309,0.5815043461890429,0.38637033011562727,1.8956445704469893,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r138,I,485215,5,0.746,0.194,6.42,6,0.333,0.5823254734019663,0.9899494915611664,3.589987341809837,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r182,I,589483,5,0.796,0.226,4.65,5,0.278,0.583725143787135,0.2773932581886809,2.7531424003708587,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r9,I,372702,5,0.548,0.142,5.59,6,0.29,0.584004179281483,0.5656854240492379,3.2181475999093556,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch4-r11,I,572896,6,0.336,0.263,7.47,6,0.228,0.5873752918624702,0.494974745855583,1.6151203055895658,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r210,I,592199,5,0.741,0.227,7.18,6,0.284,0.5887175305810336,0.6692130417902463,2.6927046684122944,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r86,I,580171,5,0.546,0.249,5.46,6,0.323,0.5906052983473485,0.3863703299156276,2.289945453192968,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r37,I,575418,6,0.72,0.113,4.89,6,0.208,0.5910171379930134,0.3897472085538743,2.120468789428945,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r13,I,573090,6,0.662,0.233,5.58,6,0.255,0.5911652970991822,0.9899494915611667,2.805547254996298,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r38,I,575515,4,0.397,0.184,4.52,5,0.231,0.5931216513801264,0.7071067796865476,3.084335266954844,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r144,I,585797,4,0.755,0.308,4.07,7,0.278,0.5936290251621278,0.2672612416981386,0.8886985281506055,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r24,I,574157,7,0.308,0.167,5.58,6,0.197,0.594794134669785,0.42426406796192834,1.8872973027940265,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r184,I,589677,5,0.476,0.11,5.28,6,0.236,0.5960362585217963,0.7071067796865472,3.513073170829408,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r171,I,588416,7,0.517,0.151,4.27,6,0.169,0.5991758346017657,0.707106779686548,1.8336308015503966,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r35,I,575224,6,0.332,0.329,5.09,6,0.155,0.6004940740104577,0.0,1.3443945662080772,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r40,I,575709,6,0.449,0.103,4.55,6,0.179,0.6012006435980857,0.2449489739783178,2.1843064542675252,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r157,I,587058,6,0.356,0.176,6.56,7,0.322,0.6012595473421678,0.4242640678119285,1.5305094966644301,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r63,I,577940,5,0.443,0.225,4.62,7,0.285,0.6015286262909372,0.8485281356238573,2.657213214733661,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r6,I,272411,7,0.632,0.119,5.38,5,0.231,0.6017022732300992,0.2828427118746195,1.967789496485271,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-batch4-r64,I,578037,4,0.453,0.172,4.25,7,0.253,0.6025632435380978,0.7071067796865476,3.828554728785734,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r130,I,484439,6,0.624,0.15,6.61,6,0.323,0.603666275448031,0.28284271202461875,2.0890428716676204,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r174,I,588707,7,0.375,0.257,7.9,7,0.3,0.6041267417759444,1.1313708482484761,1.4308142958765786,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r132,I,584633,6,0.423,0.125,7.82,6,0.281,0.6056386920968034,0.28284271187461874,2.465028970062141,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r27,I,574448,8,0.656,0.23,4.37,6,0.317,0.6061962585055974,0.5656854237492386,1.583609036482027,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r57,I,477358,4,0.76,0.339,4.85,6,0.172,0.6072417912787075,0.14142135608730938,1.4830787449484628,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r145,I,585894,4,0.31,0.222,7.19,6,0.309,0.6089957328871656,0.7727406598312544,2.0482546193816606,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r158,I,587155,5,0.312,0.14,4.29,6,0.253,0.6093246869830368,0.3863703299156272,1.373700219719628,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r117,I,483178,5,0.442,0.291,4.39,6,0.243,0.6115898111016562,0.3518534706575732,1.165979043631774,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r95,I,581044,5,0.548,0.222,7.23,6,0.235,0.6149861221455258,0.9743680213846858,2.5829341419500618,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r90,I,480559,6,0.627,0.28,6.96,6,0.277,0.6170919952326769,0.2449489739783178,1.7599093048949883,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r50,I,476679,6,0.381,0.278,5.64,5,0.267,0.6185791830984309,0.4898979479566356,1.3219714767235071,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r89,I,580462,4,0.469,0.27,7.46,6,0.159,0.6186783624132153,1.5556349153104045,2.033688071443626,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r5,I,572314,8,0.523,0.244,4.34,7,0.251,0.6191094861351111,0.4898979479566356,2.109483759187346,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r39,I,575612,5,0.437,0.184,5.2,5,0.231,0.6230488869263001,0.4242640678119285,2.394599151198162,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r44,I,476097,7,0.551,0.138,4.4,5,0.197,0.6237508179211378,0.5169395431561162,2.3806339149573437,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r219,I,593072,6,0.304,0.316,7.08,6,0.24,0.6239185084911231,0.07071067804365469,1.755365273510757,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r79,I,579492,7,0.36,0.319,6.74,6,0.216,0.625966332816591,0.4898979479566356,1.2188364864347514,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r20,I,573769,6,0.615,0.308,5.56,6,0.193,0.626356282241272,0.8485281356238573,1.829877541290044,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r109,I,482402,4,0.728,0.19,6.42,6,0.269,0.6275014418510246,0.7071067796865472,3.5742757438057486,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r5,I,272314,4,0.684,0.334,7.87,6,0.324,0.6276459043873612,0.0,1.8862086888845984,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r155,I,586864,8,0.531,0.103,7.31,6,0.247,0.6276592736788965,0.0,5.172907156509676,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r107,I,482208,6,0.643,0.335,6.46,5,0.273,0.6304170393073871,0.8123113575551025,1.5881857169675335,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r32,I,574933,6,0.669,0.301,7.53,6,0.3,0.6307108500080885,0.7071067796865476,1.81645180070601,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r90,I,580559,5,0.794,0.294,4.93,6,0.244,0.63142200083662,0.5656854237492379,2.6664172711518908,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r84,I,579977,7,0.344,0.166,7.82,6,0.269,0.6314471708206678,0.5277916858529366,1.7750719753792237,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r67,I,478328,8,0.765,0.288,4.38,6,0.318,0.631838476985562,0.1948736042769372,1.768394860738987,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r50,I,576679,5,0.572,0.215,6.02,5,0.159,0.6326249144600209,0.0,3.739405675075294,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r75,I,579104,4,0.344,0.183,6.4,6,0.297,0.633131094886723,1.272792203435786,2.25664555941345,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r35,I,475224,4,0.657,0.303,4.75,5,0.284,0.6334481872632117,1.2572107332593048,2.476520783925357,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r69,I,578522,6,0.613,0.313,7.84,6,0.309,0.6342907854938875,0.28284271187461874,1.6677495234163957,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r153,I,586670,5,0.558,0.239,4.52,5,0.298,0.6344921047298726,1.8384776271850236,2.3633095982641326,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r21,I,373866,7,0.794,0.315,7.78,6,0.274,0.6364177880538278,0.10690449667925536,1.8645606599098614,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r113,I,582790,5,0.679,0.318,7.42,6,0.291,0.6366881487545398,1.2727922034357855,1.8002545532312055,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r57,I,577358,7,0.622,0.284,5.08,5,0.243,0.6374065773083789,0.4242640678119288,2.956419064257035,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r193,I,590550,4,0.612,0.102,4.87,7,0.24,0.6379121385835052,1.8005838892887227,4.993532777669167,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r94,I,480947,4,0.354,0.335,4.3,6,0.298,0.638002549200437,0.669213041790246,1.1738816745937104,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r5,I,372314,7,0.49,0.238,4.04,7,0.281,0.6384959578648743,0.2449489739783178,1.633262027409741,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r15,I,573284,8,0.412,0.302,4.06,5,0.173,0.6403596942082215,0.6363961017928931,1.3130585752437975,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-r0,I,371829,5,0.562,0.195,4.95,5,0.335,0.6406294831032585,1.055583371705874,4.141557905033317,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r23,I,574060,5,0.684,0.202,5.0,5,0.151,0.6433027276036999,0.40531719893877804,3.663656028872542,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r4,I,472217,8,0.537,0.176,7.68,6,0.241,0.645640037342163,0.42426406801192823,3.298927847539667,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r82,I,579783,5,0.336,0.305,7.0,6,0.283,0.6459174780656604,0.2672612416981386,1.4177259383385565,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r67,I,578328,5,0.394,0.271,5.1,5,0.165,0.6463830766722974,0.2828427118746191,1.9452313912490031,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r148,I,586185,5,0.502,0.31,7.35,6,0.187,0.6483459574580671,0.4898979479566356,1.7936003189643415,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r112,I,482693,6,0.64,0.311,4.4,5,0.241,0.6484796743138357,0.8640866460671834,1.8788177535548516,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r42,I,575903,6,0.595,0.272,6.84,6,0.154,0.6545071481418191,0.3863703299156272,1.245801172865837,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r38,I,475515,7,0.641,0.319,6.6,6,0.246,0.6556093863621397,1.441953701621501,2.1350076854310753,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r119,I,483372,7,0.544,0.242,4.42,6,0.205,0.6578375245852051,0.5656854237492379,1.453226775146175,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r53,I,476970,7,0.708,0.308,4.14,5,0.156,0.6600094507902552,0.7071067796865476,2.842452192168626,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r176,I,588901,7,0.603,0.259,4.7,6,0.15,0.6602103975349994,0.14142135593730976,1.2249711098639187,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r5,I,472314,6,0.494,0.283,7.48,6,0.264,0.6602354017251393,0.6363961020928924,1.6937695058132107,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r44,I,576097,6,0.782,0.264,4.77,5,0.33,0.6614363579719142,0.47771631615155635,2.629520751203802,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r111,I,582596,8,0.757,0.236,7.38,6,0.166,0.6616151487991371,0.4898979479566356,2.69795185096762,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r31,I,574836,6,0.549,0.237,5.83,5,0.216,0.662399840491685,0.7071067799615474,2.2930248065454886,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r47,I,476388,7,0.557,0.125,6.29,6,0.254,0.664609820944207,0.9899494915611664,2.718267423129872,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r1,I,271926,5,0.659,0.234,7.63,6,0.285,0.6651600933305303,1.34350288147944,3.2423418870174947,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-batch3-r36,I,475321,5,0.386,0.32,4.24,6,0.159,0.6656640618955437,0.4242640678119288,1.986175250491734,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r127,I,584148,7,0.307,0.123,7.81,6,0.229,0.6683428885660037,0.8106343977275554,1.750770649206898,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r172,I,588513,5,0.563,0.261,5.9,5,0.324,0.6689048571248729,1.0434017399007942,2.2413225120100813,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r79,I,479492,8,0.764,0.345,4.22,6,0.33,0.6689099213625069,0.5277916858529373,2.510767171505413,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r105,I,582014,5,0.575,0.312,4.51,6,0.244,0.668952630567437,0.2449489739783178,2.29335452751932,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r166,I,587931,7,0.391,0.341,5.53,5,0.279,0.6690133143359093,0.669213041790246,1.6266062809617883,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r48,I,476485,8,0.487,0.21,4.54,5,0.222,0.6705155034604253,1.1970047276431834,3.499415540265244,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r74,I,579007,8,0.519,0.216,4.12,6,0.169,0.6706776868182417,0.2828427118746195,2.720089888047994,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r56,I,477261,8,0.461,0.218,4.07,7,0.271,0.6712786492946685,0.42426406781192816,2.0524814841850185,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r8,I,472605,8,0.508,0.174,7.85,6,0.179,0.6712821094366846,0.28284271217461915,2.8272844524019933,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r30,I,374739,8,0.699,0.124,7.69,6,0.313,0.6726450383749847,0.2449489739783178,5.246710038901559,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r147,I,486088,6,0.784,0.209,4.91,6,0.163,0.674507403259731,1.0555833717058736,1.5682310223130944,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r218,I,592975,7,0.775,0.124,5.15,6,0.327,0.6747392266757308,0.631319303893945,4.384170744732236,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r214,I,592587,6,0.331,0.315,5.22,6,0.221,0.6775742750046868,0.5656854237492375,1.36413658066485,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r65,I,578134,6,0.428,0.254,7.97,6,0.253,0.6796749310449893,0.4898979479566356,1.8154056662524938,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r41,I,575806,6,0.582,0.239,4.78,5,0.242,0.6796771214509663,0.21213203398096425,2.41819427273913,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r198,I,591035,6,0.493,0.217,4.37,5,0.203,0.6805292442174306,0.5027105219710478,3.27173321817495,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r16,I,573381,6,0.729,0.166,7.17,6,0.194,0.6806942227496239,0.6692130419402463,2.6796423531037172,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r128,I,484245,7,0.366,0.108,4.21,6,0.297,0.6820202411953517,0.47770483650997947,1.9434469194328023,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r86,I,480171,5,0.646,0.19,6.06,5,0.3,0.684698515725542,0.848528135623857,3.1273886998421987,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r139,I,485312,6,0.605,0.281,4.16,7,0.228,0.6861283906064248,0.6363961020928924,0.3718154082961645,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r70,I,578619,7,0.424,0.348,5.01,5,0.307,0.686161570810164,0.7605590280261751,1.9969100593313123,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r52,I,576873,5,0.314,0.231,7.72,6,0.273,0.6914502393227815,0.3233954279874375,1.6152387619903792,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r87,I,580268,7,0.719,0.132,5.31,5,0.343,0.6930003804344128,1.272792203885785,2.4877463023265065,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r115,I,582984,7,0.379,0.129,4.33,5,0.237,0.6935376433805718,0.7104606987416406,1.9320439154079452,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r104,I,481917,6,0.41,0.11,5.38,5,0.162,0.6941227678174907,0.9141620157685637,1.7793623158017748,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r181,I,589386,7,0.523,0.345,4.33,6,0.314,0.6945597589380447,0.5277916858529366,0.9343906307141779,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r46,I,476291,7,0.555,0.153,4.08,6,0.214,0.6949690241960329,0.631319303893945,1.0992135173302895,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r34,I,575127,5,0.514,0.188,4.16,6,0.34,0.6970544662378715,0.14142135593730937,2.355290212474232,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r3,I,272120,4,0.454,0.1,5.92,5,0.343,0.6976790159601658,0.7778174577302025,6.113449030855392,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch3-r59,I,477552,7,0.545,0.26,4.12,5,0.177,0.6979287978973431,1.0285189526184493,1.9648030847458327,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r22,I,573963,8,0.459,0.129,4.95,5,0.311,0.6994921025673034,0.2449489739783178,1.9895466379901514,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r110,III,482499,4,0.401,0.174,4.54,5,0.249,0.7021199197615989,0.5615402736538557,2.3567830428663976,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r82,IV,479783,5,0.697,0.127,6.12,5,0.192,0.7045463849331435,0.2159999219824468,5.4823905678420095,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r28,III,374545,6,0.47,0.23,7.76,6,0.216,0.7055880853285693,0.42426406811192885,1.6371449085202088,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch4-r97,III,581238,5,0.572,0.202,5.3,5,0.186,0.7057765195193306,0.42426406801192823,3.122394923636898,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r76,III,579201,5,0.395,0.205,5.49,5,0.313,0.7059480249204435,0.5168460777463262,2.08730282657106,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r124,III,483857,7,0.492,0.174,6.97,5,0.192,0.7074139118306781,0.7778174577302022,2.353314410287696,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r31,III,374836,4,0.662,0.187,5.32,5,0.192,0.7086371351187031,2.4041630509342617,3.4634438913130454,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-r19,III,373672,6,0.361,0.115,6.55,5,0.295,0.7148902094039754,0.9899494920111664,2.2284364344910905,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r97,III,481238,4,0.727,0.256,5.04,5,0.168,0.7158769569347565,0.5277916858529366,2.8634565534966963,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r99,III,581432,6,0.595,0.292,6.35,5,0.244,0.7180348255754522,1.2495425095894441,1.6823468816661062,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r69,III,478522,7,0.753,0.318,4.37,6,0.235,0.7189443036232793,0.0,1.760365025336003,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-r19,III,273672,5,0.341,0.326,4.02,7,0.309,0.7198659721923727,0.24832585261656512,1.798625097520326,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-batch4-r94,III,580947,6,0.353,0.133,4.18,6,0.237,0.7202626515814937,0.4242640679619285,2.069533546977787,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r83,III,479880,7,0.752,0.325,4.01,6,0.19,0.7218028381417341,0.8106343977275561,2.46496063823419,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r21,III,473866,6,0.346,0.134,5.31,5,0.234,0.7248004383475681,0.9141620157685638,2.4943565571202835,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-r39,III,375612,5,0.526,0.152,5.7,6,0.217,0.7271595357141946,3.1112698306208095,3.4424599537648084,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch3-r98,III,481335,8,0.365,0.312,4.55,5,0.265,0.7282734299737176,0.4242640678119288,1.8641633220628073,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r7,III,272508,6,0.329,0.176,4.59,6,0.262,0.7290384711955509,0.6467908559748752,1.756835424637788,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r96,III,581141,5,0.548,0.349,4.52,5,0.284,0.7304031848194612,0.28284271202461875,2.2587998614613385,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r26,III,474351,8,0.682,0.271,6.44,5,0.327,0.73199955526079,0.6161371680936989,2.6123362306084625,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-r17,III,273478,5,0.475,0.211,7.35,5,0.329,0.7340887838072675,1.697056271247714,2.7383105329699053,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-batch4-r162,III,587543,7,0.326,0.305,5.43,5,0.276,0.735989410594361,0.8485281356238573,1.3628739743280656,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r60,III,577649,5,0.475,0.146,4.78,5,0.302,0.7378543588616053,0.7071067796865472,2.877004600135161,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r120,III,583469,7,0.558,0.142,4.5,5,0.329,0.737932592573586,0.31903653086021955,1.7489750779036168,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r209,III,592102,4,0.758,0.272,7.44,5,0.271,0.7428820032374244,0.5656854238992379,2.2186967635929102,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r12,III,472993,5,0.745,0.243,4.61,5,0.281,0.7435032678648852,0.9899494915611664,2.059568248625903,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r43,III,576000,7,0.422,0.258,4.53,5,0.317,0.7452540925441434,1.093477109602175,1.8708590554190088,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-r11,III,372896,7,0.413,0.246,6.13,5,0.244,0.7460077853714272,0.9899494915611664,1.5025534240825806,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r136,III,585021,5,0.501,0.312,4.33,6,0.312,0.7465247069930361,0.565685424249238,2.023929296820148,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r36,III,375321,8,0.605,0.306,6.89,5,0.154,0.7485671074712171,0.14142135593730937,2.198147758715286,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r0,III,571829,6,0.4,0.123,7.95,6,0.291,0.749820839752026,0.10690449667925536,1.8935124698207446,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r132,III,484633,4,0.468,0.333,6.84,5,0.232,0.7502734613883114,0.848528135623857,1.8538121004718568,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r29,III,574642,6,0.529,0.195,4.39,5,0.274,0.7503935066249442,0.29057848799008396,2.858602348813981,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r9,III,572702,5,0.351,0.296,4.64,6,0.281,0.750656276796281,0.5088448171297865,1.9319591933901754,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r108,III,482305,6,0.557,0.129,4.23,5,0.32,0.7543239666190528,1.0261203506136134,1.491554361515084,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r134,III,584827,4,0.331,0.17,5.11,5,0.2,0.7549070071835985,1.7677669497413688,3.0628892398893997,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r37,III,475418,5,0.639,0.257,4.1,5,0.174,0.7565364853412659,0.5656854237492382,2.9461920188979245,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r213,III,592490,6,0.535,0.177,7.1,5,0.242,0.7579362491069187,0.5433501962962635,2.006196208570886,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r1,III,571926,6,0.398,0.285,6.18,5,0.28,0.7579372902210593,1.659162533351413,1.5176020345746304,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r19,III,573672,5,0.529,0.309,4.04,6,0.277,0.7607797813332537,0.7071067796865472,1.1168762631396227,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-r26,III,374351,4,0.471,0.343,6.39,5,0.349,0.7613155370004009,0.3863703299156272,1.3688419543757595,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r125,III,583954,7,0.367,0.142,7.04,5,0.17,0.7620887614065106,0.550103953572758,2.5313479341524396,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r129,III,484342,7,0.346,0.286,6.11,5,0.262,0.7621602264260985,2.5455844068715705,1.1570837597030381,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r28,III,574545,6,0.695,0.101,6.66,5,0.298,0.7633609694507231,0.5843602283238603,3.050183998754211,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r123,III,483760,5,0.706,0.325,6.77,5,0.276,0.7646999396646018,1.0555833717058731,2.0350328462736917,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r17,III,473478,5,0.64,0.214,5.65,5,0.152,0.7663107629363343,0.3379719197417933,2.524701798321974,cs090_fase5b_candidatas_v3.csv,False
