carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,cond_id,cond_n,rigidez,criterio,brazo_hist,rule_id_historico,idx_lote,pendiente_corregida,pendiente_archivada,dif_vs_archivada,reproduce_archivada,clase_geom,z_agg,giant_grafo_final,grado_medio_grafo_final,diam_b1_corregido,holon_grafo_final
A2-B0-C2-mec-r7__c1-rigido-soporte,A2-B0-C2-mec-r7,III,90891,7,0.503,0.225,7.25,5,3460,11.0,2000,cosmog_00500,16309.0,2491.0,18800.0,0.1325,8,0.031,2490.9999999999995,0.9863013698630138,0.9809027777777778,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r7,7,0.7962155657562038,0.7962155657562022,1.5543122344752192e-15,True,III,0.9899494915611664,0.8935,3.46,11.0,0.8162432815096313
A2-B0-C2-mec-r7__c2-rigido-azar,A2-B0-C2-mec-r7,I,90891,7,0.503,0.225,7.25,5,4260,11.0,2000,cosmog_00500,17408.8,1391.2000000000005,18800.0,0.07400000000000002,8,0.05,1391.1999999999998,0.41176470588235287,0.41592261904761896,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r7,7,0.5297787105010381,0.5361820184827526,0.006403307981714512,False,I,0.5656854237492375,0.991,4.26,11.0,0.47054140670656913
A2-B0-C2-mec-r7__c3-elastico-soporte,A2-B0-C2-mec-r7,I,90891,7,0.503,0.225,7.25,5,4303,12.0,2000,cosmog_00500,17474.600000000002,1325.4000000000003,18800.000000000004,0.07050000000000001,8,0.052,1325.3999999999999,0.4883720930232557,0.5119047619047618,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r7,7,0.5786551513726763,0.5784924598948248,0.0001626914778515287,False,I,0.7071067796865472,0.993,4.303,12.0,1.0371411217519597
A2-B0-C2-mec-r7__c4-elastico-azar,A2-B0-C2-mec-r7,I,90891,7,0.503,0.225,7.25,5,3873,12.0,2000,cosmog_00500,17173.8,1626.2000000000005,18800.0,0.08650000000000002,8,0.04,1626.2,0.4107142857142858,0.4144345238095239,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r7,7,0.6654112236974411,0.6654112236974423,1.2212453270876722e-15,True,I,0.7071067796865476,0.9815,3.873,12.0,0.6598045877153242
A2-B0-C2-mec-r8__c1-rigido-soporte,A2-B0-C2-mec-r8,I,90988,6,0.544,0.107,4.18,6,4054,11.0,2000,cosmog_00500,17352.4,1447.6000000000004,18800.0,0.07700000000000001,8,0.041,1447.6,0.4042553191489362,0.4191964285714286,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r8,8,0.6090941397177595,0.609094139717759,4.440892098500626e-16,True,I,0.2828427118746191,0.985,4.054,11.0,0.410721590925289
A2-B0-C2-mec-r8__c2-rigido-azar,A2-B0-C2-mec-r8,I,90988,6,0.544,0.107,4.18,6,4043,11.0,2000,cosmog_00500,17305.4,1494.6000000000004,18800.0,0.07950000000000002,8,0.048,1494.6000000000004,0.4705882352941177,0.5133928571428572,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r8,8,0.613323820439828,0.6133238204398279,1.1102230246251565e-16,True,I,0.2828427118746191,0.983,4.043,11.0,0.4368657013529627
A2-B0-C2-mec-r8__c3-elastico-soporte,A2-B0-C2-mec-r8,I,90988,6,0.544,0.107,4.18,6,4047,11.0,2000,cosmog_00500,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,8,0.034,1466.3999999999999,0.3673469387755103,0.37440476190476196,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r8,8,0.5836878618176089,0.5836878618176087,2.220446049250313e-16,True,I,0.4242640678119288,0.9815,4.047,11.0,0.5550244466649588
A2-B0-C2-mec-r8__c4-elastico-azar,A2-B0-C2-mec-r8,I,90988,6,0.544,0.107,4.18,6,4040,11.0,2000,cosmog_00500,17343.0,1457.0000000000005,18800.0,0.07750000000000003,8,0.039,1456.9999999999998,0.4117647058823529,0.41845238095238085,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r8,8,0.6074252663125596,0.6074252663125597,1.1102230246251565e-16,True,I,0.2828427118746191,0.9805,4.04,11.0,0.6109499351437914
A2-B0-C2-mec-r9__c1-rigido-soporte,A2-B0-C2-mec-r9,II,91085,5,0.397,0.121,5.37,7,5195,8.0,2000,cosmog_00500,17672.0,1128.0000000000002,18800.0,0.06000000000000001,8,0.064,1128.0,0.48571428571428577,0.5270833333333333,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r9,9,0.35340699352852456,0.3534069935285249,3.3306690738754696e-16,True,II,0.6692130417902463,0.9945,5.195,8.0,0.559317224886632
A2-B0-C2-mec-r9__c2-rigido-azar,A2-B0-C2-mec-r9,I,91085,5,0.397,0.121,5.37,7,5202,11.0,2000,cosmog_00500,17690.8,1109.2000000000003,18800.0,0.05900000000000002,8,0.056,1109.2,0.3979591836734693,0.3932598039215685,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r9,9,0.5779207614273018,0.577920761427304,2.220446049250313e-15,True,I,0.914162015768564,0.9955,5.202,11.0,0.5503510443290578
A2-B0-C2-mec-r9__c3-elastico-soporte,A2-B0-C2-mec-r9,II,91085,5,0.397,0.121,5.37,7,5164,8.0,2000,cosmog_00500,17672.0,1128.0,18800.0,0.06,8,0.058,1128.0,0.46666666666666556,0.49037698412698255,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r9,9,0.43237184023901426,0.4323718402390145,2.220446049250313e-16,True,II,0.7071067796865476,0.989,5.164,8.0,0.6169916346190588
A2-B0-C2-mec-r9__c4-elastico-azar,A2-B0-C2-mec-r9,I,91085,5,0.397,0.121,5.37,7,5169,9.0,2000,cosmog_00500,17728.4,1071.6000000000001,18800.0,0.05700000000000001,8,0.058,1071.6000000000001,0.4193548387096774,0.4708333333333333,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r9,9,0.48101485930112275,0.48101485930112403,1.27675647831893e-15,True,I,0.5656854237492382,0.989,5.169,9.0,0.49009518295607846
A2-B0-C2-mec-r10__c2-rigido-azar,A2-B0-C2-mec-r10,I,91182,5,0.441,0.133,6.34,7,6060,7.0,2000,cosmog_00500,17954.0,846.0000000000002,18800.0,0.04500000000000001,8,0.077,845.9999999999999,0.4999999999999999,0.7083333333333333,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r10,10,0.3146300367558553,0.3146300367558556,2.7755575615628914e-16,True,I,0.565685423749238,0.9975,6.06,7.0,0.40836576074487235
A2-B0-C2-mec-r10__c3-elastico-soporte,A2-B0-C2-mec-r10,II,91182,5,0.441,0.133,6.34,7,5787,8.0,2000,cosmog_00500,17709.600000000002,1090.4000000000003,18800.000000000004,0.058,8,0.073,1090.4,0.38709677419354854,0.40833333333333344,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r10,10,0.3973398078262382,0.397339807826239,8.326672684688674e-16,True,II,0.42426406781192816,0.9955,5.787,8.0,0.45297590327756143
A2-B0-C2-mec-r10__c4-elastico-azar,A2-B0-C2-mec-r10,I,91182,5,0.441,0.133,6.34,7,5774,8.0,2000,cosmog_00500,17737.8,1062.2000000000003,18800.0,0.056500000000000015,8,0.062,1062.2,0.39999999999999997,0.425,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r10,10,0.3478241677063873,0.34782416770638774,4.440892098500626e-16,True,I,0.7071067796865472,0.9955,5.774,8.0,0.4614758280468142
A2-B0-C2-mec-r11__c1-rigido-soporte,A2-B0-C2-mec-r11,I,91279,8,0.561,0.315,6.93,6,4880,11.0,2000,cosmog_00500,17427.600000000002,1372.4000000000003,18800.000000000004,0.07300000000000001,8,0.04,1372.3999999999999,0.3913043478260869,0.4072916666666666,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r11,11,0.6402847968113898,0.6402847968113904,5.551115123125783e-16,True,I,1.272792203435786,0.972,4.88,11.0,0.6524527358954699
A2-B0-C2-mec-r11__c2-rigido-azar,A2-B0-C2-mec-r11,I,91279,8,0.561,0.315,6.93,6,5252,10.0,2000,cosmog_00500,17737.8,1062.2000000000003,18800.0,0.056500000000000015,8,0.053,1062.2,0.6538461538461539,0.6854166666666667,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r11,11,0.5247366145400243,0.4910362821890025,0.03370033235102177,False,I,0.6692130417902463,0.997,5.252,10.0,0.6286196901229446
A2-B0-C2-mec-r11__c3-elastico-soporte,A2-B0-C2-mec-r11,II,91279,8,0.561,0.315,6.93,6,5044,9.0,2000,cosmog_00500,17700.2,1099.8000000000002,18800.0,0.05850000000000001,8,0.047,1099.8,0.41666666666666546,0.4506944444444436,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r11,11,0.4010424490940254,0.40091204522752766,0.0001304038664977636,False,II,0.2449489739783178,0.9945,5.044,9.0,0.9406984213057126
A2-B0-C2-mec-r11__c4-elastico-azar,A2-B0-C2-mec-r11,II,91279,8,0.561,0.315,6.93,6,4782,9.0,2000,cosmog_00500,17559.2,1240.8000000000002,18800.0,0.066,8,0.043,1240.8000000000002,0.39024390243902446,0.3985119047619048,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r11,11,0.4450838536573883,0.4450838536573882,1.1102230246251565e-16,True,II,0.707106779686548,0.9935,4.782,9.0,0.7232395656775649
