arm,N,seed,K_sorteado,D_embedding,pico_medio,frac_picados,certificado,n_ejes,PR,gap_interno,n_pobl,n_vivos,rango_pleno,peso_semilla,direccion_real,n_ejes_D8,direccion_real_D8,p_ordenado
semilla_barajada,1500,71762,5,5,0.8589031920249839,0.5013333333333333,1,0,4.7751,0.0,5,5,1,0.050298529586966456,0,5,1,0.26400;0.21733;0.21533;0.15933;0.14400
semilla_barajada,1500,71775,7,7,0.6819779469125338,0.05533333333333333,0,1,1.8093,5.548223350211563,6,7,0,0.19999764231334732,0,1,0,0.72867;0.13133;0.04400;0.03667;0.02333;0.02133;0.01467
semilla_barajada,1500,71788,8,8,0.7359930283040009,0.07066666666666667,0,0,7.4587,0.0,8,8,1,0.14700381406679325,0,0,0,0.17733;0.14933;0.14200;0.13733;0.13667;0.09600;0.09467;0.06667
semilla_barajada,2500,71794,7,7,0.5739152993715055,0.0248,0,0,6.2265,0.0,7,7,1,0.15109953707778617,0,7,0,0.21080;0.18000;0.17960;0.16800;0.09840;0.09360;0.06960
semilla_barajada,2500,71807,5,5,0.8207826565515188,0.4516,0,0,4.9073,0.0,5,5,1,0.07610396095835241,0,5,0,0.23080;0.21840;0.20720;0.19240;0.15120
semilla_barajada,2500,71820,8,8,0.7358698253436465,0.2324,0,0,7.8516,0.0,8,8,1,0.10823687294595911,0,0,0,0.14840;0.14560;0.13640;0.13240;0.11840;0.11480;0.10240;0.10160
semilla_barajada,2500,71833,4,4,0.7580667909113338,0.258,0,0,2.4386,0.0,4,4,1,0.14235017355158025,0,1,0,0.59400;0.17360;0.12320;0.10920
semilla_barajada,2500,71846,8,8,0.7359248683178609,0.2364,0,0,7.5611,0.0,8,8,1,0.08870188157356704,0,0,0,0.17480;0.15320;0.13520;0.13040;0.12760;0.11040;0.09640;0.07200
semilla_barajada,2500,71859,7,7,0.722447071332963,0.1732,0,0,6.5245,0.0,7,7,1,0.059688960971280125,0,7,0,0.19840;0.19720;0.14840;0.13400;0.12360;0.10560;0.09280
semilla_barajada,2500,71872,4,4,0.6909461264167868,0.1348,0,0,3.8372,0.0,4,4,1,0.0847084672113824,0,4,0,0.31240;0.28200;0.22760;0.17800
semilla_barajada,2500,71885,5,5,0.7810659218315477,0.1304,0,0,4.7887,0.0,5,5,1,0.17516766595252475,0,5,0,0.28360;0.18360;0.18120;0.18040;0.17120
sin_semilla,900,72600,7,7,0.8276723969961419,0.42,0,0,2.4835,0.0,7,7,1,0.0,0,1,0,0.59667;0.19111;0.06778;0.05111;0.03222;0.03222;0.02889
sin_semilla,900,72613,4,4,0.8718944337855096,0.56,1,0,2.1637,0.0,4,4,1,0.0,0,1,0,0.64111;0.18667;0.11333;0.05889
sin_semilla,900,72626,6,6,0.832238734364955,0.47333333333333333,0,0,3.7144,0.0,6,6,1,0.0,0,2,0,0.35444;0.34556;0.10444;0.08333;0.06000;0.05222
sin_semilla,900,72639,8,8,0.7652136964847701,0.29,0,7,3.4215,2.2577319587419384,7,8,0,0.0,0,7,0,0.46000;0.24333;0.10778;0.07778;0.05000;0.02556;0.02000;0.01556
sin_semilla,900,72652,8,8,0.7985975534250992,0.41333333333333333,0,0,7.2248,0.0,8,8,1,0.0,0,0,0,0.19444;0.16333;0.14333;0.13889;0.12444;0.08333;0.08222;0.07000
sin_semilla,900,72665,5,5,0.7985307398692564,0.4288888888888889,0,0,2.6332,0.0,5,5,1,0.0,0,1,0,0.57556;0.14556;0.12111;0.08889;0.06889
sin_semilla,900,72678,4,4,0.8629496747932913,0.5533333333333333,1,0,3.2201,0.0,4,4,1,0.0,0,4,1,0.46111;0.20667;0.17000;0.16222
sin_semilla,900,72691,8,8,0.8758386553480098,0.5888888888888889,1,0,5.6196,0.0,8,8,1,0.0,0,0,0,0.23222;0.23111;0.16333;0.15556;0.13111;0.03333;0.02889;0.02444
sin_semilla,1500,72697,5,5,0.8677283223887616,0.5893333333333334,1,0,1.7922,0.0,5,5,1,0.0,0,1,0,0.73400;0.09867;0.06200;0.05933;0.04600
sin_semilla,1500,72710,6,6,0.8843708567692258,0.6253333333333333,1,0,5.415,0.0,6,6,1,0.0,0,6,1,0.24533;0.22800;0.17667;0.13400;0.10933;0.10667
sin_semilla,1500,72723,7,7,0.8727501043636615,0.5826666666666667,1,0,2.2691,0.0,7,7,1,0.0,0,1,0,0.63733;0.15800;0.05867;0.05067;0.05000;0.02467;0.02067
sin_semilla,1500,72736,6,6,0.8808111427434671,0.61,1,0,5.2904,0.0,6,6,1,0.0,0,6,1,0.29800;0.17133;0.15067;0.13000;0.12733;0.12267
sin_semilla,1500,72749,7,7,0.8325615368729072,0.444,0,6,3.3794,2.3201320131898346,6,7,0,0.0,0,6,0,0.46867;0.20200;0.16067;0.08333;0.04133;0.02533;0.01867
sin_semilla,1500,72762,6,6,0.8264895391990291,0.4686666666666667,0,0,5.8528,0.0,6,6,1,0.0,0,6,0,0.20267;0.18667;0.18667;0.15200;0.13600;0.13600
sin_semilla,1500,72775,5,5,0.7942044657729312,0.3586666666666667,0,0,4.8736,0.0,5,5,1,0.0,0,5,0,0.23800;0.23267;0.19200;0.18667;0.15067
sin_semilla,1500,72788,5,5,0.726958919026282,0.2793333333333333,0,0,3.6112,0.0,5,5,1,0.0,0,5,0,0.44067;0.19000;0.13867;0.13533;0.09533
sin_semilla,2500,72794,8,8,0.6753617807289778,0.2164,0,0,7.5686,0.0,8,8,1,0.0,0,0,0,0.17920;0.15400;0.15200;0.11440;0.10360;0.10120;0.09800;0.09760
sin_semilla,2500,72807,7,7,0.7092500220323281,0.1632,0,0,4.1244,0.0,7,7,1,0.0,0,7,0,0.39080;0.22320;0.13360;0.13040;0.04760;0.04120;0.03320
sin_semilla,2500,72820,4,4,0.7826132571107618,0.3456,0,0,3.4766,0.0,4,4,1,0.0,0,4,0,0.37360;0.31600;0.15920;0.15120
sin_semilla,2500,72833,6,6,0.7386693267732035,0.2768,0,0,3.4889,0.0,6,6,1,0.0,0,1,0,0.48040;0.12960;0.12400;0.09400;0.09040;0.08160
sin_semilla,2500,72846,7,7,0.7132193063152322,0.218,0,0,5.7751,0.0,7,7,1,0.0,0,7,0,0.23160;0.22560;0.14880;0.14480;0.13960;0.05800;0.05160
sin_semilla,2500,72859,4,4,0.9089743220175868,0.6928,1,0,3.7641,0.0,4,4,1,0.0,0,4,1,0.35800;0.22040;0.21600;0.20560
sin_semilla,2500,72872,6,6,0.7592488667615075,0.3068,0,0,4.0294,0.0,6,6,1,0.0,0,6,0,0.31800;0.27480;0.24720;0.08880;0.03800;0.03320
sin_semilla,2500,72885,4,4,0.8890503525194774,0.63,1,0,3.8897,0.0,4,4,1,0.0,0,4,1,0.29800;0.26800;0.25080;0.18320
semilla_sustrato_local,900,73600,7,7,0.7795950314421516,0.25222222222222224,0,0,3.9591,0.0,7,7,1,0.18767005359714262,0,7,0,0.42111;0.21667;0.11000;0.07667;0.06333;0.05889;0.05333
semilla_sustrato_local,900,73613,4,4,0.9437302971273739,0.8344444444444444,1,0,1.3082,0.0,4,4,1,0.17487412369889876,0,1,0,0.87111;0.04778;0.04111;0.04000
semilla_sustrato_local,900,73626,6,6,0.8098891679592402,0.3611111111111111,0,0,4.881,0.0,6,6,1,0.05439742310246673,0,6,0,0.33778;0.15222;0.14889;0.14667;0.12889;0.08556
semilla_sustrato_local,900,73639,6,6,0.8377029339470515,0.4577777777777778,0,0,2.5735,0.0,6,6,1,0.19111922644881507,0,1,0,0.59444;0.10667;0.10556;0.07667;0.06000;0.05667
semilla_sustrato_local,900,73652,6,6,0.8189025133026272,0.48444444444444446,0,0,4.2748,0.0,6,6,1,0.10850038956339106,0,6,0,0.37778;0.19000;0.15556;0.15222;0.06333;0.06111
semilla_sustrato_local,900,73665,5,5,0.9554339797713793,0.8533333333333334,1,1,1.2515,29.740740739749405,4,5,0,0.14652380777803006,0,1,0,0.89222;0.03000;0.03000;0.02778;0.02000
semilla_sustrato_local,900,73678,8,8,0.7645035424460902,0.1711111111111111,0,0,6.3507,0.0,8,8,1,0.16841127806385925,0,0,0,0.25111;0.19667;0.15222;0.09111;0.09111;0.08000;0.07444;0.06333
semilla_sustrato_local,900,73691,7,7,0.8182738908031509,0.4066666666666667,0,0,4.8389,0.0,7,7,1,0.07216891768751865,0,7,0,0.32333;0.24889;0.12667;0.09889;0.08889;0.06000;0.05333
semilla_sustrato_local,1500,73697,7,7,0.6669685338658206,0.074,0,0,4.6383,0.0,7,7,1,0.06634148335362361,0,7,0,0.36600;0.21000;0.10333;0.09733;0.09667;0.06667;0.06000
semilla_sustrato_local,1500,73710,5,5,0.8933024188959653,0.6633333333333333,1,0,1.647,0.0,5,5,1,0.16672965628547082,0,1,0,0.77067;0.06267;0.05933;0.05667;0.05067
semilla_sustrato_local,1500,73723,6,6,0.7617237700611941,0.23266666666666666,0,0,3.3968,0.0,6,6,1,0.1980946412687527,0,6,0,0.45667;0.24667;0.11667;0.07533;0.06333;0.04133
semilla_sustrato_local,1500,73736,8,8,0.8352710367375359,0.4846666666666667,0,0,2.3935,0.0,8,8,1,0.19366905891501718,0,0,0,0.62867;0.08733;0.06933;0.06867;0.04133;0.03933;0.03733;0.02800
semilla_sustrato_local,1500,73749,5,5,0.8180701992347634,0.4633333333333333,0,0,3.5639,0.0,5,5,1,0.11340291551247385,0,5,0,0.44467;0.19333;0.13867;0.13733;0.08600
