[verificación] 20 semillas nuevas; ancho de cadena por genealogía = 7761; separación mínima nueva-nueva = 78218; separación mínima nueva-vs-ya_usada = 23267
[verificación] saltos consecutivos entre semillas nuevas, todos distintos = True  -> no hay progresión aritmética
[verificación] OK: ninguna genealogía puede compartir una semilla individual con otra.
[diámetro] MOT._diam sustituido en memoria: _diam -> diam_gigante (medición oficial corregida, ningún archivo tocado en disco)
[shard 0/5] genealogías: ['H00_113477', 'H05_905683', 'H10_2043761', 'H15_3389417']  brazos=['C2-hard', 'C2-hibrido']
[H00_113477] seed_base=113477  admitidas=20/20  descartadas(P1-P5)=0
CSV: /Users/alexis/Desktop/RMD/Cosmolab/Cosmogenesis/cs090_fase6_o2b_genealogias_reglas_shard0.csv  (80 filas)
[H10_2043761] seed_base=2043761  admitidas=20/20  descartadas(P1-P5)=0
  [H10_2043761] A2-B0-C2-r0      C2-hard     clase=III                        pend=+0.769 diam_b1=14 (3.7s) [t=5s]
  [H10_2043761] A2-B0-C2-r0      C2-hibrido  clase=I                          pend=+0.681 diam_b1=11 (3.9s) [t=9s]
  [H10_2043761] A2-B0-C2-r1      C2-hard     clase=I                          pend=+0.653 diam_b1=12 (4.7s) [t=14s]
  [H10_2043761] A2-B0-C2-r1      C2-hibrido  clase=I                          pend=+0.644 diam_b1=11 (4.4s) [t=18s]
  [H10_2043761] A2-B0-C2-r2      C2-hard     clase=I                          pend=+0.689 diam_b1=13 (4.1s) [t=22s]
  [H10_2043761] A2-B0-C2-r2      C2-hibrido  clase=I                          pend=+0.583 diam_b1=10 (4.9s) [t=27s]
  [H10_2043761] A2-B0-C2-r3      C2-hard     clase=I                          pend=+0.635 diam_b1=13 (4.5s) [t=32s]
  [H10_2043761] A2-B0-C2-r3      C2-hibrido  clase=I                          pend=+0.543 diam_b1=9 (4.5s) [t=36s]
  [H10_2043761] A2-B0-C2-r4      C2-hard     clase=III                        pend=+0.863 diam_b1=16 (4.3s) [t=41s]
  [H10_2043761] A2-B0-C2-r4      C2-hibrido  clase=I                          pend=+0.650 diam_b1=11 (3.8s) [t=44s]
  [H10_2043761] A2-B0-C2-r5      C2-hard     clase=I                          pend=+0.586 diam_b1=11 (4.6s) [t=49s]
  [H10_2043761] A2-B0-C2-r5      C2-hibrido  clase=I                          pend=+0.528 diam_b1=10 (5.4s) [t=54s]
  [H10_2043761] A2-B0-C2-r6      C2-hard     clase=III                        pend=+1.088 diam_b1=20 (4.4s) [t=59s]
  [H10_2043761] A2-B0-C2-r6      C2-hibrido  clase=III                        pend=+1.344 diam_b1=17 (3.6s) [t=62s]
  [H10_2043761] A2-B0-C2-r7      C2-hard     clase=I                          pend=+0.585 diam_b1=12 (4.0s) [t=66s]
  [H10_2043761] A2-B0-C2-r7      C2-hibrido  clase=I                          pend=+0.515 diam_b1=10 (4.5s) [t=71s]
  [H10_2043761] A2-B0-C2-r8      C2-hard     clase=I                          pend=+0.694 diam_b1=14 (3.3s) [t=74s]
  [H10_2043761] A2-B0-C2-r8      C2-hibrido  clase=III                        pend=+0.762 diam_b1=12 (3.7s) [t=78s]
  [H10_2043761] A2-B0-C2-r9      C2-hard     clase=III                        pend=+0.766 diam_b1=14 (3.7s) [t=82s]
  [H10_2043761] A2-B0-C2-r9      C2-hibrido  clase=I                          pend=+0.609 diam_b1=12 (3.7s) [t=85s]
  [H10_2043761] A2-B0-C2-r10     C2-hard     clase=III                        pend=+0.768 diam_b1=15 (3.4s) [t=89s]
  [H10_2043761] A2-B0-C2-r10     C2-hibrido  clase=III                        pend=+0.790 diam_b1=14 (3.3s) [t=92s]
  [H10_2043761] A2-B0-C2-r11     C2-hard     clase=I                          pend=+0.688 diam_b1=13 (2.7s) [t=95s]
  [H10_2043761] A2-B0-C2-r11     C2-hibrido  clase=I                          pend=+0.532 diam_b1=10 (4.0s) [t=99s]
  [H10_2043761] A2-B0-C2-r12     C2-hard     clase=III                        pend=+0.813 diam_b1=16 (3.2s) [t=102s]
  [H10_2043761] A2-B0-C2-r12     C2-hibrido  clase=III                        pend=+1.015 diam_b1=15 (3.6s) [t=105s]
  [H10_2043761] A2-B0-C2-r13     C2-hard     clase=I                          pend=+0.591 diam_b1=12 (3.8s) [t=109s]
  [H10_2043761] A2-B0-C2-r13     C2-hibrido  clase=I                          pend=+0.512 diam_b1=10 (3.7s) [t=113s]
  [H10_2043761] A2-B0-C2-r14     C2-hard     clase=II                         pend=+0.370 diam_b1=9 (3.4s) [t=116s]
  [H10_2043761] A2-B0-C2-r14     C2-hibrido  clase=II                         pend=+0.392 diam_b1=8 (3.7s) [t=120s]
  [H10_2043761] A2-B0-C2-r15     C2-hard     clase=I                          pend=+0.582 diam_b1=11 (3.9s) [t=124s]
  [H10_2043761] A2-B0-C2-r15     C2-hibrido  clase=I                          pend=+0.551 diam_b1=9 (3.5s) [t=127s]
  [H10_2043761] A2-B0-C2-r16     C2-hard     clase=I                          pend=+0.450 diam_b1=10 (3.8s) [t=131s]
  [H10_2043761] A2-B0-C2-r16     C2-hibrido  clase=I                          pend=+0.541 diam_b1=11 (3.9s) [t=135s]
  [H10_2043761] A2-B0-C2-r17     C2-hard     clase=III                        pend=+0.706 diam_b1=15 (3.4s) [t=139s]
  [H10_2043761] A2-B0-C2-r17     C2-hibrido  clase=III                        pend=+0.789 diam_b1=13 (3.1s) [t=142s]
  [H10_2043761] A2-B0-C2-r18     C2-hard     clase=IV                         pend=+1.019 diam_b1=20 (2.9s) [t=144s]
  [H10_2043761] A2-B0-C2-r18     C2-hibrido  clase=IV                         pend=+1.034 diam_b1=15 (2.6s) [t=147s]
  [H10_2043761] A2-B0-C2-r19     C2-hard     clase=III                        pend=+0.748 diam_b1=14 (3.7s) [t=151s]
  [H10_2043761] A2-B0-C2-r19     C2-hibrido  clase=I                          pend=+0.535 diam_b1=10 (3.5s) [t=154s]
CSV: /Users/alexis/Desktop/RMD/Cosmolab/Cosmogenesis/cs090_fase6_o2b_genealogias_reglas_shard0.csv  (120 filas)
[H15_3389417] seed_base=3389417  admitidas=20/20  descartadas(P1-P5)=0
  [H15_3389417] A2-B0-C2-r0      C2-hard     clase=III                        pend=+0.713 diam_b1=13 (3.9s) [t=5s]
  [H15_3389417] A2-B0-C2-r0      C2-hibrido  clase=I                          pend=+0.483 diam_b1=10 (3.3s) [t=8s]
  [H15_3389417] A2-B0-C2-r1      C2-hard     clase=IV                         pend=+0.840 diam_b1=14 (3.0s) [t=11s]
  [H15_3389417] A2-B0-C2-r1      C2-hibrido  clase=III                        pend=+0.757 diam_b1=10 (3.6s) [t=15s]
  [H15_3389417] A2-B0-C2-r2      C2-hard     clase=III                        pend=+1.286 diam_b1=21 (2.8s) [t=18s]
  [H15_3389417] A2-B0-C2-r2      C2-hibrido  clase=III                        pend=+1.400 diam_b1=15 (2.8s) [t=21s]
  [H15_3389417] A2-B0-C2-r3      C2-hard     clase=III                        pend=+1.051 diam_b1=20 (3.2s) [t=24s]
  [H15_3389417] A2-B0-C2-r3      C2-hibrido  clase=III                        pend=+1.134 diam_b1=17 (3.7s) [t=28s]
  [H15_3389417] A2-B0-C2-r4      C2-hard     clase=III                        pend=+0.730 diam_b1=14 (3.5s) [t=31s]
  [H15_3389417] A2-B0-C2-r4      C2-hibrido  clase=I                          pend=+0.532 diam_b1=11 (3.6s) [t=35s]
  [H15_3389417] A2-B0-C2-r5      C2-hard     clase=III                        pend=+0.763 diam_b1=15 (3.2s) [t=38s]
