genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G1_471829,471829,A2-B0-C2-r7,C2-hibrido,III,0.9426741274484791,0.28284271202461875,1.9839588091210594,3328,3.328,13.0,0.8645,5,0.736,0.323,7.39,5,472509
G1_471829,471829,A2-B0-C2-r8,C2-hard,I,0.6320485557986542,0.14142135593730937,5.584067506070041,4079,4.079,11.0,0.972,5,0.653,0.13,7.62,6,472606
G1_471829,471829,A2-B0-C2-r8,C2-hibrido,I,0.5556574096246233,0.8485281356238572,4.410154356221181,4791,4.791,9.0,0.957,5,0.653,0.13,7.62,6,472606
G1_471829,471829,A2-B0-C2-r9,C2-hard,I,0.5937286100316435,0.848528135623857,2.5886415151930713,4029,4.029,11.0,0.967,8,0.759,0.281,7.85,6,472703
G1_471829,471829,A2-B0-C2-r9,C2-hibrido,I,0.5954239126152405,0.5656854237492379,2.95508080799697,4564,4.564,10.0,0.946,8,0.759,0.281,7.85,6,472703
G1_471829,471829,A2-B0-C2-r10,C2-hard,III,1.3570302474922196,3.000942535836998,2.202204611178346,2195,2.195,23.0,0.8175,6,0.391,0.287,7.05,4,472800
G1_471829,471829,A2-B0-C2-r10,C2-hibrido,intermedio (sin clase clara),-0.5158932572238726,8.18685717418747,1.730076062655352,2362,2.362,2.0,0.7645,6,0.391,0.287,7.05,4,472800
G1_471829,471829,A2-B0-C2-r11,C2-hard,III,0.9402295077458782,3.8183766104573564,2.366440630502517,3235,3.235,18.0,0.9455,5,0.41,0.174,6.9,5,472897
G1_471829,471829,A2-B0-C2-r11,C2-hibrido,I,0.06758564374113206,1.9595917918265424,2.1038690860701093,3660,3.66,4.0,0.9085,5,0.41,0.174,6.9,5,472897
G1_471829,471829,A2-B0-C2-r12,C2-hard,I,0.6083699426286597,0.707106779686548,1.9435977640321582,3975,3.975,12.0,0.983,4,0.72,0.291,4.8,6,472994
G1_471829,471829,A2-B0-C2-r12,C2-hibrido,I,0.4961982309065607,0.7071067796865472,1.6731655662657925,4757,4.757,9.0,0.9905,4,0.72,0.291,4.8,6,472994
G1_471829,471829,A2-B0-C2-r13,C2-hard,I,0.6506663814179483,0.28284271187461874,1.8541801868893173,3916,3.916,12.0,0.9815,6,0.534,0.178,4.3,7,473091
G1_471829,471829,A2-B0-C2-r13,C2-hibrido,I,0.5634120892106168,0.2828427118746191,2.100012706821542,4166,4.166,11.0,0.9845,6,0.534,0.178,4.3,7,473091
G1_471829,471829,A2-B0-C2-r14,C2-hard,III,0.942682090535977,1.9643175134791864,2.6668203609913217,2484,2.484,20.0,0.8845,5,0.439,0.189,5.7,4,473188
G1_471829,471829,A2-B0-C2-r14,C2-hibrido,III,1.0735244767034233,1.3384260835804924,1.4482143297845795,2953,2.953,15.0,0.876,5,0.439,0.189,5.7,4,473188
G1_471829,471829,A2-B0-C2-r15,C2-hard,intermedio (sin clase clara),-0.6732445781402782,4.242640678269284,1.5905208197799614,3956,3.956,1.0,0.9735,5,0.409,0.285,7.64,6,473285
