rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r1053,70803142,6,4,0.5,0.221,4.9,3965,3.965,1.56
A2-B0-C2-f701-r1054,70803239,5,4,0.413,0.158,4.04,3227,3.227,1.43
A2-B0-C2-f701-r1055,70803336,4,4,0.544,0.348,4.59,2547,2.547,1.62
A2-B0-C2-f701-r1056,70803433,5,7,0.781,0.256,5.22,3353,3.353,1.54
A2-B0-C2-f701-r1057,70803530,6,8,0.768,0.273,6.48,4178,4.178,1.5
A2-B0-C2-f701-r1058,70803627,6,7,0.337,0.133,7.43,3949,3.949,1.78
A2-B0-C2-f701-r1059,70803724,7,6,0.491,0.154,7.16,4856,4.856,1.77
A2-B0-C2-f701-r1060,70803821,7,7,0.527,0.152,6.52,4885,4.885,1.59
A2-B0-C2-f701-r1061,70803918,5,5,0.745,0.313,6.34,3305,3.305,1.55
A2-B0-C2-f701-r1062,70804015,5,7,0.664,0.28,7.58,3102,3.102,1.76
A2-B0-C2-f701-r1063,70804112,5,6,0.595,0.346,7.86,3022,3.022,1.39
A2-B0-C2-f701-r1064,70804209,5,5,0.772,0.229,5.39,3454,3.454,1.59
A2-B0-C2-f701-r1065,70804306,5,6,0.681,0.104,4.38,3308,3.308,1.37
A2-B0-C2-f701-r1066,70804403,6,5,0.675,0.329,7.88,4022,4.022,1.8
A2-B0-C2-f701-r1067,70804500,4,6,0.458,0.188,7.11,2259,2.259,1.52
A2-B0-C2-f701-r1068,70804597,7,6,0.59,0.119,6.11,4813,4.813,1.52
A2-B0-C2-f701-r1069,70804694,5,7,0.715,0.145,5.56,3422,3.422,1.63
A2-B0-C2-f701-r1070,70804791,6,7,0.436,0.236,6.93,4071,4.071,1.88
A2-B0-C2-f701-r1071,70804888,4,4,0.447,0.234,5.89,2475,2.475,1.31
A2-B0-C2-f701-r1072,70804985,5,5,0.416,0.196,6.15,3378,3.378,1.59
A2-B0-C2-f701-r1073,70805082,5,5,0.452,0.187,5.13,3367,3.367,1.44
A2-B0-C2-f701-r1074,70805179,5,7,0.373,0.238,6.66,3199,3.199,1.66
A2-B0-C2-f701-r1075,70805276,6,5,0.554,0.19,6.64,4123,4.123,1.68
A2-B0-C2-f701-r1076,70805373,7,4,0.487,0.316,6.34,4876,4.876,1.57
A2-B0-C2-f701-r1077,70805470,5,5,0.305,0.161,4.19,3186,3.186,1.5
A2-B0-C2-f701-r1078,70805567,5,7,0.486,0.229,5.21,3386,3.386,1.72
A2-B0-C2-f701-r1079,70805664,5,6,0.707,0.1,4.01,3161,3.161,1.34
A2-B0-C2-f701-r1080,70805761,6,6,0.375,0.346,6.54,4011,4.011,1.68
A2-B0-C2-f701-r1081,70805858,6,5,0.419,0.241,7.85,3963,3.963,1.58
