MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.962238173483692e-07,1.778279410038923e-06,0.04576584235575484,A_alpha,BARAJADO,0.005868792833428713,1375,4.414213562373094,-0.010050398725176735,0,0,0,float64,2,0,0,0
0.01,8,1.0,9.962695560621968e-07,1.778279410038923e-06,0.04409824925923263,A_alpha,BARAJADO,0.006243000864774784,1375,4.581138830084192,-0.010050366172298493,0,0,0,float64,3,0,0,0
0.01,8,1.0,9.965982876642726e-07,1.778279410038923e-06,0.03858242537879851,A_alpha,BARAJADO,0.007086731742525864,1375,5.236067977499788,-0.010050135797076486,0,0,0,float64,4,0,0,0
0.01,8,1.0,9.963039876478623e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,BARAJADO,0.00560496616815357,1375,3.7071067811865483,-0.01005034236406634,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.963822377036935e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,BARAJADO,0.005627759543226011,1375,3.7071067811865483,-0.010050284885963436,0,0,0,float64,6,0,0,0
0.01,8,1.0,9.964630845462357e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,BARAJADO,0.0056599770560284285,1375,3.707106781186549,-0.010050235035421662,0,0,0,float64,7,0,0,0
0.01,8,1.0,9.961954751041746e-07,1.778279410038923e-06,0.03944689815669394,A_alpha,BARAJADO,0.006968670901792372,1375,5.121320343559643,-0.010050418256901285,0,0,0,float64,8,0,0,0
0.01,8,1.0,9.962438804660905e-07,1.778279410038923e-06,0.05449538250299353,A_alpha,BARAJADO,0.005572752308702563,1375,3.707106781186547,-0.010050386821059094,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.962306091230487e-07,1.778279410038923e-06,0.044098249259232634,A_alpha,BARAJADO,0.0062717869882217905,1375,4.581138830084191,-0.01005039221460276,0,0,0,float64,10,0,0,0
0.01,8,1.0,9.966120445413925e-07,3.162277660168379e-06,0.050505050505050504,A_alpha,REAL,0.010409913778104065,1375,4.0,-0.010050375334835136,0,0,0,float64,1,0,0,4
0.01,8,1.0,9.963953774265965e-07,3.162277660168379e-06,0.04576584235575484,A_alpha,REAL,0.010436300066795147,1375,4.414213562373094,-0.010050447640630176,0,0,0,float64,2,0,0,5
0.01,8,1.0,9.965485308406548e-07,3.162277660168379e-06,0.04409824925923263,A_alpha,REAL,0.011101783731716587,1375,4.581138830084192,-0.010050389749764577,0,0,0,float64,3,0,0,11
0.01,8,1.0,9.971724378146429e-07,3.162277660168379e-06,0.03858242537879851,A_alpha,REAL,0.012602444086390018,1375,5.236067977499788,-0.010049979989603991,0,0,0,float64,4,0,0,24
0.01,8,1.0,9.966754896543461e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,REAL,0.009967213080250748,1375,3.7071067811865483,-0.010050347383130176,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.968549955187224e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,REAL,0.010007758422778693,1375,3.7071067811865483,-0.010050245152029649,0,0,0,float64,6,0,0,1
0.01,8,1.0,9.9698193852854e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,REAL,0.010065110781957556,1375,3.707106781186549,-0.010050156493023899,0,0,0,float64,7,0,0,1
0.01,8,1.0,9.962421956032337e-07,3.162277660168379e-06,0.03944689815669394,A_alpha,REAL,0.012392161640844479,1375,5.121320343559643,-0.010050482385463702,0,0,0,float64,8,0,0,22
