par,rule_id,rol,clase,seed,kcap,K,J,noise,meandeg,fraccion_masa_en_sumideros,kappa_v_agregado,kappa_v_medio_valido,n_sumideros,masa_acretada_total,pendiente_vieja,pendiente_corregida,clase_vieja,clase_corregida,diam_viejo_b1,diam_corr_b1,tam_gigante_b1,descarrila_b1,dup
A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,A2-B0-C2-batch3-r71,III,III,478716,5,6,0.463,0.202,7.98,0.13,1.0046948356807506,1.0001157407407402,8,2444.0,0.89756931877134,0.89756931877134,III,III,14.0,14.0,1816,False,False
A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,A2-B0-C2-batch3-r112,I,I,482693,5,6,0.64,0.311,4.4,0.1015,0.5606060606060604,0.5607638888888888,8,1908.2,0.6476307093914708,0.6476307093914708,I,I,14.0,14.0,1939,False,False
A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,A2-B0-C2-batch3-r108,III,III,482305,5,6,0.557,0.129,4.23,0.098,0.4972375690607732,0.4864718614718615,8,1842.4,0.754323966619054,0.754323966619054,III,III,16.0,16.0,1939,False,False
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,A2-B0-C2-batch3-r120,I,I,483469,5,6,0.656,0.147,5.38,0.0925,0.4444444444444445,0.4481646825396825,8,1739.0000000000002,0.5745851449620949,0.5745851449620949,I,I,13.0,13.0,1959,False,False
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,A2-B0-C2-batch3-r111,III,III,482596,5,6,0.465,0.345,7.52,0.122,0.838235294117647,0.84375,8,2293.5999999999995,0.9051550092250916,0.9051550092250916,III,III,15.0,15.0,1849,False,False
A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,A2-B0-C2-batch3-r76,I,I,479201,5,8,0.679,0.309,5.83,0.1065,0.6825396825396828,0.6732837301587303,8,2002.2,0.5791822134585409,0.5791822134585409,I,I,12.0,12.0,1925,False,False
A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,A2-B0-C2-batch3-r26,III,III,474351,5,8,0.682,0.271,6.44,0.1115,0.7205882352941176,0.7100694444444444,8,2096.2000000000003,0.7318596368941483,0.7318596368941483,III,III,15.0,15.0,1893,False,False
A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,A2-B0-C2-batch3-r143,I,I,485700,5,4,0.585,0.132,6.04,0.1,0.393518518518518,0.3963639369889364,8,1880.0,-0.6471381266137252,0.7640298812029376,I,IV,1.0,14.0,1908,True,False
A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,A2-B0-C2-batch3-r70,III,III,478619,5,4,0.632,0.249,5.76,0.095,0.4264705882352941,0.4278769841269841,8,1785.9999999999998,0.7941435722553284,0.7941435722553284,III,III,15.0,15.0,1929,False,False
A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,A2-B0-C2-batch4-r11,I,I,572896,6,6,0.336,0.263,7.47,0.086,0.3068783068783062,0.3013392857142851,8,1616.8000000000002,0.5873752918624704,0.5873752918624704,I,I,11.0,11.0,1933,False,False
