brazo,Dt,Nhalf,seed,N,ng,fg,diam,dmean,d95,dgrow,turn,ver
CONTROL,2,512,8,1024,281,0.548828125,10,0.5656919484211596,1.5,2.51438156449643,2.308833817776627,AZAR(exp)
REGLA,2,2048,1,4096,1193,0.58251953125,11,0.6017712627882119,1.5,2.950087149565978,2.311318336308969,AZAR(exp)
CONTROL,2,2048,1,4096,1193,0.58251953125,11,0.6183386776607116,1.5,2.9172941060754085,2.3240309282231872,AZAR(exp)
REGLA,2,2048,2,4096,1230,0.6005859375,11,0.6113426161195243,1.5,2.9161150046131166,2.359682290517334,AZAR(exp)
CONTROL,2,2048,2,4096,1230,0.6005859375,11,0.6031608903343836,1.5,2.8957696674284836,2.322053136134122,AZAR(exp)
REGLA,2,2048,3,4096,1157,0.56494140625,12,0.6176500508646999,1.5,2.899594767733704,2.2602425806249147,AZAR(exp)
CONTROL,2,2048,3,4096,1157,0.56494140625,12,0.6020600203458799,1.5,2.9113178444186696,2.3212832769114433,AZAR(exp)
REGLA,2,2048,4,4096,1149,0.56103515625,11,0.6069468441914829,1.5,2.873047300731598,2.2944412384858968,AZAR(exp)
CONTROL,2,2048,4,4096,1149,0.56103515625,11,0.6003658908425653,1.5,2.9091984913321483,2.293522617376307,AZAR(exp)
REGLA,2,2048,5,4096,1185,0.57861328125,12,0.5850343598880122,1.5,2.9264692041988303,2.3311485868227795,AZAR(exp)
CONTROL,2,2048,5,4096,1185,0.57861328125,11,0.5949605497582082,1.5,2.9357618432080668,2.3325367651309916,AZAR(exp)
REGLA,2,2048,6,4096,1188,0.580078125,11,0.6022473052674395,1.5,2.9276999655218376,2.32206947661824,AZAR(exp)
CONTROL,2,2048,6,4096,1188,0.580078125,11,0.6073571283302827,1.5,2.9160950535361674,2.3439877896990513,AZAR(exp)
REGLA,2,2048,7,4096,1182,0.5771484375,12,0.6134789693451471,1.5,2.8987109651810177,2.332766282808922,AZAR(exp)
CONTROL,2,2048,7,4096,1182,0.5771484375,11,0.6027599551889194,1.5,2.9101135244035516,2.334399907400494,AZAR(exp)
REGLA,2,2048,8,4096,1171,0.57177734375,11,0.6084374048126714,1.5,2.9180454610586235,2.2992106606487512,AZAR(exp)
CONTROL,2,2048,8,4096,1171,0.57177734375,11,0.6086150878261752,1.5,2.885454245980191,2.2846671220045054,AZAR(exp)
REGLA,2,8192,1,16384,4680,0.5712890625,13,0.642566295108668,1.5,3.4074729542039015,2.341193685101101,AZAR(exp)
CONTROL,2,8192,1,16384,4680,0.5712890625,13,0.6459001374255612,1.5,3.4136760929961523,2.379666377040095,AZAR(exp)
REGLA,2,8192,2,16384,4728,0.5771484375,13,0.6329403394653929,1.5,3.4121638357572066,2.3375606320067286,AZAR(exp)
CONTROL,2,8192,2,16384,4728,0.5771484375,13,0.6234119321069215,1.5,3.431976647657899,2.387946342369513,AZAR(exp)
REGLA,2,8192,3,16384,4652,0.56787109375,13,0.6348677517802644,1.5,3.417249915912991,2.3723190439331563,AZAR(exp)
CONTROL,2,8192,3,16384,4652,0.56787109375,13,0.628026449643947,1.5,3.425450612266025,2.411425437191343,AZAR(exp)
REGLA,2,8192,4,16384,4633,0.5655517578125,14,0.6418843378392113,1.5,3.433533489685208,2.3943814718735466,AZAR(exp)
CONTROL,2,8192,4,16384,4633,0.5655517578125,13,0.6440695192600874,1.5,3.4305195589596607,2.3809013553996055,AZAR(exp)
REGLA,2,8192,5,16384,4683,0.5716552734375,13,0.6314838381267498,1.5,3.428637633229112,2.3586889818734216,AZAR(exp)
CONTROL,2,8192,5,16384,4683,0.5716552734375,13,0.6234665309238993,1.5,3.416279404708253,2.398227092955672,AZAR(exp)
REGLA,2,8192,6,16384,4721,0.5762939453125,13,0.6245678259101078,1.5,3.4589261887770317,2.3896979013672803,AZAR(exp)
CONTROL,2,8192,6,16384,4721,0.5762939453125,13,0.6255084401057556,1.5,3.423466975548063,2.367777150485669,AZAR(exp)
REGLA,2,8192,7,16384,4646,0.567138671875,13,0.6392453406660557,1.5,3.4263893319927474,2.3429974779948135,AZAR(exp)
CONTROL,2,8192,7,16384,4646,0.567138671875,13,0.6416386597413178,1.5,3.4425185005343546,2.3794191011049923,AZAR(exp)
REGLA,2,8192,8,16384,4732,0.57763671875,13,0.6369936034115139,1.5,3.449227909715382,2.3815706582993394,AZAR(exp)
