cond,chiral,vertex3,theta_deg,beta_mem,sigma_e,shuffle_signs,N,seed,n_surv,f_surv,tau,orden_color,orden_charge,n_triplets,coup_higgs,phi_final,frac_higgs_surv,mass_ratio,mem_norm,L2_K3,ratio_L2_K3,alpha_loop
v3_symmetric,False,True,1.74,0.446,0.0012,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.819094454272535,0.043478260869565216,1.002625967224736,0.0,0.5950261806393071,22.532565925714113,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,2000,4,952,0.476,240,0.29832117705664213,0.42436974789915966,400,23.999999999999872,2.8183088633178155,0.043478260869565216,0.9946826570418529,0.0,0.6006003320776571,22.696018234427793,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.002142299134422277,0.2,1.0000988820486363,0.8017269732069848,0.4923804516116775,9.24443478359197,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,500,2,232,0.464,240,0.535125447859184,0.1221264367816092,400,23.999999999999872,0.0,0.0,0.0,0.30469485262383667,0.4111505660349407,7.669914354599832,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.0013424223781649072,0.2,1.0000450579368136,0.40974596679937986,0.4055566596123086,7.63050301560693,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,0.8599504125036451,0.48721697261694347,9.128007056335617,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.8177800877272894,0.043478260869565216,1.0102981417337058,1.32280722684468,0.5901002592544949,22.3927304052007,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,400,23.999999999999872,0.0,0.0,0.0,0.8510302822681813,0.635702009386867,23.61528152995705,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.8188196426974503,0.043478260869565216,1.002637305926151,1.2844205091392158,0.5950261806393071,22.532565925714113,0.573
theta_zero,True,True,0.0,0.446,0.0012,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,1.043561573095931,0.6392438034127811,23.746853338458568,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.002124216721021155,0.2,1.0000988820065342,0.7992665529879192,0.4923804516116775,9.24443478359197,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,500,2,232,0.464,240,0.535125447859184,0.1221264367816092,400,23.999999999999872,0.0,0.0,0.0,0.3047520679255625,0.4111505660349407,7.669914354599832,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.0013469514501176848,0.2,1.0000450579505886,0.4098771979468729,0.4055566596123086,7.63050301560693,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,0.8595708534566233,0.48721697261694347,9.128007056335617,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.818050876880332,0.043478260869565216,1.0102638643656032,1.3318987355293845,0.5901002592544949,22.3927304052007,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,2000,2,922,0.461,240,0.310199020045687,0.433477946493131,400,23.999999999999872,0.39050990641821887,0.041666666666666664,0.9999997807856675,0.9071194422580025,0.6331870728991891,23.547409140358248,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.819049992505362,0.043478260869565216,1.002629260903726,1.2934019393870584,0.5950261806393071,22.532565925714113,0.573
theta_mirror,True,True,-1.74,0.446,0.0012,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,1.0335082931943234,0.6392438034127811,23.746853338458568,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.001330290385049718,0.2,1.0000988869776288,0.2868015378732868,0.4923804516116775,9.24443478359197,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,500,2,234,0.468,240,0.5305517260826098,0.12108262108262109,400,23.999999999999872,0.0019649418924304694,0.16666666666666666,0.9871829483157837,0.1942513191049759,0.4007079716147365,7.507261442028934,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.0010550145331633609,0.2,1.0000450579425049,0.22496115174376705,0.4055566596123086,7.63050301560693,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,0.6424115774620847,0.48721697261694347,9.128007056335617,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.807582244314644,0.043478260869565216,1.0110776410185935,0.8211437946419756,0.5901002592544949,22.3927304052007,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,400,23.999999999999872,0.0,0.0,0.0,0.5852926397440952,0.635702009386867,23.61528152995705,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.809773813018908,0.043478260869565216,1.0028340339422852,0.7794952919358104,0.5950261806393071,22.532565925714113,0.573
beta_zero,True,True,1.74,0.0,0.0012,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,0.9745563987582812,0.6392438034127811,23.746853338458568,0.573
E_zero,True,True,1.74,0.446,0.0,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.0021569938533044595,0.2,1.0000988821225314,0.8034307389269538,0.4923804516116775,9.24443478359197,0.573
E_zero,True,True,1.74,0.446,0.0,False,500,2,234,0.468,240,0.5305517260826098,0.12108262108262109,400,23.999999999999872,0.004384578186870148,0.16666666666666666,0.9871939360608425,0.3440579025017112,0.4007079716147365,7.507261442028934,0.573
E_zero,True,True,1.74,0.446,0.0,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.0013370340239475804,0.2,1.000045057923236,0.4095757088050158,0.4055566596123086,7.63050301560693,0.573
E_zero,True,True,1.74,0.446,0.0,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,0.8604635932994945,0.48721697261694347,9.128007056335617,0.573
E_zero,True,True,1.74,0.446,0.0,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.8173446090864473,0.043478260869565216,1.010342474777933,1.3043501675214089,0.5901002592544949,22.3927304052007,0.573
E_zero,True,True,1.74,0.446,0.0,False,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,400,23.999999999999872,0.0,0.0,0.0,0.8514873766973812,0.635702009386867,23.61528152995705,0.573
E_zero,True,True,1.74,0.446,0.0,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.8184672659615884,0.043478260869565216,1.0026474385946096,1.2685679131802168,0.5950261806393071,22.532565925714113,0.573
E_zero,True,True,1.74,0.446,0.0,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,1.0547808037353283,0.6392438034127811,23.746853338458568,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,500,1,234,0.468,240,0.441227675184284,0.23789173789173787,400,23.999999999999872,0.0,0.0,0.0,0.42854637738755996,0.4973448384949113,9.317752562743486,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,500,2,232,0.464,240,0.535125447859184,0.1221264367816092,400,23.999999999999872,0.0,0.0,0.0,0.3277300096914315,0.4111505660349407,7.669914354599832,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,500,3,235,0.47,240,0.5336821705114145,0.12482269503546098,400,23.999999999999872,0.0,0.0,0.0,0.2864931756212832,0.4107356662573123,7.711555297498875,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,1.2455414172907893,0.48721697261694347,9.128007056335617,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,2000,1,925,0.4625,240,0.31135885876834807,0.430990990990991,400,23.999999999999872,0.0,0.0,0.0,1.2964365767537052,0.6319329667057612,23.538972858713336,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,400,23.999999999999872,0.0,0.0,0.0,0.9004642011178087,0.635702009386867,23.61528152995705,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,2000,3,921,0.4605,240,0.3105339286063029,0.4364820846905538,400,23.999999999999872,0.0,0.0,0.0,1.263765091965225,0.6370630118297489,23.678698903422834,0.573
shuffle_w,True,True,1.74,0.446,0.0012,True,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,1.3386170510046285,0.6392438034127811,23.746853338458568,0.573
