rule_id,seed,clase,corrio_phantom,fraccion_masa,pend_orig,pend_corr,giant_b1,n_aristas_b1,K,J,noise,meandeg,kcap,escalas_descarriladas,descarrila_en_b1,n_cajas,diam_orig,diam_gig,tam_comp_src,tam_comp_gigante
A2-B0-C2-r39,375612,III,True,0.07850000000000001,0.7271595357141946,0.7271595357141946,0.983,4083,5,0.526,0.152,5.7,6,0,False,"[2000, 1151, 700, 458, 314]","[15.0, 10.0, 6.0, 5.0, 4.0]","[15.0, 10.0, 6.0, 5.0, 4.0]","[1966, 1119, 668, 426, 282]","[1966, 1119, 668, 426, 282]"
A2-B0-C2-batch3-r26,474351,III,True,0.11150000000000004,0.7318596368941483,0.7318596368941483,0.9465,3258,8,0.682,0.271,6.44,5,0,False,"[2000, 1200, 764, 521, 408]","[15.0, 10.0, 7.0, 5.0, 5.0]","[15.0, 10.0, 7.0, 5.0, 5.0]","[1893, 1097, 661, 418, 305]","[1893, 1097, 661, 418, 305]"
A2-B0-C2-r17,273478,III,True,0.12100000000000004,0.7340887838072664,0.7340887838072664,0.922,3165,5,0.475,0.211,7.35,5,0,False,"[2000, 1239, 794, 565, 463]","[15.0, 10.0, 7.0, 6.0, 5.0]","[15.0, 10.0, 7.0, 6.0, 5.0]","[1844, 1091, 648, 419, 317]","[1844, 1091, 648, 419, 317]"
A2-B0-C2-batch3-r12,472993,III,True,0.10150000000000003,0.7435032678648847,0.7435032678648847,0.9655,3272,5,0.745,0.243,4.61,5,0,False,"[2000, 1184, 729, 499, 376]","[15.0, 10.0, 7.0, 6.0, 4.0]","[15.0, 10.0, 7.0, 6.0, 4.0]","[1931, 1120, 668, 438, 315]","[1931, 1120, 668, 438, 315]"
A2-B0-C2-batch4-r43,576000,III,True,0.09350000000000003,0.7452540925441452,0.7452540925441452,0.9755,3269,7,0.422,0.258,4.53,5,0,False,"[2000, 1173, 742, 483, 368]","[14.0, 10.0, 7.0, 5.0, 4.0]","[14.0, 10.0, 7.0, 5.0, 4.0]","[1951, 1127, 696, 437, 322]","[1951, 1127, 696, 437, 322]"
A2-B0-C2-batch4-r0,571829,III,True,0.09000000000000002,0.7498208397520266,0.7498208397520266,0.9685,3897,6,0.4,0.123,7.95,6,0,False,"[2000, 1171, 746, 520, 375]","[14.0, 9.0, 6.0, 5.0, 4.0]","[14.0, 9.0, 6.0, 5.0, 4.0]","[1937, 1113, 688, 462, 317]","[1937, 1113, 688, 462, 317]"
A2-B0-C2-batch4-r9,572702,III,True,0.07950000000000002,0.7506562767962781,0.7506562767962781,0.985,3750,5,0.351,0.296,4.64,6,0,False,"[2000, 1164, 714, 468, 360]","[15.0, 9.0, 6.0, 5.0, 4.0]","[15.0, 9.0, 6.0, 5.0, 4.0]","[1970, 1135, 685, 439, 331]","[1970, 1135, 685, 439, 331]"
A2-B0-C2-batch3-r108,482305,III,True,0.098,0.754323966619054,0.754323966619054,0.9695,3245,6,0.557,0.129,4.23,5,0,False,"[2000, 1184, 738, 505, 377]","[16.0, 11.0, 7.0, 5.0, 5.0]","[16.0, 11.0, 7.0, 5.0, 5.0]","[1939, 1127, 682, 449, 321]","[1939, 1127, 682, 449, 321]"
A2-B0-C2-batch4-r1,571926,III,True,0.10750000000000003,0.757937290221059,0.757937290221059,0.9485,3224,6,0.398,0.285,6.18,5,0,False,"[2000, 1218, 752, 525, 424]","[15.0, 11.0, 8.0, 5.0, 5.0]","[15.0, 11.0, 8.0, 5.0, 5.0]","[1897, 1120, 654, 427, 326]","[1897, 1120, 654, 427, 326]"
A2-B0-C2-batch4-r19,573672,III,True,0.09050000000000001,0.7607797813332543,0.7607797813332543,0.9715,3498,5,0.529,0.309,4.04,6,0,False,"[2000, 1173, 742, 523, 386]","[14.0, 9.0, 6.0, 5.0, 4.0]","[14.0, 9.0, 6.0, 5.0, 4.0]","[1943, 1121, 690, 471, 334]","[1943, 1121, 690, 471, 334]"
