rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch4-r29,III,574642,6,0.529,0.195,4.39,5,0.274,0.7503935066249442,0.29057848799008396,2.858602348813981
A2-B0-C2-batch4-r30,III,574739,4,0.492,0.115,6.85,4,0.334,1.0858650212676617,0.5656854237492379,4.063447984325215
A2-B0-C2-batch4-r31,I,574836,6,0.549,0.237,5.83,5,0.216,0.662399840491685,0.7071067799615474,2.2930248065454886
A2-B0-C2-batch4-r32,I,574933,6,0.669,0.301,7.53,6,0.3,0.6307108500080885,0.7071067796865476,1.81645180070601
A2-B0-C2-batch4-r33,III,575030,6,0.789,0.313,4.22,5,0.186,0.878728409376041,0.9415281216541789,1.3429036483567844
A2-B0-C2-batch4-r34,I,575127,5,0.514,0.188,4.16,6,0.34,0.6970544662378715,0.14142135593730937,2.355290212474232
A2-B0-C2-batch4-r35,I,575224,6,0.332,0.329,5.09,6,0.155,0.6004940740104577,0.0,1.3443945662080772
A2-B0-C2-batch4-r36,III,575321,8,0.543,0.156,6.77,4,0.306,1.0121015869766785,0.9899494915611664,2.930937964026708
A2-B0-C2-batch4-r37,I,575418,6,0.72,0.113,4.89,6,0.208,0.5910171379930134,0.3897472085538743,2.120468789428945
A2-B0-C2-batch4-r38,I,575515,4,0.397,0.184,4.52,5,0.231,0.5931216513801264,0.7071067796865476,3.084335266954844
A2-B0-C2-batch4-r39,I,575612,5,0.437,0.184,5.2,5,0.231,0.6230488869263001,0.4242640678119285,2.394599151198162
A2-B0-C2-batch4-r40,I,575709,6,0.449,0.103,4.55,6,0.179,0.6012006435980857,0.2449489739783178,2.1843064542675252
A2-B0-C2-batch4-r41,I,575806,6,0.582,0.239,4.78,5,0.242,0.6796771214509663,0.21213203398096425,2.41819427273913
A2-B0-C2-batch4-r42,I,575903,6,0.595,0.272,6.84,6,0.154,0.6545071481418191,0.3863703299156272,1.245801172865837
A2-B0-C2-batch4-r43,III,576000,7,0.422,0.258,4.53,5,0.317,0.7452540925441434,1.093477109602175,1.8708590554190088
A2-B0-C2-batch4-r44,I,576097,6,0.782,0.264,4.77,5,0.33,0.6614363579719142,0.47771631615155635,2.629520751203802
A2-B0-C2-batch4-r45,III,576194,6,0.57,0.228,6.57,4,0.164,1.0773901015902387,1.4495688986386726,2.4852303732710794
A2-B0-C2-batch4-r46,IV,576291,5,0.542,0.126,5.82,5,0.304,0.9223262598062661,1.279500041245972,7.351482890361554
A2-B0-C2-batch4-r47,III,576388,7,0.683,0.205,4.26,5,0.203,0.8237120554098377,0.6001908032157152,2.9975095717788456
A2-B0-C2-batch4-r48,I,576485,8,0.449,0.349,5.35,7,0.307,0.460598243723305,0.5656854237492382,1.2646414440335534
A2-B0-C2-batch4-r49,intermedio (sin clase clara),576582,7,0.51,0.298,7.82,4,0.251,-1.1005970114298573,3.945358700950865,1.69952478581246
A2-B0-C2-batch4-r50,I,576679,5,0.572,0.215,6.02,5,0.159,0.6326249144600209,0.0,3.739405675075294
A2-B0-C2-batch4-r51,I,576776,8,0.449,0.196,5.29,4,0.338,-0.8118138566051867,0.8637819495242006,2.505911671042578
A2-B0-C2-batch4-r52,I,576873,5,0.314,0.231,7.72,6,0.273,0.6914502393227815,0.3233954279874375,1.6152387619903792
A2-B0-C2-batch4-r53,intermedio (sin clase clara),576970,6,0.393,0.134,7.89,4,0.321,-1.2015965510219309,4.841143046515876,2.909962078453398
A2-B0-C2-batch4-r54,I,577067,7,0.62,0.21,5.75,7,0.264,0.45987587589440654,0.4242640678119285,1.7729811796239558
A2-B0-C2-batch4-r55,II,577164,4,0.691,0.217,7.65,7,0.298,0.3914357592569719,0.5656854237492379,2.742834577379112
A2-B0-C2-batch4-r56,I,577261,8,0.763,0.332,6.55,5,0.189,-0.6169533920397224,2.3859697649171574,2.6144463396355055
A2-B0-C2-batch4-r57,I,577358,7,0.622,0.284,5.08,5,0.243,0.6374065773083789,0.4242640678119288,2.956419064257035
A2-B0-C2-batch4-r58,III,577455,6,0.557,0.104,6.43,5,0.231,0.7998317247468192,0.6363961020928924,2.7539308004807683
A2-B0-C2-batch4-r59,III,577552,5,0.643,0.206,6.42,4,0.258,1.25934577627338,1.5454813198125095,3.7747227058592747
A2-B0-C2-batch4-r60,III,577649,5,0.475,0.146,4.78,5,0.302,0.7378543588616053,0.7071067796865472,2.877004600135161
A2-B0-C2-batch4-r61,II,577746,5,0.714,0.115,6.76,7,0.338,0.4218649200991793,0.3535533900682738,5.664444095760099
A2-B0-C2-batch4-r62,III,577843,8,0.672,0.262,5.76,5,0.242,0.8791813251603611,2.2197711602517036,2.9697562302265337
A2-B0-C2-batch4-r63,I,577940,5,0.443,0.225,4.62,7,0.285,0.6015286262909372,0.8485281356238573,2.657213214733661
A2-B0-C2-batch4-r64,I,578037,4,0.453,0.172,4.25,7,0.253,0.6025632435380978,0.7071067796865476,3.828554728785734
A2-B0-C2-batch4-r65,I,578134,6,0.428,0.254,7.97,6,0.253,0.6796749310449893,0.4898979479566356,1.8154056662524938
A2-B0-C2-batch4-r66,III,578231,5,0.344,0.182,7.69,5,0.269,0.8394652197456517,1.5055365858758694,2.2838281991607685
A2-B0-C2-batch4-r67,I,578328,5,0.394,0.271,5.1,5,0.165,0.6463830766722974,0.2828427118746191,1.9452313912490031
A2-B0-C2-batch4-r68,II,578425,6,0.528,0.243,6.11,7,0.234,0.4306320233100666,0.28284271187461874,1.4856666063366575
A2-B0-C2-batch4-r69,I,578522,6,0.613,0.313,7.84,6,0.309,0.6342907854938875,0.28284271187461874,1.6677495234163957
A2-B0-C2-batch4-r70,I,578619,7,0.424,0.348,5.01,5,0.307,0.686161570810164,0.7605590280261751,1.9969100593313123
A2-B0-C2-batch4-r71,I,578716,6,0.72,0.174,7.17,7,0.275,0.5524056253079764,1.5556349153104045,1.6242560502900072
A2-B0-C2-batch4-r72,III,578813,4,0.607,0.234,6.39,5,0.343,0.7720389176874827,0.7794944171077492,2.0930056917630764
A2-B0-C2-batch4-r73,I,578910,5,0.664,0.141,4.73,7,0.205,0.5814553882259165,0.0,4.540011994772269
A2-B0-C2-batch4-r74,I,579007,8,0.519,0.216,4.12,6,0.169,0.6706776868182417,0.2828427118746195,2.720089888047994
A2-B0-C2-batch4-r75,I,579104,4,0.344,0.183,6.4,6,0.297,0.633131094886723,1.272792203435786,2.25664555941345
A2-B0-C2-batch4-r76,III,579201,5,0.395,0.205,5.49,5,0.313,0.7059480249204435,0.5168460777463262,2.08730282657106
A2-B0-C2-batch4-r77,II,579298,5,0.552,0.226,4.92,7,0.257,0.43082204869053903,0.9899494915611664,3.878718353155263
A2-B0-C2-batch4-r78,IV,579395,4,0.749,0.134,6.75,5,0.306,0.8164083964897092,0.3897472085538745,6.3922755683346555
A2-B0-C2-batch4-r79,I,579492,7,0.36,0.319,6.74,6,0.216,0.625966332816591,0.4898979479566356,1.2188364864347514
A2-B0-C2-batch4-r80,III,579589,6,0.637,0.231,4.01,5,0.325,0.7680352968108531,0.3863703299156272,1.0190015450669898
A2-B0-C2-batch4-r81,I,579686,5,0.481,0.199,4.16,6,0.347,0.5413401930568613,0.2828427120746192,2.01811744794448
A2-B0-C2-batch4-r82,I,579783,5,0.336,0.305,7.0,6,0.283,0.6459174780656604,0.2672612416981386,1.4177259383385565
A2-B0-C2-batch4-r83,II,579880,6,0.56,0.242,6.28,7,0.333,0.4081790787821271,0.9899494915611664,2.722632286007739
A2-B0-C2-batch4-r84,I,579977,7,0.344,0.166,7.82,6,0.269,0.6314471708206678,0.5277916858529366,1.7750719753792237
A2-B0-C2-batch4-r85,III,580074,5,0.361,0.106,7.87,5,0.243,0.8624057643415686,1.3763198214767935,2.2149051377658724
A2-B0-C2-batch4-r86,I,580171,5,0.546,0.249,5.46,6,0.323,0.5906052983473485,0.3863703299156276,2.289945453192968
A2-B0-C2-batch4-r87,I,580268,7,0.719,0.132,5.31,5,0.343,0.6930003804344128,1.272792203885785,2.4877463023265065
A2-B0-C2-batch4-r88,I,580365,7,0.449,0.192,5.5,6,0.234,0.5636932892379024,0.5501039537227574,1.9381951297674518
A2-B0-C2-batch4-r89,I,580462,4,0.469,0.27,7.46,6,0.159,0.6186783624132153,1.5556349153104045,2.033688071443626
A2-B0-C2-batch4-r90,I,580559,5,0.794,0.294,4.93,6,0.244,0.63142200083662,0.5656854237492379,2.6664172711518908
A2-B0-C2-batch4-r91,I,580656,5,0.448,0.158,7.04,6,0.323,0.4968037824537224,0.848528135623857,3.0371561537332505
A2-B0-C2-batch4-r92,I,580753,6,0.623,0.209,7.92,7,0.168,0.46934784107022376,0.5656854237492382,1.6585255464238202
A2-B0-C2-batch4-r93,III,580850,7,0.429,0.281,4.37,4,0.208,0.9487275706960316,1.1313708478984756,2.813873675899697
A2-B0-C2-batch4-r94,III,580947,6,0.353,0.133,4.18,6,0.237,0.7202626515814937,0.4242640679619285,2.069533546977787
A2-B0-C2-batch4-r95,I,581044,5,0.548,0.222,7.23,6,0.235,0.6149861221455258,0.9743680213846858,2.5829341419500618
A2-B0-C2-batch4-r96,III,581141,5,0.548,0.349,4.52,5,0.284,0.7304031848194612,0.28284271202461875,2.2587998614613385
A2-B0-C2-batch4-r97,III,581238,5,0.572,0.202,5.3,5,0.186,0.7057765195193306,0.42426406801192823,3.122394923636898
A2-B0-C2-batch4-r98,I,581335,7,0.454,0.325,5.65,7,0.252,0.559520821767477,0.5656854237492375,1.6325902704998523
A2-B0-C2-batch4-r99,III,581432,6,0.595,0.292,6.35,5,0.244,0.7180348255754522,1.2495425095894441,1.6823468816661062
A2-B0-C2-batch4-r100,IV,581529,5,0.786,0.114,5.4,4,0.327,0.9487319922814771,0.8329466654473769,5.790696645509603
A2-B0-C2-batch4-r101,I,581626,4,0.681,0.302,5.9,7,0.226,0.5374739801481624,0.9899494915611664,2.1208401774316954
A2-B0-C2-batch4-r102,III,581723,6,0.663,0.185,7.58,4,0.159,1.1700641552915687,1.234898465539484,2.6032461362695307
A2-B0-C2-batch4-r103,I,581820,5,0.315,0.21,5.83,6,0.223,0.5133112777317137,0.3863703299156272,2.3337775630746305
A2-B0-C2-batch4-r104,I,581917,4,0.373,0.135,4.79,6,0.205,0.4938846699761572,0.8485281356238566,2.8823779725686673
A2-B0-C2-batch4-r105,I,582014,5,0.575,0.312,4.51,6,0.244,0.668952630567437,0.2449489739783178,2.29335452751932
A2-B0-C2-batch4-r106,I,582111,5,0.788,0.243,6.3,6,0.303,0.5084483465537022,0.4242640678119285,3.204868493656176
A2-B0-C2-batch4-r107,III,582208,5,0.509,0.113,4.4,5,0.341,0.7870433303576171,1.7677669492913684,2.4175543428988866
A2-B0-C2-batch4-r108,I,582305,5,0.681,0.128,5.83,6,0.329,0.5147187459306621,0.7071067798865477,5.306162435103467
A2-B0-C2-batch4-r109,I,582402,4,0.608,0.226,4.56,6,0.166,0.5681761999347523,0.42426406796192817,1.895342554593055
A2-B0-C2-batch4-r110,intermedio (sin clase clara),582499,7,0.487,0.224,7.51,4,0.169,-1.096531026564667,5.404780127939132,2.2681320125383895
A2-B0-C2-batch4-r111,I,582596,8,0.757,0.236,7.38,6,0.166,0.6616151487991371,0.4898979479566356,2.69795185096762
A2-B0-C2-batch4-r112,I,582693,6,0.389,0.215,7.1,6,0.151,0.5256262296021124,0.9899494915611667,1.5612987719687441
A2-B0-C2-batch4-r113,I,582790,5,0.679,0.318,7.42,6,0.291,0.6366881487545398,1.2727922034357855,1.8002545532312055
A2-B0-C2-batch4-r114,III,582887,6,0.322,0.331,5.72,5,0.3,0.7905031210070531,0.4567083521722914,1.399050115148979
A2-B0-C2-batch4-r115,I,582984,7,0.379,0.129,4.33,5,0.237,0.6935376433805718,0.7104606987416406,1.9320439154079452
A2-B0-C2-batch4-r116,II,583081,8,0.563,0.349,6.74,7,0.158,0.4465693769780175,0.28284271202461875,1.8438440893506816
A2-B0-C2-batch4-r117,III,583178,5,0.304,0.105,4.12,4,0.209,0.9006598903221967,2.0353792676191453,1.5654650027050743
A2-B0-C2-batch4-r118,intermedio (sin clase clara),583275,6,0.474,0.208,7.5,5,0.288,-0.7332665346341074,3.4671793735927507,2.3457793081107257
A2-B0-C2-batch4-r119,II,583372,6,0.55,0.284,6.35,7,0.153,0.4330071908401633,0.2449489739783178,1.6673506026635376
A2-B0-C2-batch4-r120,III,583469,7,0.558,0.142,4.5,5,0.329,0.737932592573586,0.31903653086021955,1.7489750779036168
A2-B0-C2-batch4-r121,I,583566,8,0.551,0.184,4.97,7,0.217,0.5339988964051053,0.42426406796192817,2.019640612191528
A2-B0-C2-batch4-r122,III,583663,6,0.664,0.256,5.76,5,0.295,0.7875418855578796,1.4142135593730956,2.2433078462615916
A2-B0-C2-batch4-r123,I,583760,5,0.322,0.343,6.42,7,0.211,0.46304800944597746,0.5656854237492379,1.3980084686590935
A2-B0-C2-batch4-r124,I,583857,6,0.77,0.313,6.51,6,0.333,0.49556905925513567,0.2828427118746191,1.094731778182601
A2-B0-C2-batch4-r125,III,583954,7,0.367,0.142,7.04,5,0.17,0.7620887614065106,0.550103953572758,2.5313479341524396
A2-B0-C2-batch4-r126,I,584051,6,0.387,0.157,7.24,7,0.204,0.5801795236347648,1.5556349153104043,1.7601510229117197
A2-B0-C2-batch4-r127,I,584148,7,0.307,0.123,7.81,6,0.229,0.6683428885660037,0.8106343977275554,1.750770649206898
A2-B0-C2-batch4-r128,III,584245,5,0.549,0.263,6.58,5,0.221,0.8751785559315431,0.848528136223857,2.257488510815394
A2-B0-C2-batch4-r129,I,584342,5,0.357,0.106,7.41,7,0.258,0.4606547580115715,0.8485281356238566,2.367075850115983
A2-B0-C2-batch4-r130,I,584439,4,0.497,0.288,5.2,7,0.279,0.5435353513244137,0.8106343977275559,2.999422172255963
A2-B0-C2-batch4-r131,III,584536,8,0.79,0.268,6.55,4,0.25,1.2184508694767526,0.5999506235915308,2.547111839134039
A2-B0-C2-batch4-r132,I,584633,6,0.423,0.125,7.82,6,0.281,0.6056386920968034,0.28284271187461874,2.465028970062141
A2-B0-C2-batch4-r133,I,584730,4,0.527,0.214,6.62,6,0.235,0.47504545770770984,0.5277916858529366,2.4370933411962747
A2-B0-C2-batch4-r134,III,584827,4,0.331,0.17,5.11,5,0.2,0.7549070071835985,1.7677669497413688,3.0628892398893997
A2-B0-C2-batch4-r135,III,584924,7,0.627,0.23,4.02,4,0.235,1.0034306041860015,3.8100964874646563,1.2949275376678206
A2-B0-C2-batch4-r136,III,585021,5,0.501,0.312,4.33,6,0.312,0.7465247069930361,0.565685424249238,2.023929296820148
A2-B0-C2-batch4-r137,III,585118,5,0.687,0.277,5.42,5,0.347,0.8193204158489383,1.6263455936540594,2.8443797623393148
A2-B0-C2-batch4-r138,I,585215,8,0.595,0.249,6.44,6,0.223,0.47932223194462364,0.5656854237492382,2.252645725029042
A2-B0-C2-batch4-r139,III,585312,6,0.578,0.252,7.14,5,0.334,0.861356948742913,0.7957790614846841,1.6595895859797363
A2-B0-C2-batch4-r140,I,585409,6,0.302,0.302,4.33,5,0.163,0.5338931863884604,1.234898465539484,1.9447131521677918
A2-B0-C2-batch4-r141,II,585506,4,0.43,0.123,7.55,7,0.338,0.4088898923868671,0.353553389918274,3.6451681351500715
A2-B0-C2-batch4-r142,I,585603,6,0.381,0.251,6.24,6,0.225,0.5499397106448336,0.4242640678119285,1.4730266003530668
A2-B0-C2-batch4-r143,III,585700,6,0.636,0.127,7.22,4,0.346,1.2158498081139453,0.9831727745515189,3.053885100482266
A2-B0-C2-batch4-r144,I,585797,4,0.755,0.308,4.07,7,0.278,0.5936290251621278,0.2672612416981386,0.8886985281506055
A2-B0-C2-batch4-r145,I,585894,4,0.31,0.222,7.19,6,0.309,0.6089957328871656,0.7727406598312544,2.0482546193816606
A2-B0-C2-batch4-r146,III,585991,6,0.301,0.136,7.77,5,0.213,0.7804337757034835,0.7226652901298741,2.1660559451175003
A2-B0-C2-batch4-r147,III,586088,7,0.756,0.208,7.65,5,0.324,0.8033174259070315,0.527791685852937,2.61974936312527
A2-B0-C2-batch4-r148,I,586185,5,0.502,0.31,7.35,6,0.187,0.6483459574580671,0.4898979479566356,1.7936003189643415
A2-B0-C2-batch4-r149,III,586282,7,0.777,0.222,5.37,5,0.231,0.825211218594141,0.8762682778722632,2.987199820930673
A2-B0-C2-batch4-r150,I,586379,8,0.501,0.19,5.59,6,0.311,0.5384913007275851,0.527791685852937,2.9603115705489724
A2-B0-C2-batch4-r151,I,586476,8,0.398,0.208,4.64,7,0.334,0.5551917561297515,0.5656854237492379,1.4031917178968534
A2-B0-C2-batch4-r152,III,586573,6,0.55,0.153,7.96,4,0.201,0.7948725595261631,3.5522805332250513,3.5000325971161663
A2-B0-C2-batch4-r153,I,586670,5,0.558,0.239,4.52,5,0.298,0.6344921047298726,1.8384776271850236,2.3633095982641326
A2-B0-C2-batch4-r154,III,586767,6,0.434,0.216,7.82,5,0.219,0.8593262256526808,1.0434017399007947,1.8525282391221705
A2-B0-C2-batch4-r155,I,586864,8,0.531,0.103,7.31,6,0.247,0.6276592736788965,0.0,5.172907156509676
A2-B0-C2-batch4-r156,intermedio (sin clase clara),586961,6,0.628,0.248,7.57,5,0.244,-0.7736765310855259,5.020458138849487,2.607598055942926
A2-B0-C2-batch4-r157,I,587058,6,0.356,0.176,6.56,7,0.322,0.6012595473421678,0.4242640678119285,1.5305094966644301
A2-B0-C2-batch4-r158,I,587155,5,0.312,0.14,4.29,6,0.253,0.6093246869830368,0.3863703299156272,1.373700219719628
A2-B0-C2-batch4-r159,III,587252,6,0.486,0.29,5.37,4,0.294,0.9846816069427827,2.6179490845596183,2.288416578188641
A2-B0-C2-batch4-r160,I,587349,4,0.547,0.184,5.32,6,0.315,0.5666085518500896,0.42426406781192816,2.6582710587235265
A2-B0-C2-batch4-r161,III,587446,5,0.693,0.147,5.75,5,0.24,0.7667119743764854,0.2828427118746191,4.825729036660449
A2-B0-C2-batch4-r162,III,587543,7,0.326,0.305,5.43,5,0.276,0.735989410594361,0.8485281356238573,1.3628739743280656
A2-B0-C2-batch4-r163,III,587640,7,0.542,0.269,6.71,5,0.163,0.7869666965842601,0.4431994568935023,1.8604457655676216
A2-B0-C2-batch4-r164,III,587737,7,0.656,0.295,7.81,5,0.341,0.8717058332561187,1.2348984655394841,1.8384202878973668
A2-B0-C2-batch4-r165,III,587834,6,0.761,0.143,7.57,4,0.221,1.2847104549192723,1.1970047276431837,4.87744355981297
A2-B0-C2-batch4-r166,I,587931,7,0.391,0.341,5.53,5,0.279,0.6690133143359093,0.669213041790246,1.6266062809617883
A2-B0-C2-batch4-r167,I,588028,8,0.699,0.162,5.77,6,0.312,0.4970582801383794,0.989949491561166,4.547436729356542
A2-B0-C2-batch4-r168,III,588125,8,0.333,0.322,7.95,4,0.242,1.5030708487648419,0.592400068552475,1.6522139418732238
A2-B0-C2-batch4-r169,III,588222,6,0.73,0.304,4.39,5,0.229,0.8296176535103116,0.9933034104662596,2.9157419243638603
A2-B0-C2-batch4-r170,I,588319,7,0.694,0.163,5.17,7,0.251,0.511326039424577,0.5311685644911839,3.7847046770675243
A2-B0-C2-batch4-r171,I,588416,7,0.517,0.151,4.27,6,0.169,0.5991758346017657,0.707106779686548,1.8336308015503966
A2-B0-C2-batch4-r172,I,588513,5,0.563,0.261,5.9,5,0.324,0.6689048571248729,1.0434017399007942,2.2413225120100813
A2-B0-C2-batch4-r173,I,588610,8,0.516,0.165,7.89,6,0.325,0.5592019099723945,0.2449489739783178,2.9501322329076554
A2-B0-C2-batch4-r174,I,588707,7,0.375,0.257,7.9,7,0.3,0.6041267417759444,1.1313708482484761,1.4308142958765786
A2-B0-C2-batch4-r175,I,588804,7,0.706,0.209,7.07,7,0.201,0.5038823237067259,0.5656854237492379,3.785693947053518
A2-B0-C2-batch4-r176,I,588901,7,0.603,0.259,4.7,6,0.15,0.6602103975349994,0.14142135593730976,1.2249711098639187
A2-B0-C2-batch4-r177,I,588998,5,0.704,0.121,7.31,7,0.231,0.3141782046905083,0.42426406781192816,5.505205041019487
A2-B0-C2-batch4-r178,intermedio (sin clase clara),589095,5,0.718,0.101,6.97,4,0.26,-0.5601145883746886,5.3611372854745865,6.590312370045645
A2-B0-C2-batch4-r179,III,589192,7,0.653,0.272,4.75,5,0.315,0.7667618060260207,0.19611613502279934,2.4917638531312796
A2-B0-C2-batch4-r180,III,589289,5,0.445,0.31,4.3,4,0.222,0.8731744761090312,2.5160984264961574,1.6638879862671783
A2-B0-C2-batch4-r181,I,589386,7,0.523,0.345,4.33,6,0.314,0.6945597589380447,0.5277916858529366,0.9343906307141779
A2-B0-C2-batch4-r182,I,589483,5,0.796,0.226,4.65,5,0.278,0.583725143787135,0.2773932581886809,2.7531424003708587
A2-B0-C2-batch4-r183,I,589580,6,0.497,0.115,6.15,6,0.328,0.5105277053534738,0.4242640678119288,1.9224916414182984
A2-B0-C2-batch4-r184,I,589677,5,0.476,0.11,5.28,6,0.236,0.5960362585217963,0.7071067796865472,3.513073170829408
A2-B0-C2-batch4-r185,I,589774,7,0.501,0.119,6.98,6,0.323,0.5655446560017356,0.3535533899182736,2.5831057525546086
A2-B0-C2-batch4-r186,III,589871,5,0.542,0.209,5.05,4,0.243,0.9802288440053791,0.6531707516122107,1.9845064063776188
A2-B0-C2-batch4-r187,III,589968,6,0.443,0.28,6.53,5,0.199,0.87628960124805,1.8384776277850237,1.3739243005003425
A2-B0-C2-batch4-r188,I,590065,7,0.398,0.117,5.5,7,0.277,0.49543166922258525,0.7071067798365472,2.569851561173602
A2-B0-C2-batch4-r189,I,590162,7,0.581,0.291,4.1,6,0.193,0.5680798444208828,0.6607378023178769,1.898296628734613
A2-B0-C2-batch4-r190,II,590259,6,0.75,0.212,6.09,6,0.299,0.39193114490365544,1.2727922040357855,1.6504371261307837
A2-B0-C2-batch4-r191,I,590356,8,0.372,0.273,5.4,6,0.279,0.5016507834152454,0.5656854237492379,1.6888690373827018
A2-B0-C2-batch4-r192,I,590453,5,0.758,0.203,6.26,6,0.2,0.49279488728437626,0.7071067796865476,2.7801958918592007
A2-B0-C2-batch4-r193,I,590550,4,0.612,0.102,4.87,7,0.24,0.6379121385835052,1.8005838892887227,4.993532777669167
A2-B0-C2-batch4-r194,III,590647,7,0.525,0.246,6.33,4,0.302,1.0467677912503963,0.2828427118746191,2.174109606811732
A2-B0-C2-batch4-r195,II,590744,8,0.522,0.254,6.15,7,0.299,0.37027586499277026,0.4242640678119285,2.1760004956178856
A2-B0-C2-batch4-r196,III,590841,5,0.495,0.129,5.4,5,0.283,0.8110586948144228,0.3185906220869582,1.6322044029158025
A2-B0-C2-batch4-r197,III,590938,6,0.461,0.287,5.34,4,0.282,1.0439955028340393,2.2627416961969518,1.7561447265602896
A2-B0-C2-batch4-r198,I,591035,6,0.493,0.217,4.37,5,0.203,0.6805292442174306,0.5027105219710478,3.27173321817495
A2-B0-C2-batch4-r199,I,591132,6,0.504,0.268,4.92,7,0.303,0.46014498477720184,0.7071067796865472,2.183746377305888
A2-B0-C2-batch4-r200,I,591229,7,0.521,0.154,4.73,7,0.241,0.5444155818409797,0.2828427118746191,1.659106258155531
A2-B0-C2-batch4-r201,III,591326,7,0.391,0.104,6.79,5,0.291,0.7828419766142098,0.7554822302772275,2.5612353367300273
A2-B0-C2-batch4-r202,III,591423,8,0.639,0.259,4.15,4,0.279,0.8633241139815924,0.3548828790265325,3.513851042074214
A2-B0-C2-batch4-r203,III,591520,5,0.608,0.194,6.13,4,0.341,1.0211488018750574,0.38974720855387446,2.902370094119601
A2-B0-C2-batch4-r204,I,591617,5,0.417,0.181,6.03,6,0.274,0.508593931234412,0.10690449667925536,2.38669084520813
