point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
35,0.6,masa,5,curv,0,0,1,4,0.975,1
37,0.6,masa,7,d1,0,0,0,3,0.207,1
37,0.6,masa,7,d2,0,0,1,7,0.979,1
37,0.6,masa,7,d3,0,0,1,4,0.994,1
37,0.6,masa,7,d4,0,0,1,3,0.996,1
37,0.6,masa,7,curv,0,0,1,5,0.994,1
40,0.6,grado,0,d1,0,0,0,6,0.18,1
40,0.6,grado,0,d2,0,0,1,4,1.0,1
40,0.6,grado,0,d3,0,0,1,3,0.997,1
40,0.6,grado,0,d4,0,0,1,4,1.0,1
40,0.6,grado,0,curv,0,0,1,4,0.994,1
30,0.6,masa,0,d1,0,0,0,2,0.117,1
30,0.6,masa,0,d2,0,0,1,5,0.979,1
30,0.6,masa,0,d3,0,0,1,4,0.994,1
30,0.6,masa,0,d4,0,0,1,4,0.996,1
30,0.6,masa,0,curv,0,0,1,4,0.989,1
33,0.6,masa,3,d1,0,0,0,2,0.145,1
33,0.6,masa,3,d2,0,0,1,4,0.979,1
33,0.6,masa,3,d3,0,0,1,3,1.0,1
33,0.6,masa,3,d4,0,0,1,4,1.0,1
33,0.6,masa,3,curv,0,0,1,5,0.983,1
32,0.6,masa,2,d1,0,0,0,1,0.184,1
32,0.6,masa,2,d2,0,0,1,8,0.965,1
32,0.6,masa,2,d3,0,0,1,3,0.994,1
32,0.6,masa,2,d4,0,0,1,3,1.0,1
32,0.6,masa,2,curv,0,0,1,3,0.997,1
38,0.6,masa,8,d1,0,0,0,2,0.117,1
38,0.6,masa,8,d2,0,0,1,4,0.972,1
38,0.6,masa,8,d3,0,0,1,5,0.997,1
38,0.6,masa,8,d4,0,0,1,4,1.0,1
38,0.6,masa,8,curv,0,0,1,5,0.989,1
41,0.6,grado,1,d1,0,0,0,2,0.148,1
41,0.6,grado,1,d2,0,0,1,3,0.986,1
41,0.6,grado,1,d3,0,0,1,4,1.0,1
41,0.6,grado,1,d4,0,0,1,3,1.0,1
41,0.6,grado,1,curv,0,0,1,4,0.997,1
