point_id,dim,K,seed,exp_paso,frame_burgers,frame_burgers_null,n_ciclos,long_media,N
42,d2,3,2,1,1.02653,1.5801,202,13.38,289
42,d2,3,2,2,1.12804,1.61472,154,11.9,289
42,d2,3,2,3,1.11256,1.5996,110,12.55,289
44,d2,3,4,0,1.1402,1.64278,256,13.71,289
44,d2,3,4,1,1.03692,1.57916,202,11.86,289
44,d2,3,4,2,1.0271,1.61185,154,12.61,289
44,d2,3,4,3,0.99787,1.46933,111,12.22,289
45,d2,3,5,0,1.10053,1.58999,256,13.71,289
45,d2,3,5,1,1.06638,1.58603,203,12.47,289
45,d2,3,5,2,1.16128,1.46976,155,10.7,289
45,d2,3,5,3,1.10096,1.50715,113,10.05,289
46,d2,3,6,0,1.07828,1.58452,256,13.71,289
46,d2,3,6,1,1.09664,1.50658,202,13.31,289
46,d2,3,6,2,1.06897,1.54657,157,11.07,289
46,d2,3,6,3,1.11611,1.61309,115,9.93,289
47,d2,3,7,0,1.09771,1.57203,256,13.71,289
47,d2,3,7,1,1.08569,1.53652,202,12.04,289
47,d2,3,7,2,1.082,1.54519,154,12.06,289
47,d2,3,7,3,1.1447,1.56907,111,10.49,289
48,d2,4,0,0,1.18971,1.53473,256,13.71,289
48,d2,4,0,1,1.15431,1.5544,202,12.08,289
48,d2,4,0,2,1.20444,1.55193,154,11.52,289
48,d2,4,0,3,1.21486,1.514,113,10.74,289
49,d2,4,1,0,1.23179,1.56962,256,13.71,289
49,d2,4,1,1,1.14622,1.539,202,12.24,289
49,d2,4,1,2,1.19807,1.63819,154,11.51,289
49,d2,4,1,3,1.2425,1.55316,111,12.59,289
53,d2,4,5,0,1.19985,1.54844,256,13.71,289
53,d2,4,5,1,1.12532,1.55161,202,11.68,289
53,d2,4,5,2,1.15044,1.62776,153,10.6,289
53,d2,4,5,3,1.14451,1.57308,109,10.73,289
51,d2,4,3,0,1.37082,1.59184,256,13.71,289
51,d2,4,3,1,1.30455,1.60509,202,12.8,289
51,d2,4,3,2,1.21841,1.53915,154,11.64,289
51,d2,4,3,3,1.1723,1.54176,113,11.36,289
52,d2,4,4,0,1.21021,1.57352,256,13.71,289
52,d2,4,4,1,1.12251,1.50287,202,12.28,289
52,d2,4,4,2,1.18115,1.52887,156,11.91,289
52,d2,4,4,3,1.12281,1.50352,114,10.4,289
50,d2,4,2,0,1.11297,1.5527,256,13.71,289
50,d2,4,2,1,1.12867,1.51077,202,11.95,289
50,d2,4,2,2,1.12865,1.61214,158,12.03,289
50,d2,4,2,3,1.15006,1.49394,119,11.09,289
55,d2,4,7,0,1.14825,1.57574,256,13.71,289
55,d2,4,7,1,1.15869,1.57861,202,11.81,289
55,d2,4,7,2,1.15005,1.47235,153,11.49,289
55,d2,4,7,3,1.11241,1.64234,113,10.07,289
54,d2,4,6,0,1.22449,1.60229,256,13.71,289
54,d2,4,6,1,1.25753,1.54196,203,11.95,289
54,d2,4,6,2,1.14756,1.58505,154,10.68,289
54,d2,4,6,3,1.1406,1.60041,112,13.32,289
56,d2,5,0,0,1.23185,1.52617,256,13.71,289
56,d2,5,0,1,1.1918,1.55403,202,11.44,289
56,d2,5,0,2,1.17797,1.51835,155,11.28,289
56,d2,5,0,3,1.08266,1.61255,114,10.65,289
58,d2,5,2,0,1.2196,1.61504,256,13.71,289
58,d2,5,2,1,1.14721,1.53976,202,11.45,289
58,d2,5,2,2,1.13014,1.53728,153,12.09,289
58,d2,5,2,3,1.17059,1.50235,112,11.79,289
57,d2,5,1,0,1.2737,1.53761,256,13.71,289
57,d2,5,1,1,1.17129,1.53188,203,13.18,289
57,d2,5,1,2,1.13451,1.5481,155,11.5,289
57,d2,5,1,3,1.16537,1.45811,114,10.35,289
59,d2,5,3,0,1.19905,1.58756,256,13.71,289
59,d2,5,3,1,1.16446,1.47264,202,11.51,289
59,d2,5,3,2,1.16126,1.44294,155,11.24,289
59,d2,5,3,3,1.08792,1.4836,112,12.68,289
60,d2,5,4,0,1.21786,1.52422,256,13.71,289
60,d2,5,4,1,1.26898,1.54173,202,10.77,289
60,d2,5,4,2,1.20079,1.5151,154,11.81,289
60,d2,5,4,3,1.16924,1.58142,112,11.27,289
61,d2,5,5,0,1.25537,1.47532,256,13.71,289
61,d2,5,5,1,1.19197,1.51417,202,11.55,289
61,d2,5,5,2,1.1095,1.48875,154,11.56,289
61,d2,5,5,3,1.13551,1.4521,114,11.72,289
63,d2,5,7,0,1.25644,1.62053,256,13.71,289
63,d2,5,7,1,1.21465,1.50733,202,11.1,289
63,d2,5,7,2,1.113,1.46713,153,10.48,289
63,d2,5,7,3,1.25056,1.55596,110,11.2,289
62,d2,5,6,0,1.18137,1.56126,256,13.71,289
62,d2,5,6,1,1.12321,1.5461,203,11.61,289
62,d2,5,6,2,1.09669,1.45928,155,10.59,289
62,d2,5,6,3,1.06042,1.41921,113,10.11,289
66,d3,2,2,0,0.0,1.53386,400,9.27,343
66,d3,2,2,1,0.0,1.59144,400,9.14,343
66,d3,2,2,2,0.0,1.57029,373,9.45,343
66,d3,2,2,3,0.0,1.5819,302,9.85,343
65,d3,2,1,0,0.0,1.53015,400,9.29,343
65,d3,2,1,1,0.0,1.58165,400,9.33,343
65,d3,2,1,2,0.0,1.57689,373,9.53,343
65,d3,2,1,3,0.0,1.57207,304,9.78,343
64,d3,2,0,0,0.0,1.48819,400,9.15,343
64,d3,2,0,1,0.0,1.53642,400,9.46,343
64,d3,2,0,2,0.0,1.62084,373,9.69,343
64,d3,2,0,3,0.0,1.50832,304,9.49,343
67,d3,2,3,0,0.0,1.61115,400,8.99,343
67,d3,2,3,1,0.0,1.56537,400,9.29,343
67,d3,2,3,2,0.0,1.56697,373,9.46,343
67,d3,2,3,3,0.0,1.65796,304,9.72,343
68,d3,2,4,0,0.0,1.53409,400,9.12,343
68,d3,2,4,1,0.0,1.55505,400,8.97,343
68,d3,2,4,2,0.0,1.52428,373,9.12,343
68,d3,2,4,3,0.0,1.46434,304,9.98,343
71,d3,2,7,0,0.0,1.53862,400,9.14,343
71,d3,2,7,1,0.0,1.51759,400,9.28,343
71,d3,2,7,2,0.0,1.57043,373,8.9,343
71,d3,2,7,3,0.0,1.4405,302,8.95,343
69,d3,2,5,0,0.0,1.57201,400,9.28,343
69,d3,2,5,1,0.0,1.56401,400,9.16,343
69,d3,2,5,2,0.0,1.59229,373,9.73,343
69,d3,2,5,3,0.0,1.57151,303,10.13,343
70,d3,2,6,0,0.0,1.65166,400,9.21,343
70,d3,2,6,1,0.0,1.59694,400,9.39,343
70,d3,2,6,2,0.0,1.5518,375,9.89,343
70,d3,2,6,3,0.0,1.60482,306,10.1,343
72,d3,3,0,0,1.02566,1.59248,400,9.22,343
72,d3,3,0,1,1.05707,1.53593,400,8.92,343
72,d3,3,0,2,1.01955,1.51681,373,9.3,343
72,d3,3,0,3,1.06935,1.59354,302,9.15,343
73,d3,3,1,0,1.18714,1.56806,400,9.3,343
73,d3,3,1,1,1.13679,1.54552,400,9.13,343
73,d3,3,1,2,1.0975,1.61509,373,9.23,343
73,d3,3,1,3,1.12128,1.56075,303,9.23,343
74,d3,3,2,0,1.11367,1.58805,400,9.11,343
74,d3,3,2,1,1.1157,1.53534,400,9.17,343
74,d3,3,2,2,1.12216,1.59238,373,9.53,343
74,d3,3,2,3,1.05729,1.56537,302,9.77,343
76,d3,3,4,0,1.09481,1.56707,400,9.06,343
76,d3,3,4,1,1.09467,1.60795,400,9.22,343
76,d3,3,4,2,1.06552,1.59564,373,9.23,343
76,d3,3,4,3,1.08628,1.57107,303,8.7,343
75,d3,3,3,0,1.10975,1.61603,400,9.12,343
75,d3,3,3,1,1.10051,1.57362,400,9.23,343
75,d3,3,3,2,1.13092,1.50585,373,9.42,343
75,d3,3,3,3,1.20832,1.55326,304,10.05,343
77,d3,3,5,0,1.04782,1.57434,400,9.12,343
77,d3,3,5,1,1.08297,1.59041,400,9.32,343
77,d3,3,5,2,1.01061,1.56601,373,9.57,343
77,d3,3,5,3,0.95395,1.57146,302,10.12,343
78,d3,3,6,0,1.07563,1.54672,400,9.16,343
78,d3,3,6,1,1.09515,1.51564,400,9.24,343
78,d3,3,6,2,1.079,1.56021,373,9.18,343
78,d3,3,6,3,1.0755,1.56519,303,9.21,343
