genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H07_1357061,1357061,A2-B0-C2-r1,C2-hibrido,III,1,1,0.936293,0.3363,2.0036,12.0,0.8625,3.335,3335,12|10|6|5|4,5,0.57,0.286,7.77,5,1357159,2.22
H07_1357061,1357061,A2-B0-C2-r2,C2-hard,I,0,0,0.672646,0.4243,2.3356,14.0,0.917,3.034,3034,14|9|8|6|5,6,0.495,0.145,7.84,5,1357256,2.1
H07_1357061,1357061,A2-B0-C2-r2,C2-hibrido,III,1,1,1.058055,0.4398,2.0651,14.0,0.844,3.174,3174,14|9|6|5|4,6,0.495,0.145,7.84,5,1357256,2.13
H07_1357061,1357061,A2-B0-C2-r3,C2-hard,I,0,0,0.588069,0.0392,1.5676,12.0,0.986,4.004,4004,12|8|6|5|4,6,0.337,0.223,5.62,6,1357353,2.34
H07_1357061,1357061,A2-B0-C2-r3,C2-hibrido,II,0,0,0.405775,1.4142,1.6484,8.0,0.993,5.082,5082,8|6|5|4|4,6,0.337,0.223,5.62,6,1357353,2.85
H07_1357061,1357061,A2-B0-C2-r4,C2-hard,I,0,0,0.688517,0.6364,2.4653,12.0,0.974,3.581,3581,12|10|6|5|4,5,0.733,0.256,4.02,6,1357450,2.35
H07_1357061,1357061,A2-B0-C2-r4,C2-hibrido,I,0,0,0.660909,0.0,1.0423,12.0,0.98,3.964,3964,12|8|6|5|4,5,0.733,0.256,4.02,6,1357450,2.24
H07_1357061,1357061,A2-B0-C2-r5,C2-hard,II,0,0,0.358131,0.7071,2.071,8.0,0.994,4.923,4923,8|7|5|5|4,4,0.303,0.21,6.73,7,1357547,3.05
H07_1357061,1357061,A2-B0-C2-r5,C2-hibrido,II,0,0,0.440204,1.2728,2.7086,9.0,0.996,6.261,6261,9|6|5|4|4,4,0.303,0.21,6.73,7,1357547,3.51
H07_1357061,1357061,A2-B0-C2-r6,C2-hard,III,1,1,0.91291,0.2828,2.7163,14.0,0.916,3.023,3023,14|10|7|5|4,4,0.305,0.208,7.76,5,1357644,2.51
H07_1357061,1357061,A2-B0-C2-r6,C2-hibrido,III,1,1,0.869754,1.0177,2.7902,11.0,0.8575,3.259,3259,11|9|6|5|4,4,0.305,0.208,7.76,5,1357644,2.38
H07_1357061,1357061,A2-B0-C2-r7,C2-hard,III,1,1,0.701343,0.6915,2.1737,13.0,0.968,3.965,3965,13|9|6|5|4,7,0.478,0.264,7.66,6,1357741,3.23
H07_1357061,1357061,A2-B0-C2-r7,C2-hibrido,I,0,0,0.635654,0.9899,1.7024,10.0,0.9385,4.462,4462,10|9|5|5|4,7,0.478,0.264,7.66,6,1357741,2.68
H07_1357061,1357061,A2-B0-C2-r8,C2-hard,III,1,1,0.846474,0.8485,2.4596,14.0,0.93,3.205,3205,14|10|7|5|4,7,0.784,0.191,7.32,5,1357838,2.74
H07_1357061,1357061,A2-B0-C2-r8,C2-hibrido,III,1,1,0.853763,0.2828,3.4107,12.0,0.88,3.478,3478,12|8|6|5|4,7,0.784,0.191,7.32,5,1357838,2.15
H07_1357061,1357061,A2-B0-C2-r9,C2-hard,III,1,1,1.066205,0.8313,3.0996,21.0,0.8505,2.379,2379,21|13|8|7|5,7,0.569,0.18,6.38,4,1357935,2.3
H07_1357061,1357061,A2-B0-C2-r9,C2-hibrido,III,1,1,1.088846,1.6592,3.0735,16.0,0.8235,2.637,2637,16|10|7|5|5,7,0.569,0.18,6.38,4,1357935,2.56
H07_1357061,1357061,A2-B0-C2-r10,C2-hard,III,1,1,1.025705,3.1113,2.3537,22.0,0.905,2.507,2507,22|15|11|6|5,7,0.427,0.263,5.15,4,1358032,2.48
H07_1357061,1357061,A2-B0-C2-r10,C2-hibrido,III,1,1,0.761834,0.8435,1.5421,13.0,0.914,3.064,3064,13|10|7|5|5,7,0.427,0.263,5.15,4,1358032,2.81
H07_1357061,1357061,A2-B0-C2-r11,C2-hard,I,0,0,0.516061,0.3536,2.5048,11.0,0.9915,4.408,4408,11|7|6|5|4,5,0.323,0.134,5.32,7,1358129,4.06
H07_1357061,1357061,A2-B0-C2-r11,C2-hibrido,I,0,0,0.45818,0.9899,2.5233,10.0,0.992,5.103,5103,10|6|5|5|4,5,0.323,0.134,5.32,7,1358129,3.67
H07_1357061,1357061,A2-B0-C2-r12,C2-hard,III,1,1,0.888798,2.1213,2.439,17.0,0.91,2.958,2958,17|12|7|6|5,5,0.44,0.224,7.74,5,1358226,3.44
H07_1357061,1357061,A2-B0-C2-r12,C2-hibrido,III,1,1,0.894635,0.6364,2.4916,14.0,0.8645,3.275,3275,14|9|6|5|5,5,0.44,0.224,7.74,5,1358226,3.39
H07_1357061,1357061,A2-B0-C2-r13,C2-hard,III,1,1,1.348096,1.3982,2.4866,21.0,0.75,2.069,2069,21|17|9|7|5,7,0.399,0.17,7.94,4,1358323,3.09
H07_1357061,1357061,A2-B0-C2-r13,C2-hibrido,III,1,1,1.275223,1.8385,2.1496,16.0,0.76,2.349,2349,16|12|9|5|5,7,0.399,0.17,7.94,4,1358323,2.6
H07_1357061,1357061,A2-B0-C2-r14,C2-hard,III,1,1,0.739973,1.2098,1.8621,14.0,0.935,3.13,3130,14|11|8|5|5,7,0.675,0.276,7.59,5,1358420,3.27
H07_1357061,1357061,A2-B0-C2-r14,C2-hibrido,III,1,1,0.940135,0.495,2.2704,13.0,0.87,3.435,3435,13|9|6|5|4,7,0.675,0.276,7.59,5,1358420,3.28
