brazo,corrida,n_sinks,n_sobrev,frac_sobrev,T0,T1,llego_tmax,kappa_P,kappa_P_abs,kappa_D,kappa_D_alt,kappa_V,masa_ini_tot,masa_fin_tot,t_nac_medio
NULL3,ic_null3_s501,8,8,1.0,0.036,0.5,True,0.9792564655172413,0.90875,4.084821428571428,205.625,0.7956425518925513,535.8,2180.8,0.045625
NULL3,ic_null3_s502,8,8,1.0,0.042,0.5,True,0.9877183406113538,0.90475,3.694196428571429,199.75,0.8975694444444438,592.2,2190.2,0.047625
NULL3,ic_null3_s503,8,8,1.0,0.036,0.5,True,0.982219827586207,0.9115000000000001,4.0625,211.5,0.8826388888888885,554.6,2246.6,0.04425
NULL3,ic_null3_s504,8,8,1.0,0.033,0.5,True,0.9809957173447538,0.91625,3.9308035714285716,204.45000000000002,0.9548611111111105,564.0,2199.6,0.041875
NULL3,ic_null3_s505,8,8,1.0,0.041,0.5,True,0.9869281045751633,0.906,3.4538690476190474,183.3,0.7090773809523808,601.5999999999999,2068.0,0.047
NULL3,ic_null3_s506,8,8,1.0,0.034,0.5,True,0.973980686695279,0.9077500000000001,3.8883928571428568,206.8,0.8995535714285707,573.4,2227.8,0.046125
NULL3,ic_null3_s507,8,8,1.0,0.038,0.5,True,0.9829545454545454,0.90825,3.6805555555555554,197.4,0.8232999639249635,601.6,2180.8,0.045875
NULL3,ic_null3_s508,8,8,1.0,0.033,0.5,True,0.9753747323340473,0.911,3.727926587301587,199.75,0.9357638888888888,601.5999999999999,2199.6000000000004,0.044500000000000005
RANDOM_ER,ic_random_s701,8,8,1.0,0.052,0.5,True,0.9589843750000001,0.8592500000000001,2.133928571428571,72.85,0.45833333333333326,517.0,1099.8,0.070375
RANDOM_ER,ic_random_s702,8,8,1.0,0.051,0.5,True,0.9613028953229399,0.8632500000000001,2.1830357142857144,78.72500000000001,0.4890151515151519,535.8,1165.6,0.06837499999999999
RANDOM_ER,ic_random_s703,8,8,1.0,0.055,0.5,True,0.9634831460674156,0.8574999999999999,2.307291666666667,83.425,0.5562499999999999,517.0,1184.3999999999999,0.07125
RANDOM_ER,ic_random_s704,8,8,1.0,0.058,0.5,True,0.9688914027149321,0.8565,2.139136904761905,72.85,0.42499999999999993,517.0,1099.8,0.07175
RANDOM_ER,ic_random_s705,8,8,1.0,0.049,0.5,True,0.9631374722838137,0.86875,2.2351190476190474,79.9,0.4208333333333334,517.0,1156.2,0.065625
RANDOM_ER,ic_random_s706,8,8,1.0,0.038,0.5,True,0.9017857142857143,0.83325,2.306547619047619,82.25,0.42261904761904767,507.59999999999997,1165.6000000000001,0.083375
RANDOM_ER,ic_random_s707,8,8,1.0,0.06,0.5,True,0.9670454545454545,0.851,2.258928571428571,77.55000000000001,0.5333333333333334,498.20000000000005,1118.6,0.07450000000000001
RANDOM_ER,ic_random_s708,8,8,1.0,0.058,0.5,True,0.9700226244343891,0.8575,2.154761904761905,77.55000000000001,0.35625000000000007,535.8,1156.2,0.07125000000000001
NULL4,ic_null4_s601,8,8,1.0,0.035,0.5,True,0.9758064516129032,0.9075,3.734375,192.7,0.8184523809523809,564.0,2105.6,0.04625
NULL4,ic_null4_s602,9,9,1.0,0.038,0.5,True,0.8816738816738816,0.8146666666666667,3.3401675485008817,169.2,0.9050099206349205,648.5999999999999,2171.4,0.09266666666666667
NULL4,ic_null4_s603,8,8,1.0,0.031,0.5,True,0.9722814498933902,0.9119999999999999,3.9508928571428568,198.575,0.8180555555555554,545.2,2133.7999999999997,0.044
NULL5,ic_null5_s801,8,8,1.0,0.038,0.5,True,0.9810606060606061,0.9065000000000001,3.738839285714286,193.875,0.8179563492063491,573.4,2124.4,0.04675
NULL5,ic_null5_s802,8,8,1.0,0.038,0.5,True,0.9810606060606061,0.9065000000000001,3.738839285714286,193.875,0.8179563492063491,573.4,2124.4,0.04675
