carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,brazo_origen,diluido,lote,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida,cupo_cv,rho_cupo_grado,n_quitadas_al_azar
A2-B0-C2-r19_f706_alineado,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,3857,,2000,cosmog_00500,17258.4,1541.6000000000004,18800.0,0.08200000000000002,8,0.04,1541.6,0.41818181818181815,0.41666666666666663,0,alineado,alineado,False,271828,3857,3.857,0.0008857142857142857,0.0012244897959183673,0.5570752684482894,0.5023951467213184,1.0,0
A2-B0-C2-r19_f706_anti,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,2237,,2000,cosmog_00500,16083.400000000001,2716.5999999999995,18800.0,0.14449999999999996,8,0.031,2716.6,1.3568075117370886,1.34902447089947,0,anti,anti,False,271828,2237,2.237,0.0035833333333333333,0.0028388928317956,1.1220208926950146,0.5023951467213185,-0.9737962613836837,0
A2-B0-C2-r19_f706_perm_dil,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,2237,,2000,cosmog_00500,16036.400000000001,2763.5999999999995,18800.0,0.14699999999999996,8,0.03,2763.6000000000004,1.3653846153846145,1.4003472222222215,0,perm_dil,permutado,True,271828,2237,2.237,0.00215,0.002481902792140641,1.1419122842565774,0.5023951467213185,0.03005147107447035,751
A2-B0-C2-r19_f706_permutado,A2-B0-C2-r19,,273672,5,0.341,0.326,4.02,7,2988,,2000,cosmog_00500,16685.0,2115.000000000001,18800.0,0.11250000000000004,8,0.034,2115.0,0.7575757575757575,0.7555555555555554,0,permutado,permutado,False,271828,2988,2.988,0.002667857142857143,0.002437043054427295,0.6418987454242903,0.5023951467213185,0.03005147107447035,0
A2-B0-C2-r20_f706_alin_dil,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,2396,,2000,cosmog_00500,16102.2,2697.7999999999993,18800.0,0.14349999999999996,8,0.031,2697.8,1.3382352941176472,1.3363095238095237,0,alin_dil,alineado,True,371828,2396,2.396,0.0010333333333333332,0.0005231037489102005,1.179042399334332,0.45131122337967955,0.9999742995757988,2050
A2-B0-C2-r20_f706_alineado,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,4446,,2000,cosmog_00500,17493.4,1306.6000000000004,18800.0,0.06950000000000002,8,0.049,1306.6,0.39024390243902446,0.424702380952381,0,alineado,alineado,False,371828,4446,4.446,0.0014392857142857143,0.0015159937338925665,0.5042503842292249,0.45131122337967955,0.9999742995757988,0
A2-B0-C2-r20_f706_anti,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,2396,,2000,cosmog_00500,16243.2,2556.7999999999997,18800.0,0.13599999999999998,8,0.037,2556.8,1.1126760563380278,1.1100694444444443,0,anti,anti,False,371828,2396,2.396,0.0026333333333333334,0.0030450669914738123,0.9058536947105,0.45131122337967955,-0.9853661177114688,0
A2-B0-C2-r20_f706_perm_dil,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,2396,,2000,cosmog_00500,16102.2,2697.7999999999993,18800.0,0.14349999999999996,8,0.032,2697.8,1.2796208530805682,1.2823412698412695,0,perm_dil,permutado,True,371828,2396,2.396,0.0020499999999999997,0.002179440610243371,1.0075512139006846,0.45131122337967955,-0.037012483749067585,685
A2-B0-C2-r20_f706_permutado,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3081,,2000,cosmog_00500,16732.0,2068.0000000000005,18800.0,0.11000000000000003,8,0.035,2068.0,0.7024390243902437,0.6964285714285712,0,permutado,permutado,False,371828,3081,3.081,0.004101190476190476,0.0029608509705011513,0.7942786083959329,0.45131122337967955,-0.037012483749067585,0
A2-B0-C2-r28_f706_alin_dil,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3038,,2000,cosmog_00500,16243.2,2556.7999999999997,18800.0,0.13599999999999998,9,0.035,2556.8,1.0416666666666665,1.031597222222222,1,alin_dil,alineado,True,371828,3038,3.038,0.005682936507936508,0.003315250150693189,0.9219237334131403,0.3693391957333773,0.9916659045463159,1420
A2-B0-C2-r28_f706_alineado,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,4458,,2000,cosmog_00500,17014.0,1786.0000000000005,18800.0,0.09500000000000003,8,0.039,1786.0000000000002,0.5517241379310345,0.5543154761904763,0,alineado,alineado,False,371828,4458,4.458,0.010721031746031746,0.005035199776213343,0.59663562670513,0.3693391957333773,0.9916659045463159,0
A2-B0-C2-r28_f706_anti,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3038,,2000,cosmog_00500,16619.2,2180.8000000000006,18800.0,0.11600000000000003,8,0.031,2180.8,0.7794117647058824,0.7756944444444445,0,anti,anti,False,371828,3038,3.038,0.022600000000000002,0.011243611584327087,0.8058290881873051,0.3693391957333773,-0.9783699233601169,0
A2-B0-C2-r28_f706_perm_dil,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3038,,2000,cosmog_00500,16619.2,2180.8000000000006,18800.0,0.11600000000000003,9,0.031,2180.8,0.75,0.7581845238095237,1,perm_dil,permutado,True,371828,3038,3.038,0.01188452380952381,0.009371970268232253,0.8900607966112065,0.3693391957333773,-0.025647657808390685,568
A2-B0-C2-r28_f706_permutado,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3606,,2000,cosmog_00500,17032.8,1767.2000000000005,18800.0,0.09400000000000003,8,0.039,1767.2,0.4769230769230769,0.48328373015873016,0,permutado,permutado,False,371828,3606,3.606,0.015376984126984128,0.008935390255078663,0.75919673765427,0.3693391957333773,-0.025647657808390685,0
A2-B0-C2-r2_f706_alin_dil,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,2575,,2000,cosmog_00500,16139.800000000001,2660.2,18800.0,0.1415,8,0.031,2660.2000000000003,1.2394366197183098,1.246875,0,alin_dil,alineado,True,371828,2575,2.575,0.00034047619047619047,0.0008998200359928015,1.0143896070141647,0.4309638346120364,0.9999972534603229,2820
A2-B0-C2-r2_f706_alineado,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,5395,,2000,cosmog_00500,17784.8,1015.2000000000002,18800.0,0.054000000000000006,8,0.065,1015.2,0.40740740740740733,0.40208333333333324,0,alineado,alineado,False,371828,5395,5.395,0.0012494949494949495,0.0014278914802475012,0.4525054314504619,0.4309638346120364,0.9999972534603229,0
A2-B0-C2-r2_f706_anti,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,2575,,2000,cosmog_00500,16168.0,2632.0,18800.0,0.14,8,0.031,2632.0,1.2242152466367715,1.2300067204301077,0,anti,anti,False,371828,2575,2.575,0.009183333333333333,0.005123825789923143,0.8336179227775424,0.4309638346120364,-0.9884256289341614,0
A2-B0-C2-r2_f706_perm_dil,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,2575,,2000,cosmog_00500,16196.2,2603.7999999999993,18800.0,0.13849999999999996,8,0.03,2603.8,1.1523809523809518,1.175279581529581,0,perm_dil,permutado,True,371828,2575,2.575,0.002807142857142857,0.0027902650751821423,1.0050798370026617,0.4309638346120364,-0.03380082178339117,737
A2-B0-C2-r2_f706_permutado,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,3312,,2000,cosmog_00500,16854.2,1945.8000000000006,18800.0,0.10350000000000004,8,0.03,1945.8,0.5781249999999998,0.5941468253968254,0,permutado,permutado,False,371828,3312,3.312,0.006863888888888889,0.004174009832112049,0.7273291563517528,0.4309638346120364,-0.03380082178339117,0
A2-B0-C2-r9_f706_alin_dil,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,2447,,2000,cosmog_00500,16158.6,2641.3999999999996,18800.0,0.14049999999999999,8,0.031,2641.4,1.1333333333333333,1.132607323232323,0,alin_dil,alineado,True,271828,2447,2.447,0.0004238095238095238,0.0010090817356205853,1.0981298500660903,0.4804425646492894,1.0,1694
A2-B0-C2-r9_f706_alineado,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,4141,,2000,cosmog_00500,17343.0,1457.0000000000005,18800.0,0.07750000000000003,8,0.042,1457.0,0.4347826086956522,0.4494047619047619,0,alineado,alineado,False,271828,4141,4.141,0.0005813492063492064,0.0008783229886403561,0.5915874199590554,0.4804425646492894,1.0,0
A2-B0-C2-r9_f706_anti,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,2447,,2000,cosmog_00500,16309.0,2491.0,18800.0,0.1325,8,0.035,2491.0,0.9861111111111109,0.9883760683760683,0,anti,anti,False,271828,2447,2.447,0.0037833333333333334,0.0034655371582595304,0.8404073762492781,0.4804425646492894,-0.9802742952165726,0
A2-B0-C2-r9_f706_perm_dil,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,2447,,2000,cosmog_00500,16215.0,2584.9999999999995,18800.0,0.13749999999999998,8,0.032,2585.0,1.0666666666666667,1.0589330808080808,0,perm_dil,permutado,True,271828,2447,2.447,0.0009166666666666666,0.0015332197614991482,1.0089379590840877,0.4804425646492894,0.01550967877469282,768
A2-B0-C2-r9_f706_permutado,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3215,,2000,cosmog_00500,16938.8,1861.2000000000007,18800.0,0.09900000000000003,8,0.036,1861.1999999999998,0.4238095238095236,0.4208167989417987,0,permutado,permutado,False,271828,3215,3.215,0.0015222222222222221,0.0017753230101587927,0.7128478443070169,0.4804425646492894,0.01550967877469282,0
