rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r9,C2-hibrido,II,0.35340699352852456,0.6692130417902463,2.2331468997629043,5195,5.195,8.0,0.9945,0.559317224886632,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C2-budget-soporte,II,0.4140963101194275,0.848528135623857,2.396338764447672,4501,4.501,9.0,0.9955,0.7008180205336855,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C2-random,I,0.5779207614273018,0.914162015768564,2.779596583410368,5202,5.202,11.0,0.9955,0.5503510443290578,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C0,I,0.3358387624210486,0.4242640678119285,1.663483139540204,5370,5.37,8.0,0.9965,0.973312712064945,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r10,C2-hard,II,0.40298740349994516,0.2828427118746191,3.3572516694109744,4800,4.8,9.0,0.9975,0.47077628176600284,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-hibrido,I,0.31326823654900077,0.4242640678119283,3.4992074136944544,6077,6.077,7.0,0.9965,0.4025561378715576,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-budget-soporte,I,0.4961899025806127,0.7071067796865476,2.6734232442007624,4850,4.85,10.0,0.998,0.5057831550321136,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-random,I,0.3146300367558553,0.565685423749238,3.925942569638881,6060,6.06,7.0,0.9975,0.40836576074487235,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C0,I,0.2732071268712376,0.28284271187461874,2.147222520200523,6340,6.34,7.0,0.9985,0.6285836890205778,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r11,C2-hard,I,0.6382654081105739,0.3535533899182736,2.1331432157807253,4052,4.052,12.0,0.983,0.7397610191655041,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C2-hibrido,I,0.6402847968113898,1.272792203435786,2.39955919673524,4880,4.88,11.0,0.972,0.6524527358954699,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C2-budget-soporte,II,0.44851123579426283,0.3535533899182736,1.6318618127323614,4469,4.469,10.0,0.9975,0.9953297975463818,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C2-random,I,0.5247366145400243,0.6692130417902463,2.204809729000182,5252,5.252,10.0,0.997,0.6286196901229446,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C0,I,0.2724370607454663,0.494974745855583,1.2312838039641063,6930,6.93,7.0,1.0,1.1922143890973436,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r12,C2-hard,III,0.9602619260502046,0.4175530703973287,1.336815152897046,2445,2.445,20.0,0.8965,0.987854317822392,7,0.369,0.176,5.34,4,91376
A2-B0-C2-r12,C2-hibrido,III,1.0719113634473298,1.2900276740066592,1.7145067288385942,2810,2.81,15.0,0.869,0.7405726309712031,7,0.369,0.176,5.34,4,91376
A2-B0-C2-r12,C2-budget-soporte,III,0.7773108536746735,0.5690393428043317,3.3636672131782968,2784,2.784,19.0,0.9735,0.4501354180063149,7,0.369,0.176,5.34,4,91376
A2-B0-C2-r12,C2-random,III,0.7874154451314669,0.4242640678119285,2.4812184231426757,3286,3.286,14.0,0.966,0.8260180223654231,7,0.369,0.176,5.34,4,91376
A2-B0-C2-r12,C0,I,0.5349293022405283,0.8106343977275561,1.743039017130862,5340,5.34,10.0,0.995,0.8695845779901171,7,0.369,0.176,5.34,4,91376
A2-B0-C2-r13,C2-hard,III,0.7636613357035085,0.9899494915611664,1.7722269661010408,3169,3.169,13.0,0.937,0.8664366231530488,7,0.527,0.286,7.06,5,91473
A2-B0-C2-r13,C2-hibrido,III,0.7874343111473818,0.9520557536648655,1.5422336175570066,3557,3.557,11.0,0.904,1.0242387341083135,7,0.527,0.286,7.06,5,91473
A2-B0-C2-r13,C2-budget-soporte,I,0.5481189413090313,0.21213203398096464,1.9372507902187166,3823,3.823,12.0,0.9975,0.8150098119294453,7,0.527,0.286,7.06,5,91473
A2-B0-C2-r13,C2-random,I,0.47840366634936954,0.7071067801365478,1.2560798536450153,4284,4.284,10.0,0.99,1.0498726870135127,7,0.527,0.286,7.06,5,91473
A2-B0-C2-r13,C0,I,0.27857493096287594,0.9899494915611667,1.5121341332064568,7060,7.06,7.0,1.0,1.0823661877392647,7,0.527,0.286,7.06,5,91473
A2-B0-C2-r14,C2-hard,I,0.5753842016970593,1.131370847498476,1.8909409951514007,4102,4.102,11.0,0.975,0.7614837094803995,7,0.47,0.192,6.75,6,91570
A2-B0-C2-r14,C2-hibrido,I,0.5571303200851657,1.1313708474984754,2.0142865881210072,4982,4.982,11.0,0.983,0.7347188436727784,7,0.47,0.192,6.75,6,91570
A2-B0-C2-r14,C2-budget-soporte,I,0.4739984250404973,0.28284271187461874,1.6238693442282983,4478,4.478,10.0,0.997,0.8736676496170541,7,0.47,0.192,6.75,6,91570
A2-B0-C2-r14,C2-random,I,0.306649677112926,0.7071067796865476,1.4433230830612351,5262,5.262,8.0,0.9965,0.8266250489319341,7,0.47,0.192,6.75,6,91570
A2-B0-C2-r14,C0,II,0.41664719916525705,0.8485281356238568,1.859110112420368,6750,6.75,7.0,0.999,0.8630904564931398,7,0.47,0.192,6.75,6,91570
A2-B0-C2-r15,C2-hard,I,0.619958536375119,0.707106779686548,3.0089661700416492,4090,4.09,12.0,0.974,0.472985540452736,5,0.68,0.178,7.45,6,91667
A2-B0-C2-r15,C2-hibrido,I,0.4798889374891688,0.4949747458555834,4.320429349147188,4776,4.776,9.0,0.9605,0.3945453134847636,5,0.68,0.178,7.45,6,91667
A2-B0-C2-r15,C2-budget-soporte,II,0.4178661781773331,0.7778174580302022,3.4447458026472146,4659,4.659,9.0,0.9985,0.4685431311222087,5,0.68,0.178,7.45,6,91667
A2-B0-C2-r15,C2-random,I,0.33475078564133354,1.4142135593730953,3.876337574494589,5411,5.411,8.0,0.998,0.4178878693205335,5,0.68,0.178,7.45,6,91667
A2-B0-C2-r15,C0,I,0.272747643051991,0.5656854237492379,2.2881982799505254,7450,7.45,7.0,1.0,0.7028784427228957,5,0.68,0.178,7.45,6,91667
