point_id,dim,K,brazo,seed,frame_burgers,m_media,m_max,espectro_razon,frac_sin_masa,L3,L4,L5,L6,L8
38,d2,3,null_vertice,8,0.90792,0.7948,1.8983,2.201,0.003,,0.32012,,0.48616,0.7806
43,d2,4,2punto,3,1.37082,0.849,2.0226,2.239,0.0,,1.24085,,1.16748,1.41008
44,d2,4,2punto,4,1.21021,0.8686,2.3539,2.035,0.0,,0.83501,,1.15458,1.15905
45,d2,4,2punto,5,1.19985,0.807,2.0106,2.078,0.01,,0.95023,,1.20029,1.30584
46,d2,4,2punto,6,1.22449,0.8287,2.0109,2.219,0.0,,1.04803,,1.21156,1.14527
48,d2,4,2punto,8,1.26687,0.8243,2.1243,2.322,0.003,,1.08403,,1.33477,1.28359
47,d2,4,2punto,7,1.14825,0.8106,1.7712,2.166,0.0,,0.81368,,0.92995,1.39238
49,d2,4,2punto,9,1.21268,0.8002,1.7826,2.109,0.003,,0.99248,,1.4634,1.16186
50,d2,4,3punto,0,0.78298,0.8392,2.1392,2.365,0.0,,0.19112,,0.37637,0.46728
51,d2,4,3punto,1,0.7752,0.8449,1.8165,2.118,0.0,,0.24704,,0.39467,0.51813
52,d2,4,3punto,2,0.73385,0.8221,2.0476,2.027,0.003,,0.25619,,0.47735,0.58579
53,d2,4,3punto,3,0.8175,0.849,2.0226,2.239,0.0,,0.2062,,0.38545,0.68474
54,d2,4,3punto,4,0.73301,0.8686,2.3539,2.035,0.0,,0.2289,,0.41524,0.49213
55,d2,4,3punto,5,0.8164,0.807,2.0106,2.078,0.01,,0.37007,,0.51569,0.70768
56,d2,4,3punto,6,0.64812,0.8287,2.0109,2.219,0.0,,0.19016,,0.31103,0.47244
57,d2,4,3punto,7,0.87386,0.8106,1.7712,2.166,0.0,,0.22788,,0.58528,0.85283
58,d2,4,3punto,8,0.70335,0.8243,2.1243,2.322,0.003,,0.24288,,0.49825,0.57717
59,d2,4,3punto,9,0.76157,0.8002,1.7826,2.109,0.003,,0.32269,,0.5472,0.65624
60,d2,4,null_campo,0,0.82493,0.8392,2.1392,2.365,0.0,,0.19442,,0.40392,0.45277
61,d2,4,null_campo,1,0.76498,0.8449,1.8165,2.118,0.0,,0.22518,,0.3944,0.50128
62,d2,4,null_campo,2,0.7079,0.8221,2.0476,2.027,0.003,,0.25045,,0.42159,0.52309
63,d2,4,null_campo,3,0.67297,0.849,2.0226,2.239,0.0,,0.21586,,0.37899,0.56893
64,d2,4,null_campo,4,0.74926,0.8686,2.3539,2.035,0.0,,0.22058,,0.44762,0.58211
65,d2,4,null_campo,5,0.84247,0.807,2.0106,2.078,0.01,,0.30161,,0.47684,0.64732
67,d2,4,null_campo,7,0.87077,0.8106,1.7712,2.166,0.0,,0.24231,,0.60156,0.80562
66,d2,4,null_campo,6,0.5931,0.8287,2.0109,2.219,0.0,,0.17308,,0.32803,0.46316
68,d2,4,null_campo,8,0.66903,0.8243,2.1243,2.322,0.003,,0.2101,,0.47133,0.57197
69,d2,4,null_campo,9,0.75438,0.8002,1.7826,2.109,0.003,,0.2673,,0.56851,0.68793
70,d2,4,null_vertice,0,0.82762,0.8391,2.0101,2.138,0.007,,0.19494,,0.38675,0.4556
71,d2,4,null_vertice,1,0.77327,0.8283,1.7115,1.961,0.003,,0.26053,,0.33956,0.46162
72,d2,4,null_vertice,2,0.71551,0.8671,1.9685,2.044,0.003,,0.21795,,0.42463,0.58936
73,d2,4,null_vertice,3,0.71925,0.8647,1.9339,1.97,0.0,,0.20204,,0.40572,0.63629
74,d2,4,null_vertice,4,0.76355,0.8217,1.9697,2.264,0.0,,0.26861,,0.48588,0.58318
75,d2,4,null_vertice,5,0.69337,0.8247,2.3261,2.39,0.003,,0.29873,,0.44387,0.62871
76,d2,4,null_vertice,6,0.55423,0.7986,1.9969,2.384,0.0,,0.14893,,0.26106,0.41552
77,d2,4,null_vertice,7,0.85187,0.8323,2.0778,2.283,0.003,,0.24508,,0.56147,0.76825
78,d2,4,null_vertice,8,0.67764,0.7712,1.8015,2.136,0.003,,0.23331,,0.45617,0.54349
79,d2,4,null_vertice,9,0.79968,0.83,1.8608,2.044,0.0,,0.2552,,0.58558,0.69094
81,d3,3,2punto,1,1.18502,0.8119,1.9125,2.281,0.0,,0.92259,,1.27719,1.24674
80,d3,3,2punto,0,1.04837,0.7996,2.3638,2.078,0.012,,0.85418,,0.99075,1.09834
82,d3,3,2punto,2,1.14555,0.8271,1.85,2.052,0.0,,0.84794,,1.25304,1.12302
83,d3,3,2punto,3,1.09931,0.8339,1.7966,2.118,0.003,,0.98677,,1.01736,1.08032
84,d3,3,2punto,4,1.08444,0.8337,1.819,2.023,0.0,,0.85183,,1.00545,1.09513
85,d3,3,2punto,5,1.02298,0.7604,1.8063,2.088,0.003,,0.96428,,1.07153,1.04926
86,d3,3,2punto,6,1.06438,0.8084,1.8611,2.137,0.0,,0.92653,,0.95751,1.21353
87,d3,3,2punto,7,1.07319,0.8077,1.8011,2.245,0.003,,0.86554,,1.00068,1.20373
88,d3,3,2punto,8,1.04541,0.7661,1.842,2.24,0.0,,0.93021,,0.93679,1.07806
89,d3,3,2punto,9,1.09276,0.8055,1.9541,2.027,0.0,,1.11697,,1.11151,1.10598
90,d3,3,3punto,0,0.75558,0.7854,2.3638,2.051,0.012,,0.31276,,0.55487,0.74604
91,d3,3,3punto,1,0.64737,0.8188,1.9125,2.223,0.0,,0.17512,,0.42036,0.59413
92,d3,3,3punto,2,0.72282,0.8304,1.9085,2.028,0.0,,0.40715,,0.6482,0.72601
93,d3,3,3punto,3,0.75126,0.8327,2.0344,2.1,0.006,,0.36715,,0.50564,0.70323
94,d3,3,3punto,4,0.70112,0.8266,1.7199,1.974,0.0,,0.39502,,0.68317,0.67057
95,d3,3,3punto,5,0.74894,0.7467,1.7037,2.119,0.003,,0.32285,,0.58587,0.67819
96,d3,3,3punto,6,0.65123,0.8126,1.8611,1.875,0.0,,0.3643,,0.52385,0.68995
97,d3,3,3punto,7,0.63137,0.8105,1.7335,2.129,0.003,,0.217,,0.48317,0.68072
99,d3,3,3punto,9,0.84406,0.8051,1.9541,2.021,0.0,,0.39355,,0.63691,0.83168
98,d3,3,3punto,8,0.63961,0.7597,1.842,2.222,0.0,,0.33189,,0.44245,0.59577
100,d3,3,null_campo,0,0.68603,0.7846,2.3638,2.043,0.012,,0.31438,,0.49759,0.68776
101,d3,3,null_campo,1,0.62438,0.8108,1.9125,2.178,0.0,,0.18291,,0.36045,0.54849
102,d3,3,null_campo,2,0.71328,0.8232,1.8683,2.127,0.0,,0.39361,,0.72602,0.75224
103,d3,3,null_campo,3,0.61002,0.8293,1.7966,2.074,0.003,,0.31386,,0.46348,0.60893
104,d3,3,null_campo,4,0.60706,0.8325,1.8289,1.989,0.0,,0.38966,,0.59566,0.57926
105,d3,3,null_campo,5,0.62913,0.7472,1.7037,2.128,0.003,,0.27153,,0.50222,0.56199
106,d3,3,null_campo,6,0.61638,0.7838,1.8611,1.926,0.0,,0.32155,,0.48333,0.67888
107,d3,3,null_campo,7,0.63251,0.8002,1.7533,2.113,0.003,,0.23621,,0.49267,0.67872
108,d3,3,null_campo,8,0.51216,0.7606,1.842,2.231,0.0,,0.29943,,0.38271,0.51935
109,d3,3,null_campo,9,0.80273,0.8126,1.9541,2.094,0.0,,0.36181,,0.62812,0.80837
110,d3,3,null_vertice,0,0.73677,0.8324,1.8524,1.814,0.0,,0.30301,,0.54177,0.71761
111,d3,3,null_vertice,1,0.62188,0.8429,1.7916,1.915,0.0,,0.19634,,0.36463,0.54264
120,d3,4,2punto,0,1.19424,0.8331,1.8136,2.046,0.0,,1.05394,,1.10146,1.30235
121,d3,4,2punto,1,1.21029,0.8529,1.8343,2.028,0.0,,1.01379,,1.21237,1.32472
122,d3,4,2punto,2,1.15733,0.8046,1.8199,1.896,0.0,,0.98038,,1.17292,1.30615
123,d3,4,2punto,3,1.17585,0.8174,1.9146,1.995,0.0,,0.93167,,1.21701,1.28566
112,d3,3,null_vertice,2,0.7427,0.8276,1.8968,2.122,0.0,,0.37277,,0.6414,0.78028
113,d3,3,null_vertice,3,0.69801,0.8493,1.8954,2.034,0.003,,0.34658,,0.51554,0.68885
114,d3,3,null_vertice,4,0.7637,0.8223,1.8785,2.204,0.0,,0.43147,,0.65747,0.70741
115,d3,3,null_vertice,5,0.68707,0.776,1.6913,2.182,0.0,,0.27976,,0.53975,0.5553
117,d3,3,null_vertice,7,0.6263,0.7962,1.8392,2.184,0.0,,0.21504,,0.48378,0.71091
116,d3,3,null_vertice,6,0.64189,0.7832,1.987,2.131,0.0,,0.32825,,0.49087,0.69306
119,d3,3,null_vertice,9,0.78231,0.8388,1.9975,2.154,0.003,,0.40292,,0.64112,0.82818
118,d3,3,null_vertice,8,0.5684,0.8243,2.1363,2.155,0.0,,0.29683,,0.43921,0.55081
124,d3,4,2punto,4,1.12748,0.807,2.0563,2.131,0.0,,0.7426,,1.12051,1.26583
125,d3,4,2punto,5,1.21228,0.8179,1.8273,1.999,0.0,,0.99538,,1.07264,1.31117
126,d3,4,2punto,6,1.24733,0.8097,2.1251,1.986,0.0,,1.10421,,1.27615,1.36132
127,d3,4,2punto,7,1.1852,0.8485,1.8322,1.932,0.003,,1.09435,,1.13446,1.08441
128,d3,4,2punto,8,1.2227,0.7966,1.6204,1.956,0.0,,1.01958,,1.23099,1.27718
129,d3,4,2punto,9,1.20842,0.8,1.6902,1.894,0.003,,0.86811,,1.22995,1.33674
130,d3,4,3punto,0,0.64541,0.8343,1.863,2.05,0.0,,0.31186,,0.49888,0.60298
131,d3,4,3punto,1,0.69929,0.846,1.7592,1.988,0.0,,0.28729,,0.57606,0.73444
132,d3,4,3punto,2,0.74109,0.8112,1.8199,2.071,0.0,,0.33589,,0.52386,0.71749
133,d3,4,3punto,3,0.66074,0.7994,1.9146,2.064,0.0,,0.33818,,0.55513,0.72295
134,d3,4,3punto,4,0.6764,0.794,2.0563,1.964,0.0,,0.34205,,0.59848,0.71858
135,d3,4,3punto,5,0.67413,0.8326,1.7859,1.957,0.0,,0.39876,,0.56147,0.64893
136,d3,4,3punto,6,0.60319,0.8188,2.1251,1.972,0.0,,0.29885,,0.4301,0.63574
137,d3,4,3punto,7,0.73068,0.8445,1.7358,1.925,0.0,,0.34195,,0.56743,0.65304
138,d3,4,3punto,8,0.65709,0.8096,1.6546,2.017,0.0,,0.35118,,0.59008,0.62137
139,d3,4,3punto,9,0.72844,0.8018,1.6158,1.838,0.003,,0.32698,,0.51241,0.67743
140,d3,4,null_campo,0,0.59207,0.8343,1.874,2.023,0.0,,0.25054,,0.47065,0.60153
141,d3,4,null_campo,1,0.65371,0.8579,1.7592,2.001,0.0,,0.26285,,0.52837,0.67818
142,d3,4,null_campo,2,0.69635,0.8058,1.8199,1.852,0.0,,0.30497,,0.48673,0.65992
143,d3,4,null_campo,3,0.58906,0.814,1.9146,1.994,0.0,,0.29303,,0.50295,0.64914
145,d3,4,null_campo,5,0.65286,0.821,1.7859,1.984,0.0,,0.35297,,0.51763,0.57847
144,d3,4,null_campo,4,0.7158,0.8055,2.0563,2.128,0.0,,0.32715,,0.57984,0.7262
146,d3,4,null_campo,6,0.48099,0.8171,2.1251,1.873,0.0,,0.23318,,0.36637,0.53581
148,d3,4,null_campo,8,0.70447,0.8034,1.6474,1.983,0.0,,0.3305,,0.57944,0.63619
147,d3,4,null_campo,7,0.76314,0.861,1.7532,1.885,0.0,,0.35117,,0.56086,0.71061
149,d3,4,null_campo,9,0.72271,0.7972,1.9615,2.082,0.003,,0.28464,,0.49239,0.65132
160,d4,3,2punto,0,1.02588,0.8081,1.7084,2.03,0.0,,0.8888,,1.07316,1.03958
161,d4,3,2punto,1,1.10489,0.8271,1.6209,1.851,0.0,,1.11893,,1.0954,1.15351
162,d4,3,2punto,2,1.04725,0.833,1.9638,1.938,0.004,,0.93368,,1.05755,1.1557
163,d4,3,2punto,3,1.04804,0.8333,1.806,2.119,0.0,,0.97291,,1.00328,1.1118
152,d3,4,null_vertice,2,0.76786,0.827,1.8292,2.09,0.0,,0.3682,,0.54808,0.78285
151,d3,4,null_vertice,1,0.64855,0.8281,1.8361,1.911,0.0,,0.26271,,0.52716,0.65569
150,d3,4,null_vertice,0,0.57878,0.8557,1.9719,1.914,0.003,,0.24875,,0.4206,0.54167
153,d3,4,null_vertice,3,0.62556,0.7898,1.6975,1.894,0.0,,0.31859,,0.53169,0.6805
154,d3,4,null_vertice,4,0.65497,0.7935,1.7855,2.125,0.0,,0.32237,,0.52767,0.66001
155,d3,4,null_vertice,5,0.67942,0.8403,1.7762,1.827,0.0,,0.38848,,0.53597,0.65631
156,d3,4,null_vertice,6,0.46258,0.8161,1.6615,1.958,0.0,,0.2573,,0.33304,0.47636
157,d3,4,null_vertice,7,0.80632,0.8394,1.7675,1.798,0.0,,0.34184,,0.59478,0.71541
164,d4,3,2punto,4,1.06776,0.82,1.8504,2.091,0.004,,0.94733,,1.19183,1.03043
158,d3,4,null_vertice,8,0.6478,0.8739,1.8741,1.887,0.0,,0.31739,,0.55936,0.61117
165,d4,3,2punto,5,1.11125,0.7839,1.7664,2.193,0.0,,1.05567,,1.13576,1.09063
159,d3,4,null_vertice,9,0.69709,0.8397,1.6323,1.845,0.0,,0.28454,,0.48517,0.6189
166,d4,3,2punto,6,1.03321,0.7931,1.7728,2.109,0.0,,0.96591,,1.08175,0.98936
167,d4,3,2punto,7,1.11664,0.8783,1.8583,1.987,0.0,,1.05561,,1.11082,1.17745
168,d4,3,2punto,8,1.0364,0.72,1.5374,2.05,0.004,,0.93282,,1.0129,1.1304
169,d4,3,2punto,9,1.05041,0.808,2.0547,1.963,0.004,,0.94011,,1.10056,1.04612
170,d4,3,3punto,0,0.55827,0.8075,1.7084,2.029,0.0,,0.27901,,0.55235,0.72695
171,d4,3,3punto,1,0.56266,0.8265,1.9643,2.038,0.0,,0.3952,,0.55079,0.60274
172,d4,3,3punto,2,0.68029,0.7989,1.8376,2.013,0.004,,0.51087,,0.70732,0.75198
173,d4,3,3punto,3,0.5451,0.831,1.7326,2.035,0.0,,0.27597,,0.4791,0.64033
174,d4,3,3punto,4,0.50629,0.8109,1.7582,2.091,0.0,,0.29781,,0.48459,0.63497
175,d4,3,3punto,5,0.4983,0.7864,1.8556,2.419,0.008,,0.34961,,0.48127,0.60444
176,d4,3,3punto,6,0.6338,0.7939,1.8338,2.156,0.0,,0.50098,,0.68387,0.71082
177,d4,3,3punto,7,0.44946,0.8588,1.7256,1.94,0.0,,0.31727,,0.45682,0.51027
178,d4,3,3punto,8,0.47317,0.7263,1.527,1.899,0.0,,0.36192,,0.50474,0.46419
179,d4,3,3punto,9,0.51458,0.7962,1.8103,2.062,0.0,,0.30224,,0.59195,0.62577
180,d4,3,null_campo,0,0.5594,0.8137,1.7084,1.945,0.0,,0.3265,,0.53845,0.69236
181,d4,3,null_campo,1,0.48951,0.8256,1.6792,1.988,0.0,,0.35398,,0.45863,0.55379
182,d4,3,null_campo,2,0.6598,0.8451,1.8376,1.891,0.004,,0.46837,,0.66285,0.78271
183,d4,3,null_campo,3,0.51762,0.8188,1.7326,1.897,0.0,,0.32354,,0.48864,0.56888
185,d4,3,null_campo,5,0.53073,0.7723,1.8604,2.095,0.004,,0.35033,,0.51203,0.61858
184,d4,3,null_campo,4,0.44737,0.805,1.7485,2.078,0.004,,0.27264,,0.44149,0.55179
186,d4,3,null_campo,6,0.52631,0.7794,1.7728,2.142,0.004,,0.42035,,0.57733,0.56683
187,d4,3,null_campo,7,0.48871,0.8457,1.7256,1.948,0.004,,0.35593,,0.46591,0.5829
188,d4,3,null_campo,8,0.52097,0.7265,1.4625,1.977,0.0,,0.39005,,0.55865,0.57866
189,d4,3,null_campo,9,0.54471,0.8088,1.6008,1.878,0.0,,0.29092,,0.62559,0.67508
200,d4,4,2punto,0,1.12619,0.7806,1.8634,2.029,0.008,,0.9138,,1.26447,1.16214
190,d4,3,null_vertice,0,0.5249,0.8375,1.6303,1.909,0.0,,0.27032,,0.51204,0.66497
201,d4,4,2punto,1,1.1768,0.8376,1.6058,1.9,0.0,,1.01225,,1.19094,1.29896
202,d4,4,2punto,2,1.15124,0.8528,1.852,1.808,0.0,,0.989,,1.19038,1.2236
191,d4,3,null_vertice,1,0.46556,0.7968,1.7776,2.012,0.0,,0.30774,,0.41638,0.53687
192,d4,3,null_vertice,2,0.63401,0.8519,1.87,1.938,0.004,,0.48251,,0.62476,0.70165
193,d4,3,null_vertice,3,0.52197,0.8262,1.6961,1.973,0.0,,0.32393,,0.46156,0.57557
203,d4,4,2punto,3,1.11847,0.8359,1.8232,1.968,0.0,,0.96911,,1.15693,1.1365
195,d4,3,null_vertice,5,0.40355,0.7957,1.8174,2.078,0.0,,0.33567,,0.36785,0.46653
194,d4,3,null_vertice,4,0.47938,0.8046,2.117,2.069,0.0,,0.3171,,0.44404,0.58684
196,d4,3,null_vertice,6,0.6574,0.7749,1.6243,2.02,0.0,,0.49043,,0.69279,0.75297
197,d4,3,null_vertice,7,0.46493,0.846,1.902,2.058,0.0,,0.32336,,0.46212,0.53676
198,d4,3,null_vertice,8,0.46432,0.747,1.851,2.032,0.0,,0.37805,,0.47896,0.51092
199,d4,3,null_vertice,9,0.52023,0.7996,1.8435,2.089,0.0,,0.28879,,0.60655,0.61856
204,d4,4,2punto,4,1.13237,0.8218,1.7579,1.992,0.0,,1.01292,,1.12514,1.23121
205,d4,4,2punto,5,1.12644,0.8013,1.7562,1.899,0.0,,0.93281,,1.17243,1.18685
206,d4,4,2punto,6,1.11899,0.7886,1.705,2.027,0.0,,1.00148,,1.13984,1.21297
207,d4,4,2punto,7,1.12615,0.8157,1.7488,2.023,0.0,,0.98861,,1.14918,1.19874
208,d4,4,2punto,8,1.14832,0.8617,1.8265,2.07,0.0,,0.97852,,1.09229,1.28108
209,d4,4,2punto,9,1.16404,0.8016,1.6715,1.943,0.0,,1.00417,,1.11929,1.33906
210,d4,4,3punto,0,0.49753,0.7761,2.026,2.062,0.008,,0.29696,,0.51059,0.63954
212,d4,4,3punto,2,0.68463,0.8546,1.6934,1.715,0.0,,0.44067,,0.70705,0.8034
213,d4,4,3punto,3,0.4697,0.8265,1.7428,2.024,0.0,,0.30364,,0.43048,0.56177
211,d4,4,3punto,1,0.71669,0.8199,1.6058,1.897,0.0,,0.48822,,0.76015,0.80353
214,d4,4,3punto,4,0.60518,0.8411,1.7579,2.133,0.0,,0.38974,,0.64445,0.70251
215,d4,4,3punto,5,0.52435,0.822,1.7562,2.06,0.0,,0.34194,,0.5129,0.62426
216,d4,4,3punto,6,0.64687,0.792,1.6582,1.872,0.0,,0.4035,,0.66428,0.78998
217,d4,4,3punto,7,0.53252,0.8159,1.7524,1.906,0.0,,0.4356,,0.55344,0.61027
218,d4,4,3punto,8,0.53893,0.8582,1.749,1.892,0.0,,0.30252,,0.56612,0.67678
219,d4,4,3punto,9,0.58419,0.8135,1.6629,1.849,0.0,,0.37489,,0.56367,0.71665
220,d4,4,null_campo,0,0.45899,0.7849,1.8289,1.945,0.008,,0.26888,,0.48445,0.60068
221,d4,4,null_campo,1,0.69835,0.8306,1.6626,1.979,0.0,,0.47423,,0.75477,0.81714
222,d4,4,null_campo,2,0.64742,0.8476,1.7119,1.813,0.0,,0.41226,,0.66181,0.77084
223,d4,4,null_campo,3,0.49358,0.8402,1.6323,1.908,0.0,,0.33989,,0.46256,0.57225
224,d4,4,null_campo,4,0.60268,0.8251,1.7579,1.954,0.0,,0.39445,,0.65088,0.69688
225,d4,4,null_campo,5,0.48437,0.7995,1.7562,1.972,0.0,,0.32804,,0.47759,0.56867
227,d4,4,null_campo,7,0.54823,0.8198,1.7018,2.03,0.0,,0.43369,,0.57414,0.66391
226,d4,4,null_campo,6,0.62963,0.7882,1.9351,1.894,0.0,,0.36088,,0.61385,0.7668
228,d4,4,null_campo,8,0.55499,0.8609,1.9017,1.841,0.0,,0.32645,,0.56519,0.67491
229,d4,4,null_campo,9,0.56352,0.8116,1.7086,1.958,0.0,,0.33734,,0.53786,0.7036
240,curv,3,2punto,0,0.91824,0.7915,2.4795,2.348,0.025,0.82692,0.91038,1.04838,0.92161,1.2374
241,curv,3,2punto,1,0.91109,0.8076,1.9714,2.207,0.011,0.80765,0.8079,1.05933,1.1593,1.40786
242,curv,3,2punto,2,0.9255,0.7883,2.0213,2.191,0.008,0.7999,0.91968,1.02178,1.00758,1.43796
230,d4,4,null_vertice,0,0.48094,0.8164,1.6887,1.96,0.0,,0.28307,,0.51367,0.60327
243,curv,3,2punto,3,0.94398,0.7964,2.1829,2.408,0.033,0.79483,1.18826,1.05017,1.02607,0.96219
231,d4,4,null_vertice,1,0.68962,0.858,1.742,1.862,0.0,,0.49756,,0.74738,0.80308
232,d4,4,null_vertice,2,0.70346,0.8437,1.711,1.84,0.0,,0.43683,,0.6996,0.84399
234,d4,4,null_vertice,4,0.58112,0.8118,1.7191,1.913,0.0,,0.34543,,0.60486,0.72515
233,d4,4,null_vertice,3,0.43645,0.8078,1.723,2.127,0.0,,0.30401,,0.4204,0.50007
236,d4,4,null_vertice,6,0.57559,0.8495,1.7221,1.854,0.0,,0.32439,,0.5749,0.71684
235,d4,4,null_vertice,5,0.53895,0.8052,1.7435,1.889,0.0,,0.33953,,0.53749,0.65064
237,d4,4,null_vertice,7,0.48265,0.8682,1.9756,1.884,0.0,,0.36764,,0.53404,0.55947
244,curv,3,2punto,4,0.95827,0.7856,2.5589,2.419,0.033,0.81876,1.03982,1.07597,1.38052,1.14076
246,curv,3,2punto,6,0.89226,0.8197,1.9175,2.28,0.014,0.7486,0.93175,1.01759,0.97464,1.234
245,curv,3,2punto,5,0.91509,0.7532,2.0785,2.319,0.017,0.73625,0.97671,1.14067,1.08334,1.14797
247,curv,3,2punto,7,0.94926,0.8327,2.1372,2.358,0.006,0.86704,1.0324,1.08857,1.01431,0.99764
238,d4,4,null_vertice,8,0.53994,0.8444,1.897,1.986,0.0,,0.31079,,0.55356,0.67997
239,d4,4,null_vertice,9,0.5317,0.8514,1.7653,2.003,0.0,,0.31426,,0.51468,0.65357
249,curv,3,2punto,9,0.94371,0.8102,2.7833,2.338,0.028,0.80254,0.97669,1.18496,1.12649,0.89216
248,curv,3,2punto,8,0.86347,0.7139,1.8598,2.426,0.025,0.71903,0.86656,1.00914,1.05344,0.9366
250,curv,3,3punto,0,0.23584,0.8078,2.4795,2.291,0.028,0.11168,0.22221,0.27647,0.45457,0.55364
252,curv,3,3punto,2,0.31145,0.7944,2.0213,2.199,0.011,0.13802,0.3632,0.43685,0.45374,0.75655
251,curv,3,3punto,1,0.25651,0.8073,1.9714,2.112,0.014,0.11017,0.27709,0.393,0.47471,0.50574
255,curv,3,3punto,5,0.23167,0.7624,2.0785,2.318,0.017,0.09821,0.25465,0.34694,0.36179,0.51528
253,curv,3,3punto,3,0.20698,0.7939,2.2036,2.367,0.033,0.07787,0.21971,0.25171,0.41663,0.55593
254,curv,3,3punto,4,0.25147,0.7725,2.5589,2.42,0.036,0.09724,0.24898,0.3155,0.49159,0.72296
256,curv,3,3punto,6,0.22404,0.8061,1.9175,2.307,0.014,0.09236,0.27623,0.33835,0.35699,0.39575
