carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,lote,M_pre_poda,n_cut,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida
A2-B0-C2-r20_f704_anticosto,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3706,,2000,cosmog_00500,17239.600000000002,1560.4000000000005,18800.000000000004,0.08300000000000002,8,0.047,1560.3999999999999,0.42331288343558277,0.42234848484848475,0,anticosto,371828,3883,177,3706,3.706,0.0021333333333333334,0.002412739263310278,0.5911400385650599
A2-B0-C2-r20_f704_antisoporte,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3706,,2000,cosmog_00500,17239.600000000002,1560.4000000000005,18800.000000000004,0.08300000000000002,8,0.043,1560.3999999999999,0.5,0.506547619047619,0,antisoporte,371828,3883,177,3706,3.706,0.0,0.0,0.546474417340981
A2-B0-C2-r20_f704_azar,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3706,,2000,cosmog_00500,17258.4,1541.6000000000004,18800.0,0.08200000000000002,8,0.039,1541.6,0.35668789808917173,0.3561147186147185,0,azar,371828,3883,177,3706,3.706,0.00405,0.00481270554263255,0.6548684162219833
A2-B0-C2-r20_f704_c2,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3706,,2000,cosmog_00500,17202.0,1598.0000000000005,18800.0,0.08500000000000002,8,0.038,1598.0,0.3502824858757061,0.3541666666666666,0,c2,371828,3883,177,3706,3.706,0.0023166666666666665,0.0028945887271850123,0.7081758225701758
A2-B0-C2-r20_f704_soporte,A2-B0-C2-r20,,373769,5,0.302,0.292,4.7,6,3706,,2000,cosmog_00500,17192.600000000002,1607.4000000000005,18800.000000000004,0.0855,8,0.038,1607.4,0.41818181818181827,0.42668650793650803,0,soporte,371828,3883,177,3706,3.706,0.004166666666666667,0.005283804339124169,0.5980483596828989
A2-B0-C2-r28_f704_anticosto,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3947,,2000,cosmog_00500,17164.4,1635.6000000000006,18800.000000000004,0.08700000000000001,8,0.042,1635.6,0.4482758620689655,0.44568452380952384,0,anticosto,371828,4184,237,3947,3.947,0.006516666666666666,0.007178996307944756,0.7291084336707532
A2-B0-C2-r28_f704_antisoporte,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3947,,2000,cosmog_00500,17145.600000000002,1654.4000000000005,18800.000000000004,0.08800000000000001,8,0.035,1654.4,0.38297872340425526,0.3897474053724054,0,antisoporte,371828,4184,237,3947,3.947,0.0,0.0,0.7113217851684518
A2-B0-C2-r28_f704_azar,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3947,,2000,cosmog_00500,17145.600000000002,1654.4000000000005,18800.000000000004,0.08800000000000001,8,0.034,1654.3999999999999,0.35483870967741943,0.34970238095238104,0,azar,371828,4184,237,3947,3.947,0.013483333333333335,0.012422360248447204,0.7863661827548233
A2-B0-C2-r28_f704_c2,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3947,,2000,cosmog_00500,17089.2,1710.8000000000006,18800.0,0.09100000000000004,8,0.039,1710.8,0.4193548387096774,0.4304067460317459,0,c2,371828,4184,237,3947,3.947,0.010516666666666665,0.0076262452765372725,0.6864755601172486
A2-B0-C2-r28_f704_soporte,A2-B0-C2-r28,,374545,6,0.47,0.23,7.76,6,3947,,2000,cosmog_00500,17126.8,1673.2000000000007,18800.0,0.08900000000000004,8,0.033,1673.2,0.44262295081967207,0.4451884920634921,0,soporte,371828,4184,237,3947,3.947,0.015933333333333334,0.015107615894039736,0.6915437949955423
