patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
20,20710,1500,marco_congelado,8,0.566,nan,0.052,0,7.968,0,0.952,0.913,4,17
21,20713,1500,excl_orto,8,0.677,5.001,0.05,1,6.007,1,0.875,0.91,4,17
21,20713,1500,sin_excl,8,0.677,5.134,0.048,2,4.289,1,0.938,0.9,3,17
21,20713,1500,excl_orto_barajada,8,0.677,nan,0.049,2,5.406,1,1.006,0.9,4,17
21,20713,1500,excl_orto_bosones,8,0.677,nan,0.048,1,4.589,1,0.831,0.915,3,17
21,20713,1500,marco_congelado,8,0.677,4.916,0.049,0,7.969,0,0.942,0.905,4,17
22,20716,1500,excl_orto,8,0.616,5.095,0.053,2,6.512,1,0.806,0.907,3,17
22,20716,1500,sin_excl,8,0.616,nan,0.053,1,4.112,1,0.885,0.92,3,17
22,20716,1500,excl_orto_barajada,8,0.616,nan,0.05,1,5.545,1,0.936,0.886,3,17
22,20716,1500,excl_orto_bosones,8,0.616,4.852,0.053,2,5.204,1,0.807,0.905,3,17
22,20716,1500,marco_congelado,8,0.616,4.912,0.047,0,7.954,0,0.889,0.923,3,17
23,20719,1500,excl_orto,8,0.602,5.165,0.051,1,5.94,1,0.993,0.901,3,17
23,20719,1500,sin_excl,8,0.602,5.043,0.053,1,4.154,1,0.861,0.905,4,17
23,20719,1500,excl_orto_barajada,8,0.602,nan,0.053,1,5.019,1,1.028,0.913,3,17
23,20719,1500,excl_orto_bosones,8,0.602,4.881,0.038,1,5.61,1,0.901,0.917,4,17
23,20719,1500,marco_congelado,8,0.602,5.017,0.046,0,7.971,0,0.887,0.907,3,17
24,20722,1500,excl_orto,8,0.546,5.069,0.037,1,5.489,1,1.06,0.895,4,17
24,20722,1500,sin_excl,8,0.546,5.116,0.054,1,3.799,1,0.737,0.896,3,17
24,20722,1500,excl_orto_barajada,8,0.546,4.945,0.052,2,5.822,1,0.983,0.905,3,17
24,20722,1500,excl_orto_bosones,8,0.546,nan,0.041,2,5.435,1,0.949,0.905,3,17
24,20722,1500,marco_congelado,8,0.546,4.882,0.057,0,7.962,0,0.853,0.913,3,17
25,20725,1500,excl_orto,8,0.713,nan,0.048,1,5.756,1,1.086,0.903,3,17
25,20725,1500,sin_excl,8,0.713,4.988,0.04,1,4.368,1,1.053,0.907,4,17
25,20725,1500,excl_orto_barajada,8,0.713,5.053,0.05,1,5.776,1,0.995,0.905,3,17
25,20725,1500,excl_orto_bosones,8,0.713,4.738,0.053,1,3.907,1,0.763,0.891,3,17
25,20725,1500,marco_congelado,8,0.713,4.903,0.049,0,7.971,0,0.863,0.901,3,17
26,20728,1500,excl_orto,8,0.591,4.874,0.048,1,6.284,1,1.033,0.9,4,17
26,20728,1500,sin_excl,8,0.591,4.967,0.053,1,4.15,1,0.933,0.897,3,17
26,20728,1500,excl_orto_barajada,8,0.591,5.187,0.037,1,5.639,1,0.822,0.905,4,17
26,20728,1500,excl_orto_bosones,8,0.591,5.036,0.047,1,5.031,1,1.001,0.895,3,17
26,20728,1500,marco_congelado,8,0.591,4.817,0.051,0,7.975,0,1.04,0.899,3,17
28,20734,1500,excl_orto,8,0.503,4.836,0.041,1,5.066,1,0.861,0.9,4,17
28,20734,1500,sin_excl,8,0.503,5.19,0.055,1,4.777,1,0.927,0.909,3,17
28,20734,1500,excl_orto_barajada,8,0.503,5.069,0.043,1,5.382,1,0.937,0.908,3,17
28,20734,1500,excl_orto_bosones,8,0.503,4.702,0.053,2,5.087,1,0.799,0.91,3,17
28,20734,1500,marco_congelado,8,0.503,4.833,0.049,0,7.963,0,0.874,0.911,3,17
27,20731,1500,excl_orto,8,0.757,nan,0.047,2,6.236,1,0.95,0.912,4,17
27,20731,1500,sin_excl,8,0.757,4.457,0.052,1,4.001,1,0.703,0.912,3,17
27,20731,1500,excl_orto_barajada,8,0.757,5.05,0.04,1,5.334,1,1.026,0.898,3,17
27,20731,1500,excl_orto_bosones,8,0.757,4.806,0.052,1,3.634,1,0.952,0.907,4,17
27,20731,1500,marco_congelado,8,0.757,4.899,0.05,0,7.961,0,1.021,0.911,3,17
29,20737,1500,excl_orto,8,0.553,nan,0.05,3,5.369,1,0.836,0.909,3,17
29,20737,1500,sin_excl,8,0.553,nan,0.045,1,4.159,1,0.771,0.885,3,17
29,20737,1500,excl_orto_barajada,8,0.553,5.016,0.053,1,5.074,1,1.043,0.905,3,17
29,20737,1500,excl_orto_bosones,8,0.553,4.725,0.049,2,6.276,1,0.893,0.897,4,17
29,20737,1500,marco_congelado,8,0.553,nan,0.039,0,7.969,0,0.909,0.908,3,17
30,20740,1500,excl_orto,8,0.741,4.789,0.05,2,5.83,1,0.897,0.906,3,17
30,20740,1500,sin_excl,8,0.741,4.933,0.057,1,3.79,1,0.855,0.927,2,17
30,20740,1500,excl_orto_barajada,8,0.741,4.87,0.054,5,6.61,1,0.92,0.913,4,17
30,20740,1500,excl_orto_bosones,8,0.741,5.054,0.051,1,4.74,1,0.851,0.913,4,17
30,20740,1500,marco_congelado,8,0.741,nan,0.065,0,7.957,0,0.923,0.92,3,17
32,20746,1500,excl_orto,8,0.896,4.88,0.049,1,6.582,1,0.982,0.913,3,17
32,20746,1500,sin_excl,8,0.896,5.023,0.045,1,3.64,1,0.718,0.92,3,17
32,20746,1500,excl_orto_barajada,8,0.896,5.051,0.045,1,6.534,1,0.907,0.907,3,17
32,20746,1500,excl_orto_bosones,8,0.896,4.819,0.05,2,4.208,1,0.784,0.909,3,17
32,20746,1500,marco_congelado,8,0.896,4.832,0.055,0,7.961,0,0.934,0.905,3,17
31,20743,1500,excl_orto,8,0.815,nan,0.045,3,6.396,1,0.922,0.903,4,17
31,20743,1500,sin_excl,8,0.815,4.591,0.048,1,4.172,1,0.841,0.917,4,17
31,20743,1500,excl_orto_barajada,8,0.815,nan,0.053,1,6.608,1,0.874,0.926,3,17
31,20743,1500,excl_orto_bosones,8,0.815,4.882,0.05,1,3.688,1,0.866,0.912,3,17
31,20743,1500,marco_congelado,8,0.815,5.051,0.044,0,7.957,0,1.14,0.913,3,17
35,20755,1500,excl_orto,8,0.899,nan,0.046,1,6.296,1,0.877,0.905,3,17
35,20755,1500,sin_excl,8,0.899,4.497,0.043,1,4.844,1,0.837,0.917,4,17
35,20755,1500,excl_orto_barajada,8,0.899,4.782,0.052,2,7.016,1,0.998,0.911,3,17
35,20755,1500,excl_orto_bosones,8,0.899,5.044,0.054,1,3.989,1,0.874,0.897,3,17
35,20755,1500,marco_congelado,8,0.899,4.847,0.05,0,7.965,0,0.926,0.912,1,16
33,20749,1500,excl_orto,8,0.788,5.072,0.046,2,5.871,1,1.009,0.915,3,17
33,20749,1500,sin_excl,8,0.788,nan,0.041,1,4.174,1,0.918,0.908,3,17
33,20749,1500,excl_orto_barajada,8,0.788,5.207,0.055,1,5.663,1,0.809,0.911,4,17
33,20749,1500,excl_orto_bosones,8,0.788,4.808,0.049,1,4.172,1,0.998,0.901,3,17
33,20749,1500,marco_congelado,8,0.788,5.075,0.049,0,7.957,0,1.016,0.899,3,17
34,20752,1500,excl_orto,8,0.546,4.897,0.051,2,5.532,1,1.0,0.899,4,17
34,20752,1500,sin_excl,8,0.546,4.809,0.05,2,3.751,1,1.014,0.894,4,17
34,20752,1500,excl_orto_barajada,8,0.546,5.204,0.041,2,5.342,1,0.866,0.901,3,17
34,20752,1500,excl_orto_bosones,8,0.546,5.072,0.046,1,4.887,1,0.91,0.891,3,17
34,20752,1500,marco_congelado,8,0.546,4.917,0.055,0,7.965,0,1.003,0.918,3,17
38,20764,1500,excl_orto,8,0.617,4.939,0.051,1,6.056,1,0.918,0.905,4,17
38,20764,1500,sin_excl,8,0.617,5.029,0.053,1,4.426,1,0.86,0.912,3,17
38,20764,1500,excl_orto_barajada,8,0.617,5.063,0.054,1,5.073,1,1.026,0.901,3,17
38,20764,1500,excl_orto_bosones,8,0.617,4.395,0.05,1,5.49,1,0.864,0.897,3,17
38,20764,1500,marco_congelado,8,0.617,4.948,0.053,0,7.962,0,1.056,0.906,4,17
36,20758,1500,excl_orto,8,0.72,nan,0.042,1,6.312,1,0.875,0.915,5,17
36,20758,1500,sin_excl,8,0.72,nan,0.051,1,2.969,1,0.822,0.912,4,17
36,20758,1500,excl_orto_barajada,8,0.72,4.687,0.052,2,6.438,1,1.126,0.915,4,17
36,20758,1500,excl_orto_bosones,8,0.72,4.781,0.052,1,3.82,1,0.94,0.902,4,17
36,20758,1500,marco_congelado,8,0.72,nan,0.049,0,7.958,0,1.055,0.918,4,17
37,20761,1500,excl_orto,8,0.64,5.098,0.053,2,5.942,1,0.885,0.911,3,17
37,20761,1500,sin_excl,8,0.64,5.091,0.048,1,4.032,1,0.934,0.899,3,17
37,20761,1500,excl_orto_barajada,8,0.64,4.848,0.056,1,5.839,1,0.902,0.911,4,17
37,20761,1500,excl_orto_bosones,8,0.64,4.942,0.043,3,5.668,1,0.939,0.916,3,17
37,20761,1500,marco_congelado,8,0.64,4.774,0.05,0,7.947,0,0.973,0.91,3,17
41,20773,1500,excl_orto,8,0.532,4.986,0.048,3,5.736,1,0.873,0.891,3,17
41,20773,1500,sin_excl,8,0.532,4.685,0.04,1,3.599,1,0.771,0.913,3,17
41,20773,1500,excl_orto_barajada,8,0.532,4.189,0.046,1,5.615,1,0.977,0.904,3,17
41,20773,1500,excl_orto_bosones,8,0.532,4.777,0.049,1,4.78,1,1.058,0.893,3,17
41,20773,1500,marco_congelado,8,0.532,4.963,0.054,0,7.966,0,0.84,0.895,4,17
39,20767,1500,excl_orto,8,0.715,5.121,0.042,1,5.697,1,0.921,0.915,3,17
39,20767,1500,sin_excl,8,0.715,nan,0.046,2,4.07,1,0.824,0.906,4,17
39,20767,1500,excl_orto_barajada,8,0.715,nan,0.037,1,5.526,1,0.948,0.903,4,17
39,20767,1500,excl_orto_bosones,8,0.715,5.154,0.049,2,5.126,1,1.108,0.904,3,17
39,20767,1500,marco_congelado,8,0.715,5.058,0.048,0,7.967,0,0.972,0.909,4,17
40,20770,1500,excl_orto,8,0.906,4.84,0.054,1,7.197,1,0.94,0.915,3,17
40,20770,1500,sin_excl,8,0.906,4.868,0.055,3,4.592,1,0.819,0.915,3,17
40,20770,1500,excl_orto_barajada,8,0.906,nan,0.044,1,6.164,1,0.889,0.907,3,17
40,20770,1500,excl_orto_bosones,8,0.906,5.009,0.049,1,3.937,1,0.983,0.911,3,17
40,20770,1500,marco_congelado,8,0.906,5.025,0.045,0,7.946,0,1.006,0.913,3,17
42,20776,1500,excl_orto,8,0.714,nan,0.046,2,6.126,1,0.956,0.909,3,17
42,20776,1500,sin_excl,8,0.714,4.855,0.047,1,4.023,1,0.933,0.899,4,17
42,20776,1500,excl_orto_barajada,8,0.714,5.091,0.05,1,6.341,1,1.029,0.901,4,17
42,20776,1500,excl_orto_bosones,8,0.714,4.833,0.052,1,4.798,1,1.154,0.915,3,17
42,20776,1500,marco_congelado,8,0.714,4.815,0.053,0,7.981,0,0.917,0.913,3,17
44,20782,1500,excl_orto,8,0.55,4.599,0.053,1,5.829,1,0.974,0.915,3,17
44,20782,1500,sin_excl,8,0.55,nan,0.048,1,3.681,1,0.828,0.909,4,17
44,20782,1500,excl_orto_barajada,8,0.55,4.975,0.048,1,4.638,1,0.901,0.905,3,17
44,20782,1500,excl_orto_bosones,8,0.55,nan,0.046,1,5.549,1,0.629,0.898,3,17
44,20782,1500,marco_congelado,8,0.55,5.032,0.052,0,7.967,0,0.958,0.909,3,17
43,20779,1500,excl_orto,8,0.92,4.99,0.055,2,6.662,1,1.015,0.919,3,17
43,20779,1500,sin_excl,8,0.92,4.937,0.053,1,4.81,1,0.764,0.905,3,17
43,20779,1500,excl_orto_barajada,8,0.92,4.879,0.051,1,6.957,1,1.052,0.907,4,17
43,20779,1500,excl_orto_bosones,8,0.92,4.929,0.05,1,4.563,1,0.78,0.905,1,17
43,20779,1500,marco_congelado,8,0.92,4.64,0.049,0,7.975,0,1.04,0.909,3,17
46,20788,1500,excl_orto,8,0.521,4.415,0.054,1,5.671,1,1.018,0.908,4,17
46,20788,1500,sin_excl,8,0.521,4.834,0.05,1,4.463,1,0.896,0.908,3,17
46,20788,1500,excl_orto_barajada,8,0.521,4.852,0.047,1,5.201,1,0.92,0.897,3,17
46,20788,1500,excl_orto_bosones,8,0.521,4.947,0.047,1,4.874,1,1.017,0.903,4,17
46,20788,1500,marco_congelado,8,0.521,5.128,0.043,0,7.982,0,1.092,0.896,3,17
45,20785,1500,excl_orto,8,0.605,4.8,0.044,1,5.768,1,0.899,0.914,3,17
45,20785,1500,sin_excl,8,0.605,4.041,0.049,1,3.017,1,0.872,0.905,3,17
45,20785,1500,excl_orto_barajada,8,0.605,4.897,0.039,3,5.765,1,0.877,0.893,3,17
45,20785,1500,excl_orto_bosones,8,0.605,nan,0.046,3,5.375,1,0.769,0.903,3,17
45,20785,1500,marco_congelado,8,0.605,4.655,0.055,0,7.959,0,1.043,0.902,4,17
47,20791,1500,excl_orto,8,0.872,4.896,0.051,1,6.046,1,1.008,0.911,4,17
47,20791,1500,sin_excl,8,0.872,4.754,0.045,1,3.299,1,0.812,0.907,3,17
47,20791,1500,excl_orto_barajada,8,0.872,4.869,0.052,2,6.154,1,0.916,0.91,3,17
47,20791,1500,excl_orto_bosones,8,0.872,5.001,0.051,1,4.146,1,0.8,0.917,3,17
47,20791,1500,marco_congelado,8,0.872,4.85,0.05,0,7.973,0,0.869,0.915,4,17
50,20800,1500,excl_orto,8,0.877,4.978,0.053,1,6.344,1,0.792,0.915,3,17
50,20800,1500,sin_excl,8,0.877,4.845,0.052,2,4.382,1,0.811,0.907,4,17
50,20800,1500,excl_orto_barajada,8,0.877,nan,0.048,0,7.098,0,0.964,0.92,3,17
50,20800,1500,excl_orto_bosones,8,0.877,4.904,0.053,1,4.975,1,0.986,0.911,1,16
50,20800,1500,marco_congelado,8,0.877,4.961,0.049,0,7.956,0,1.071,0.913,3,17
49,20797,1500,excl_orto,8,0.912,4.881,0.047,1,6.531,1,0.904,0.914,3,17
49,20797,1500,sin_excl,8,0.912,5.013,0.049,1,4.319,1,1.166,0.921,3,16
49,20797,1500,excl_orto_barajada,8,0.912,nan,0.051,1,6.308,1,0.924,0.903,2,17
49,20797,1500,excl_orto_bosones,8,0.912,nan,0.045,1,5.068,1,0.953,0.906,3,17
49,20797,1500,marco_congelado,8,0.912,nan,0.053,0,7.959,0,0.896,0.903,4,17
48,20794,1500,excl_orto,8,0.566,nan,0.048,2,6.02,1,1.135,0.913,3,17
48,20794,1500,sin_excl,8,0.566,4.875,0.056,3,4.568,1,0.88,0.912,3,17
48,20794,1500,excl_orto_barajada,8,0.566,nan,0.039,1,4.989,1,0.871,0.895,4,17
48,20794,1500,excl_orto_bosones,8,0.566,5.056,0.056,1,4.879,1,1.096,0.908,3,17
48,20794,1500,marco_congelado,8,0.566,nan,0.052,0,7.955,0,1.043,0.913,4,17
52,20806,1500,excl_orto,8,0.64,4.725,0.046,2,5.814,1,0.797,0.897,4,17
52,20806,1500,sin_excl,8,0.64,5.112,0.052,1,3.508,1,0.804,0.901,3,17
52,20806,1500,excl_orto_barajada,8,0.64,5.078,0.05,2,5.381,1,0.841,0.901,3,17
52,20806,1500,excl_orto_bosones,8,0.64,4.962,0.051,1,4.904,1,0.877,0.909,3,17
52,20806,1500,marco_congelado,8,0.64,4.703,0.054,0,7.965,0,0.947,0.903,4,17
51,20803,1500,excl_orto,8,0.636,nan,0.051,2,5.462,1,0.922,0.921,3,17
51,20803,1500,sin_excl,8,0.636,4.872,0.048,1,3.496,1,0.759,0.908,4,17
51,20803,1500,excl_orto_barajada,8,0.636,4.85,0.054,1,5.842,1,1.048,0.899,3,17
51,20803,1500,excl_orto_bosones,8,0.636,4.91,0.047,1,4.311,1,0.95,0.905,3,17
51,20803,1500,marco_congelado,8,0.636,5.098,0.052,0,7.971,0,0.93,0.905,3,17
53,20809,1500,excl_orto,8,0.523,4.881,0.052,3,5.813,1,0.994,0.907,3,17
53,20809,1500,sin_excl,8,0.523,4.906,0.056,1,3.871,1,0.983,0.899,4,17
53,20809,1500,excl_orto_barajada,8,0.523,nan,0.054,2,5.229,1,0.979,0.909,4,17
53,20809,1500,excl_orto_bosones,8,0.523,4.804,0.05,2,5.484,1,1.008,0.913,4,17
53,20809,1500,marco_congelado,8,0.523,4.888,0.049,0,7.963,0,1.054,0.907,3,17
54,20812,1500,excl_orto,8,0.719,nan,0.043,2,5.895,1,0.916,0.913,3,17
54,20812,1500,sin_excl,8,0.719,4.828,0.054,2,4.509,1,0.733,0.908,4,17
54,20812,1500,excl_orto_barajada,8,0.719,5.012,0.048,2,6.027,1,0.878,0.899,4,17
54,20812,1500,excl_orto_bosones,8,0.719,nan,0.033,1,5.09,1,0.721,0.909,3,17
54,20812,1500,marco_congelado,8,0.719,4.991,0.05,0,7.948,0,0.854,0.892,3,17
57,20821,1500,excl_orto,8,0.501,4.934,0.049,1,6.087,1,0.864,0.907,3,17
57,20821,1500,sin_excl,8,0.501,4.784,0.052,1,4.387,1,0.852,0.904,3,17
57,20821,1500,excl_orto_barajada,8,0.501,4.971,0.052,2,5.266,1,0.855,0.909,4,17
57,20821,1500,excl_orto_bosones,8,0.501,4.668,0.054,1,5.987,1,0.901,0.903,3,17
