patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
11,22717,3000,null_mediado,nematico,-0.768,0.045,1,1.233,1,1.035,0.929,4,12
11,22717,3000,subconjunto,nematico,-0.221,0.041,0,7.981,0,0.954,0.931,4,11
6,12397,3000,completo,nematico,0.209,0.043,1,1.249,1,1.035,0.936,4,12
6,12397,3000,null_tipos,nematico,-0.175,0.043,1,1.312,1,1.047,0.931,4,12
6,12397,3000,null_marco,nematico,0.556,0.049,0,7.981,0,0.986,0.933,3,12
6,12397,3000,null_mediado,nematico,-0.703,0.049,1,1.307,1,0.788,0.937,4,11
6,12397,3000,subconjunto,nematico,-0.088,0.045,0,7.984,0,1.002,0.933,4,12
10,20653,3000,completo,nematico,-0.02,0.043,1,1.208,1,0.992,0.932,4,13
10,20653,3000,null_tipos,nematico,-0.336,0.048,1,1.285,1,1.395,0.936,4,12
10,20653,3000,null_marco,nematico,-0.274,0.047,0,7.985,0,0.924,0.94,4,12
10,20653,3000,null_mediado,nematico,0.335,0.043,1,1.288,1,1.066,0.93,4,12
10,20653,3000,subconjunto,nematico,0.253,0.047,0,7.983,0,1.069,0.937,5,11
13,26845,3000,completo,nematico,0.024,0.042,1,1.231,1,1.214,0.941,4,12
13,26845,3000,null_tipos,nematico,-0.864,0.05,1,1.386,1,1.17,0.929,3,12
13,26845,3000,null_marco,nematico,-0.186,0.047,0,7.983,0,0.95,0.93,4,12
13,26845,3000,null_mediado,nematico,0.418,0.045,1,1.447,1,0.461,0.929,3,12
13,26845,3000,subconjunto,nematico,0.414,0.028,0,7.986,0,1.073,0.934,4,11
12,24781,3000,completo,nematico,-0.713,0.05,1,1.344,1,0.965,0.93,4,11
12,24781,3000,null_tipos,nematico,-0.136,0.047,1,1.241,1,0.725,0.936,4,12
12,24781,3000,null_marco,nematico,-0.125,0.052,0,7.978,0,1.037,0.928,1,11
12,24781,3000,null_mediado,nematico,0.106,0.041,1,1.259,1,0.888,0.932,4,13
12,24781,3000,subconjunto,nematico,0.476,0.046,0,7.981,0,1.007,0.938,4,11
14,28909,3000,completo,nematico,-0.366,0.045,1,1.265,1,0.764,0.929,4,12
14,28909,3000,null_tipos,nematico,-0.59,0.043,1,1.317,1,0.874,0.931,4,12
14,28909,3000,null_marco,nematico,-1.554,0.05,0,7.979,0,0.988,0.93,4,12
14,28909,3000,null_mediado,nematico,-0.142,0.049,1,1.4,1,0.639,0.93,4,12
14,28909,3000,subconjunto,nematico,-0.331,0.044,0,7.98,0,1.014,0.934,4,12
15,30973,3000,completo,nematico,0.871,0.045,1,1.194,1,0.87,0.926,4,13
15,30973,3000,null_tipos,nematico,0.586,0.047,1,1.474,1,0.978,0.938,4,12
15,30973,3000,null_marco,nematico,-1.051,0.045,0,7.976,0,0.972,0.929,4,12
15,30973,3000,null_mediado,nematico,-0.0,0.045,1,1.31,1,0.713,0.938,4,12
15,30973,3000,subconjunto,nematico,-0.0,0.048,0,7.986,0,0.917,0.931,4,12
16,33037,3000,completo,nematico,-0.148,0.047,1,1.33,1,0.546,0.93,4,12
16,33037,3000,null_tipos,nematico,0.692,0.048,1,1.257,1,1.219,0.933,4,12
16,33037,3000,null_marco,nematico,-0.502,0.04,0,7.988,0,0.853,0.925,4,13
16,33037,3000,null_mediado,nematico,-0.206,0.047,1,1.235,1,1.079,0.945,4,12
16,33037,3000,subconjunto,nematico,0.38,0.049,0,7.979,0,0.989,0.934,4,12
