metrica,brazo_a,brazo_b,n,media_a,media_b,delta_medio,delta_mediano,delta_sd,delta_rel_pct,delta_en_particulas,n_a_gana,n_b_gana,n_empates,p_signos,p_wilcoxon
kappa_v_agregado,alin_dil,perm_dil,12,1.2041458327797283,1.1845838854709503,0.019561947308778072,0.029411570160468692,0.12908102432649937,1.6513771248036948,nan,7,5,0,0.7744140625,0.85009765625
n_sumideros,alineado,permutado,12,8.0,8.083333333333334,-0.08333333333333333,0.0,0.28867513459481287,-1.030927835051546,nan,0,1,11,1.0,1.0
n_sumideros,alineado,anti,12,8.0,8.083333333333334,-0.08333333333333333,0.0,0.28867513459481287,-1.030927835051546,nan,0,1,11,1.0,1.0
n_sumideros,alineado,alin_dil,12,8.0,8.083333333333334,-0.08333333333333333,0.0,0.28867513459481287,-1.030927835051546,nan,0,1,11,1.0,1.0
n_sumideros,alineado,perm_dil,12,8.0,8.083333333333334,-0.08333333333333333,0.0,0.28867513459481287,-1.030927835051546,nan,0,1,11,1.0,1.0
n_sumideros,permutado,anti,12,8.083333333333334,8.083333333333334,0.0,0.0,0.4264014327112209,0.0,nan,1,1,10,1.0,1.0
n_sumideros,permutado,alin_dil,12,8.083333333333334,8.083333333333334,0.0,0.0,0.4264014327112209,0.0,nan,1,1,10,1.0,1.0
n_sumideros,permutado,perm_dil,12,8.083333333333334,8.083333333333334,0.0,0.0,0.4264014327112209,0.0,nan,1,1,10,1.0,1.0
n_sumideros,anti,alin_dil,12,8.083333333333334,8.083333333333334,0.0,0.0,0.4264014327112209,0.0,nan,1,1,10,1.0,1.0
n_sumideros,anti,perm_dil,12,8.083333333333334,8.083333333333334,0.0,0.0,0.4264014327112209,0.0,nan,1,1,10,1.0,1.0
n_sumideros,alin_dil,perm_dil,12,8.083333333333334,8.083333333333334,0.0,0.0,0.0,0.0,nan,0,0,12,nan,1.0
