patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
17,20701,2500,excl_orto,8,0.54,5.357,0.046,2,6.149,1,0.869,0.905,4,17
17,20701,2500,sin_excl,8,0.54,5.585,0.047,1,4.269,1,0.913,0.91,3,17
17,20701,2500,excl_orto_barajada,8,0.54,5.558,0.035,1,6.763,1,0.884,0.903,3,17
17,20701,2500,excl_orto_bosones,8,0.54,5.283,0.049,1,5.618,1,0.906,0.906,4,17
17,20701,2500,marco_congelado,8,0.54,5.695,0.042,0,7.976,0,0.95,0.913,4,17
19,20707,2500,excl_orto,8,0.873,5.306,0.048,1,6.559,1,0.995,0.896,4,17
19,20707,2500,sin_excl,8,0.873,5.319,0.046,1,5.531,1,0.854,0.905,3,17
19,20707,2500,excl_orto_barajada,8,0.873,4.849,0.05,0,7.185,0,0.96,0.906,4,17
19,20707,2500,excl_orto_bosones,8,0.873,5.277,0.047,1,4.528,1,0.801,0.916,4,17
19,20707,2500,marco_congelado,8,0.873,5.518,0.047,0,7.98,0,1.064,0.91,1,17
18,20704,2500,excl_orto,8,0.875,5.366,0.043,1,6.957,1,1.004,0.912,1,17
18,20704,2500,sin_excl,8,0.875,5.54,0.049,1,4.84,1,1.046,0.911,3,17
18,20704,2500,excl_orto_barajada,8,0.875,5.316,0.046,2,7.022,1,0.941,0.905,4,17
18,20704,2500,excl_orto_bosones,8,0.875,4.181,0.043,1,5.245,1,0.893,0.911,4,17
18,20704,2500,marco_congelado,8,0.875,3.917,0.045,0,7.965,0,0.925,0.906,1,17
21,20713,2500,excl_orto,8,0.677,5.458,0.046,1,6.406,1,0.891,0.907,3,17
21,20713,2500,sin_excl,8,0.677,5.358,0.039,1,5.437,1,0.85,0.908,3,17
21,20713,2500,excl_orto_barajada,8,0.677,5.219,0.046,1,6.672,1,0.913,0.896,4,17
21,20713,2500,excl_orto_bosones,8,0.677,5.378,0.044,1,4.954,1,0.896,0.918,4,17
21,20713,2500,marco_congelado,8,0.677,5.328,0.049,0,7.978,0,1.012,0.916,4,17
22,20716,2500,excl_orto,8,0.616,5.375,0.043,2,6.512,1,0.897,0.908,2,17
22,20716,2500,sin_excl,8,0.616,5.264,0.042,2,5.118,1,0.839,0.905,4,17
22,20716,2500,excl_orto_barajada,8,0.616,5.066,0.045,1,6.377,1,1.011,0.906,3,17
22,20716,2500,excl_orto_bosones,8,0.616,5.077,0.046,1,5.229,1,0.86,0.906,4,17
22,20716,2500,marco_congelado,8,0.616,5.267,0.048,0,7.983,0,1.0,0.909,4,17
20,20710,2500,excl_orto,8,0.566,5.409,0.05,1,6.735,1,0.969,0.905,4,17
20,20710,2500,sin_excl,8,0.566,5.502,0.049,1,4.347,1,0.882,0.9,3,17
20,20710,2500,excl_orto_barajada,8,0.566,5.292,0.05,1,6.149,1,0.983,0.9,4,17
20,20710,2500,excl_orto_bosones,8,0.566,5.472,0.049,1,5.637,1,0.94,0.908,4,17
20,20710,2500,marco_congelado,8,0.566,5.354,0.046,0,7.976,0,0.883,0.906,4,17
23,20719,2500,excl_orto,8,0.602,5.348,0.051,1,6.781,1,0.925,0.906,4,17
23,20719,2500,sin_excl,8,0.602,5.225,0.044,2,5.723,1,0.978,0.91,4,17
23,20719,2500,excl_orto_barajada,8,0.602,5.323,0.054,1,6.385,1,0.82,0.906,4,17
23,20719,2500,excl_orto_bosones,8,0.602,5.389,0.054,2,6.611,1,0.996,0.902,4,17
23,20719,2500,marco_congelado,8,0.602,5.281,0.047,0,7.975,0,0.922,0.905,3,17
24,20722,2500,excl_orto,8,0.546,5.311,0.047,1,6.245,1,0.843,0.904,4,17
24,20722,2500,sin_excl,8,0.546,5.239,0.048,4,5.848,1,0.973,0.915,4,17
24,20722,2500,excl_orto_barajada,8,0.546,5.386,0.046,1,6.703,1,0.973,0.896,5,17
24,20722,2500,excl_orto_bosones,8,0.546,5.051,0.047,1,6.362,1,0.962,0.904,4,17
24,20722,2500,marco_congelado,8,0.546,5.239,0.045,0,7.988,0,0.988,0.906,4,17
26,20728,2500,excl_orto,8,0.591,5.233,0.046,1,6.57,1,0.997,0.908,4,17
26,20728,2500,sin_excl,8,0.591,5.454,0.047,1,5.25,1,0.863,0.904,3,17
26,20728,2500,excl_orto_barajada,8,0.591,4.989,0.052,1,6.418,1,1.019,0.905,4,17
26,20728,2500,excl_orto_bosones,8,0.591,5.361,0.046,1,6.222,1,0.904,0.913,3,17
26,20728,2500,marco_congelado,8,0.591,5.448,0.054,0,7.986,0,1.011,0.91,4,17
28,20734,2500,excl_orto,8,0.503,5.264,0.052,1,5.789,1,0.894,0.904,4,17
28,20734,2500,sin_excl,8,0.503,5.281,0.045,1,5.866,1,1.007,0.907,4,17
28,20734,2500,excl_orto_barajada,8,0.503,5.053,0.044,1,6.15,1,0.964,0.904,4,17
28,20734,2500,excl_orto_bosones,8,0.503,5.039,0.053,1,5.731,1,1.09,0.912,4,17
28,20734,2500,marco_congelado,8,0.503,5.61,0.049,0,7.976,0,0.978,0.914,4,17
25,20725,2500,excl_orto,8,0.713,5.113,0.05,1,6.407,1,0.988,0.902,4,17
25,20725,2500,sin_excl,8,0.713,5.193,0.046,1,4.421,1,0.791,0.919,4,17
25,20725,2500,excl_orto_barajada,8,0.713,5.69,0.047,2,6.902,1,0.948,0.91,3,17
25,20725,2500,excl_orto_bosones,8,0.713,5.515,0.045,1,5.686,1,0.875,0.9,3,17
25,20725,2500,marco_congelado,8,0.713,5.678,0.034,0,7.982,0,1.126,0.901,4,17
27,20731,2500,excl_orto,8,0.757,5.126,0.047,1,6.904,1,1.078,0.913,4,17
27,20731,2500,sin_excl,8,0.757,5.182,0.045,3,5.059,1,0.857,0.898,4,17
27,20731,2500,excl_orto_barajada,8,0.757,5.357,0.047,1,6.602,1,0.894,0.906,4,17
27,20731,2500,excl_orto_bosones,8,0.757,5.269,0.049,2,5.679,1,0.935,0.908,4,17
27,20731,2500,marco_congelado,8,0.757,5.58,0.047,0,7.965,0,0.854,0.911,4,17
29,20737,2500,excl_orto,8,0.553,5.054,0.046,3,6.239,1,0.975,0.905,3,17
29,20737,2500,sin_excl,8,0.553,5.314,0.051,1,4.907,1,0.941,0.902,4,17
29,20737,2500,excl_orto_barajada,8,0.553,5.171,0.047,1,6.341,1,1.104,0.894,4,17
29,20737,2500,excl_orto_bosones,8,0.553,5.765,0.049,1,4.935,1,0.859,0.891,3,17
29,20737,2500,marco_congelado,8,0.553,5.382,0.046,0,7.984,0,0.892,0.907,4,17
33,20749,2500,excl_orto,8,0.788,5.061,0.05,1,6.393,1,0.922,0.918,4,17
33,20749,2500,sin_excl,8,0.788,5.027,0.05,2,5.407,1,1.032,0.911,4,17
33,20749,2500,excl_orto_barajada,8,0.788,5.56,0.045,2,6.292,1,1.083,0.899,4,17
33,20749,2500,excl_orto_bosones,8,0.788,5.219,0.047,1,5.824,1,0.966,0.906,4,17
33,20749,2500,marco_congelado,8,0.788,5.377,0.045,0,7.975,0,0.97,0.915,3,17
31,20743,2500,excl_orto,8,0.815,5.347,0.048,3,6.873,1,1.076,0.908,4,17
31,20743,2500,sin_excl,8,0.815,5.511,0.048,2,4.882,1,0.903,0.92,4,17
31,20743,2500,excl_orto_barajada,8,0.815,5.477,0.044,3,6.657,1,0.978,0.906,3,17
31,20743,2500,excl_orto_bosones,8,0.815,5.443,0.043,1,5.112,1,1.025,0.911,4,17
31,20743,2500,marco_congelado,8,0.815,5.494,0.042,0,7.962,0,0.999,0.902,3,17
32,20746,2500,excl_orto,8,0.896,5.669,0.043,1,6.601,1,0.911,0.906,3,17
32,20746,2500,sin_excl,8,0.896,5.465,0.052,2,4.428,1,0.893,0.91,3,17
32,20746,2500,excl_orto_barajada,8,0.896,4.947,0.046,1,7.174,1,1.036,0.916,4,17
32,20746,2500,excl_orto_bosones,8,0.896,5.407,0.045,1,5.058,1,0.899,0.921,4,17
32,20746,2500,marco_congelado,8,0.896,5.528,0.052,0,7.974,0,1.038,0.918,4,17
30,20740,2500,excl_orto,8,0.741,5.283,0.05,1,6.421,1,0.892,0.906,3,17
30,20740,2500,sin_excl,8,0.741,5.468,0.042,4,6.058,1,1.005,0.909,4,17
30,20740,2500,excl_orto_barajada,8,0.741,5.647,0.047,3,6.608,1,1.016,0.916,4,17
30,20740,2500,excl_orto_bosones,8,0.741,5.524,0.049,1,5.246,1,0.85,0.914,3,17
30,20740,2500,marco_congelado,8,0.741,5.516,0.043,0,7.986,0,0.856,0.92,3,17
34,20752,2500,excl_orto,8,0.546,4.402,0.05,2,6.778,1,0.897,0.906,4,17
34,20752,2500,sin_excl,8,0.546,5.416,0.049,1,4.926,1,0.842,0.906,3,17
34,20752,2500,excl_orto_barajada,8,0.546,5.637,0.039,2,6.409,1,0.894,0.917,3,17
34,20752,2500,excl_orto_bosones,8,0.546,5.109,0.041,3,5.346,1,0.859,0.91,3,17
34,20752,2500,marco_congelado,8,0.546,5.308,0.048,0,7.973,0,0.939,0.905,3,17
35,20755,2500,excl_orto,8,0.899,5.454,0.048,2,7.019,1,0.915,0.912,4,17
35,20755,2500,sin_excl,8,0.899,5.261,0.048,1,4.031,1,0.911,0.911,4,17
35,20755,2500,excl_orto_barajada,8,0.899,4.145,0.048,1,6.909,1,0.989,0.909,3,17
35,20755,2500,excl_orto_bosones,8,0.899,5.74,0.045,1,5.332,1,1.024,0.912,3,17
35,20755,2500,marco_congelado,8,0.899,5.56,0.05,0,7.977,0,0.97,0.911,4,17
37,20761,2500,excl_orto,8,0.64,5.548,0.045,3,6.137,1,0.863,0.908,3,17
37,20761,2500,sin_excl,8,0.64,4.33,0.051,1,5.289,1,1.141,0.906,4,17
37,20761,2500,excl_orto_barajada,8,0.64,5.413,0.052,1,6.007,1,0.959,0.903,4,17
37,20761,2500,excl_orto_bosones,8,0.64,5.756,0.038,1,5.347,1,0.895,0.917,4,17
37,20761,2500,marco_congelado,8,0.64,5.408,0.046,0,7.976,0,0.991,0.913,4,17
38,20764,2500,excl_orto,8,0.617,5.079,0.046,1,6.611,1,1.208,0.895,4,17
38,20764,2500,sin_excl,8,0.617,5.479,0.047,1,4.952,1,0.876,0.918,4,17
38,20764,2500,excl_orto_barajada,8,0.617,5.531,0.05,1,6.303,1,0.905,0.907,4,17
38,20764,2500,excl_orto_bosones,8,0.617,5.264,0.054,1,5.529,1,0.963,0.903,4,17
38,20764,2500,marco_congelado,8,0.617,5.552,0.043,0,7.977,0,0.927,0.902,4,17
39,20767,2500,excl_orto,8,0.715,5.467,0.048,2,6.611,1,0.855,0.913,4,17
39,20767,2500,sin_excl,8,0.715,5.163,0.052,1,5.264,1,0.897,0.905,4,17
39,20767,2500,excl_orto_barajada,8,0.715,5.597,0.042,1,6.611,1,1.008,0.911,4,17
39,20767,2500,excl_orto_bosones,8,0.715,5.281,0.043,2,5.859,1,1.011,0.904,3,17
39,20767,2500,marco_congelado,8,0.715,4.805,0.048,0,7.969,0,1.024,0.918,4,17
36,20758,2500,excl_orto,8,0.72,5.429,0.046,1,6.484,1,0.832,0.902,3,17
36,20758,2500,sin_excl,8,0.72,5.44,0.041,1,5.171,1,0.863,0.917,3,17
36,20758,2500,excl_orto_barajada,8,0.72,5.408,0.052,1,6.584,1,0.932,0.912,4,17
36,20758,2500,excl_orto_bosones,8,0.72,4.231,0.039,1,5.757,1,0.959,0.92,4,17
36,20758,2500,marco_congelado,8,0.72,5.297,0.046,0,7.981,0,1.1,0.911,3,17
40,20770,2500,excl_orto,8,0.906,5.262,0.044,0,7.378,0,1.046,0.897,4,17
40,20770,2500,sin_excl,8,0.906,4.452,0.055,3,5.894,1,0.959,0.917,4,17
40,20770,2500,excl_orto_barajada,8,0.906,5.454,0.047,1,6.737,1,0.868,0.91,3,17
40,20770,2500,excl_orto_bosones,8,0.906,5.146,0.044,1,5.233,1,0.9,0.905,3,17
40,20770,2500,marco_congelado,8,0.906,5.276,0.054,0,7.98,0,1.01,0.917,4,17
41,20773,2500,excl_orto,8,0.532,5.491,0.042,2,5.98,1,0.882,0.905,4,17
41,20773,2500,sin_excl,8,0.532,5.284,0.044,1,4.545,1,0.969,0.906,4,17
41,20773,2500,excl_orto_barajada,8,0.532,5.267,0.05,2,6.327,1,0.891,0.899,4,17
41,20773,2500,excl_orto_bosones,8,0.532,4.845,0.05,2,6.406,1,0.947,0.912,4,17
41,20773,2500,marco_congelado,8,0.532,5.675,0.039,0,7.982,0,0.871,0.914,4,17
42,20776,2500,excl_orto,8,0.714,5.235,0.045,3,6.778,1,0.94,0.911,4,17
42,20776,2500,sin_excl,8,0.714,5.016,0.052,2,4.889,1,0.753,0.909,4,17
42,20776,2500,excl_orto_barajada,8,0.714,5.52,0.05,1,6.651,1,0.98,0.903,3,17
42,20776,2500,excl_orto_bosones,8,0.714,4.874,0.046,1,4.569,1,1.021,0.907,4,17
42,20776,2500,marco_congelado,8,0.714,5.486,0.047,0,7.987,0,0.897,0.908,3,17
43,20779,2500,excl_orto,8,0.92,5.459,0.029,0,6.887,0,0.917,0.915,5,17
43,20779,2500,sin_excl,8,0.92,5.43,0.046,1,5.072,1,0.946,0.907,4,17
43,20779,2500,excl_orto_barajada,8,0.92,5.357,0.042,1,6.97,1,0.9,0.887,4,17
43,20779,2500,excl_orto_bosones,8,0.92,5.145,0.046,2,5.288,1,0.909,0.914,4,17
43,20779,2500,marco_congelado,8,0.92,5.154,0.05,0,7.981,0,1.009,0.904,3,17
47,20791,2500,excl_orto,8,0.872,5.104,0.043,4,6.788,1,0.935,0.908,4,17
47,20791,2500,sin_excl,8,0.872,4.427,0.047,1,6.206,1,0.999,0.921,1,16
47,20791,2500,excl_orto_barajada,8,0.872,5.383,0.048,0,7.376,0,0.887,0.903,3,17
47,20791,2500,excl_orto_bosones,8,0.872,nan,0.049,2,4.8,1,0.778,0.906,4,17
47,20791,2500,marco_congelado,8,0.872,5.571,0.048,0,7.977,0,0.83,0.914,4,17
45,20785,2500,excl_orto,8,0.605,5.153,0.047,2,6.568,1,0.93,0.908,3,17
45,20785,2500,sin_excl,8,0.605,5.324,0.044,2,4.19,1,0.702,0.9,3,17
45,20785,2500,excl_orto_barajada,8,0.605,5.409,0.054,1,5.928,1,1.013,0.904,3,17
45,20785,2500,excl_orto_bosones,8,0.605,5.275,0.042,3,5.75,1,0.851,0.898,3,17
45,20785,2500,marco_congelado,8,0.605,5.19,0.052,0,7.975,0,1.121,0.908,3,17
44,20782,2500,excl_orto,8,0.55,5.258,0.04,2,6.176,1,0.985,0.907,3,17
44,20782,2500,sin_excl,8,0.55,5.474,0.045,1,5.264,1,0.911,0.905,4,17
44,20782,2500,excl_orto_barajada,8,0.55,5.272,0.046,3,6.927,1,1.184,0.908,4,17
44,20782,2500,excl_orto_bosones,8,0.55,5.409,0.038,3,5.693,1,0.83,0.904,4,17
44,20782,2500,marco_congelado,8,0.55,5.528,0.043,0,7.984,0,0.942,0.9,3,17
46,20788,2500,excl_orto,8,0.521,5.326,0.049,1,6.542,1,0.928,0.907,4,17
46,20788,2500,sin_excl,8,0.521,5.367,0.047,1,5.227,1,0.886,0.902,3,17
46,20788,2500,excl_orto_barajada,8,0.521,5.436,0.047,3,6.504,1,1.048,0.912,4,17
46,20788,2500,excl_orto_bosones,8,0.521,5.384,0.043,1,5.386,1,1.002,0.907,4,17
46,20788,2500,marco_congelado,8,0.521,5.469,0.048,0,7.974,0,0.857,0.914,4,17
48,20794,2500,excl_orto,8,0.566,5.382,0.046,2,6.795,1,0.936,0.911,4,17
48,20794,2500,sin_excl,8,0.566,5.411,0.045,1,4.114,1,1.152,0.905,3,17
48,20794,2500,excl_orto_barajada,8,0.566,5.099,0.048,2,6.25,1,0.915,0.911,4,17
48,20794,2500,excl_orto_bosones,8,0.566,5.187,0.051,4,5.98,1,1.017,0.898,3,17
48,20794,2500,marco_congelado,8,0.566,5.51,0.05,0,7.984,0,1.017,0.916,4,17
49,20797,2500,excl_orto,8,0.912,5.295,0.048,1,7.092,1,0.862,0.914,4,17
49,20797,2500,sin_excl,8,0.912,5.196,0.046,1,3.936,1,1.001,0.925,4,17
49,20797,2500,excl_orto_barajada,8,0.912,5.329,0.05,1,7.069,1,0.944,0.908,4,17
49,20797,2500,excl_orto_bosones,8,0.912,5.431,0.052,1,5.369,1,0.897,0.908,4,17
49,20797,2500,marco_congelado,8,0.912,5.182,0.051,0,7.981,0,0.905,0.906,3,17
52,20806,2500,excl_orto,8,0.64,5.122,0.046,2,6.743,1,0.939,0.906,4,17
52,20806,2500,sin_excl,8,0.64,4.487,0.049,1,5.036,1,1.083,0.91,3,17
52,20806,2500,excl_orto_barajada,8,0.64,5.019,0.047,2,6.337,1,0.883,0.914,4,17
52,20806,2500,excl_orto_bosones,8,0.64,5.203,0.046,1,5.422,1,0.798,0.91,3,17
52,20806,2500,marco_congelado,8,0.64,5.166,0.047,0,7.973,0,0.908,0.9,3,17
51,20803,2500,excl_orto,8,0.636,5.032,0.048,3,6.431,1,0.895,0.898,4,17
51,20803,2500,sin_excl,8,0.636,4.895,0.045,1,3.57,1,0.984,0.907,4,17
51,20803,2500,excl_orto_barajada,8,0.636,5.657,0.039,3,6.676,1,0.906,0.915,4,17
51,20803,2500,excl_orto_bosones,8,0.636,4.764,0.045,3,5.902,1,0.958,0.908,4,17
51,20803,2500,marco_congelado,8,0.636,5.378,0.052,0,7.983,0,1.096,0.913,4,17
50,20800,2500,excl_orto,8,0.877,5.395,0.049,1,6.67,1,0.876,0.91,3,17
50,20800,2500,sin_excl,8,0.877,5.32,0.046,1,4.577,1,0.748,0.909,4,17
50,20800,2500,excl_orto_barajada,8,0.877,5.049,0.041,1,6.502,1,0.956,0.908,4,17
50,20800,2500,excl_orto_bosones,8,0.877,5.325,0.047,1,4.999,1,0.967,0.902,4,17
50,20800,2500,marco_congelado,8,0.877,5.433,0.042,0,7.98,0,0.987,0.918,4,17
53,20809,2500,excl_orto,8,0.523,5.469,0.049,2,6.304,1,0.755,0.898,4,17
53,20809,2500,sin_excl,8,0.523,5.524,0.047,2,4.989,1,0.842,0.9,4,17
53,20809,2500,excl_orto_barajada,8,0.523,5.578,0.045,2,6.215,1,1.019,0.91,3,17
53,20809,2500,excl_orto_bosones,8,0.523,5.44,0.047,1,4.814,1,0.905,0.892,4,18
53,20809,2500,marco_congelado,8,0.523,5.488,0.049,0,7.982,0,0.941,0.905,4,17
58,20824,2500,excl_orto,8,0.569,4.974,0.048,2,6.832,1,0.956,0.914,4,17
58,20824,2500,sin_excl,8,0.569,5.545,0.045,1,5.81,1,0.911,0.905,3,17
58,20824,2500,excl_orto_barajada,8,0.569,5.487,0.049,2,6.105,1,0.901,0.905,4,17
58,20824,2500,excl_orto_bosones,8,0.569,5.024,0.052,2,5.384,1,0.964,0.908,4,17
58,20824,2500,marco_congelado,8,0.569,5.141,0.052,0,7.977,0,1.074,0.895,4,17
55,20815,2500,excl_orto,8,0.88,5.342,0.047,0,7.142,0,1.073,0.914,3,17
55,20815,2500,sin_excl,8,0.88,5.31,0.047,1,5.107,1,0.953,0.907,4,17
55,20815,2500,excl_orto_barajada,8,0.88,5.229,0.046,2,7.054,1,0.872,0.911,4,17
