rule_id,seed,lote,K,kcap,escalon,n_aristas,clustering,transitividad,n_triangulos,gigante,asortatividad,n_componentes,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta
A2-B0-C2-batch4-r36,575321,571828,8,4,e4,2343,0.25433333333333336,0.27132090440301465,456,1667,-0.17153815942338865,25,0.0012804097311139564,1.0273219410629817,0.15499999999999994,1.3526785714285716,8,0.022,2914.0000000000005,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_e4
A2-B0-C2-batch4-r36,575321,571828,8,4,orig,2343,0.021333333333333336,0.017850059500198336,30,1708,0.006977763783395319,26,1.0,1.1388881788592264,0.15349999999999997,1.407894736842105,8,0.023,2885.7999999999997,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_orig
A2-B0-C2-batch4-r62,577843,571828,8,5,e0,3299,0.0,0.0,0,1923,-0.16431026430018775,1,0.002424977265838133,0.6060627940696744,0.10150000000000003,0.6065573770491803,8,0.039,1908.1999999999998,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_e0
A2-B0-C2-batch4-r62,577843,571828,8,5,e1,3299,0.028800000000000003,0.024816176470588234,81,1923,-0.14914693687491984,1,0.002121855107608366,0.6203403199571565,0.10250000000000004,0.5645161290322581,8,0.033,1927.0,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_e1
A2-B0-C2-batch4-r62,577843,571828,8,5,e2,3299,0.0923,0.07077205882352941,231,1923,-0.1365497110139279,1,0.0018187329493785996,0.6249477178899189,0.10550000000000001,0.5820895522388061,8,0.026,1983.4,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_e2
A2-B0-C2-batch4-r62,577843,571828,8,5,e3,3299,0.23066666666666666,0.17708333333333334,578,1921,-0.0910597287381241,2,0.0018187329493785996,0.6548457197091974,0.11200000000000002,0.6891891891891891,8,0.03,2105.6,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_e3
A2-B0-C2-batch4-r62,577843,571828,8,5,e4,3299,0.4391833333333333,0.39338235294117646,1284,1886,-0.032272674720162375,13,0.0018187329493785996,0.7678886753845884,0.1415,1.110619469026548,9,0.029,2660.2000000000003,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_e4
A2-B0-C2-batch4-r62,577843,571828,8,5,orig,3299,0.00525,0.004595588235294118,15,1915,0.09136676428586862,5,1.0,0.8938269333275853,0.10250000000000004,0.5671641791044775,8,0.036,1927.0,cosmog_00500,A2-B0-C2-batch4-r62_s577843_f702_orig
A2-B0-C2-r14,273187,271828,8,5,e0,3296,0.0,0.0,0,1928,-0.18219656314423835,4,0.0009101941747572816,0.7192113640946266,0.09300000000000001,0.47239263803680925,8,0.039,1748.4,cosmog_00500,A2-B0-C2-r14_s273187_f702_e0
A2-B0-C2-r14,273187,271828,8,5,e1,3296,0.029166666666666667,0.022406639004149378,72,1928,-0.1715440110133831,4,0.0009101941747572816,0.6870016121243097,0.098,0.5245901639344261,8,0.036,1842.4,cosmog_00500,A2-B0-C2-r14_s273187_f702_e1
A2-B0-C2-r14,273187,271828,8,5,e2,3296,0.09331666666666666,0.07157676348547717,230,1928,-0.1388761844787606,4,0.0012135922330097086,0.7278404958492292,0.10150000000000003,0.5148514851485143,8,0.037,1908.2000000000003,cosmog_00500,A2-B0-C2-r14_s273187_f702_e2
A2-B0-C2-r14,273187,271828,8,5,e3,3296,0.23275000000000004,0.1783195020746888,573,1928,-0.11307333598402242,4,0.0012135922330097086,0.5919158980973276,0.11650000000000003,0.8153846153846155,8,0.037,2190.2,cosmog_00500,A2-B0-C2-r14_s273187_f702_e3
A2-B0-C2-r14,273187,271828,8,5,e4,3296,0.4535,0.395850622406639,1272,1876,-0.03826874768735058,17,0.0012135922330097086,0.8397357452143388,0.14199999999999996,1.0273972602739723,9,0.029,2669.6,cosmog_00500,A2-B0-C2-r14_s273187_f702_e4
A2-B0-C2-r14,273187,271828,8,5,orig,3296,0.004966666666666667,0.005912863070539419,19,1926,0.09405962211593909,5,1.0,0.7893306509717354,0.09900000000000003,0.6166666666666667,8,0.037,1861.2,cosmog_00500,A2-B0-C2-r14_s273187_f702_orig
A2-B0-C2-r17,273478,271828,5,5,e0,3165,0.0,0.0,0,1862,-0.30769268832155294,1,0.0034755134281200632,0.7131303195548702,0.10800000000000003,0.6231155778894465,8,0.033,2030.4,cosmog_00500,A2-B0-C2-r17_s273478_f702_e0
A2-B0-C2-r17,273478,271828,5,5,e1,3165,0.027066666666666666,0.02275360792162646,72,1862,-0.2874255244306941,1,0.0034755134281200632,0.738391999094733,0.11000000000000003,0.595238095238095,8,0.032,2068.0,cosmog_00500,A2-B0-C2-r17_s273478_f702_e1
