cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
FASE03,0.55,0.2025302408167795,596,0.06636333370325158,757
FASE03,0.6,0.5165818921668363,475,0.469175991861648,453
FASE03,0.65,0.7941590759695746,349,0.9319184899990609,257
FASE03,0.7,0.9536140901560729,244,0.9726218502049002,141
FASE03,0.75,0.9755859375,153,0.9923502604166666,69
FASE03,0.8,0.9875638971541925,98,0.9970244907301442,30
FASE03,0.85,0.9961941691799512,44,0.9992819187131984,10
FASE03,0.9,0.999050525601899,12,0.9998643608002713,2
FASE03,0.95,0.9998714983294783,3,1.0,1
FASE04,0.05,0.041463414634146344,400,0.006097560975609756,739
FASE04,0.1,0.02928615009151922,606,0.0036607687614399025,1315
FASE04,0.15,0.026851098454027666,716,0.0040683482506102524,1737
FASE04,0.2,0.03967043027158987,763,0.0051876716509002135,2028
FASE04,0.25,0.064208984375,771,0.0048828125,2125
FASE04,0.3,0.11820956256358088,786,0.005493387589013225,2114
FASE04,0.35,0.13095030514385353,759,0.008020924149956409,2025
FASE04,0.4,0.3143118706133659,693,0.009459871833994507,1798
FASE04,0.45,0.38261223382612236,618,0.013156110131561101,1468
FASE04,0.5,0.4461669921875,543,0.0245361328125,1150
FASE04,0.55,0.4642104094995006,483,0.10165353456886028,805
FASE04,0.6,0.6444557477110885,391,0.5311291963377416,465
FASE04,0.65,0.9210254483989107,291,0.8887219457226031,273
FASE04,0.7,0.9354782457058157,231,0.971139593687331,142
FASE04,0.75,0.9556477864583334,173,0.9915364583333334,70
FASE04,0.8,0.972304875257496,124,0.9970244907301442,25
FASE04,0.85,0.9920292977165015,61,0.999138302455838,6
FASE04,0.9,0.9974228552051543,28,0.999796541200407,3
FASE04,0.95,0.9992289899768697,11,1.0,1
FASE05,0.05,0.01097560975609756,548,0.007317073170731708,734
FASE05,0.1,0.010982306284319707,880,0.0036607687614399025,1329
FASE05,0.15,0.01790073230268511,1119,0.003661513425549227,1768
FASE05,0.2,0.014952700640830027,1216,0.00366188587122368,2036
FASE05,0.25,0.020263671875,1253,0.003662109375,2175
FASE05,0.3,0.03133265513733469,1196,0.005289928789420142,2118
FASE05,0.35,0.053879686137750654,1120,0.006277244986922406,1956
FASE05,0.4,0.06133658834299664,974,0.012053707659444614,1752
FASE05,0.45,0.08965143089651431,860,0.013969890139698902,1464
FASE05,0.5,0.192138671875,693,0.024658203125,1121
