N,seed,mode,n_surv,f_surv,tau,phi_init,phi_final,phi_peak,phi_amp,frac_higgs_surv,orden_color_init,orden_color,orden_charge_init,orden_charge,orden_t3_init,orden_t3,frac_quark,frac_lepton,frac_boson,frac_gen0,frac_gen1,frac_gen2,mean_Q_surv,mass_gen0,mass_gen1,mass_gen2,mass_ratio_g2_g0,mass_spread,L2_gen,L2_K3,null_L2_K3,ratio_L2_K3,L2_K5,null_L2_K5,ratio_L2_K5,L2_K6,null_L2_K6,ratio_L2_K6,L2_K18,null_L2_K18,ratio_L2_K18,L2_K89,null_L2_K89,ratio_L2_K89
250,3,shuffle_h,136,0.544,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.026229754097208003,0.28798758864067847,0.021333333333333333,0.3651960784313725,0.018,0.29044117647058826,0.7794117647058824,0.18382352941176472,0.03676470588235294,0.31297709923664124,0.366412213740458,0.32061068702290074,0.3651960784313725,2.417228158280728,2.353594337088566,2.2574195456671027,0.9338876588599356,0.3321994743867894,0.040871191868216306,0.46600866033900845,0.07001400420140048,6.6559349897843285,0.5656854249492381,0.4,1.4142135623730951,0.045570367126381885,0.08866586276648858,0.5139561687500467,0.1227057021592869,0.1161553420728616,1.0563931022846664,0.10860963062378699,0.08526619412100572,1.273771296390377
250,4,qcd,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.030724582991474434,0.3547059719410039,0.02,0.2642857142857143,0.014,0.15357142857142858,0.7428571428571429,0.22142857142857142,0.03571428571428571,0.31851851851851853,0.3333333333333333,0.34814814814814815,-0.2642857142857143,2.4420382071437756,2.307824821343177,2.1387553853216974,0.8758075033654777,0.3470630830817894,0.020951312035156953,0.27707166488652935,0.06900655593423542,4.0151498815646445,0.5656854249492381,0.4,1.4142135623730951,0.01110288979210818,0.08951435925492911,0.12403473458920838,0.34490532019890346,0.22295201801997955,1.546993488832181,0.11152360436954738,0.08403927844185294,1.3270414315457377
250,4,shuffle_b,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.030724582991474434,0.3547059719410039,0.02,0.2642857142857143,0.014,0.15357142857142858,0.7428571428571429,0.22142857142857142,0.03571428571428571,0.31851851851851853,0.3333333333333333,0.34814814814814815,-0.2642857142857143,2.4420382071437756,2.307824821343177,2.1387553853216974,0.8758075033654777,0.3470630830817894,0.020951312035156953,0.27707166488652935,0.06900655593423542,4.0151498815646445,0.5656854249492381,0.4,1.4142135623730951,0.01110288979210818,0.08951435925492911,0.12403473458920838,0.34490532019890346,0.22295201801997955,1.546993488832181,0.11152360436954738,0.08403927844185294,1.3270414315457377
250,4,shuffle_e,130,0.52,240,0.9386047439716074,2.8100820492761467,2.8100820492761467,2.9938928652668926,0.008,0.030724582991474434,0.32170036409733055,0.020000000000000007,0.3230769230769231,0.014,0.019230769230769232,0.7769230769230769,0.13846153846153847,0.08461538461538462,0.33613445378151263,0.35294117647058826,0.31092436974789917,-0.3230769230769231,7.880095313693383,7.578150716398147,7.557930953351024,0.9591166924361272,0.15117147848484078,0.029907782218575114,0.4114246188094784,0.07161148740394328,5.7452321369716906,0.08131156281817414,0.26967994498529685,0.3015113445777635,0.0473111260291467,0.09083405243909494,0.5208523098853179,0.2230222231600846,0.15177361546824772,1.4694400108478847,0.09040093454986439,0.0872116808048017,1.0365691122523017
250,4,shuffle_w,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.030724582991474434,0.3547059719410039,0.02,0.2642857142857143,0.014,0.010714285714285714,0.7428571428571429,0.22142857142857142,0.03571428571428571,0.31851851851851853,0.3333333333333333,0.34814814814814815,-0.2642857142857143,2.4420241539638723,2.307798382126366,2.1387202983816938,0.8757981754235075,0.34709050869297475,0.020951312035156953,0.27707166488652935,0.06900655593423542,4.0151498815646445,0.5656854249492381,0.4,1.4142135623730951,0.01110288979210818,0.08951435925492911,0.12403473458920838,0.34490532019890346,0.22295201801997955,1.546993488832181,0.11152360436954738,0.08403927844185294,1.3270414315457377
250,4,shuffle_h,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.030724582991474434,0.3547059719410039,0.02,0.2642857142857143,0.014,0.14642857142857144,0.7428571428571429,0.22142857142857142,0.03571428571428571,0.31851851851851853,0.3333333333333333,0.34814814814814815,-0.2642857142857143,2.4420382071437756,2.307824821343177,2.1387553853216974,0.8758075033654777,0.3470630830817894,0.020951312035156953,0.27707166488652935,0.06900655593423542,4.0151498815646445,0.5656854249492381,0.4,1.4142135623730951,0.01110288979210818,0.08951435925492911,0.12403473458920838,0.34490532019890346,0.22295201801997955,1.546993488832181,0.11152360436954738,0.08403927844185294,1.3270414315457377
250,5,qcd,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.025612496949731396,0.37773281847987183,0.03866666666666666,0.29927007299270075,0.032,0.18248175182481752,0.7737226277372263,0.1897810218978102,0.0364963503649635,0.3484848484848485,0.32575757575757575,0.32575757575757575,0.29927007299270075,2.409547625853621,2.242581810952695,2.392842190629849,0.9930669827628522,0.31464386872252476,0.018556740475630166,0.32811551872982553,0.06975801064151557,4.703624941599924,0.5656854249492381,0.4,1.4142135623730951,0.047483235441954416,0.08866586276648858,0.535530067157941,0.09054844497180961,0.10301327744925144,0.8789978070197552,0.10780020105533704,0.08495443368364972,1.2689178937589012
250,5,shuffle_b,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.025612496949731396,0.37773281847987183,0.03866666666666666,0.29927007299270075,0.032,0.18248175182481752,0.7737226277372263,0.1897810218978102,0.0364963503649635,0.3484848484848485,0.32575757575757575,0.32575757575757575,0.29927007299270075,2.409547625853621,2.242581810952695,2.392842190629849,0.9930669827628522,0.31464386872252476,0.018556740475630166,0.32811551872982553,0.06975801064151557,4.703624941599924,0.5656854249492381,0.4,1.4142135623730951,0.047483235441954416,0.08866586276648858,0.535530067157941,0.09054844497180961,0.10301327744925144,0.8789978070197552,0.10780020105533704,0.08495443368364972,1.2689178937589012
250,5,shuffle_e,133,0.532,240,0.9386047439716074,2.814905723428197,2.814905723428197,2.999032061694241,0.008,0.025612496949731396,0.20917936456005345,0.038666666666666655,0.418546365914787,0.032,0.05263157894736842,0.7819548872180451,0.15037593984962405,0.06766917293233082,0.29838709677419356,0.3629032258064516,0.3387096774193548,0.418546365914787,7.730737249148959,7.757459282543793,7.7630932760047475,1.0041853740222966,0.12787057386386214,0.04609254892333937,0.5684860261761281,0.07079923254047887,8.029550685469662,0.18592445034090568,0.29814239699997197,0.6236095644623235,0.06889161942373294,0.08951435925492911,0.7696152885095854,0.07862637149645006,0.11374354983635754,0.6912600460383869,0.07452610605298728,0.08622248040619769,0.8643465799393811
250,5,shuffle_w,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.025612496949731396,0.37773281847987183,0.03866666666666666,0.29927007299270075,0.032,0.032846715328467155,0.7737226277372263,0.1897810218978102,0.0364963503649635,0.3484848484848485,0.32575757575757575,0.32575757575757575,0.29927007299270075,2.409549083892511,2.2425957617796284,2.3928506170594614,0.9930698789476105,0.31463184822391244,0.018556740475630166,0.32811551872982553,0.06975801064151557,4.703624941599924,0.5656854249492381,0.4,1.4142135623730951,0.047483235441954416,0.08866586276648858,0.535530067157941,0.09054844497180961,0.10301327744925144,0.8789978070197552,0.10780020105533704,0.08495443368364972,1.2689178937589012
