patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
17,35101,1500,null_tipos,nematico,4.818,0.056,1,3.879,1,0.81,0.91,4,17
17,35101,1500,null_marco,nematico,4.921,0.046,0,7.963,0,0.975,0.902,4,17
17,35101,1500,null_mediado,nematico,4.091,0.047,1,4.462,1,0.896,0.927,3,17
17,35101,1500,subconjunto,nematico,4.721,0.054,0,7.958,0,1.056,0.909,4,16
16,33037,1500,completo,nematico,nan,0.045,1,4.907,1,0.853,0.915,3,17
16,33037,1500,null_tipos,nematico,4.826,0.041,1,4.371,1,0.712,0.907,5,17
16,33037,1500,null_marco,nematico,4.977,0.05,0,7.969,0,0.953,0.903,3,17
16,33037,1500,null_mediado,nematico,5.136,0.054,2,4.292,1,0.822,0.909,3,17
16,33037,1500,subconjunto,nematico,4.878,0.054,0,7.969,0,1.144,0.917,4,16
18,37165,1500,completo,nematico,4.828,0.05,1,3.591,1,0.876,0.917,3,17
18,37165,1500,null_tipos,nematico,5.049,0.051,2,3.652,1,0.724,0.906,3,17
18,37165,1500,null_marco,nematico,nan,0.046,0,7.951,0,0.896,0.899,3,17
18,37165,1500,null_mediado,nematico,4.847,0.054,1,4.52,1,0.736,0.917,4,17
18,37165,1500,subconjunto,nematico,5.016,0.051,0,7.976,0,1.103,0.909,4,16
19,39229,1500,completo,nematico,4.977,0.042,1,3.764,1,0.952,0.921,4,17
19,39229,1500,null_tipos,nematico,5.096,0.049,2,4.694,1,0.998,0.916,4,17
19,39229,1500,null_marco,nematico,4.949,0.05,0,7.963,0,0.965,0.905,3,17
19,39229,1500,null_mediado,nematico,4.73,0.043,2,4.372,1,0.812,0.91,3,17
19,39229,1500,subconjunto,nematico,5.053,0.052,0,7.968,0,1.01,0.915,3,16
22,45421,1500,completo,nematico,4.911,0.048,1,5.378,1,0.943,0.92,4,16
22,45421,1500,null_tipos,nematico,nan,0.048,1,3.543,1,0.907,0.916,3,17
22,45421,1500,null_marco,nematico,4.861,0.052,0,7.98,0,1.055,0.917,4,16
22,45421,1500,null_mediado,nematico,4.937,0.052,1,2.978,1,0.739,0.921,3,17
22,45421,1500,subconjunto,nematico,5.201,0.049,0,7.962,0,0.937,0.917,3,16
21,43357,1500,completo,nematico,4.812,0.05,1,2.927,1,0.887,0.914,3,17
21,43357,1500,null_tipos,nematico,4.958,0.046,1,5.236,1,0.87,0.904,3,17
21,43357,1500,null_marco,nematico,4.917,0.046,0,7.956,0,1.032,0.922,3,16
21,43357,1500,null_mediado,nematico,nan,0.043,1,3.42,1,0.842,0.925,3,17
21,43357,1500,subconjunto,nematico,5.025,0.047,0,7.955,0,1.008,0.914,3,16
20,41293,1500,completo,nematico,4.824,0.044,1,4.086,1,0.787,0.904,3,17
20,41293,1500,null_tipos,nematico,4.813,0.054,1,4.432,1,0.989,0.917,3,17
20,41293,1500,null_marco,nematico,4.957,0.054,0,7.958,0,1.13,0.915,3,17
20,41293,1500,null_mediado,nematico,5.042,0.05,1,4.463,1,1.027,0.92,3,16
20,41293,1500,subconjunto,nematico,4.256,0.051,0,7.961,0,1.055,0.923,3,16
23,47485,1500,completo,nematico,nan,0.045,1,3.72,1,0.766,0.917,3,17
23,47485,1500,null_tipos,nematico,4.954,0.046,1,3.128,1,0.852,0.907,3,17
23,47485,1500,null_marco,nematico,nan,0.047,0,7.947,0,1.169,0.907,3,17
23,47485,1500,null_mediado,nematico,nan,0.052,1,5.312,1,0.932,0.913,4,17
23,47485,1500,subconjunto,nematico,5.079,0.049,0,7.971,0,0.972,0.915,4,16
24,49549,1500,completo,nematico,4.819,0.052,1,4.299,1,0.994,0.922,4,16
24,49549,1500,null_tipos,nematico,5.206,0.052,1,3.007,1,0.705,0.917,4,17
24,49549,1500,null_marco,nematico,4.74,0.05,0,7.97,0,0.913,0.926,4,16
24,49549,1500,null_mediado,nematico,4.896,0.048,1,4.361,1,0.955,0.913,3,17
24,49549,1500,subconjunto,nematico,5.005,0.053,0,7.973,0,0.909,0.903,3,16
25,51613,1500,completo,nematico,nan,0.043,3,4.76,1,1.065,0.905,3,17
25,51613,1500,null_tipos,nematico,5.042,0.04,1,3.983,1,0.881,0.913,3,17
25,51613,1500,null_marco,nematico,4.856,0.056,0,7.97,0,0.912,0.913,3,17
25,51613,1500,null_mediado,nematico,4.745,0.056,2,4.261,1,0.882,0.915,3,17
25,51613,1500,subconjunto,nematico,4.87,0.049,0,7.951,0,1.016,0.915,5,16
27,55741,1500,completo,nematico,4.818,0.05,1,3.512,1,1.039,0.905,2,17
27,55741,1500,null_tipos,nematico,nan,0.05,1,3.607,1,0.846,0.921,4,17
27,55741,1500,null_marco,nematico,4.821,0.048,0,7.96,0,0.892,0.925,4,16
27,55741,1500,null_mediado,nematico,4.986,0.045,2,3.823,1,0.824,0.916,3,17
27,55741,1500,subconjunto,nematico,4.938,0.047,0,7.974,0,0.994,0.91,4,16
26,53677,1500,completo,nematico,nan,0.043,1,3.997,1,1.058,0.911,3,17
26,53677,1500,null_tipos,nematico,4.975,0.052,2,5.21,1,1.07,0.916,4,17
26,53677,1500,null_marco,nematico,4.882,0.044,0,7.962,0,1.017,0.915,2,17
26,53677,1500,null_mediado,nematico,4.849,0.051,1,4.205,1,0.909,0.904,3,17
26,53677,1500,subconjunto,nematico,5.089,0.045,0,7.958,0,0.935,0.911,4,16
28,57805,1500,completo,nematico,4.832,0.051,1,3.594,1,0.818,0.91,3,17
28,57805,1500,null_tipos,nematico,4.867,0.047,1,4.14,1,0.788,0.907,3,17
