brazo,Dt,N,seed,fg,clu,ev,diam,dmean,d95,dgrow,ver
ARBOL,2,16384,6,0.58294677734375,0.0,1.0,36,0.0,0.0,2.9274597544993526,AZAR(exp)
CICLOS,2,16384,6,0.548828125,0.45309090909090904,1.3347419928825623,32,0.06614805775879601,0.5,2.7071981790681487,AZAR(exp)
AZAR,2,16384,6,0.5635986328125,0.0,1.3347419928825623,42,1.518583485865365,4.0,2.6726172070159446,AZAR(exp)
ARBOL,2,16384,7,0.58953857421875,0.0,1.0,34,0.0,0.0,2.8677307175606046,AZAR(exp)
CICLOS,2,16384,7,0.55194091796875,0.4321759259259259,1.3377197832577685,32,0.03317547611773093,0.5,2.784120942765677,AZAR(exp)
AZAR,2,16384,7,0.5675048828125,0.0,1.3377197832577685,49,1.476779712801711,4.0,2.7032031953928177,AZAR(exp)
ARBOL,2,16384,8,0.5845947265625,0.0,1.0,30,0.0,0.0,2.8460769289451915,AZAR(exp)
CICLOS,2,16384,8,0.57000732421875,0.4644902634593357,1.332690866259771,30,0.03888719666971266,0.5,2.7629660673748795,AZAR(exp)
AZAR,2,16384,8,0.59063720703125,0.0,1.332690866259771,44,1.314321250888415,3.5,2.796394985454886,AZAR(exp)
ARBOL,3,1024,1,0.763671875,0.024318658280922435,1.0115089514066495,20,0.0,0.0,2.414093982459686,GEOMETRIA
CICLOS,3,1024,1,0.8193359375,0.5311062520246194,1.5065554231227651,17,0.020282994859266046,0.0,2.352457882892614,AZAR(exp)
AZAR,3,1024,1,0.8857421875,0.0,1.5065554231227651,14,0.6381126889601466,1.5,2.5545723432193683,AZAR(exp)
ARBOL,3,1024,2,0.787109375,0.038403078403078404,1.0124069478908189,20,0.019234678320967577,0.0,2.3608024017071356,AZAR(exp)
CICLOS,3,1024,2,0.833984375,0.5742538655160014,1.5573770491803278,17,0.05371480841548938,0.5,2.3443009863984967,GEOMETRIA
AZAR,3,1024,2,0.908203125,0.0038377192982456143,1.5573770491803278,16,0.6130704339871939,1.5,2.5853314890534476,AZAR(exp)
ARBOL,3,1024,3,0.7900390625,0.024613899613899613,1.0086526576019776,17,0.003001017293997965,0.0,2.435086020583588,GEOMETRIA
CICLOS,3,1024,3,0.8193359375,0.5459060191733459,1.5029797377830751,18,0.0487029501525941,0.5,2.3691810566272045,AZAR(exp)
