combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,escala_b,N,diam_real_viejo,diam_real_corr,diam_null_viejo,diam_null_corr,diam_null_std_viejo,diam_null_std_corr,giant_real,holon_real,holon_null_valor,n_aristas,n_triangulos,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere_real,difiere_null
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,16,215,3.0,3.0,2.6666666666666665,2.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.298089484874736,1.5098918508894987,4942,1197,215,215,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.9890330026632268,1.5455272654699523,15356,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,2,1039,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.9890330026632268,1.5455272654699523,14210,1500,1039,1039,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,4,568,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.9890330026632268,1.5455272654699523,13153,1500,568,568,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,8,308,3.0,3.0,2.6666666666666665,2.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.9890330026632268,1.5455272654699523,10927,1500,308,308,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,16,191,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.9890330026632268,1.5455272654699523,6780,1500,191,191,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,1,2000,5.0,5.0,5.0,5.0,1e-09,1e-09,1.0,1.418437431098319,1.510581448840463,12204,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,2,1056,4.0,4.0,3.6666666666666665,3.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.418437431098319,1.510581448840463,11083,1500,1056,1056,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,4,569,3.0,3.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.418437431098319,1.510581448840463,10151,1500,569,569,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,8,337,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.418437431098319,1.510581448840463,8570,1500,337,337,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,16,201,2.0,2.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.418437431098319,1.510581448840463,5477,1500,201,201,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.2849483231850678,1.4314591659447282,17672,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,2,1037,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.2849483231850678,1.4314591659447282,16483,1500,1037,1037,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,4,550,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.2849483231850678,1.4314591659447282,15206,1500,550,550,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,8,305,2.0,2.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.2849483231850678,1.4314591659447282,12462,1500,305,305,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,16,178,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.2849483231850678,1.4314591659447282,7249,1500,178,178,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,1,2000,6.0,6.0,5.333333333333333,5.333333333333333,0.4714045217910317,0.4714045217910317,0.9995,1.1993332163396189,1.5105380411180602,9713,948,1999,1999,1,1,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,2,1066,4.0,4.0,4.666666666666667,4.666666666666667,0.4714045217910317,0.4714045217910317,0.99906191369606,1.1993332163396189,1.5105380411180602,8671,948,1065,1065,1,1,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,4,584,4.0,4.0,3.0,3.0,1e-09,1e-09,0.9982876712328768,1.1993332163396189,1.5105380411180602,7869,948,583,583,1,1,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,8,346,4.0,4.0,3.0,3.0,1e-09,1e-09,0.9971098265895953,1.1993332163396189,1.5105380411180602,6669,948,345,345,1,1,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,16,220,4.0,4.0,2.6666666666666665,2.6666666666666665,0.4714045217910317,0.4714045217910317,0.9954545454545455,1.1993332163396189,1.5105380411180602,4440,948,219,219,1,1,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,1,2000,4.0,4.0,4.666666666666667,4.666666666666667,0.4714045217910317,0.4714045217910317,1.0,1.5951962901031311,1.5385035305923929,13484,1500,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,2,1049,4.0,4.0,3.6666666666666665,3.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.5951962901031311,1.5385035305923929,12336,1500,1049,1049,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,4,566,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.5951962901031311,1.5385035305923929,11369,1500,566,566,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,8,319,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.5951962901031311,1.5385035305923929,9559,1500,319,319,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,16,199,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.5951962901031311,1.5385035305923929,6157,1500,199,199,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.4960706819458534,1.3811461448567695,19544,1500,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,2,1036,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.4960706819458534,1.3811461448567695,18303,1500,1036,1036,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,4,545,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.4960706819458534,1.3811461448567695,16924,1500,545,545,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,8,298,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.4960706819458534,1.3811461448567695,13736,1500,298,298,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,16,165,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.4960706819458534,1.3811461448567695,7550,1500,165,165,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,1,2000,4.0,4.0,4.666666666666667,4.666666666666667,0.4714045217910317,0.4714045217910317,1.0,2.162658889491942,1.5450302620133551,13998,1500,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,2,1045,3.0,3.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,2.162658889491942,1.5450302620133551,12880,1500,1045,1045,1,0,False,False,False
