var_a,var_b,n,spearman,pearson,abs_spearman
gini_tri_nodo,frac_mayor_comp_tri,252,0.752315918759665,0.476004813727838,0.752315918759665
frac_nodos_en_triangulo,frac_mayor_comp_tri,252,-0.7361387435638306,-0.4650002318831945,0.7361387435638306
frac_mayor_comp_tri,modularidad_tri,252,-0.7320396554170692,-0.38402448557438523,0.7320396554170692
frac_aristas_en_triangulo,frac_mayor_comp_tri,252,-0.7318497462982504,-0.3841432131901718,0.7318497462982504
tri_ar_media_todas,frac_mayor_comp_tri,252,-0.7290051911012321,-0.38267488775784103,0.7290051911012321
tri_ar_media_sop,tam_medio_comp_tri,252,0.7259948117896455,0.7327048215884144,0.7259948117896455
frac_aristas_multi_tri,tam_medio_comp_tri,252,0.7249291037060995,0.7096826745787149,0.7249291037060995
n_aristas,pendiente_nativa,254,-0.7187571515455404,-0.5354636022535564,0.7187571515455404
tri_ar_max,tam_medio_comp_tri,252,0.7135697399352059,0.6770959225716489,0.7135697399352059
clustering,frac_mayor_comp_tri,252,-0.7107821827467207,-0.3296323110064876,0.7107821827467207
tri_ar_max,tri_por_nodo_max,254,0.7103687604321235,0.7208945681948384,0.7103687604321235
tri_por_nodo_max,n_triangulos,254,0.6909089073482366,0.6286337583586719,0.6909089073482366
tri_ar_media_sop,tri_por_nodo_max,252,0.6849318769315181,0.5976872761318223,0.6849318769315181
frac_aristas_multi_tri,tri_por_nodo_max,252,0.6829168697373106,0.5816899297027888,0.6829168697373106
transitividad,frac_mayor_comp_tri,252,-0.6814629459179393,-0.31252211475871805,0.6814629459179393
clustering,dist_media_tri,249,0.6691978663462025,0.6838701607242985,0.6691978663462025
tri_por_nodo_max,frac_nodos_en_triangulo,254,0.6665895652937054,0.6110733951224431,0.6665895652937054
tri_ar_p99_sop,tam_medio_comp_tri,252,0.666408717917147,0.6959282593422405,0.666408717917147
tri_por_nodo_max,n_comp_tri_arista,252,0.6640321172866734,0.6001275440711114,0.6640321172866734
transitividad,dist_media_tri,249,0.6637603005940228,0.701024962139461,0.6637603005940228
dist_media_tri,n_aristas,249,-0.6634132548957878,-0.4555599133673826,0.6634132548957878
n_aristas,diam,254,-0.6415475299469762,-0.43751587801773373,0.6415475299469762
tri_ar_media_todas,tri_por_nodo_max,254,0.6380248508932752,0.5132978950165251,0.6380248508932752
gini_tri_nodo,tri_por_nodo_max,252,-0.637195625753231,-0.5815047772510712,0.637195625753231
