kcap,K,seed_idx,admitida,J,clase,clustering_nativo,diam_b16,diam_nativo,giant_b16,giant_nativo,holon_ge5,holon_ratio,intentos_filtro,meandeg,n_aristas_nativo,noise,pendiente_null,pendiente_real,rule_id,seed,z_agg,z_sostenido
4,6,18,True,0.403,III,0.0069400630914826485,5.0,22.0,0.6837209302325581,0.9225,False,3.6415117536884205,1,4.28,2596,0.142,0.8445126741602901,0.9512981454267814,A2-B0-C2-r58,2022113,3.889087289101011,False
4,6,19,True,0.56,III,0.004240882103477525,5.0,19.0,0.6809954751131222,0.913,False,3.64846842585539,1,4.72,2605,0.31,0.8912921806986018,0.8347494918292302,A2-B0-C2-r59,2022126,0.3889087289588511,False
4,7,0,True,0.74,III,0.015377657168701955,5.0,19.0,0.6111111111111112,0.895,False,1.7870303987996856,1,5.85,2507,0.284,0.9102747535342888,0.9717956618360322,A2-B0-C2-r60,2022190,0.8140112763658026,False
4,7,1,True,0.491,III,0.009444086713887094,5.0,18.0,0.6993166287015945,0.922,False,2.708104168347783,1,4.46,2572,0.172,0.8112034377606546,0.8252247958657817,A2-B0-C2-r61,2022203,1.555634915610404,False
4,7,2,True,0.778,III,0.006881720430107522,5.0,21.0,0.6778523489932886,0.915,False,2.429287294704846,1,4.64,2580,0.259,0.8783081860530013,0.9346909265847236,A2-B0-C2-r62,2022216,0.5027105224960483,False
4,7,3,True,0.563,III,0.008527633851468045,5.0,16.0,0.6796338672768879,0.9175,False,2.4561193137222723,1,4.91,2565,0.151,0.7946848401423403,0.7999000609568874,A2-B0-C2-r63,2022229,1.0434017399007935,False
4,7,4,True,0.612,I,0.0034920634920634934,5.0,1.0,0.7339667458432304,0.9365,False,1.1498954090177258,1,4.21,2595,0.299,0.9315796442179498,-0.7186902678957034,A2-B0-C2-r64,2022242,2.1488053974574357,False
4,7,5,True,0.39,III,0.04392971246006386,5.0,21.0,0.4294573643410853,0.787,False,1.4929688449588192,1,7.59,2160,0.258,1.3076991109252343,1.1829956373431008,A2-B0-C2-r65,2022255,1.0555833720058736,False
4,7,6,True,0.436,III,0.004895700297999149,5.0,20.0,0.6887871853546911,0.9205,False,2.452603841665674,1,4.44,2557,0.163,0.8465639954710373,0.9043495026847729,A2-B0-C2-r66,2022268,1.2020815261421307,False
4,7,7,True,0.346,III,0.05853658536585372,5.0,24.0,0.3933933933933934,0.775,False,1.7007463919480295,1,7.95,2076,0.273,1.2333044251104754,1.4424508136854906,A2-B0-C2-r67,2022281,1.2087082051273783,False
4,7,8,True,0.741,III,0.019607843137254912,5.0,23.0,0.5080500894454383,0.849,False,2.0761767430418265,1,6.43,2344,0.349,1.1135715884039041,1.1506545351127324,A2-B0-C2-r68,2022294,2.2403835084108237,False
4,7,9,True,0.45,III,0.00831174438687392,5.0,18.0,0.6444444444444445,0.9065,False,1.9850470183617586,1,5.01,2566,0.267,0.9885942647436423,0.8497380601343381,A2-B0-C2-r69,2022307,0.8215601221116888,False
4,7,10,True,0.68,III,0.01814609338881185,5.0,21.0,0.5808383233532934,0.8775,False,1.8756704950026204,1,5.94,2449,0.208,0.9411209700033086,1.0040031316032718,A2-B0-C2-r70,2022320,0.5088448172797861,False
4,7,11,True,0.568,III,0.017543859649122823,5.0,21.0,0.5386064030131826,0.856,False,2.0921560732957345,1,6.55,2339,0.271,1.0341228231104782,1.0399423873341986,A2-B0-C2-r71,2022333,1.0505065739569261,False
4,7,12,True,0.725,III,0.02297592997811818,5.0,20.0,0.5335753176043557,0.8485,False,2.024059050925346,1,6.41,2359,0.334,0.7870092582531738,1.0722089040484641,A2-B0-C2-r72,2022346,0.5539091452089007,False
4,7,13,True,0.721,intermedio (sin clase clara),0.01999070199907022,5.0,1.0,0.5402298850574713,0.859,False,1.8731887384689645,1,6.31,2447,0.269,1.0003305476563105,-0.984009350471641,A2-B0-C2-r73,2022359,4.209288983477063,False
4,7,14,True,0.754,III,0.015850815850815846,5.0,18.0,0.5678776290630975,0.866,False,2.9315122501344693,1,5.79,2433,0.29,1.0242096333489454,0.9922045380314564,A2-B0-C2-r74,2022372,0.45708100795928247,False
4,7,15,True,0.505,III,0.009859450388084744,5.0,18.0,0.7306791569086651,0.9315,False,2.556467749994301,1,4.61,2618,0.173,0.8152846538911036,0.8543380901085162,A2-B0-C2-r75,2022385,1.6970562715477144,False
4,7,16,True,0.349,III,0.029233105542900498,5.0,16.0,0.4766666666666667,0.821,False,1.889165534183369,1,6.89,2269,0.12,0.9070318761868285,0.908759814063814,A2-B0-C2-r76,2022398,0.8759035726542127,False
4,7,17,True,0.36,intermedio (sin clase clara),0.017112557242709096,5.0,2.0,0.5590994371482176,0.856,False,2.169396461104777,1,6.17,2345,0.263,1.04255709770762,-0.43879413633783854,A2-B0-C2-r77,2022411,8.390547011872817,False
4,7,18,True,0.628,I,0.024606060606060607,5.0,2.0,0.49019607843137253,0.842,False,1.6013086809813941,1,6.54,2351,0.255,1.109290114327184,-0.4854504520511236,A2-B0-C2-r78,2022424,1.7729993114888685,False
4,7,19,True,0.762,III,0.01783646050498033,5.0,19.0,0.5952380952380952,0.8875,False,2.583528769620125,1,5.91,2477,0.231,0.9292657758056031,0.9488716295888598,A2-B0-C2-r79,2022437,1.0336921560926526,False
4,8,0,True,0.544,intermedio (sin clase clara),0.032822477650063825,5.0,2.0,0.4713584288052373,0.8115,False,2.573758989698644,1,6.91,2243,0.206,1.1365780147186526,-0.5903759590536463,A2-B0-C2-r80,2022501,8.30596626240496,False
4,8,1,True,0.33,III,0.03920021047092866,5.0,19.0,0.4294205052005943,0.779,False,2.0723726531088142,1,7.41,2166,0.182,1.0750990273460483,1.2068808060525542,A2-B0-C2-r81,2022514,0.571124706894016,False
4,8,2,True,0.724,III,0.007274701411509225,5.0,19.0,0.6206140350877193,0.9005,False,2.2409136357165975,1,4.98,2559,0.16,0.8667669072326865,0.926150722023911,A2-B0-C2-r82,2022527,0.8963230312627871,False
4,8,3,True,0.684,III,0.02415812591508053,5.0,21.0,0.5008976660682226,0.8485,False,2.290111610983485,1,6.51,2330,0.274,1.0981896467741585,1.0094564344880044,A2-B0-C2-r83,2022540,1.3763198214767935,False
4,8,4,True,0.657,III,0.0088629485516645,5.0,24.0,0.6651270207852193,0.9155,False,3.66134013993695,1,4.74,2568,0.111,0.8828861177258608,1.0370763747774805,A2-B0-C2-r84,2022553,2.5591919569469104,False
4,8,5,True,0.745,III,0.005501618122977348,5.0,23.0,0.6884875846501128,0.9235,False,1.3715498854926162,1,4.65,2558,0.282,0.9365336490891545,1.0040306887148258,A2-B0-C2-r85,2022566,1.0505065739569264,False
4,8,6,True,0.78,III,0.002600915522263836,5.0,18.0,0.7162790697674418,0.9295,False,3.1796885398515053,1,4.08,2621,0.235,0.8363636588672598,0.8364737257973793,A2-B0-C2-r86,2022579,0.8485281357738577,False
4,8,7,True,0.749,III,0.013164080865068171,5.0,20.0,0.5476190476190477,0.867,False,2.673316999268929,1,6.19,2426,0.276,0.8393404803844242,1.0848778082203745,A2-B0-C2-r87,2022592,0.15412565661159633,False
4,8,8,True,0.638,intermedio (sin clase clara),0.029484332593140854,5.0,1.0,0.5016949152542373,0.8315,False,1.389687689202231,1,6.97,2324,0.299,1.0969630468966145,-1.0479378105168742,A2-B0-C2-r88,2022605,4.795451861525349,False
4,8,9,True,0.333,III,0.023880597014925384,5.0,19.0,0.4791666666666667,0.8295,False,2.476905767180809,1,6.48,2276,0.148,1.1887454281372665,1.0812274923953697,A2-B0-C2-r89,2022618,0.9167004154742878,False
4,8,10,True,0.448,III,0.0367773677736777,5.0,20.0,0.4852173913043478,0.8285,False,2.0480947657383384,1,6.81,2273,0.196,1.1159963729956257,1.1272037332424354,A2-B0-C2-r90,2022631,0.8485281356238581,False
4,8,11,True,0.353,III,0.05582264957264966,5.0,18.0,0.3905511811023622,0.7695,False,2.5907568527349722,1,7.77,2133,0.184,1.2554058770621446,1.1341114059457436,A2-B0-C2-r91,2022644,1.460713553124863,False
4,8,12,True,0.454,III,0.02131258457374832,5.0,20.0,0.5896907216494846,0.888,False,4.471584059578663,1,5.78,2479,0.101,0.9178343948108977,0.9877752737765737,A2-B0-C2-r92,2022657,0.565685424349238,False
4,8,13,True,0.442,III,0.014066193853427897,5.0,21.0,0.5775193798449613,0.8765,False,1.530183919820981,1,5.96,2379,0.261,1.0288517561844361,1.1135591499531428,A2-B0-C2-r93,2022670,1.1970047277931832,False
4,8,14,True,0.645,III,0.029659965251923524,5.0,16.0,0.4780405405405405,0.825,False,2.8472125065267506,1,6.79,2322,0.179,1.1711229479683753,0.9208542752217161,A2-B0-C2-r94,2022683,2.0160468828916267,False
4,8,15,True,0.781,III,0.014683815648445888,5.0,19.0,0.6622222222222223,0.9145,False,2.054744206255937,1,5.33,2587,0.166,0.9513404353742276,0.9104798835241307,A2-B0-C2-r95,2022696,0.40118352863497275,False
4,8,16,True,0.353,III,0.06203779786359907,5.0,23.0,0.40902255639097745,0.776,False,1.721222576835753,1,7.99,2081,0.288,1.1888128529057267,1.3600047271026283,A2-B0-C2-r96,2022709,0.6294991440294748,False
4,8,17,True,0.75,III,0.004997827031725337,5.0,20.0,0.6973684210526315,0.923,False,1.5001890039438495,1,4.19,2517,0.345,0.9350221874123379,0.8978040756868652,A2-B0-C2-r97,2022722,0.8813450757712106,False
4,8,18,True,0.622,III,0.0036873156342182895,5.0,21.0,0.6889400921658986,0.923,False,3.052844004268807,1,4.02,2561,0.107,0.8614329329193817,0.9665621933598413,A2-B0-C2-r98,2022735,1.7298732116950668,False
4,8,19,True,0.449,III,0.044399999999999974,5.0,24.0,0.386046511627907,0.777,False,2.003428877598506,1,7.62,2094,0.29,1.3446617559269336,1.3464866256483454,A2-B0-C2-r99,2022748,0.7003241232226243,False
5,4,0,True,0.532,III,0.003487933634992458,4.0,14.0,0.8186813186813187,0.9655,False,2.416686181144522,1,4.88,3377,0.246,0.6754709960299206,0.7406088577046938,A2-B0-C2-r100,2026260,0.5656854239492379,False
5,4,1,True,0.525,III,0.01188137877912577,4.0,14.0,0.8021978021978022,0.959,False,2.8352678825358546,1,6.52,3370,0.213,0.7071251121671671,0.7680482623459003,A2-B0-C2-r101,2026273,1.162487868385129,False
5,4,2,True,0.475,III,0.0030631659056316583,4.0,14.0,0.8650793650793651,0.971,False,1.0518151346711613,1,4.46,3266,0.32,0.68988628694985,0.7508472151409264,A2-B0-C2-r102,2026286,1.131370847498476,False
5,4,3,True,0.517,IV,0.026923915413124076,4.0,16.0,0.6428571428571429,0.901,True,5.064704495834481,1,7.87,3028,0.13,0.8890849502041849,0.9863079545552668,A2-B0-C2-r103,2026299,1.0291727185657265,False
5,4,4,True,0.712,III,0.024248199915290165,4.0,13.0,0.7092511013215859,0.9305,False,1.8046650783853617,1,7.68,3150,0.303,0.8134770538420739,0.8549769480443467,A2-B0-C2-r104,2026312,1.4296851114540248,False
5,4,5,True,0.356,III,0.0047020750047591835,5.0,15.0,0.8131313131313131,0.961,False,3.326315230646677,1,5.96,3382,0.195,0.6699024628557492,0.700916763592051,A2-B0-C2-r105,2026325,1.414213559373095,False
5,4,6,True,0.362,intermedio (sin clase clara),0.012286002014098706,5.0,1.0,0.7711670480549199,0.946,False,1.0430914381329022,1,6.74,3196,0.295,0.7666686760133526,-0.7505971773576205,A2-B0-C2-r106,2026338,3.111269833220809,False
5,4,7,True,0.724,III,0.013836104513064166,4.0,15.0,0.7750611246943765,0.95,False,2.0853813010116804,1,6.65,3317,0.319,0.6850640844138451,0.8008991603155177,A2-B0-C2-r107,2026351,1.0606601699048217,False
5,4,8,True,0.663,III,0.017788861180382417,4.0,15.0,0.7085953878406709,0.925,False,2.1536135424760876,1,7.43,3179,0.268,0.7898237827729674,0.9548272173600335,A2-B0-C2-r108,2026364,2.262741694996952,False
5,4,9,True,0.789,I,0.013274161735700226,5.0,13.0,0.7695961995249406,0.9475,False,2.3190309766400774,1,6.6,3312,0.291,0.7511551358090883,0.6888701298679828,A2-B0-C2-r109,2026377,1.4142135593730956,False
5,4,10,True,0.658,III,0.0036414565826330503,4.0,14.0,0.848314606741573,0.969,False,3.0206955224308136,1,4.95,3391,0.348,0.6942663192562433,0.7085671590342197,A2-B0-C2-r110,2026390,0.35355339006827363,False
5,4,11,True,0.555,III,0.009137931034482754,4.0,14.0,0.787012987012987,0.9545,False,3.0136939813030987,1,5.88,3366,0.29,0.729404645059727,0.7648257970125332,A2-B0-C2-r111,2026403,0.6725899204284932,False
5,4,12,True,0.533,III,0.002178899082568808,4.0,13.0,0.819371727748691,0.96,False,1.245110812775188,1,5.21,3377,0.29,0.6954479580295496,0.7434630033651723,A2-B0-C2-r112,2026416,0.9192388136675115,False
5,4,13,True,0.764,IV,0.0035727860129228413,4.0,15.0,0.807799442896936,0.963,True,8.321594093987736,1,4.59,3344,0.101,0.7442520675811335,0.7875460119608131,A2-B0-C2-r113,2026429,0.669213041790246,False
5,4,14,True,0.68,III,0.003062758361518224,4.0,14.0,0.8432432432432433,0.97,False,3.662647143575559,1,5.06,3411,0.202,0.6781753721687969,0.7244374382564676,A2-B0-C2-r114,2026442,0.42426406801192823,False
5,4,15,True,0.464,I,0.002425267907501411,4.0,12.0,0.8609625668449198,0.9705,False,2.9236671870976196,1,5.31,3415,0.246,0.6963957768662828,0.6234158902932753,A2-B0-C2-r115,2026455,0.4966517053831298,False
5,4,16,True,0.446,IV,0.00489119969189293,4.0,14.0,0.806282722513089,0.9605,True,5.2952844411812965,1,6.04,3387,0.114,0.7327852387228612,0.7400400063395213,A2-B0-C2-r116,2026468,0.6692130417902463,False
5,4,17,True,0.492,I,0.002275694833053535,4.0,12.0,0.8592814371257484,0.9735,False,1.359309756879181,1,4.56,3345,0.236,0.6352614095078373,0.6027210236931919,A2-B0-C2-r117,2026481,0.14142135593730976,False
5,4,18,True,0.354,III,0.002591751797200151,4.0,14.0,0.8657534246575342,0.975,False,2.6319132513747387,1,4.39,3282,0.16,0.6854344455037555,0.7761124430181573,A2-B0-C2-r118,2026494,1.6970562712477135,False
5,4,19,True,0.309,I,0.00814543977249644,5.0,14.0,0.7337962962962963,0.941,False,3.052813692480091,1,6.63,3228,0.129,0.752660925571453,0.6982393588593296,A2-B0-C2-r119,2026507,0.8106343977275554,False
5,5,0,True,0.597,III,0.005077759040659545,4.0,15.0,0.83008356545961,0.968,False,3.338405155850586,1,5.2,3408,0.179,0.6857187246863977,0.717403078324481,A2-B0-C2-r120,2026571,0.7037069414651466,False
5,5,1,True,0.445,I,0.005647148000758002,4.0,13.0,0.8434065934065934,0.9665,False,2.682185740122157,1,5.7,3378,0.233,0.49565532193031947,0.6835485559293343,A2-B0-C2-r121,2026584,0.49497474613058345,False
5,5,2,True,0.467,III,0.02659868281283198,4.0,16.0,0.6818181818181818,0.9135,False,1.5456134979112408,1,7.75,3051,0.234,0.8487158169164336,0.959223151728767,A2-B0-C2-r122,2026597,0.4966517052331298,False
5,5,3,True,0.504,III,0.010930861336423344,4.0,16.0,0.771505376344086,0.956,False,2.1977693499165127,1,6.38,3323,0.259,0.7356556028838799,0.7807548680070784,A2-B0-C2-r123,2026610,0.4983286647606765,False
5,5,4,True,0.468,intermedio (sin clase clara),0.00781821683034854,4.0,14.0,0.815,0.96,False,2.685151078203328,1,5.75,3312,0.168,0.749574926009299,0.22385717450729098,A2-B0-C2-r124,2026623,3.8183766103073564,False
5,5,5,True,0.355,I,0.00300766283524904,5.0,14.0,0.8267716535433071,0.964,False,1.308176979471237,1,5.23,3297,0.235,0.7627469065534084,0.6266281843474335,A2-B0-C2-r125,2026636,0.0,False
5,5,6,True,0.501,III,0.008818958818958812,5.0,16.0,0.8112745098039216,0.9565,False,2.964836839418002,1,6.11,3293,0.165,0.8072077335877513,0.7437107072016542,A2-B0-C2-r126,2026649,0.8106343978775559,False
5,5,7,True,0.601,III,0.011773049645390082,5.0,17.0,0.7719298245614035,0.9505,False,1.5809291677756874,1,6.71,3264,0.277,0.8116832220881318,0.7840289344799852,A2-B0-C2-r127,2026662,1.2727922037357857,False
5,5,8,True,0.317,III,0.00380083618396047,5.0,16.0,0.821882951653944,0.963,False,2.283031028412545,1,5.35,3328,0.186,0.7078457388034116,0.7477960737493153,A2-B0-C2-r128,2026675,0.5656854237492382,False
5,5,9,True,0.413,III,0.009623430962343086,5.0,14.0,0.7641509433962265,0.9385,False,1.2843681633274353,1,6.55,3235,0.325,0.8199406009123617,0.7437163303168615,A2-B0-C2-r129,2026688,0.7071067796865472,False
5,5,10,True,0.697,III,0.015365239294710353,4.0,13.0,0.7002237136465325,0.9265,False,3.001827079824867,1,7.37,3141,0.19,0.7381700966106004,0.8439897304689764,A2-B0-C2-r130,2026701,1.3262214920422597,False
5,5,11,True,0.528,I,0.002274863696183493,4.0,14.0,0.8509485094850948,0.9705,False,4.3652576931783855,1,5.28,3360,0.195,0.7305798158528871,0.6974587552342364,A2-B0-C2-r131,2026714,1.0606601696048212,False
5,5,12,True,0.688,I,0.0006944444444444445,4.0,14.0,0.8778409090909091,0.976,False,0.9561299755367546,1,4.33,3318,0.243,0.672903194643639,0.6623186772190857,A2-B0-C2-r132,2026727,0.848528135623857,False
