rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch3-r30,II,474739,4,0.747,0.227,7.16,7,0.227,0.43730741290102304,0.707106779686548,3.130378101808069
A2-B0-C2-batch3-r31,III,474836,4,0.695,0.156,7.18,5,0.214,0.8063707776237027,0.2828427118746191,3.794837846378168
A2-B0-C2-batch3-r32,I,474933,4,0.646,0.325,5.6,6,0.159,0.5639609587703198,0.353553389918274,1.3448279402524053
A2-B0-C2-batch3-r33,III,475030,6,0.763,0.191,7.68,4,0.165,1.1585340603636753,1.1184004456925378,2.9154423112315824
A2-B0-C2-batch3-r34,I,475127,7,0.658,0.143,5.94,6,0.212,0.5509036575219144,0.2828427118746191,2.1446134904017367
A2-B0-C2-batch3-r35,I,475224,4,0.657,0.303,4.75,5,0.284,0.6334481872632117,1.2572107332593048,2.476520783925357
A2-B0-C2-batch3-r36,I,475321,5,0.386,0.32,4.24,6,0.159,0.6656640618955437,0.4242640678119288,1.986175250491734
A2-B0-C2-batch3-r37,III,475418,5,0.639,0.257,4.1,5,0.174,0.7565364853412659,0.5656854237492382,2.9461920188979245
A2-B0-C2-batch3-r38,I,475515,7,0.641,0.319,6.6,6,0.246,0.6556093863621397,1.441953701621501,2.1350076854310753
A2-B0-C2-batch3-r39,II,475612,4,0.66,0.175,7.47,7,0.203,0.4047087200076526,0.5277916858529366,4.42388764294637
A2-B0-C2-batch3-r40,intermedio (sin clase clara),475709,6,0.751,0.272,6.68,4,0.212,-1.0008485832490617,8.061017288426642,2.3913901555032786
A2-B0-C2-batch3-r41,I,475806,4,0.634,0.135,4.01,7,0.303,0.5812768890121728,0.848528135623857,7.050023659235082
A2-B0-C2-batch3-r42,I,475903,5,0.432,0.303,5.21,6,0.157,0.5715717683135682,0.5656854239492376,2.438952818090389
A2-B0-C2-batch3-r43,I,476000,4,0.303,0.135,6.98,6,0.294,0.5362857394737193,0.5656854237492382,3.098712661647696
A2-B0-C2-batch3-r44,I,476097,7,0.551,0.138,4.4,5,0.197,0.6237508179211378,0.5169395431561162,2.3806339149573437
A2-B0-C2-batch3-r45,intermedio (sin clase clara),476194,8,0.632,0.292,6.97,4,0.275,-0.48908085725894435,5.9924565891685315,2.1775350953956334
A2-B0-C2-batch3-r46,I,476291,7,0.555,0.153,4.08,6,0.214,0.6949690241960329,0.631319303893945,1.0992135173302895
A2-B0-C2-batch3-r47,I,476388,7,0.557,0.125,6.29,6,0.254,0.664609820944207,0.9899494915611664,2.718267423129872
A2-B0-C2-batch3-r48,I,476485,8,0.487,0.21,4.54,5,0.222,0.6705155034604253,1.1970047276431834,3.499415540265244
A2-B0-C2-batch3-r49,I,476582,7,0.535,0.238,6.94,6,0.237,0.5709286983066645,0.14142135593730937,1.3784340346743966
A2-B0-C2-batch3-r50,I,476679,6,0.381,0.278,5.64,5,0.267,0.6185791830984309,0.4898979479566356,1.3219714767235071
A2-B0-C2-batch3-r51,III,476776,7,0.735,0.246,7.45,4,0.349,1.1350254351771156,2.9698484749834995,1.7131850179222172
A2-B0-C2-batch3-r52,III,476873,7,0.385,0.177,4.07,4,0.302,0.8949172114107345,0.5277916860529366,1.7690371464577876
A2-B0-C2-batch3-r53,I,476970,7,0.708,0.308,4.14,5,0.156,0.6600094507902552,0.7071067796865476,2.842452192168626
A2-B0-C2-batch3-r54,I,477067,6,0.518,0.221,6.26,6,0.248,0.4822619228998915,0.5277916858529366,1.344041448449894
A2-B0-C2-batch3-r55,I,477164,5,0.471,0.149,4.87,6,0.218,0.5814093800787539,0.9192388136675118,3.8455349261073577
A2-B0-C2-batch3-r56,I,477261,8,0.461,0.218,4.07,7,0.271,0.6712786492946685,0.42426406781192816,2.0524814841850185
A2-B0-C2-batch3-r57,I,477358,4,0.76,0.339,4.85,6,0.172,0.6072417912787075,0.14142135608730938,1.4830787449484628
A2-B0-C2-batch3-r58,III,477455,7,0.458,0.155,4.11,5,0.307,0.7764098545485963,0.9192388136675118,1.8918641492014932
A2-B0-C2-batch3-r59,I,477552,7,0.545,0.26,4.12,5,0.177,0.6979287978973431,1.0285189526184493,1.9648030847458327
A2-B0-C2-batch3-r60,III,477649,6,0.456,0.261,7.33,5,0.333,0.9283825080454772,0.6772962881749995,1.2558534154191552
A2-B0-C2-batch3-r61,I,477746,8,0.599,0.179,4.58,7,0.265,0.49549733822908837,0.7071067802865473,3.702549465488967
A2-B0-C2-batch3-r62,I,477843,6,0.699,0.259,5.96,7,0.309,0.47429833415639017,0.5656854237492382,1.0992120317865277
A2-B0-C2-batch3-r63,I,477940,6,0.517,0.314,4.5,6,0.331,0.5608035173449282,0.14142135593730937,1.8614750872773356
A2-B0-C2-batch3-r64,III,478037,5,0.467,0.161,7.39,4,0.173,1.1910746755803228,0.6363961020762259,3.2009934204534174
A2-B0-C2-batch3-r65,I,478134,5,0.61,0.34,4.68,7,0.344,0.4903763656633309,0.4242640678119285,3.822750824342106
A2-B0-C2-batch3-r66,III,478231,6,0.628,0.259,5.24,4,0.337,0.8971657877586503,0.6346847027406153,2.4884853842005663
A2-B0-C2-batch3-r67,I,478328,8,0.765,0.288,4.38,6,0.318,0.631838476985562,0.1948736042769372,1.768394860738987
A2-B0-C2-batch3-r68,I,478425,7,0.718,0.331,5.4,6,0.272,0.5151393082337679,0.9398511621266321,1.6694886552748358
