N,seed,n_surv,f_surv,excess_L2,excess_max,orden,orden_excess,L2_null_allN,L2_null_surv
500,7,264,0.528,0.35408056804702404,0.14015151515151514,0.6517481697528892,0.5968499222745095,0.04183300132670378,0.057570773308979785
500,8,264,0.528,0.35521336983333873,0.14393939393939392,0.6514927939379147,0.5986099778183778,0.04183300132670378,0.057570773308979785
500,9,277,0.554,0.35434045168995426,0.13853790613718414,0.6568983538519874,0.6039395639568192,0.04183300132670378,0.056203600999784345
500,10,271,0.542,0.36396700992526654,0.15913284132841327,0.6921526621640403,0.639002381697652,0.04183300132670378,0.05682237488721215
500,11,265,0.53,0.3546943991206133,0.1391509433962264,0.6422762886671642,0.5868920601773038,0.04183300132670378,0.05746204653902287
500,12,274,0.548,0.35675999206586395,0.15967153284671531,0.6563941876469175,0.6032521255521148,0.04183300132670378,0.056510447325554825
500,13,264,0.528,0.3551729748403346,0.1477272727272727,0.6699739005588446,0.6168240459909834,0.04183300132670378,0.057570773308979785
500,14,282,0.564,0.3576026199865381,0.15868794326241137,0.636158166805426,0.5816486748162647,0.04183300132670378,0.05570311373193265
500,15,258,0.516,0.3577983374212387,0.1618217054263566,0.6747607539757913,0.6217743142801027,0.04183300132670378,0.058236353493475654
500,16,268,0.536,0.3561820765307977,0.1548507462686567,0.675577713778138,0.6230628073095741,0.04183300132670378,0.05713952548922968
500,17,265,0.53,0.35987567569647183,0.16556603773584905,0.6878752697694354,0.6314186169606407,0.04183300132670378,0.05746204653902287
500,18,275,0.55,0.35662096460625275,0.1622727272727273,0.6660856111426281,0.6123462589764487,0.04183300132670378,0.056407607481776624
500,19,255,0.51,0.3643657490452114,0.19656862745098042,0.6713873366579584,0.6164506512148443,0.04183300132670378,0.05857791861290061
500,20,263,0.526,0.35458949531548456,0.14496197718631176,0.6507063050886536,0.5978753334983926,0.04183300132670378,0.05768011960562002
500,21,257,0.514,0.35926167178079466,0.17071984435797666,0.6564841484377935,0.5984349144639555,0.04183300132670378,0.05834954379170748
500,22,256,0.512,0.35445855771955204,0.140625,0.6619232735723526,0.6044552714154591,0.04183300132670378,0.05846339666834283
500,23,263,0.526,0.3571084160243819,0.16777566539923955,0.6708446709754914,0.6194945113048471,0.04183300132670378,0.05768011960562002
500,24,255,0.51,0.35426494667320485,0.14166666666666666,0.6630467017451066,0.6062537234131741,0.04183300132670378,0.05857791861290061
500,25,255,0.51,0.3554350886847813,0.15343137254901962,0.6518019361327251,0.5966675616694443,0.04183300132670378,0.05857791861290061
500,26,249,0.498,0.36182209326374093,0.18022088353413657,0.6810630564775113,0.6251520169801016,0.04183300132670378,0.05927947557881731
500,27,276,0.552,0.3539615867194149,0.13949275362318841,0.6476525435889858,0.5937484757073105,0.04183300132670378,0.056305327057681355
500,28,270,0.54,0.3605646387411866,0.175,0.6546103889661823,0.5986025711831165,0.04183300132670378,0.0569275042553311
500,29,264,0.528,0.35730761646285847,0.1628787878787879,0.6768732800487276,0.6202059338979551,0.04183300132670378,0.057570773308979785
500,30,256,0.512,0.35831194673339456,0.16796875,0.6305733369883684,0.5743345950485931,0.04183300132670378,0.05846339666834283
500,31,271,0.542,0.35464451092538474,0.1480627306273063,0.6642722452123967,0.6125023363198654,0.04183300132670378,0.05682237488721215
500,32,269,0.538,0.35578898097062195,0.1538104089219331,0.6704670434086266,0.6187623195962613,0.04183300132670378,0.05703321930322029
500,33,266,0.532,0.35746918213958895,0.1682330827067669,0.6340729811917942,0.5789548948476649,0.04183300132670378,0.05735393346764044
500,34,259,0.518,0.3544535078784351,0.14140926640926643,0.6648468232748609,0.6128608230203797,0.04183300132670378,0.05812381937190964
500,35,270,0.54,0.35608563881088007,0.14907407407407408,0.6598428248885602,0.6084803757326233,0.04183300132670378,0.0569275042553311
500,36,278,0.556,0.3603860595236309,0.15197841726618705,0.6763348526438903,0.625018909040058,0.04183300132670378,0.05610242431828137
500,37,262,0.524,0.3583215376447157,0.17270992366412213,0.6716341985898324,0.6183160496801307,0.04183300132670378,0.057790091334834814
500,38,274,0.548,0.3598825146766258,0.17427007299270075,0.6632287805394239,0.6123706341116997,0.04183300132670378,0.056510447325554825
500,39,265,0.53,0.36298817192623256,0.1731132075471698,0.6477956080186305,0.592464767435528,0.04183300132670378,0.05746204653902287
500,40,251,0.502,0.35549537587771823,0.14990039840637448,0.6701115233030652,0.6161210082001173,0.04183300132670378,0.0590428300210316
500,41,258,0.516,0.35796624889287193,0.16957364341085274,0.6742828835091422,0.617747288503544,0.04183300132670378,0.058236353493475654
500,42,248,0.496,0.3566212557928181,0.14919354838709675,0.6756323335738734,0.6163905292251765,0.04183300132670378,0.05939887041393643
500,43,256,0.512,0.35579054802299065,0.1484375,0.6744352083814161,0.6153858272021118,0.04183300132670378,0.05846339666834283
500,44,254,0.508,0.35623939115854053,0.14665354330708663,0.6298510639165386,0.574597100869598,0.04183300132670378,0.05869311620423454
500,45,254,0.508,0.3573254893832942,0.1624015748031496,0.6664172546888941,0.6119544926938156,0.04183300132670378,0.05869311620423454
500,46,271,0.542,0.3540681261561435,0.13699261992619927,0.6443896607638017,0.5902677524693248,0.04183300132670378,0.05682237488721215
500,47,254,0.508,0.35758566209373027,0.1624015748031496,0.6769337507464432,0.622684795143883,0.04183300132670378,0.05869311620423454
500,48,249,0.498,0.35466361194896107,0.14809236947791166,0.6652584395173505,0.6058859346017279,0.04183300132670378,0.05927947557881731
500,49,259,0.518,0.3536113618292551,0.12982625482625482,0.6543587676418369,0.6007107446547112,0.04183300132670378,0.05812381937190964
500,50,258,0.516,0.35548151195558264,0.14631782945736432,0.6600088956041423,0.6002418218175806,0.04183300132670378,0.058236353493475654
1000,1,508,0.508,0.3563807711065624,0.16043307086614172,0.6735333034830996,0.6337333066835943,0.02958039891549808,0.041502300476984284
1000,2,502,0.502,0.35419816764464773,0.14193227091633465,0.6630563223939356,0.6231419401442645,0.02958039891549808,0.04174958548831611
1000,3,516,0.516,0.35479410005563616,0.1501937984496124,0.6455543789824597,0.6088907186542252,0.02958039891549808,0.041179320466813524
1000,4,526,0.526,0.3567134740868267,0.16397338403041822,0.667686019394245,0.6283226973571363,0.02958039891549808,0.04078600371278505
1000,5,519,0.519,0.35368331049932833,0.13318882466281312,0.6558937291427683,0.6176099932914513,0.02958039891549808,0.04106013260332579
1000,6,507,0.507,0.3579861280852244,0.16691321499013806,0.6732316800836088,0.6353004326481992,0.02958039891549808,0.04154320960517859
1000,7,514,0.514,0.3570317210497241,0.16293774319066145,0.6761210001153521,0.6366030792813085,0.02958039891549808,0.04125935809425778
1000,8,518,0.518,0.3551677620153991,0.1472007722007722,0.6576179806651116,0.6186918186365458,0.02958039891549808,0.04109974682633932
1000,9,512,0.512,0.3543186235744866,0.14453125,0.6598605701351303,0.6206188962991197,0.02958039891549808,0.04133986423538423
1000,10,516,0.516,0.3555554616609455,0.15213178294573643,0.670123263773927,0.6304848545188572,0.02958039891549808,0.041179320466813524
1000,11,512,0.512,0.35453388399748725,0.14453125,0.6642131799230233,0.6231429678056054,0.02958039891549808,0.04133986423538423
1000,12,516,0.516,0.35476234119596955,0.13856589147286824,0.6681186573730032,0.6305332654245487,0.02958039891549808,0.041179320466813524
1000,13,496,0.496,0.35724759687570345,0.15322580645161288,0.6768597350906111,0.6397947737439471,0.02958039891549808,0.04200134406451544
1000,14,528,0.528,0.3559296180723378,0.1477272727272727,0.6317566620230527,0.5914372329614412,0.02958039891549808,0.0407086842049331
1000,15,516,0.516,0.3543916108732546,0.1443798449612403,0.6606296200999411,0.6237111952503325,0.02958039891549808,0.041179320466813524
1000,16,521,0.521,0.3551583420347304,0.15331094049904032,0.6603498816971097,0.6246606656287527,0.02958039891549808,0.040981246588860216
1000,17,515,0.515,0.3557898100214115,0.14490291262135924,0.6547831692710312,0.6171297090162138,0.02958039891549808,0.041219281000686954
1000,18,525,0.525,0.35455123178987663,0.14166666666666666,0.6577219554284429,0.6171755206046358,0.02958039891549808,0.040824829046386304
1000,19,521,0.521,0.3582258627841241,0.16098848368522073,0.6572023283909969,0.6179969331680217,0.02958039891549808,0.040981246588860216
1000,20,525,0.525,0.3542236248716813,0.13976190476190475,0.6537970149488326,0.6138839701840039,0.02958039891549808,0.040824829046386304
1000,21,523,0.523,0.35671764254319904,0.15033460803059273,0.6279702641318067,0.590001933842916,0.02958039891549808,0.040902813509142266
1000,22,508,0.508,0.3557277794669769,0.15059055118110237,0.6674653444567237,0.6260763325675378,0.02958039891549808,0.041502300476984284
1000,23,514,0.514,0.3536015633703425,0.12791828793774318,0.6511881375012584,0.6134587680871656,0.02958039891549808,0.04125935809425778
1000,24,514,0.514,0.3536122675406958,0.12986381322957197,0.6543346838300494,0.6158893965366221,0.02958039891549808,0.04125935809425778
1000,25,511,0.511,0.35497357435045523,0.13918786692759294,0.6424712394130874,0.6035106437447495,0.02958039891549808,0.0413802944301184
1000,26,503,0.503,0.358067502462946,0.16525844930417494,0.6692596807431115,0.6311007455811853,0.02958039891549808,0.041708064259258944
1000,27,551,0.551,0.35523910931438785,0.14904718693284935,0.6539384927542649,0.6154289806884896,0.02958039891549808,0.039849990948360225
1000,28,531,0.531,0.3593972124823191,0.1669020715630885,0.6855502277051693,0.6478039345616828,0.02958039891549808,0.04059352503728789
1000,29,523,0.523,0.3552696260696167,0.15033460803059273,0.669348398456541,0.6317211948986747,0.02958039891549808,0.040902813509142266
1000,30,502,0.502,0.36000981893422285,0.16782868525896416,0.6841656127314274,0.641528963052771,0.02958039891549808,0.04174958548831611
