patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
6,12397,3500,null_marco,nematico,5.616,0.046,0,7.985,0,0.861,0.909,4,17
6,12397,3500,null_mediado,nematico,5.887,0.047,1,5.782,1,1.012,0.911,4,17
6,12397,3500,subconjunto,nematico,5.403,0.039,0,7.99,0,0.923,0.918,4,16
8,16525,3500,completo,nematico,5.705,0.042,1,5.477,1,0.806,0.903,4,17
8,16525,3500,null_tipos,nematico,5.776,0.048,1,4.962,1,0.982,0.912,1,17
8,16525,3500,null_marco,nematico,5.711,0.044,0,7.985,0,0.904,0.907,4,17
8,16525,3500,null_mediado,nematico,5.687,0.04,1,5.229,1,0.902,0.918,4,17
8,16525,3500,subconjunto,nematico,5.929,0.035,0,7.981,0,0.962,0.917,4,16
11,22717,3500,completo,nematico,5.437,0.046,2,5.642,1,1.086,0.914,4,17
11,22717,3500,null_tipos,nematico,5.654,0.041,1,5.661,1,1.207,0.909,4,17
11,22717,3500,null_marco,nematico,5.718,0.042,0,7.985,0,0.961,0.913,4,17
11,22717,3500,null_mediado,nematico,5.907,0.037,1,5.733,1,0.846,0.901,4,17
11,22717,3500,subconjunto,nematico,5.537,0.043,0,7.984,0,0.957,0.913,4,16
15,30973,3500,completo,nematico,5.749,0.036,1,5.415,1,1.145,0.911,4,17
15,30973,3500,null_tipos,nematico,5.74,0.044,1,5.728,1,0.976,0.914,4,17
15,30973,3500,null_marco,nematico,5.31,0.039,0,7.987,0,0.997,0.918,4,16
15,30973,3500,null_mediado,nematico,5.725,0.032,1,5.761,1,0.936,0.908,5,17
15,30973,3500,subconjunto,nematico,5.706,0.043,0,7.977,0,1.043,0.909,4,16
12,24781,3500,completo,nematico,5.631,0.042,4,6.107,1,0.935,0.909,4,17
12,24781,3500,null_tipos,nematico,5.227,0.041,1,6.025,1,0.953,0.906,4,17
12,24781,3500,null_marco,nematico,5.315,0.042,0,7.989,0,1.058,0.905,4,17
12,24781,3500,null_mediado,nematico,5.515,0.046,1,5.133,1,0.954,0.91,4,17
12,24781,3500,subconjunto,nematico,4.093,0.037,0,7.981,0,1.005,0.919,4,16
14,28909,3500,completo,nematico,5.555,0.049,1,5.544,1,0.869,0.91,3,17
14,28909,3500,null_tipos,nematico,5.155,0.041,1,5.906,1,0.939,0.91,4,17
14,28909,3500,null_marco,nematico,5.678,0.041,0,7.986,0,0.964,0.918,4,16
14,28909,3500,null_mediado,nematico,5.673,0.042,1,5.33,1,0.883,0.912,3,16
14,28909,3500,subconjunto,nematico,5.962,0.042,0,7.983,0,1.099,0.905,4,16
13,26845,3500,completo,nematico,5.696,0.041,1,4.904,1,0.911,0.914,4,17
13,26845,3500,null_tipos,nematico,5.522,0.045,1,5.089,1,0.903,0.906,4,17
13,26845,3500,null_marco,nematico,6.124,0.032,0,7.986,0,0.967,0.898,5,17
13,26845,3500,null_mediado,nematico,5.707,0.042,2,5.935,1,0.864,0.912,4,17
13,26845,3500,subconjunto,nematico,5.615,0.043,0,7.986,0,0.945,0.914,4,16
17,35101,3500,completo,nematico,5.642,0.043,1,4.369,1,0.771,0.909,3,17
17,35101,3500,null_tipos,nematico,5.559,0.045,2,5.722,1,0.913,0.921,3,16
17,35101,3500,null_marco,nematico,5.878,0.043,0,7.98,0,0.962,0.904,4,17
17,35101,3500,null_mediado,nematico,5.909,0.043,1,4.839,1,0.873,0.91,4,17
17,35101,3500,subconjunto,nematico,5.263,0.042,0,7.979,0,1.052,0.911,5,16
16,33037,3500,completo,nematico,5.365,0.044,2,4.998,1,0.968,0.914,4,17
16,33037,3500,null_tipos,nematico,5.944,0.04,1,3.562,1,0.968,0.917,4,17
16,33037,3500,null_marco,nematico,6.061,0.036,0,7.98,0,0.959,0.917,4,16
16,33037,3500,null_mediado,nematico,5.762,0.039,1,5.299,1,0.933,0.918,4,17
16,33037,3500,subconjunto,nematico,5.404,0.034,0,7.991,0,1.154,0.912,4,16
18,37165,3500,completo,nematico,5.885,0.044,1,5.921,1,1.068,0.914,4,16
18,37165,3500,null_tipos,nematico,5.495,0.04,1,5.091,1,0.898,0.913,4,17
18,37165,3500,null_marco,nematico,5.046,0.046,0,7.982,0,0.907,0.913,4,17
18,37165,3500,null_mediado,nematico,5.529,0.046,1,5.884,1,0.845,0.914,4,17
18,37165,3500,subconjunto,nematico,4.3,0.039,0,7.991,0,1.117,0.914,4,16
19,39229,3500,completo,nematico,6.008,0.04,2,5.288,1,0.881,0.908,3,17
19,39229,3500,null_tipos,nematico,5.553,0.038,2,5.613,1,0.891,0.909,4,17
19,39229,3500,null_marco,nematico,4.136,0.045,0,7.99,0,1.178,0.916,4,17
19,39229,3500,null_mediado,nematico,5.372,0.043,1,5.305,1,0.945,0.918,4,17
19,39229,3500,subconjunto,nematico,5.586,0.046,0,7.981,0,0.942,0.912,4,16
20,41293,3500,completo,nematico,5.447,0.048,1,5.585,1,0.906,0.905,4,17
20,41293,3500,null_tipos,nematico,5.369,0.044,1,5.387,1,0.912,0.916,4,17
20,41293,3500,null_marco,nematico,5.677,0.044,0,7.978,0,1.023,0.908,4,17
20,41293,3500,null_mediado,nematico,5.825,0.044,2,5.679,1,0.853,0.916,4,17
20,41293,3500,subconjunto,nematico,5.11,0.041,0,7.988,0,1.094,0.91,4,16
21,43357,3500,completo,nematico,5.521,0.049,1,5.108,1,0.957,0.917,4,17
21,43357,3500,null_tipos,nematico,4.747,0.039,2,5.654,1,0.964,0.917,4,17
21,43357,3500,null_marco,nematico,5.726,0.039,0,7.985,0,1.015,0.908,4,17
21,43357,3500,null_mediado,nematico,5.958,0.041,3,5.739,1,0.862,0.906,4,17
21,43357,3500,subconjunto,nematico,5.601,0.034,0,7.986,0,1.045,0.919,4,16
23,47485,3500,completo,nematico,5.88,0.037,1,5.356,1,1.033,0.906,4,17
23,47485,3500,null_tipos,nematico,5.273,0.038,1,5.246,1,0.866,0.909,4,17
23,47485,3500,null_marco,nematico,5.577,0.037,0,7.984,0,1.115,0.911,1,17
23,47485,3500,null_mediado,nematico,5.515,0.042,1,5.215,1,0.863,0.915,3,17
23,47485,3500,subconjunto,nematico,5.567,0.033,0,7.983,0,0.886,0.917,6,16
22,45421,3500,completo,nematico,5.506,0.047,1,5.421,1,0.85,0.912,4,17
22,45421,3500,null_tipos,nematico,6.068,0.041,2,4.65,1,0.952,0.917,4,17
22,45421,3500,null_marco,nematico,5.714,0.04,0,7.989,0,0.914,0.909,4,17
22,45421,3500,null_mediado,nematico,6.071,0.042,2,5.349,1,0.919,0.91,4,17
22,45421,3500,subconjunto,nematico,5.936,0.039,0,7.986,0,1.064,0.913,4,16
24,49549,3500,completo,nematico,5.545,0.041,1,6.168,1,1.063,0.912,4,17
24,49549,3500,null_tipos,nematico,5.509,0.044,1,5.078,1,0.943,0.912,4,17
24,49549,3500,null_marco,nematico,5.236,0.044,0,7.989,0,0.852,0.917,4,16
24,49549,3500,null_mediado,nematico,5.248,0.042,1,5.283,1,1.016,0.907,4,17
24,49549,3500,subconjunto,nematico,5.316,0.037,0,7.982,0,1.097,0.909,4,16
25,51613,3500,completo,nematico,5.571,0.039,2,5.967,1,0.909,0.917,4,16
25,51613,3500,null_tipos,nematico,5.685,0.043,3,5.963,1,0.838,0.909,4,17
25,51613,3500,null_marco,nematico,5.182,0.044,0,7.976,0,1.03,0.914,4,16
25,51613,3500,null_mediado,nematico,5.504,0.038,1,5.984,1,0.853,0.904,4,17
25,51613,3500,subconjunto,nematico,5.61,0.031,0,7.983,0,1.011,0.914,5,16
26,53677,3500,completo,nematico,5.568,0.038,1,5.661,1,0.958,0.91,4,17
26,53677,3500,null_tipos,nematico,5.169,0.04,1,6.056,1,0.926,0.914,4,16
26,53677,3500,null_marco,nematico,5.556,0.042,0,7.985,0,1.014,0.904,4,17
26,53677,3500,null_mediado,nematico,5.344,0.041,1,5.214,1,0.913,0.911,4,17
26,53677,3500,subconjunto,nematico,5.382,0.046,0,7.986,0,0.903,0.912,4,16
27,55741,3500,completo,nematico,6.076,0.044,2,5.32,1,0.875,0.909,4,17
27,55741,3500,null_tipos,nematico,5.97,0.045,1,5.733,1,1.03,0.919,4,17
27,55741,3500,null_marco,nematico,5.583,0.04,0,7.982,0,0.915,0.901,4,17
27,55741,3500,null_mediado,nematico,5.494,0.039,1,5.973,1,1.011,0.914,3,16
27,55741,3500,subconjunto,nematico,5.512,0.035,0,7.98,0,1.01,0.913,4,16
28,57805,3500,completo,nematico,5.513,0.044,1,6.431,1,1.071,0.92,4,16
28,57805,3500,null_tipos,nematico,6.092,0.043,1,6.11,1,0.957,0.919,4,17
28,57805,3500,null_marco,nematico,5.874,0.039,0,7.982,0,0.895,0.909,3,17
28,57805,3500,null_mediado,nematico,5.488,0.048,1,4.956,1,1.11,0.911,4,17
28,57805,3500,subconjunto,nematico,5.351,0.044,0,7.983,0,0.924,0.921,4,16
29,59869,3500,completo,nematico,5.685,0.042,2,5.496,1,0.813,0.911,4,17
29,59869,3500,null_tipos,nematico,5.513,0.04,1,4.971,1,0.965,0.909,3,17
29,59869,3500,null_marco,nematico,6.066,0.039,0,7.981,0,1.019,0.918,4,17
29,59869,3500,null_mediado,nematico,5.667,0.044,1,4.766,1,0.831,0.914,4,17
29,59869,3500,subconjunto,nematico,5.444,0.046,0,7.983,0,0.954,0.911,4,16
31,63997,3500,completo,nematico,4.791,0.042,1,6.049,1,0.999,0.927,4,16
31,63997,3500,null_tipos,nematico,5.647,0.043,1,5.535,1,0.898,0.915,4,17
31,63997,3500,null_marco,nematico,4.817,0.045,0,7.99,0,0.903,0.903,4,17
31,63997,3500,null_mediado,nematico,5.526,0.045,1,5.564,1,0.963,0.914,4,17
31,63997,3500,subconjunto,nematico,5.424,0.044,0,7.979,0,1.027,0.905,4,16
32,66061,3500,completo,nematico,5.383,0.039,1,5.819,1,0.936,0.909,4,17
32,66061,3500,null_tipos,nematico,5.676,0.042,1,4.534,1,0.949,0.919,4,16
32,66061,3500,null_marco,nematico,5.886,0.04,0,7.983,0,0.883,0.907,4,17
32,66061,3500,null_mediado,nematico,5.378,0.045,1,5.213,1,1.085,0.911,4,17
32,66061,3500,subconjunto,nematico,4.966,0.047,0,7.99,0,0.928,0.916,4,16
30,61933,3500,completo,nematico,5.658,0.041,1,6.05,1,1.216,0.907,3,17
30,61933,3500,null_tipos,nematico,5.071,0.045,2,5.725,1,1.113,0.912,4,17
30,61933,3500,null_marco,nematico,5.578,0.041,0,7.979,0,1.093,0.919,4,17
30,61933,3500,null_mediado,nematico,5.34,0.046,1,5.768,1,0.889,0.921,4,17
30,61933,3500,subconjunto,nematico,5.248,0.04,0,7.987,0,0.999,0.917,5,16
33,68125,3500,completo,nematico,5.522,0.034,1,4.545,1,0.966,0.914,4,17
33,68125,3500,null_tipos,nematico,5.872,0.04,1,4.66,1,1.017,0.92,4,16
33,68125,3500,null_marco,nematico,5.599,0.04,0,7.979,0,0.995,0.915,4,17
33,68125,3500,null_mediado,nematico,5.876,0.042,1,5.198,1,0.987,0.916,4,17
33,68125,3500,subconjunto,nematico,5.33,0.044,0,7.987,0,1.121,0.912,4,16
34,70189,3500,completo,nematico,5.638,0.044,2,5.678,1,1.233,0.909,4,17
34,70189,3500,null_tipos,nematico,6.012,0.044,1,5.389,1,0.807,0.915,4,17
34,70189,3500,null_marco,nematico,5.652,0.044,0,7.979,0,1.024,0.918,3,17
34,70189,3500,null_mediado,nematico,5.308,0.043,1,5.794,1,0.873,0.919,4,17
34,70189,3500,subconjunto,nematico,5.386,0.04,0,7.984,0,0.913,0.916,4,16
35,72253,3500,completo,nematico,5.63,0.045,1,5.314,1,0.893,0.905,4,17
35,72253,3500,null_tipos,nematico,5.953,0.046,3,5.368,1,0.843,0.912,4,17
35,72253,3500,null_marco,nematico,5.83,0.044,0,7.986,0,0.887,0.912,4,17
35,72253,3500,null_mediado,nematico,5.396,0.041,1,5.51,1,0.963,0.914,3,17
35,72253,3500,subconjunto,nematico,5.724,0.036,0,7.983,0,0.95,0.918,4,16
38,78445,3500,completo,nematico,5.532,0.036,1,5.758,1,0.93,0.901,4,17
38,78445,3500,null_tipos,nematico,5.544,0.036,1,5.698,1,0.97,0.911,5,17
38,78445,3500,null_marco,nematico,5.706,0.04,0,7.987,0,0.893,0.903,4,17
38,78445,3500,null_mediado,nematico,5.459,0.039,1,5.392,1,0.928,0.913,4,17
38,78445,3500,subconjunto,nematico,5.308,0.04,0,7.981,0,0.878,0.906,4,16
37,76381,3500,completo,nematico,5.805,0.042,1,5.61,1,0.828,0.907,4,17
37,76381,3500,null_tipos,nematico,5.504,0.043,1,4.907,1,0.955,0.911,4,17
37,76381,3500,null_marco,nematico,5.415,0.038,0,7.982,0,0.968,0.912,4,17
37,76381,3500,null_mediado,nematico,4.999,0.041,1,5.658,1,1.083,0.909,3,17
37,76381,3500,subconjunto,nematico,5.516,0.038,0,7.976,0,1.023,0.911,4,16
36,74317,3500,completo,nematico,5.924,0.042,1,4.67,1,1.022,0.905,4,17
36,74317,3500,null_tipos,nematico,5.745,0.046,3,6.032,1,0.856,0.906,4,17
36,74317,3500,null_marco,nematico,5.741,0.042,0,7.977,0,0.96,0.908,4,17
36,74317,3500,null_mediado,nematico,5.69,0.043,1,5.435,1,1.024,0.908,4,17
36,74317,3500,subconjunto,nematico,5.688,0.036,0,7.983,0,0.971,0.922,5,16
39,80509,3500,completo,nematico,5.657,0.043,1,4.801,1,0.914,0.914,4,17
39,80509,3500,null_tipos,nematico,5.413,0.045,1,4.801,1,0.948,0.91,4,17
39,80509,3500,null_marco,nematico,5.828,0.046,0,7.986,0,0.902,0.907,4,17
39,80509,3500,null_mediado,nematico,6.041,0.042,1,6.055,1,0.838,0.911,4,17
39,80509,3500,subconjunto,nematico,5.574,0.042,0,7.99,0,0.985,0.919,4,16
40,82573,3500,completo,nematico,5.604,0.039,2,5.779,1,0.885,0.912,4,17
40,82573,3500,null_tipos,nematico,5.961,0.041,2,5.883,1,0.774,0.918,4,16
40,82573,3500,null_marco,nematico,5.688,0.044,0,7.979,0,0.946,0.911,4,17
40,82573,3500,null_mediado,nematico,5.65,0.043,1,5.609,1,0.912,0.91,4,17
40,82573,3500,subconjunto,nematico,5.757,0.033,0,7.98,0,1.134,0.915,4,16
41,84637,3500,completo,nematico,5.465,0.042,1,4.604,1,1.069,0.91,4,17
41,84637,3500,null_tipos,nematico,5.454,0.043,1,4.264,1,0.839,0.909,4,17
41,84637,3500,null_marco,nematico,5.554,0.044,0,7.989,0,0.974,0.912,4,17
41,84637,3500,null_mediado,nematico,5.752,0.042,1,5.994,1,0.945,0.912,5,17
41,84637,3500,subconjunto,nematico,5.615,0.046,0,7.99,0,0.967,0.912,4,16
42,86701,3500,completo,nematico,5.642,0.042,2,6.064,1,1.052,0.907,4,17
42,86701,3500,null_tipos,nematico,5.689,0.032,0,6.757,0,1.016,0.912,4,17
42,86701,3500,null_marco,nematico,5.325,0.041,0,7.983,0,0.976,0.912,4,17
42,86701,3500,null_mediado,nematico,5.737,0.042,2,5.837,1,0.859,0.909,4,17
42,86701,3500,subconjunto,nematico,5.33,0.034,0,7.985,0,0.961,0.916,4,16
43,88765,3500,completo,nematico,5.819,0.044,1,5.468,1,1.126,0.909,4,17
43,88765,3500,null_tipos,nematico,5.712,0.043,1,5.566,1,0.994,0.915,4,17
43,88765,3500,null_marco,nematico,5.561,0.046,0,7.989,0,0.984,0.906,4,17
43,88765,3500,null_mediado,nematico,5.569,0.039,1,6.241,1,1.096,0.924,4,16
43,88765,3500,subconjunto,nematico,5.567,0.041,0,7.987,0,0.975,0.9,4,16
44,90829,3500,completo,nematico,5.904,0.039,1,5.391,1,0.894,0.907,3,17
44,90829,3500,null_tipos,nematico,5.566,0.044,1,5.202,1,1.126,0.905,4,17
44,90829,3500,null_marco,nematico,5.553,0.046,0,7.979,0,0.88,0.909,4,17
44,90829,3500,null_mediado,nematico,5.622,0.044,1,5.545,1,0.768,0.914,4,17
44,90829,3500,subconjunto,nematico,5.502,0.044,0,7.985,0,1.076,0.915,4,16
45,92893,3500,completo,nematico,5.609,0.049,1,6.233,1,0.979,0.91,4,17
45,92893,3500,null_tipos,nematico,5.614,0.042,1,5.909,1,0.843,0.907,4,17
45,92893,3500,null_marco,nematico,5.924,0.041,0,7.981,0,1.014,0.914,4,17
45,92893,3500,null_mediado,nematico,5.431,0.045,2,5.064,1,0.971,0.909,4,17
45,92893,3500,subconjunto,nematico,5.196,0.046,0,7.983,0,0.984,0.917,5,16
46,94957,3500,completo,nematico,5.913,0.028,1,4.641,1,0.787,0.91,5,17
46,94957,3500,null_tipos,nematico,5.076,0.04,2,6.269,1,0.874,0.913,4,17
46,94957,3500,null_marco,nematico,5.842,0.041,0,7.984,0,1.059,0.912,4,17
46,94957,3500,null_mediado,nematico,6.132,0.038,1,5.956,1,0.944,0.911,4,17
46,94957,3500,subconjunto,nematico,5.721,0.038,0,7.985,0,0.984,0.918,4,16
47,97021,3500,completo,nematico,5.487,0.036,1,5.841,1,0.807,0.907,4,17
47,97021,3500,null_tipos,nematico,5.712,0.043,1,5.311,1,0.932,0.909,4,17
47,97021,3500,null_marco,nematico,5.62,0.042,0,7.982,0,1.011,0.905,4,17
47,97021,3500,null_mediado,nematico,5.847,0.04,1,5.9,1,0.852,0.91,3,17
47,97021,3500,subconjunto,nematico,5.821,0.03,0,7.983,0,0.952,0.911,5,16
50,103213,3500,completo,nematico,5.486,0.041,1,4.776,1,0.857,0.903,4,17
50,103213,3500,null_tipos,nematico,5.41,0.041,1,5.737,1,1.017,0.912,4,17
50,103213,3500,null_marco,nematico,5.591,0.036,0,7.982,0,0.932,0.907,4,17
50,103213,3500,null_mediado,nematico,5.859,0.042,4,6.342,1,0.886,0.912,4,17
50,103213,3500,subconjunto,nematico,5.776,0.042,0,7.978,0,0.857,0.907,4,16
48,99085,3500,completo,nematico,5.848,0.041,1,5.931,1,0.892,0.905,4,17
48,99085,3500,null_tipos,nematico,5.763,0.038,1,6.221,1,0.984,0.909,3,17
48,99085,3500,null_marco,nematico,5.641,0.045,0,7.98,0,0.913,0.913,4,17
48,99085,3500,null_mediado,nematico,5.827,0.042,3,5.955,1,0.892,0.911,4,17
48,99085,3500,subconjunto,nematico,5.475,0.031,0,7.982,0,0.904,0.917,4,16
49,101149,3500,completo,nematico,5.936,0.04,1,5.794,1,1.182,0.915,3,17
49,101149,3500,null_tipos,nematico,5.485,0.04,1,5.352,1,0.818,0.913,4,17
49,101149,3500,null_marco,nematico,5.609,0.044,0,7.985,0,1.122,0.912,4,17
49,101149,3500,null_mediado,nematico,5.625,0.046,1,5.744,1,0.871,0.911,4,17
49,101149,3500,subconjunto,nematico,5.997,0.043,0,7.982,0,0.892,0.914,4,16
51,105277,3500,completo,nematico,5.323,0.045,3,6.157,1,0.901,0.915,4,17
51,105277,3500,null_tipos,nematico,6.107,0.044,2,5.382,1,1.089,0.915,3,17
51,105277,3500,null_marco,nematico,5.738,0.043,0,7.984,0,0.937,0.913,3,17
51,105277,3500,null_mediado,nematico,5.498,0.045,2,5.939,1,0.927,0.902,4,17
51,105277,3500,subconjunto,nematico,5.929,0.038,0,7.984,0,0.986,0.911,4,16
52,107341,3500,completo,nematico,5.344,0.045,1,6.002,1,1.124,0.915,4,17
52,107341,3500,null_tipos,nematico,5.564,0.043,1,5.298,1,0.915,0.917,4,17
52,107341,3500,null_marco,nematico,5.703,0.04,0,7.986,0,1.086,0.909,4,17
52,107341,3500,null_mediado,nematico,5.487,0.044,1,5.95,1,0.91,0.913,4,17
52,107341,3500,subconjunto,nematico,5.52,0.035,0,7.98,0,0.999,0.914,4,16
53,109405,3500,completo,nematico,5.889,0.044,1,4.162,1,0.909,0.915,4,17
53,109405,3500,null_tipos,nematico,5.847,0.043,2,5.519,1,1.01,0.913,4,17
53,109405,3500,null_marco,nematico,5.751,0.039,0,7.985,0,0.913,0.91,4,17
53,109405,3500,null_mediado,nematico,5.81,0.044,1,6.179,1,0.907,0.904,4,17
53,109405,3500,subconjunto,nematico,5.79,0.044,0,7.984,0,0.958,0.915,4,16
56,115597,3500,completo,nematico,5.482,0.042,2,6.053,1,1.007,0.918,4,17
56,115597,3500,null_tipos,nematico,5.418,0.036,2,6.514,1,1.108,0.915,4,16
56,115597,3500,null_marco,nematico,5.526,0.046,0,7.986,0,0.925,0.907,4,17
56,115597,3500,null_mediado,nematico,5.238,0.038,1,6.253,1,0.941,0.912,4,17
56,115597,3500,subconjunto,nematico,5.678,0.049,0,7.982,0,1.098,0.915,4,16
55,113533,3500,completo,nematico,5.376,0.045,1,5.043,1,0.907,0.903,4,17
55,113533,3500,null_tipos,nematico,5.804,0.045,2,5.596,1,1.031,0.907,4,17
55,113533,3500,null_marco,nematico,5.213,0.043,0,7.981,0,0.94,0.918,4,16
55,113533,3500,null_mediado,nematico,5.815,0.041,1,5.204,1,0.825,0.912,4,17
55,113533,3500,subconjunto,nematico,5.457,0.04,0,7.983,0,1.078,0.905,4,16
54,111469,3500,completo,nematico,5.425,0.044,2,5.64,1,0.9,0.913,3,17
54,111469,3500,null_tipos,nematico,5.652,0.045,2,5.284,1,0.941,0.914,4,17
54,111469,3500,null_marco,nematico,5.482,0.041,0,7.984,0,0.975,0.916,4,17
54,111469,3500,null_mediado,nematico,5.63,0.041,1,4.544,1,0.743,0.906,4,17
54,111469,3500,subconjunto,nematico,5.553,0.031,0,7.984,0,0.95,0.91,4,16
57,117661,3500,completo,nematico,5.378,0.046,1,5.689,1,0.864,0.915,4,17
57,117661,3500,null_tipos,nematico,5.388,0.045,1,4.893,1,1.05,0.905,4,17
57,117661,3500,null_marco,nematico,5.701,0.04,0,7.984,0,0.947,0.911,4,16
57,117661,3500,null_mediado,nematico,5.474,0.046,4,6.443,1,1.013,0.916,4,17
57,117661,3500,subconjunto,nematico,5.448,0.036,0,7.982,0,0.905,0.915,4,16
58,119725,3500,completo,nematico,5.532,0.04,1,5.987,1,1.006,0.898,4,17
58,119725,3500,null_tipos,nematico,5.727,0.041,1,4.972,1,0.887,0.915,4,17
58,119725,3500,null_marco,nematico,5.285,0.029,0,7.988,0,0.944,0.914,4,16
58,119725,3500,null_mediado,nematico,4.701,0.041,2,5.581,1,0.883,0.907,4,17
58,119725,3500,subconjunto,nematico,5.493,0.046,0,7.983,0,0.978,0.917,4,16
59,121789,3500,completo,nematico,5.375,0.042,1,5.75,1,0.973,0.909,4,17
59,121789,3500,null_tipos,nematico,5.58,0.038,1,6.488,1,1.067,0.918,4,16
59,121789,3500,null_marco,nematico,5.692,0.045,0,7.979,0,1.02,0.916,3,16
59,121789,3500,null_mediado,nematico,5.851,0.044,1,6.436,1,0.934,0.917,4,16
59,121789,3500,subconjunto,nematico,5.413,0.043,0,7.984,0,0.982,0.92,4,16
