point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,acople,phys,viable_d1,acelera_d1,viable_d2,acelera_d2,viable_d3,acelera_d3,viable_d4,acelera_d4,viable_curv,acelera_curv,corr_ok
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
5,0.29799115005880594,0.9162639826536179,0.9573194170370698,0.36216402892023325,0.40077386051416397,0.32436097133904696,0.49626954458653927,4,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
6,0.11031603999435902,0.06099499575793743,0.40460294764488935,0.58635931648314,0.0638421755284071,0.015252313576638699,0.5524248471483588,4,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
