origen_tarea,par,rule_id,rol,clase,seed,K,kcap,match_exacto_K_kcap,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,carpeta
tarea_actual_v3_escala20,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r83,III,III,479880,7,6,True,0.08700000000000001,8,0.043,1635.6000000000001,0.41935483870967755,0.4231150793650795,0,A2-B0-C2-batch3-r83_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r53,I,I,476970,7,5,True,0.09600000000000003,8,0.032,1804.8,0.43749999999999994,0.44766865079365076,0,A2-B0-C2-batch3-r53_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r23,III,III,474060,7,5,True,0.11750000000000005,8,0.032,2209.0,0.7638888888888888,0.751736111111111,0,A2-B0-C2-batch3-r23_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r104,I,I,481917,6,5,True,0.09850000000000003,8,0.04,1851.8,0.5230769230769231,0.5210813492063492,0,A2-B0-C2-batch3-r104_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r60,III,III,477649,6,5,True,0.12549999999999997,8,0.036,2359.4,0.9104477611940299,0.9079861111111112,0,A2-B0-C2-batch3-r60_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,A2-B0-C2-batch3-r59,I,I,477552,7,5,True,0.10350000000000004,8,0.034,1945.8,0.6063829787234043,0.6009316770186336,0,A2-B0-C2-batch3-r59_I
tarea_actual_v4_escala40,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,A2-B0-C2-batch3-r58,III,III,477455,7,5,True,0.10250000000000004,8,0.035,1927.0,0.5737704918032787,0.5803571428571428,0,A2-B0-C2-batch3-r58_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,A2-B0-C2-batch3-r107,I,I,482208,6,5,True,0.10650000000000004,8,0.031,2002.2,0.618556701030928,0.6229204822954824,0,A2-B0-C2-batch3-r107_I
tarea_actual_v4_escala40,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,A2-B0-C2-batch3-r71,III,III,478716,6,5,True,0.13,8,0.032,2444.0,1.0046948356807506,1.0001157407407402,0,A2-B0-C2-batch3-r71_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,A2-B0-C2-batch3-r112,I,I,482693,6,5,True,0.10150000000000003,8,0.042,1908.1999999999998,0.5606060606060604,0.5607638888888888,0,A2-B0-C2-batch3-r112_I
tarea_actual_v4_escala40,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,A2-B0-C2-batch3-r108,III,III,482305,6,5,True,0.098,8,0.037,1842.4,0.49723756906077327,0.4864718614718615,0,A2-B0-C2-batch3-r108_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,A2-B0-C2-batch3-r120,I,I,483469,6,5,True,0.09250000000000004,8,0.034,1739.0000000000002,0.4444444444444445,0.44816468253968256,0,A2-B0-C2-batch3-r120_I
tarea_actual_v4_escala40,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,A2-B0-C2-batch3-r111,III,III,482596,6,5,True,0.12200000000000003,8,0.036,2293.5999999999995,0.838235294117647,0.84375,0,A2-B0-C2-batch3-r111_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,A2-B0-C2-batch3-r76,I,I,479201,8,5,True,0.10650000000000004,8,0.036,2002.2,0.6825396825396828,0.6732837301587303,0,A2-B0-C2-batch3-r76_I
