par,rule_I,rule_III,seed_I,seed_III,lote_I,lote_III,lote_par,kcap_I,kcap_III,kcap_par,K_I,K_III,K_par,tanda,componente_regla,frac_I,frac_III,d_frac,masa_I,masa_III,d_masa,kv_I,kv_III,d_kv,valido_diam
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,A2-B0-C2-batch4-r39,A2-B0-C2-batch4-r26,575612,574351,571828,571828,571828,5,5,5,5,5,5,tarea_actual_v4_escala40,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,0.10150000000000003,0.10250000000000004,0.0010000000000000009,1908.2,1926.9999999999998,18.799999999999727,0.5873015873015872,0.5294117647058822,-0.057889822595704965,True
A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,A2-B0-C2-batch4-r3,A2-B0-C2-batch4-r9,572120,572702,571828,571828,571828,6,6,6,5,5,5,tarea_actual_v4_escala40,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,0.07550000000000001,0.07950000000000002,0.0040000000000000036,1419.4,1494.6,75.19999999999982,0.32653061224489793,0.35185185185185186,0.025321239606953927,True
A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,A2-B0-C2-batch4-r41,A2-B0-C2-batch4-r12,575806,572993,571828,571828,571828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,0.09350000000000003,0.1005,0.0069999999999999785,1757.8,1889.4,131.60000000000014,0.4833333333333333,0.5384615384615384,0.055128205128205154,True
A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,A2-B0-C2-batch4-r44,A2-B0-C2-batch4-r28,576097,574545,571828,571828,571828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,0.10000000000000003,0.10650000000000004,0.006500000000000006,1879.9999999999998,2002.2,122.20000000000027,0.4999999999999999,0.5937499999999999,0.09375,True
A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,A2-B0-C2-batch4-r51,A2-B0-C2-batch4-r36,576776,575321,571828,571828,571828,4,4,4,8,8,8,tarea_actual_v4_escala40,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,0.14499999999999996,0.15349999999999997,0.008500000000000008,2726.0000000000005,2885.7999999999997,159.79999999999927,1.3424657534246576,1.407894736842105,0.06542898341744752,False
A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,A2-B0-C2-batch4-r57,A2-B0-C2-batch4-r43,577358,576000,571828,571828,571828,5,5,5,7,7,7,tarea_actual_v4_escala40,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,0.09950000000000002,0.09350000000000003,-0.0059999999999999915,1870.6,1757.7999999999997,-112.80000000000018,0.49275362318840554,0.5052631578947369,0.012509534706331316,True
A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,A2-B0-C2-batch4-r70,A2-B0-C2-batch4-r47,578619,576388,571828,571828,571828,5,5,5,7,7,7,tarea_actual_v4_escala40,A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,0.098,0.09300000000000001,-0.0049999999999999906,1842.3999999999999,1748.3999999999999,-94.0,0.4581280788177341,0.4,-0.058128078817734075,True
A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,A2-B0-C2-r9v2fix,A2-B0-C2-r39,372702,375612,371828,371828,371828,6,6,6,5,5,5,tarea_actual_v3_escala20,PAR_v2_G_r12v1fix_r19,0.07500000000000002,0.07850000000000001,0.0034999999999999892,1410.0,1475.8000000000002,65.80000000000018,0.42553191489361675,0.47222222222222177,0.04669030732860502,True
PAR_piloto_A_r9_r19,A2-B0-C2-r9,A2-B0-C2-r19,272702,273672,271828,271828,271828,7,7,7,5,5,5,tarea_anterior_v1v2_8pares,PAR_v2_G_r12v1fix_r19,0.08050000000000002,0.08700000000000001,0.006499999999999992,1513.4,1635.6000000000001,122.20000000000005,0.3859649122807018,0.43636363636363634,0.050398724082934554,True
PAR_piloto_B_r1_r17,A2-B0-C2-r1,A2-B0-C2-r17,271926,273478,271828,271828,271828,6,5,-2,5,5,5,tarea_anterior_v1v2_8pares,PAR_piloto_B_r1_r17,0.08700000000000002,0.12100000000000004,0.034000000000000016,1635.5999999999997,2274.8,639.2000000000005,0.4137931034482758,0.7971014492753623,0.3833083458270865,True
PAR_piloto_C_r6_r14,A2-B0-C2-r6,A2-B0-C2-r14,272411,273187,271828,271828,271828,5,5,5,7,8,-2,tarea_anterior_v1v2_8pares,PAR_v2_F_r6_r2v1fix,0.10050000000000002,0.09900000000000003,-0.0014999999999999875,1889.4,1861.1999999999998,-28.200000000000273,0.5238095238095237,0.5151515151515152,-0.008658008658008476,True
PAR_v2_D_r2_r20,A2-B0-C2-r2,A2-B0-C2-r20,372023,373769,371828,371828,371828,6,6,6,5,5,5,tarea_anterior_v1v2_8pares,PAR_v2_D_r2_r20,0.07600000000000001,0.08650000000000002,0.01050000000000001,1428.8000000000002,1626.2,197.39999999999986,0.5000000000000001,0.39784946236559127,-0.10215053763440884,True
PAR_v2_E_r12_r28,A2-B0-C2-r12,A2-B0-C2-r28,372993,374545,371828,371828,371828,6,6,6,6,6,6,tarea_anterior_v1v2_8pares,PAR_v2_E_r12_r28,0.08200000000000002,0.08950000000000002,0.007500000000000007,1541.6,1682.6000000000001,141.00000000000023,0.37037037037037046,0.4285714285714286,0.05820105820105814,True
PAR_v2_F_r6_r2v1fix,A2-B0-C2-r6,A2-B0-C2-r2v1fix,272411,272023,271828,271828,271828,5,5,5,7,7,7,tarea_anterior_v1v2_8pares,PAR_v2_F_r6_r2v1fix,0.10050000000000002,0.12150000000000004,0.02100000000000002,1889.4,2284.2,394.7999999999997,0.5238095238095237,0.8169014084507041,0.2930918846411804,True
PAR_v2_G_r12v1fix_r19,A2-B0-C2-r12v1fix,A2-B0-C2-r19,272993,273672,271828,271828,271828,7,7,7,5,5,5,tarea_anterior_v1v2_8pares,PAR_v2_G_r12v1fix_r19,0.06200000000000002,0.08700000000000001,0.024999999999999988,1165.6,1635.6000000000001,470.0000000000002,0.3440860215053776,0.43636363636363634,0.09227761485825875,True
PAR_v2_H_r9_r39,A2-B0-C2-r9,A2-B0-C2-r39,272702,375612,271828,371828,-2,7,6,-2,5,5,5,tarea_anterior_v1v2_8pares,PAR_v2_G_r12v1fix_r19,0.08050000000000002,0.07850000000000001,-0.0020000000000000018,1513.4,1475.8000000000002,-37.59999999999991,0.3859649122807018,0.47222222222222177,0.08625730994151998,True
