patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
18,66154,2500,sin_local,-1,8,5.445,0.038,3,5.528,1,0.828,0.907,50.336,0.0905,4,17
18,66154,2500,local_barajado,11,8,4.001,0.055,1,3.114,1,0.777,0.914,27.038,0.0583,4,20
18,66154,2500,local_marco_congelado,11,8,5.336,0.029,0,7.98,0,0.926,0.909,28.56,0.1645,4,20
20,66160,2500,local,11,8,5.82,0.039,1,5.317,1,1.038,0.907,28.592,0.1609,4,20
20,66160,2500,sin_local,-1,8,5.275,0.041,1,4.394,1,0.975,0.897,50.461,0.0928,4,17
20,66160,2500,local_barajado,11,8,3.64,0.056,1,3.461,1,1.187,0.918,27.067,0.0463,5,20
20,66160,2500,local_marco_congelado,11,8,6.023,0.034,0,7.978,0,1.116,0.912,29.002,0.1572,4,20
22,66166,2500,local,9,8,5.539,0.036,1,4.237,1,0.857,0.902,23.45,0.1913,4,20
22,66166,2500,sin_local,-1,8,5.258,0.046,1,5.071,1,0.859,0.914,51.749,0.0836,4,17
22,66166,2500,local_barajado,9,8,4.065,0.057,3,4.987,1,1.189,0.903,21.941,0.0533,5,20
22,66166,2500,local_marco_congelado,9,8,5.897,0.032,0,7.983,0,0.991,0.914,23.539,0.1867,4,20
21,66163,2500,local,14,8,5.755,0.04,1,3.671,1,0.849,0.909,36.122,0.1356,4,20
21,66163,2500,sin_local,-1,8,5.573,0.047,2,5.629,1,0.96,0.918,52.944,0.0888,4,17
21,66163,2500,local_barajado,14,8,4.181,0.056,2,4.411,1,1.141,0.916,34.376,0.0435,4,20
21,66163,2500,local_marco_congelado,14,8,4.393,0.037,0,7.973,0,0.856,0.916,35.83,0.1352,3,20
24,66172,2500,local,12,8,5.826,0.039,1,2.231,1,1.071,0.916,31.547,0.1594,4,20
24,66172,2500,sin_local,-1,8,5.348,0.048,1,5.1,1,1.012,0.91,52.082,0.0811,4,17
24,66172,2500,local_barajado,12,8,4.048,0.063,1,3.931,1,0.992,0.902,29.003,0.048,4,20
24,66172,2500,local_marco_congelado,12,8,6.223,0.035,0,7.98,0,0.958,0.918,31.086,0.1586,4,20
27,66181,2500,local,6,8,4.31,0.023,1,5.493,1,0.866,0.905,15.728,0.3526,7,20
27,66181,2500,sin_local,-1,8,5.58,0.045,1,3.695,1,0.682,0.912,52.094,0.0877,4,17
27,66181,2500,local_barajado,6,8,3.334,0.057,1,5.111,1,1.167,0.913,14.965,0.0769,6,20
27,66181,2500,local_marco_congelado,6,8,3.674,0.021,0,7.982,0,1.037,0.908,15.722,0.3383,8,20
23,66169,2500,local,14,8,5.837,0.033,1,3.571,1,0.806,0.909,35.96,0.1335,4,20
23,66169,2500,sin_local,-1,8,5.171,0.038,1,4.923,1,1.011,0.9,50.515,0.0898,4,17
23,66169,2500,local_barajado,14,8,4.07,0.054,1,3.074,1,0.97,0.909,33.779,0.042,4,20
23,66169,2500,local_marco_congelado,14,8,5.782,0.042,0,7.964,0,0.933,0.909,36.038,0.1316,4,20
25,66175,2500,local,13,8,6.073,0.039,1,4.154,1,0.919,0.899,33.374,0.1472,4,20
25,66175,2500,sin_local,-1,8,5.417,0.043,1,4.577,1,0.941,0.91,52.806,0.0814,4,17
25,66175,2500,local_barajado,13,8,4.337,0.05,3,4.55,1,0.954,0.906,31.616,0.0423,4,20
25,66175,2500,local_marco_congelado,13,8,6.115,0.036,0,7.976,0,0.896,0.909,33.989,0.1445,4,20
29,66187,2500,local,8,8,5.946,0.029,1,5.556,1,0.92,0.915,21.365,0.2328,5,20
29,66187,2500,sin_local,-1,8,5.389,0.045,1,5.7,1,1.057,0.92,48.698,0.0911,4,16
29,66187,2500,local_barajado,8,8,3.891,0.053,1,3.97,1,1.2,0.908,19.683,0.0649,5,20
29,66187,2500,local_marco_congelado,8,8,5.575,0.031,0,7.972,0,1.09,0.913,20.894,0.2234,5,20
26,66178,2500,local,14,8,5.889,0.033,1,3.561,1,0.971,0.9,35.491,0.1359,3,20
26,66178,2500,sin_local,-1,8,5.387,0.047,1,4.194,1,0.795,0.913,52.602,0.0853,3,17
26,66178,2500,local_barajado,14,8,4.322,0.058,1,4.621,1,0.996,0.911,34.006,0.0417,4,20
26,66178,2500,local_marco_congelado,14,8,6.077,0.035,0,7.983,0,0.966,0.908,35.542,0.1321,4,20
32,66196,2500,local,7,8,4.249,0.029,1,5.714,1,1.014,0.909,18.286,0.2643,7,20
32,66196,2500,sin_local,-1,8,5.152,0.049,1,5.242,1,1.023,0.906,51.413,0.0806,3,17
32,66196,2500,local_barajado,7,8,3.726,0.047,1,4.921,1,1.078,0.916,17.528,0.0726,5,20
32,66196,2500,local_marco_congelado,7,8,4.432,0.031,0,7.975,0,0.941,0.925,18.475,0.2869,6,20
28,66184,2500,local,12,8,6.026,0.041,1,4.465,1,0.87,0.908,30.856,0.1505,4,20
28,66184,2500,sin_local,-1,8,5.375,0.047,1,4.062,1,0.833,0.904,50.701,0.0989,4,17
28,66184,2500,local_barajado,12,8,3.9,0.068,1,4.317,1,1.074,0.906,29.174,0.0438,4,20
28,66184,2500,local_marco_congelado,12,8,5.94,0.037,0,7.975,0,1.101,0.918,31.592,0.1435,4,20
31,66193,2500,local,10,8,5.644,0.027,1,4.489,1,0.844,0.91,26.4,0.1739,4,20
31,66193,2500,sin_local,-1,8,4.981,0.048,3,5.182,1,0.892,0.91,52.262,0.0817,3,17
31,66193,2500,local_barajado,10,8,4.014,0.057,2,4.787,1,1.059,0.914,24.522,0.0528,5,20
31,66193,2500,local_marco_congelado,10,8,5.693,0.047,0,7.968,0,0.923,0.907,26.37,0.178,4,20
33,66199,2500,local,5,8,2.845,0.027,0,7.57,0,1.009,0.902,13.054,0.4683,14,20
33,66199,2500,sin_local,-1,8,5.563,0.045,1,3.843,1,0.689,0.912,51.547,0.0826,3,17
33,66199,2500,local_barajado,5,8,2.966,0.051,1,5.432,1,1.257,0.911,12.656,0.1065,7,20
33,66199,2500,local_marco_congelado,5,8,2.685,0.025,0,7.973,0,0.959,0.907,12.894,0.4849,18,20
30,66190,2500,local,13,8,6.037,0.041,1,3.475,1,0.772,0.921,34.162,0.1377,4,20
30,66190,2500,sin_local,-1,8,5.296,0.045,1,4.458,1,0.817,0.907,51.624,0.0871,4,17
30,66190,2500,local_barajado,13,8,4.215,0.058,1,2.641,1,1.086,0.9,31.304,0.0546,4,20
30,66190,2500,local_marco_congelado,13,8,6.053,0.037,0,7.978,0,1.06,0.919,33.653,0.1387,4,20
36,66208,2500,local,8,8,5.028,0.04,1,4.65,1,0.89,0.905,20.802,0.2228,5,20
36,66208,2500,sin_local,-1,8,5.269,0.041,1,6.058,1,0.918,0.912,52.342,0.081,3,17
36,66208,2500,local_barajado,8,8,3.9,0.056,2,5.157,1,1.112,0.909,19.798,0.0683,5,20
36,66208,2500,local_marco_congelado,8,8,4.455,0.044,0,7.966,0,1.048,0.915,21.077,0.2355,5,20
35,66205,2500,local,10,8,5.76,0.028,1,3.776,1,0.964,0.91,26.061,0.1802,5,20
35,66205,2500,sin_local,-1,8,5.519,0.048,2,4.566,1,0.878,0.906,51.118,0.0866,3,17
35,66205,2500,local_barajado,10,8,4.103,0.048,1,4.444,1,0.995,0.917,24.73,0.0528,6,20
35,66205,2500,local_marco_congelado,10,8,4.444,0.04,0,7.975,0,1.079,0.917,26.392,0.1758,5,20
38,66214,2500,local,8,8,5.406,0.037,1,4.132,1,0.881,0.902,21.056,0.2282,5,20
38,66214,2500,sin_local,-1,8,5.279,0.046,1,4.658,1,1.016,0.915,51.814,0.0846,4,17
38,66214,2500,local_barajado,8,8,3.995,0.051,1,5.279,1,1.17,0.912,19.832,0.0662,5,20
38,66214,2500,local_marco_congelado,8,8,5.377,0.035,0,7.98,0,1.023,0.917,21.453,0.2197,5,20
34,66202,2500,local,13,8,5.957,0.034,1,3.849,1,0.631,0.898,32.936,0.1403,4,20
34,66202,2500,sin_local,-1,8,5.08,0.049,1,3.878,1,0.758,0.916,52.6,0.0875,4,17
34,66202,2500,local_barajado,13,8,4.02,0.063,2,4.079,1,1.097,0.91,31.493,0.0464,4,20
34,66202,2500,local_marco_congelado,13,8,5.53,0.033,0,7.975,0,1.0,0.911,33.558,0.1435,4,20
37,66211,2500,local,11,8,5.479,0.035,1,2.791,1,0.83,0.912,28.838,0.1682,4,20
37,66211,2500,sin_local,-1,8,5.347,0.045,4,5.986,1,0.893,0.918,48.418,0.0932,4,16
37,66211,2500,local_barajado,11,8,3.808,0.056,2,4.15,1,1.151,0.913,26.99,0.0504,5,20
37,66211,2500,local_marco_congelado,11,8,4.201,0.034,0,7.98,0,0.917,0.918,28.926,0.1622,4,20
39,66217,2500,local,9,8,5.188,0.029,2,4.625,1,0.883,0.924,23.946,0.1939,5,20
39,66217,2500,sin_local,-1,8,5.379,0.04,1,5.382,1,0.868,0.917,48.253,0.0949,4,16
39,66217,2500,local_barajado,9,8,4.145,0.056,1,4.508,1,0.987,0.906,22.067,0.0525,5,20
39,66217,2500,local_marco_congelado,9,8,5.863,0.029,0,7.967,0,0.935,0.914,23.653,0.1971,4,20
45,66235,2500,local,5,8,2.716,0.034,1,6.794,1,0.874,0.884,12.966,0.4646,14,20
45,66235,2500,sin_local,-1,8,5.76,0.045,1,4.604,1,0.995,0.912,51.837,0.0994,4,17
45,66235,2500,local_barajado,5,8,2.943,0.054,3,6.691,1,1.155,0.92,12.838,0.1134,7,20
45,66235,2500,local_marco_congelado,5,8,2.878,0.026,0,7.982,0,1.037,0.902,13.192,0.4453,15,20
41,66223,2500,local,13,8,5.917,0.039,1,4.585,1,0.981,0.914,33.645,0.1336,4,20
41,66223,2500,sin_local,-1,8,5.092,0.048,1,5.336,1,0.957,0.909,51.928,0.0895,4,17
41,66223,2500,local_barajado,13,8,4.202,0.056,1,4.005,1,1.182,0.917,31.875,0.0395,4,20
41,66223,2500,local_marco_congelado,13,8,5.93,0.036,0,7.989,0,0.992,0.912,33.627,0.1443,4,20
40,66220,2500,local,14,8,5.777,0.038,2,4.568,1,0.867,0.911,35.746,0.1313,4,20
40,66220,2500,sin_local,-1,8,5.34,0.05,2,4.675,1,0.9,0.914,52.496,0.0847,4,17
40,66220,2500,local_barajado,14,8,4.179,0.055,1,4.014,1,0.979,0.911,33.899,0.0416,4,20
40,66220,2500,local_marco_congelado,14,8,6.036,0.037,0,7.977,0,0.873,0.908,35.885,0.1359,4,20
42,66226,2500,local,13,8,5.613,0.041,1,2.655,1,1.093,0.91,33.666,0.1379,4,20
42,66226,2500,sin_local,-1,8,5.294,0.049,1,5.983,1,0.898,0.925,53.024,0.0823,3,17
42,66226,2500,local_barajado,13,8,4.027,0.062,2,3.821,1,1.054,0.911,31.592,0.0395,4,20
42,66226,2500,local_marco_congelado,13,8,5.984,0.033,0,7.98,0,1.093,0.916,33.494,0.1423,3,20
43,66229,2500,local,14,8,5.794,0.038,1,4.071,1,0.74,0.918,36.333,0.1339,4,20
43,66229,2500,sin_local,-1,8,5.6,0.044,1,4.835,1,0.869,0.913,52.523,0.0829,4,17
43,66229,2500,local_barajado,14,8,4.141,0.054,2,3.926,1,1.035,0.905,33.701,0.0394,4,20
43,66229,2500,local_marco_congelado,14,8,5.687,0.037,0,7.971,0,1.025,0.912,35.544,0.1227,4,20
44,66232,2500,local,14,8,5.656,0.037,1,4.266,1,1.089,0.92,35.99,0.1258,4,20
44,66232,2500,sin_local,-1,8,5.221,0.044,1,4.466,1,0.804,0.906,51.864,0.0904,4,17
44,66232,2500,local_barajado,14,8,4.091,0.049,1,3.589,1,0.833,0.919,34.314,0.044,4,20
44,66232,2500,local_marco_congelado,14,8,5.321,0.038,0,7.975,0,0.938,0.917,35.638,0.1265,4,20
48,66244,2500,local,5,8,2.949,0.036,3,7.103,1,0.854,0.878,12.949,0.4468,12,20
48,66244,2500,sin_local,-1,8,5.135,0.043,1,5.661,1,0.936,0.911,52.546,0.0817,4,17
48,66244,2500,local_barajado,5,8,3.032,0.052,1,6.491,1,1.116,0.917,12.691,0.0972,6,20
48,66244,2500,local_marco_congelado,5,8,2.615,0.034,0,7.979,0,1.019,0.894,12.854,0.4598,14,20
51,66253,2500,local,6,8,3.616,0.037,1,6.455,1,1.02,0.908,15.446,0.3576,8,20
51,66253,2500,sin_local,-1,8,5.095,0.049,1,4.929,1,0.958,0.911,52.389,0.0811,4,17
51,66253,2500,local_barajado,6,8,3.375,0.057,1,5.758,1,1.213,0.915,15.005,0.0795,6,20
51,66253,2500,local_marco_congelado,6,8,3.516,0.041,0,7.97,0,1.095,0.921,15.603,0.3509,8,20
49,66247,2500,local,9,8,5.836,0.028,1,4.194,1,0.922,0.914,24.029,0.2041,4,20
49,66247,2500,sin_local,-1,8,5.463,0.049,1,5.004,1,0.84,0.92,52.595,0.0931,4,17
49,66247,2500,local_barajado,9,8,4.039,0.054,1,4.285,1,1.073,0.911,22.227,0.0551,4,20
49,66247,2500,local_marco_congelado,9,8,6.268,0.035,0,7.986,0,0.844,0.915,23.91,0.2061,4,20
46,66238,2500,local,14,8,5.894,0.041,1,3.413,1,0.855,0.906,35.92,0.1299,3,20
46,66238,2500,sin_local,-1,8,5.336,0.047,1,4.541,1,0.829,0.916,52.973,0.0836,4,17
46,66238,2500,local_barajado,14,8,4.241,0.046,1,2.826,1,1.105,0.907,33.81,0.041,4,20
46,66238,2500,local_marco_congelado,14,8,5.713,0.039,0,7.975,0,0.898,0.921,36.349,0.13,4,20
50,66250,2500,local,10,8,5.938,0.034,1,3.748,1,0.81,0.918,26.429,0.1859,4,20
50,66250,2500,sin_local,-1,8,5.409,0.049,1,4.591,1,0.969,0.916,52.685,0.0842,4,17
50,66250,2500,local_barajado,10,8,4.086,0.058,1,4.129,1,1.056,0.903,24.205,0.049,5,20
50,66250,2500,local_marco_congelado,10,8,5.624,0.03,0,7.988,0,0.941,0.919,26.27,0.179,4,20
52,66256,2500,local,8,8,5.522,0.032,1,5.033,1,0.832,0.92,21.269,0.2181,6,20
52,66256,2500,sin_local,-1,8,5.618,0.046,1,5.359,1,0.812,0.912,53.034,0.0832,4,17
52,66256,2500,local_barajado,8,8,3.946,0.051,1,3.858,1,1.22,0.909,19.632,0.0574,5,20
52,66256,2500,local_marco_congelado,8,8,5.287,0.026,0,7.978,0,0.983,0.908,20.893,0.2374,5,20
47,66241,2500,local,14,8,5.473,0.037,2,3.79,1,0.794,0.923,36.277,0.122,4,20
47,66241,2500,sin_local,-1,8,5.144,0.044,1,3.788,1,0.985,0.905,51.949,0.0927,4,17
47,66241,2500,local_barajado,14,8,3.932,0.055,2,4.529,1,1.028,0.912,34.158,0.0429,4,20
47,66241,2500,local_marco_congelado,14,8,5.289,0.041,0,7.978,0,1.065,0.906,35.968,0.125,4,20
54,66262,2500,local,5,8,2.826,0.032,2,6.904,1,0.85,0.897,12.832,0.4397,14,20
54,66262,2500,sin_local,-1,8,5.448,0.05,1,5.287,1,0.919,0.903,52.538,0.0912,1,17
54,66262,2500,local_barajado,5,8,2.969,0.052,1,6.054,1,1.209,0.909,12.622,0.1045,6,20
54,66262,2500,local_marco_congelado,5,8,2.593,0.034,0,7.981,0,1.021,0.902,12.875,0.4624,14,20
53,66259,2500,local,10,8,4.51,0.031,1,4.678,1,0.867,0.924,26.75,0.173,4,20
53,66259,2500,sin_local,-1,8,5.423,0.039,1,4.992,1,0.929,0.91,51.864,0.0829,4,17
