seed,sustrato,brazo,n_edges,n_tri,b1_armonico,lambda_min_pos,lambda_max,frac_armonica,curl_energy_up,grad_energy_down,holon_modK_media,corr_curl_lineal_vs_holon_modK
3,3_simplicial,SHUFFLED,606,221,282,0.2825759978236234,21.561432218547882,0.47236433274724404,0.21413611328022478,0.12988983715255364,1.2092532130239324,0.03466662200968411
3,4_2complejo_feedback,REAL,606,221,282,0.2825759978236234,21.561432218547882,0.4891274597937421,0.20304173385811297,0.13276126103571678,0.20567529067681173,-0.012482363967599934
3,4_2complejo_feedback,NULL,606,221,282,0.2825759978236234,21.561432218547882,0.5081887806911983,8.656367104473908,4.3935922603971305,1.5117224891767953,0.06371735133802883
3,4_2complejo_feedback,SHUFFLED,606,221,282,0.2825759978236234,21.561432218547882,0.4806411809549049,0.20092197076610535,0.1344432054492516,0.3840208936841803,-0.05262124706609748
4,3_simplicial,REAL,562,188,275,0.23819321467407792,20.173824931337283,0.45846824767127464,0.22440175863836556,0.1914036693174805,1.5647653026611594,0.039326636792740975
4,3_simplicial,NULL,562,188,275,0.23819321467407792,20.173824931337283,0.45288402485615864,9.220920052968095,6.468226333403307,1.509046192161851,0.09174347949668517
4,3_simplicial,SHUFFLED,562,188,275,0.23819321467407792,20.173824931337283,0.49929952140345696,0.22771692985188435,0.1464553415844345,1.635990453426146,-0.025244502045461276
4,4_2complejo_feedback,REAL,562,188,275,0.23819321467407792,20.173824931337283,0.46561294127822034,0.19363779091212802,0.1562439897813266,0.22901401385750414,0.16303782551273835
4,4_2complejo_feedback,NULL,562,188,275,0.23819321467407792,20.173824931337283,0.45288402485615864,9.220920052968095,6.468226333403307,1.509046192161851,0.09174347949668517
4,4_2complejo_feedback,SHUFFLED,562,188,275,0.23819321467407792,20.173824931337283,0.49659489067038187,0.19764392775677062,0.1267084774190906,0.3366382218880958,0.08753238402214399
5,3_simplicial,REAL,583,193,283,0.26216752556749495,22.914450729185244,0.4738420977462061,0.21880198382612231,0.18611432985684065,1.2769258815728135,0.10348569074888753
5,3_simplicial,NULL,583,193,283,0.26216752556749495,22.914450729185244,0.4547637138995608,8.893389472289613,5.972491906090482,1.4691812534911297,-0.042402536846338
5,3_simplicial,SHUFFLED,583,193,283,0.26216752556749495,22.914450729185244,0.49623812958659336,0.26419825228415844,0.10685236009284055,1.2940584675242692,-0.045275863824449605
5,4_2complejo_feedback,REAL,583,193,283,0.26216752556749495,22.914450729185244,0.32751587319456155,0.7570379660287534,2.0249876249496275,0.5773901055520302,0.1268353965322711
5,4_2complejo_feedback,NULL,583,193,283,0.26216752556749495,22.914450729185244,0.4547637138995608,8.893389472289613,5.972491906090482,1.4691812534911297,-0.042402536846338
5,4_2complejo_feedback,SHUFFLED,583,193,283,0.26216752556749495,22.914450729185244,0.4989428917509383,1.1104491096031421,0.9598336488887361,1.446606892473561,0.40910382682274593
6,3_simplicial,REAL,530,145,276,0.38392085677214166,19.822414184895525,0.5134726464702992,0.2103658513761163,0.19939043795612593,0.4607281371345578,0.15085075176128032
6,3_simplicial,NULL,530,145,276,0.38392085677214166,19.822414184895525,0.5931717983005057,7.59735236394125,4.76416216004145,1.6017686719698963,-0.0010681469059368785
6,3_simplicial,SHUFFLED,530,145,276,0.38392085677214166,19.822414184895525,0.5524295547424014,0.2504948228129751,0.18852200021932858,0.4039626118425715,0.0444995345467571
6,4_2complejo_feedback,REAL,530,145,276,0.38392085677214166,19.822414184895525,0.5569923342204752,0.14944815591907218,0.10724767508871261,0.21195997464611535,-0.08127155601836787
6,4_2complejo_feedback,NULL,530,145,276,0.38392085677214166,19.822414184895525,0.5931717983005057,7.59735236394125,4.76416216004145,1.6017686719698963,-0.0010681469059368785
6,4_2complejo_feedback,SHUFFLED,530,145,276,0.38392085677214166,19.822414184895525,0.5578411837035062,0.17251868746552265,0.11066388147327041,0.35347438955212,0.2139060131677305
7,3_simplicial,REAL,558,167,284,0.3974504039229961,21.168848555543033,0.44994484403718216,0.25158808652221565,0.23886852317448432,1.7495087502151232,0.009824728215913308
7,3_simplicial,NULL,558,167,284,0.3974504039229961,21.168848555543033,0.5281498297045965,8.862452507107063,6.311528141924452,1.490863925939304,0.044428307696492364
7,3_simplicial,SHUFFLED,558,167,284,0.3974504039229961,21.168848555543033,0.5871100751702468,0.2319951577425287,0.15407183167206107,1.756110726759322,0.000681559071357426
7,4_2complejo_feedback,REAL,558,167,284,0.3974504039229961,21.168848555543033,0.5175398301216656,0.17306345300525558,0.11059981359927122,0.19801335429276712,-0.009473666291034393
7,4_2complejo_feedback,NULL,558,167,284,0.3974504039229961,21.168848555543033,0.5281498297045965,8.862452507107063,6.311528141924452,1.490863925939304,0.044428307696492364
