sustrato,r,S_r,b_r,b_ajustada,pi_obs,pi_algebraica,frac_explicada,cv_pi_r2a5
mundo_pequeno_k6_p0.1,9,203.53,0.4144,2.3798,11.3072,345.4572,3.5917,0.6409
mundo_pequeno_k6_p0.1,10,37.54,0.1844,2.3798,1.877,739.8958,-11.5456,0.6409
mundo_pequeno_k6_p0.1,11,2.945,0.0784,2.3798,0.1339,1600.7063,-2.0122,0.6409
mundo_pequeno_k6_p0.1,12,0.045,0.0153,2.3798,0.0019,3491.8607,-0.9549,0.6409
REAL:A2-B0-C2-batch3-r0,1,2.675,2.675,2.1487,1.3375,1.3375,,0.5164
REAL:A2-B0-C2-batch3-r0,2,5.71,2.1346,2.1487,1.4275,1.437,1.1014,0.5164
REAL:A2-B0-C2-batch3-r0,3,12.215,2.1392,2.1487,2.0358,2.0584,1.0262,0.5164
REAL:A2-B0-C2-batch3-r0,4,26.538,2.1725,2.1487,3.3172,3.3172,1.0,0.5164
REAL:A2-B0-C2-batch3-r0,5,55.977,2.1094,2.1487,5.5977,5.7022,1.0129,0.5164
REAL:A2-B0-C2-batch3-r0,6,111.105,1.9848,2.1487,9.2588,10.2102,1.0506,0.5164
REAL:A2-B0-C2-batch3-r0,7,197.825,1.7805,2.1487,14.1304,18.8048,1.1212,0.5164
REAL:A2-B0-C2-batch3-r0,8,290.127,1.4666,2.1487,18.133,35.3553,1.2561,0.5164
REAL:A2-B0-C2-batch3-r0,9,325.965,1.1235,2.1487,18.1092,67.5276,1.5051,0.5164
REAL:A2-B0-C2-batch3-r0,10,276.805,0.8492,2.1487,13.8403,130.5878,1.9605,0.5164
REAL:A2-B0-C2-batch3-r0,11,186.433,0.6735,2.1487,8.4742,255.0871,2.8441,0.5164
REAL:A2-B0-C2-batch3-r0,12,104.903,0.5627,2.1487,4.3709,502.4336,5.0066,0.5164
BARAJADO:A2-B0-C2-batch3-r0,1,2.688,2.6875,2.1365,1.3438,1.3438,,0.4956
BARAJADO:A2-B0-C2-batch3-r0,2,5.825,2.1674,2.1365,1.4563,1.4355,0.8213,0.4956
BARAJADO:A2-B0-C2-batch3-r0,3,12.432,2.1343,2.1365,2.0721,2.0446,0.9692,0.4956
BARAJADO:A2-B0-C2-batch3-r0,4,26.21,2.1082,2.1365,3.2763,3.2762,1.0,0.4956
BARAJADO:A2-B0-C2-batch3-r0,5,54.24,2.0694,2.1365,5.424,5.5998,1.0229,0.4956
BARAJADO:A2-B0-C2-batch3-r0,6,107.362,1.9794,2.1365,8.9469,9.9701,1.0571,0.4956
BARAJADO:A2-B0-C2-batch3-r0,7,193.238,1.7999,2.1365,13.8027,18.2582,1.1201,0.4956
BARAJADO:A2-B0-C2-batch3-r0,8,293.875,1.5208,2.1365,18.3672,34.1328,1.237,0.4956
BARAJADO:A2-B0-C2-batch3-r0,9,345.027,1.1741,2.1365,19.1682,64.8224,1.4584,0.4956
BARAJADO:A2-B0-C2-batch3-r0,10,293.835,0.8516,2.1365,14.6917,124.6448,1.894,0.4956
BARAJADO:A2-B0-C2-batch3-r0,11,187.13,0.6369,2.1365,8.5059,242.096,2.8147,0.4956
BARAJADO:A2-B0-C2-batch3-r0,12,96.49,0.5156,2.1365,4.0204,474.1385,5.3526,0.4956
ER:A2-B0-C2-batch3-r0,1,2.645,2.645,2.2848,1.3225,1.3225,,0.5405
ER:A2-B0-C2-batch3-r0,2,6.397,2.4187,2.2848,1.5994,1.5108,0.7003,0.5405
ER:A2-B0-C2-batch3-r0,3,14.217,2.2224,2.2848,2.3696,2.3013,0.9498,0.5405
ER:A2-B0-C2-batch3-r0,4,31.547,2.2189,2.2848,3.9434,3.9434,1.0,0.5405
ER:A2-B0-C2-batch3-r0,5,67.905,2.1525,2.2848,6.7905,7.2079,1.0365,0.5405
ER:A2-B0-C2-batch3-r0,6,135.597,1.9969,2.2848,11.2998,13.7239,1.0906,0.5405
ER:A2-B0-C2-batch3-r0,7,235.675,1.738,2.2848,16.8339,26.8767,1.1839,0.5405
ER:A2-B0-C2-batch3-r0,8,325.0,1.379,2.2848,20.3125,53.7317,1.3561,0.5405
ER:A2-B0-C2-batch3-r0,9,336.48,1.0353,2.2848,18.6933,109.1251,1.6661,0.5405
ER:A2-B0-C2-batch3-r0,10,261.473,0.7771,2.2848,13.0736,224.3952,2.2408,0.5405
ER:A2-B0-C2-batch3-r0,11,163.355,0.6248,2.2848,7.4252,466.0873,3.3992,0.5405
ER:A2-B0-C2-batch3-r0,12,87.95,0.5384,2.2848,3.6646,976.1692,6.4798,0.5405
