rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,genealogia,seed_base,brazo,clase_final
A2-B0-C2-r4,362,16,0.2,4.0,0.8204419889502762,0.6069018284703348,1504,51,4.0,1e-09,1.780214616288675,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r4,2000,1,0.02,11.0,0.9685,1.0670125960430978,4003,57,10.333333333333334,0.4714045217910317,1.7420363393137464,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r4,1198,2,0.08,8.0,0.9499165275459098,1.0670125960430978,3191,57,7.333333333333333,0.4714045217910317,1.7420363393137464,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r4,762,4,0.13,6.0,0.9212598425196851,1.0670125960430978,2727,57,6.333333333333333,0.4714045217910317,1.7420363393137464,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r4,526,8,0.19,5.0,0.8859315589353612,1.0670125960430978,2452,57,5.0,1e-09,1.7420363393137464,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r4,394,16,0.24,4.0,0.8477157360406091,1.0670125960430978,2103,57,3.6666666666666665,0.4714045217910317,1.7420363393137464,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r5,2000,1,0.02,16.0,0.9155,0.7170911882005354,3053,96,14.333333333333334,0.4714045217910317,1.3834170106351067,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r5,1245,2,0.07,12.0,0.8698795180722891,0.7170911882005354,2273,96,10.0,0.816496581927726,1.3834170106351067,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r5,835,4,0.1,7.0,0.8131736526946107,0.7170911882005354,1861,96,7.666666666666667,0.9428090425820633,1.3834170106351067,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r5,582,8,0.13,5.0,0.7336769759450171,0.7170911882005354,1579,96,5.333333333333333,0.4714045217910317,1.3834170106351067,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r5,485,16,0.16,5.0,0.6804123711340206,0.7170911882005354,1398,96,4.0,1e-09,1.3834170106351067,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r5,2000,1,0.02,13.0,0.8315,0.7380491662106425,3195,102,14.0,0.816496581927726,1.395081085691544,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r5,1292,2,0.07,9.0,0.7507739938080495,0.7380491662106425,2459,102,9.0,0.816496581927726,1.395081085691544,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r5,919,4,0.12,6.0,0.6539717083786725,0.7380491662106425,2066,102,6.666666666666667,0.4714045217910317,1.395081085691544,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r5,730,8,0.16,5.0,0.5643835616438356,0.7380491662106425,1836,102,5.0,1e-09,1.395081085691544,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r5,636,16,0.21,4.0,0.5,0.7380491662106425,1589,102,4.0,1e-09,1.395081085691544,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r6,2000,1,0.03,11.0,0.98,0.7819817247999449,3637,30,12.0,0.816496581927726,1.2882522689988656,G0_original_90210,90210,C2-hard,I
A2-B0-C2-r6,1172,2,0.09,9.0,0.9675767918088737,0.7819817247999449,2802,30,8.0,1e-09,1.2882522689988656,G0_original_90210,90210,C2-hard,I
A2-B0-C2-r6,729,4,0.16,6.0,0.9492455418381345,0.7819817247999449,2345,30,6.0,1e-09,1.2882522689988656,G0_original_90210,90210,C2-hard,I
A2-B0-C2-r6,476,8,0.22,5.0,0.9222689075630253,0.7819817247999449,2056,30,5.0,1e-09,1.2882522689988656,G0_original_90210,90210,C2-hard,I
A2-B0-C2-r6,371,16,0.26,4.0,0.9002695417789758,0.7819817247999449,1828,30,4.0,1e-09,1.2882522689988656,G0_original_90210,90210,C2-hard,I
A2-B0-C2-r6,2000,1,0.02,11.0,0.982,1.0230661232427611,4128,36,11.666666666666666,0.4714045217910317,1.2376463063736591,G0_original_90210,90210,C2-hibrido,I
A2-B0-C2-r6,1169,2,0.08,8.0,0.9692044482463644,1.0230661232427611,3290,36,7.333333333333333,0.4714045217910317,1.2376463063736591,G0_original_90210,90210,C2-hibrido,I
