seed,f_persiste,orden_a1,dir_x,dir_y,dir_z,S_mean_vivos,S_max_vivos,S_total_vivos,entropia_orient,dim_participation,rango_C,ratio_orden_inicial,frac_coop_inicial,elapsed_s
790,0.53,0.5123596696803777,-0.7038213540261711,-0.5186017827941451,-0.4854767682387091,10064.155027432445,19657.402129440048,10668004.329078393,4.874254747472527,11.9448007588575,1060,15.610824882026852,0.5005102551275638,0.2681011219974607
791,0.503,0.5170094271325159,0.5234515756721296,0.8461618855485655,0.10004254780472502,9721.172383793413,18843.70167115225,9779499.418096174,4.809931448810492,11.906183473013748,1006,38.215882456601115,0.49962681340670334,0.2595247360004578
792,0.5,0.5289729147272905,0.5548669757735323,-0.8309179297970597,0.041207197644380765,10118.341633796468,19146.451508558235,10118341.633796468,5.172331107205568,11.92627357938909,1000,32.525322753444414,0.49998749374687346,0.2565341010049451
793,0.507,0.5131137210425796,0.665800003119396,-0.7410708548654309,-0.08674297617231959,9651.87082327416,18824.079204952584,9786997.014799997,5.138164528879104,11.937714577852766,1014,28.946066331397073,0.49970835417708853,0.2505565489991568
794,0.516,0.536421280820914,-0.37296783319578214,-0.8790356950157131,-0.2969701033597246,10744.181812374452,20064.773628475516,11087995.630370434,4.798244064164017,11.900889317177324,1032,12.537598052746883,0.5009014507253626,0.2598144730000058
795,0.5045,0.4948280706651751,-0.4200107581343676,-0.048416924471471244,-0.9062266628587562,8924.122038091793,18028.291059543237,9004439.136434618,5.096102941725136,11.943480290524779,1009,75.62238907409862,0.49963481740870436,0.24383003099501366
796,0.494,0.5360213129652633,0.2558798808430712,0.5847513116359699,0.769799577890082,10266.055333706825,19183.91623622961,10142862.669702344,5.011970471482984,11.880048368461257,988,33.024711774326455,0.4997543771885943,0.2352809780059033
797,0.52,0.5010478399009793,0.29483564417810704,-0.09293514171513349,-0.9510178769909998,9439.27101363866,18849.26966651431,9816841.854184207,5.175751737455481,11.952135467905345,1040,19.04549509258908,0.5000990495247624,0.25332815600268077
798,0.51,0.5203216015488425,0.06125539582899958,0.913650390006734,-0.40185910630764055,9986.810428263909,19229.371238006363,10186546.636829186,4.8645427862160115,11.918701268308725,1020,19.12647009478633,0.5002741370685343,0.2523805489981896
799,0.507,0.5235288095698911,-0.3705343378028287,0.15646336988211,0.9155454758744392,10050.5516963771,19226.802679182492,10191259.42012638,5.165690967578797,11.925594906624935,1014,23.44140617027964,0.49982191095547773,0.3542549859994324
800,0.507,0.5043692790836397,0.5127041250147009,-0.560834832926062,-0.6500759727675729,9324.10186666021,18504.204325386523,9454639.292793453,4.92715645554172,11.959785016641252,1014,25.993479811551584,0.4998019009504752,0.22991744900355116
801,0.4985,0.5123222829822045,-0.7601217263231801,0.29040635898955364,0.5812736944244932,9460.16054119292,18493.52356364636,9431780.05956934,4.928199297034189,11.937881946297322,997,24.606214855363152,0.49995697848924464,0.27166853599919705
802,0.5085,0.5122982393202735,-0.833245445980832,-0.41212004956208886,-0.3685906828734904,9648.999609154906,18874.023653824344,9813032.60251054,4.795198491561541,11.91941660996192,1017,36.08281699505381,0.49966783391695846,0.30189768400305184
803,0.498,0.5194492178539574,-0.5780173945477645,0.6651869052514189,-0.47267565272843687,9715.345072181217,18738.151263548458,9676483.691892492,4.886647624572692,11.94574845627166,996,37.62461335200386,0.4999074537268634,0.24642458200105466
804,0.518,0.5011261863861566,-0.5970027509954737,0.8009889247080098,0.04477117151631019,9405.021565765363,18797.460208076664,9743602.342132915,4.763523851770481,11.96223553571438,1036,25.54596282421115,0.5001095547773887,0.33669095499499235
805,0.524,0.5117558705858664,-0.6923796343364037,0.028457952683438946,-0.7209719737169086,9926.085028458216,19422.76025677139,10402537.10982421,5.005014526952604,11.913302221888925,1048,15.904576001175755,0.5004642321160581,0.26764777499920456
806,0.4955,0.5222618576588823,0.7223489052962343,-0.6914809578704441,-0.008132891238976555,9772.638236546134,18725.359448625593,9684684.492417218,5.29016332304464,11.918619909708838,991,31.582023529857185,0.49978739369684844,0.25805827899603173
807,0.5025,0.5183803415602711,0.34671025343214557,0.7019090581703131,0.6221862054268652,9764.259022281036,18864.17190921009,9813080.31739244,4.950430097870375,11.910656077658835,1005,30.131698337728523,0.4998289144572286,0.2628681179994601
808,0.5215,0.5121703939805226,-0.6657287797854231,-0.6176355952516337,0.41872600020009704,9894.807320222199,19360.188512651966,10320284.034991752,4.869076639084691,11.93702399455473,1043,14.441409203492636,0.5005637818909455,0.2282338860022719
809,0.492,0.5287918836852709,-0.6531553495386347,-0.5677258877571204,-0.5010742517226895,9948.320763940557,18844.008008894703,9789147.631717509,4.870113817710056,11.906131265332109,984,36.787915714140986,0.5001495747873937,0.2458135319975554
810,0.522,0.5264495934847284,0.02865932845852114,-0.05943169524531107,-0.997820883972958,10467.434771114797,19910.967965817195,10928001.901043847,5.270098382340462,11.902317023381938,1044,13.202709618404082,0.5005157578789394,0.2323399450033321
811,0.512,0.5204379957674755,0.1929630317752,0.18909405793051381,0.9628129130955269,10030.247307016474,19308.516392884965,10270973.24238487,5.168591548212058,11.947937177348066,1024,18.703191896450253,0.49966933466733365,0.26970967699890025
812,0.5095,0.504566509210306,-0.7986748264126416,-0.10912746476889743,-0.5917851959012239,9375.688201602647,18601.193477366658,9553826.277433097,4.938969195917273,11.958099728919125,1019,46.785071170974476,0.4995872936468234,0.2375672679991112
813,0.5055,0.5237313330591247,0.7007515864330327,0.6873991546087735,0.19086544044098563,10028.657197539847,19182.49393252247,10138972.426712785,4.785829088480574,11.924303011566664,1011,20.49120125067359,0.5000375187593797,0.2482562549994327
814,0.502,0.5197033930874566,-0.510493071405606,-0.28682643771564154,-0.8106339609677268,9804.235024191214,18899.94593175748,9843451.964287978,5.029646393894112,11.94390607513788,1004,33.05611258242573,0.4997943971985993,0.2598127039964311
