rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A1-B1-C2-r3,400,8,0.3,4.0,0.9975,0.5759280178866132,4869,78,4.0,1e-09,1.5850615855935168,A1,B1,C2,II,0.3599076891201685,0.565685423749238,2.7521869684512876
A1-B1-C2-r3,266,16,0.37,4.0,0.9962406015037594,0.5759280178866132,3931,78,3.6666666666666665,0.4714045217910317,1.5850615855935168,A1,B1,C2,II,0.3599076891201685,0.565685423749238,2.7521869684512876
A1-B1-C2-r4,2000,1,0.04,9.0,0.997,0.9783947102010802,6359,81,7.666666666666667,0.9428090425820633,1.5692215224312134,A1,B1,C2,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A1-B1-C2-r4,1109,2,0.12,6.0,0.9945897204688909,0.9783947102010802,5448,81,6.666666666666667,0.4714045217910317,1.5692215224312134,A1,B1,C2,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A1-B1-C2-r4,662,4,0.23,5.0,0.9909365558912386,0.9783947102010802,4942,81,4.666666666666667,0.4714045217910317,1.5692215224312134,A1,B1,C2,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A1-B1-C2-r4,397,8,0.32,4.0,0.9848866498740554,0.9783947102010802,4421,81,4.0,1e-09,1.5692215224312134,A1,B1,C2,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A1-B1-C2-r4,294,16,0.39,4.0,0.9795918367346939,0.9783947102010802,3669,81,4.0,1e-09,1.5692215224312134,A1,B1,C2,II,0.42651225800062964,0.7071067799865475,1.6038736780462624
A2-B0-C0-r0,2000,1,0.04,8.0,0.9925,1.6948455223271062,4780,57,9.333333333333334,0.4714045217910317,1.5008509463686572,A2,B0,C0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2-B0-C0-r0,1146,2,0.13,6.0,0.987783595113438,1.6948455223271062,3918,57,7.0,1e-09,1.5008509463686572,A2,B0,C0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2-B0-C0-r0,679,4,0.19,6.0,0.979381443298969,1.6948455223271062,3418,57,5.666666666666667,0.4714045217910317,1.5008509463686572,A2,B0,C0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2-B0-C0-r0,456,8,0.24,5.0,0.9692982456140351,1.6948455223271062,3090,57,4.666666666666667,0.4714045217910317,1.5008509463686572,A2,B0,C0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2-B0-C0-r0,337,16,0.29,4.0,0.9584569732937686,1.6948455223271062,2657,57,4.0,1e-09,1.5008509463686572,A2,B0,C0,I,0.34215134422250193,0.848528135623857,0.8855384910289141
A2-B0-C0-r1,2000,1,0.03,9.0,0.996,1.3457955422082515,5970,102,8.666666666666666,0.4714045217910317,1.593447157597079,A2,B0,C0,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2-B0-C0-r1,1106,2,0.11,5.0,0.9927667269439421,1.3457955422082515,5060,102,6.333333333333333,0.4714045217910317,1.593447157597079,A2,B0,C0,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2-B0-C0-r1,649,4,0.18,5.0,0.987673343605547,1.3457955422082515,4539,102,4.666666666666667,0.4714045217910317,1.593447157597079,A2,B0,C0,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2-B0-C0-r1,404,8,0.23,4.0,0.9801980198019802,1.3457955422082515,4113,102,4.0,1e-09,1.593447157597079,A2,B0,C0,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2-B0-C0-r1,299,16,0.28,4.0,0.9732441471571907,1.3457955422082515,3433,102,4.0,1e-09,1.593447157597079,A2,B0,C0,II,0.39641932292327464,0.848528135623857,1.1840187514534843
A2-B0-C0-r2,2000,1,0.05,7.0,0.9995,1.6125226344443564,7010,219,7.0,1e-09,1.413198248726387,A2,B0,C0,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2-B0-C0-r2,1090,2,0.15,5.0,0.9990825688073395,1.6125226344443564,6063,219,5.666666666666667,0.4714045217910317,1.413198248726387,A2,B0,C0,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2-B0-C0-r2,635,4,0.23,5.0,0.9984251968503937,1.6125226344443564,5529,219,5.0,1e-09,1.413198248726387,A2,B0,C0,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2-B0-C0-r2,395,8,0.29,4.0,0.9974683544303797,1.6125226344443564,4986,219,4.0,1e-09,1.413198248726387,A2,B0,C0,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2-B0-C0-r2,268,16,0.35,3.0,0.996268656716418,1.6125226344443564,4038,219,4.0,1e-09,1.413198248726387,A2,B0,C0,II,0.3761835852498129,0.2828427118746191,0.8763897129501983
A2-B0-C0-r3,2000,1,0.03,12.0,0.9955,0.9720282766001438,4790,57,9.333333333333334,0.4714045217910317,1.5278872931518146,A2,B0,C0,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2-B0-C0-r3,1139,2,0.09,8.0,0.9920983318700615,0.9720282766001438,3920,57,6.333333333333333,0.4714045217910317,1.5278872931518146,A2,B0,C0,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2-B0-C0-r3,693,4,0.16,5.0,0.987012987012987,0.9720282766001438,3436,57,5.666666666666667,0.4714045217910317,1.5278872931518146,A2,B0,C0,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2-B0-C0-r3,451,8,0.21,4.0,0.9800443458980045,0.9720282766001438,3107,57,5.0,1e-09,1.5278872931518146,A2,B0,C0,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2-B0-C0-r3,325,16,0.26,4.0,0.9723076923076923,0.9720282766001438,2645,57,4.0,1e-09,1.5278872931518146,A2,B0,C0,I,0.6472547688928773,2.1213203390596425,1.571854780290852
A2-B0-C0-r4,2000,1,0.03,9.0,0.994,1.4946115735028855,5110,63,9.666666666666666,0.9428090425820633,1.3568535089353648,A2,B0,C0,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
A2-B0-C0-r4,1125,2,0.1,6.0,0.9902222222222222,1.4946115735028855,4223,63,6.333333333333333,0.4714045217910317,1.3568535089353648,A2,B0,C0,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
A2-B0-C0-r4,675,4,0.16,5.0,0.9837037037037037,1.4946115735028855,3741,63,5.333333333333333,0.4714045217910317,1.3568535089353648,A2,B0,C0,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
