exp,diseno,rule_id,seed,clase,brazo,N_nodos,K,kcap,J,noise,meandeg,n_aristas,grado_medio,clustering,transitividad,n_triangulos,holon,giant,diam,pendiente,frac_masa,masa_acretada,kappa_v,n_sumideros,t_primer_sumidero,carpeta,densidad,geo_sepmedia,geo_fof020,geo_ngrupos020,geo_fof030,geo_ngrupos030,geo_fof050,geo_densk8cv,geo_o4a_fof06,geo_o4a_fof10,geo_o4a_ngrupos06,geo_o4a_knn100x,geo_o4a_knn1000x,geo_o4a_sin_verificar_seed,base,geoIC_fof_b0.20,geoIC_ngrupos_b0.20,geoIC_fof_b0.30,geoIC_ngrupos_b0.30,geoIC_fof_b0.50,geoIC_ngrupos_b0.50,geoIC_knn8_cv,geoIC_knn8_p90_med,masa_particula,lado_nube,n_aristas_cabecera,bateria_raiz
F5B_40pares,pareado,A2-B0-C2-batch3-r48,476485.0,I,unico,2000,8.0,5.0,0.487,0.21,4.54,3271.0,3.271,,,,,0.971,15.0,0.6705155034604253,0.099,1861.2,0.4782608695652173,8,0.041,A2-B0-C2-batch3-r48_I,0.0016363181590795,,,,,,,,,,,,,False,A2-B0-C2-batch3-r48_I,0.6684999999999993,59,0.7020000000000027,11,0.7089999999999822,1,4.26128259604502,7.26085978850328,9.4,97.59305683483484,3271.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r5,472314.0,I,unico,2000,6.0,6.0,0.494,0.283,7.48,3981.0,3.981,,,,,0.974,13.0,0.6602354017251398,0.081,1522.8,0.3571428571428572,8,0.044,A2-B0-C2-batch3-r5_I,0.0019914957478739,7.745961543236626,0.3839999999999997,60.0,0.5299999999999994,43.0,0.5589999999999935,4.440120596819075,,,,,,False,A2-B0-C2-batch3-r5_I,0.3839999999999997,60,0.5299999999999994,43,0.5589999999999935,3,4.440120596819075,10.86081584824565,9.4,97.59301993597455,3981.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r50,476679.0,I,unico,2000,6.0,5.0,0.381,0.278,5.64,3271.0,3.271,,,,,0.962,14.0,0.6185791830984311,0.1,1880.0,0.5340314136125656,8,0.04,A2-B0-C2-batch3-r50_I,0.0016363181590795,,,,,,,,,,,,,False,A2-B0-C2-batch3-r50_I,0.6154999999999993,71,0.6735000000000008,15,0.691499999999983,2,4.3583218111156325,8.911296864988083,9.4,97.59304849987,3271.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r53,476970.0,I,unico,2000,7.0,5.0,0.708,0.308,4.14,3204.0,3.204,,,,,0.9635,14.0,0.6600094507902553,0.096,1804.8,0.4374999999999999,8,0.032,A2-B0-C2-batch3-r53_I,0.0016028014007003,,,,,,,,,,,,,False,A2-B0-C2-batch3-r53_I,0.6489999999999994,63,0.6984999999999844,5,0.7084999999999824,2,4.351125180640754,7.181629198596975,9.4,97.59299383015602,3204.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r58,477455.0,III,unico,2000,7.0,5.0,0.458,0.155,4.11,3150.0,3.15,,,,,0.954,15.0,0.7762844343605745,0.1025,1927.0,0.5737704918032787,8,0.035,A2-B0-C2-batch3-r58_III,0.0015757878939469,,,,,,,,0.173,0.526,44.0,0.103,0.0475,True,A2-B0-C2-batch3-r58_III,0.6374999999999994,69,0.6935000000000017,12,0.6969999999999827,1,4.319623321684393,8.68393497317395,9.4,97.59297388393878,3150.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r59,477552.0,I,unico,2000,7.0,5.0,0.545,0.26,4.12,3159.0,3.159,,,,,0.9645,14.0,0.697928797897343,0.1035,1945.8,0.6063829787234043,8,0.034,A2-B0-C2-batch3-r59_I,0.0015802901450725,,,,,,,,0.1855,0.5365000000000001,55.0,0.105,0.0465,True,A2-B0-C2-batch3-r59_I,0.6309999999999992,60,0.6910000000000023,13,0.6974999999999827,1,4.285797995103481,9.478718686376512,9.4,97.59297415745972,3159.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r60,477649.0,III,unico,2000,6.0,5.0,0.456,0.261,7.33,3068.0,3.068,,,,,0.9185,15.0,0.9268169943894312,0.1254999999999999,2359.4,0.91044776119403,8,0.036,A2-B0-C2-batch3-r60_III,0.0015347673836918,,,,,,,,0.2055,0.5145000000000001,46.0,0.1275,0.051,True,A2-B0-C2-batch3-r60_III,0.6269999999999993,59,0.6960000000000021,15,0.7074999999999824,2,4.0849016745805855,15.644133450672836,9.4,97.59297565793722,3068.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r69,478522.0,III,unico,2000,7.0,6.0,0.753,0.318,4.37,3678.0,3.678,,,,,0.981,13.0,0.7189443036232789,0.088,1654.4,0.4311377245508982,8,0.04,A2-B0-C2-batch3-r69_III,0.0018399199599799,,,,,,,,,,,,,False,A2-B0-C2-batch3-r69_III,0.5029999999999996,63,0.5995000000000001,25,0.613999999999986,1,4.46781393921745,8.283771047153005,9.4,97.59299870294544,3678.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r70,478619.0,III,unico,2000,4.0,5.0,0.632,0.249,5.76,3398.0,3.398,,,,,0.9645,15.0,0.7941435722553284,0.095,1785.9999999999998,0.4264705882352941,8,0.039,A2-B0-C2-batch3-r70_III,0.0016998499249624,,,,,,,,,,,,,False,A2-B0-C2-batch3-r70_III,0.5689999999999994,75,0.6484999999999995,29,0.6609999999999843,2,4.248534006445058,8.198278895546261,9.4,97.59296279971352,3398.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r71,478716.0,III,unico,2000,6.0,5.0,0.463,0.202,7.98,3012.0,3.012,,,,,0.908,14.0,0.89756931877134,0.13,2444.0,1.0046948356807506,8,0.032,A2-B0-C2-batch3-r71_III,0.0015067533766883,,,,,,,,,,,,,False,A2-B0-C2-batch3-r71_III,0.6509999999999992,66,0.7090000000000021,18,0.7199999999999819,1,4.1715440244893545,15.855691297498437,9.4,97.59296563506008,3012.0,bateria_fase5b_a2b0c2_escala_v4
