rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final
A2-B0-C2-r5,737,4,0.1,7.0,0.9185888738127544,0.7675757127095034,2708,117,6.0,1e-09,1.4478079786894535,A2,B0,C2,I
A2-B0-C2-r5,478,8,0.14,5.0,0.8744769874476988,0.7675757127095034,2384,117,5.0,1e-09,1.4478079786894535,A2,B0,C2,I
A2-B0-C2-r5,384,16,0.18,4.0,0.84375,0.7675757127095034,2116,117,4.0,1e-09,1.4478079786894535,A2,B0,C2,I
A2-B0-C2-r6,2000,1,0.02,13.0,0.9705,0.7113835931258626,3381,48,13.333333333333334,0.4714045217910317,1.3998531625250241,A2,B0,C2,I
A2-B0-C2-r6,1177,2,0.06,9.0,0.9558198810535259,0.7113835931258626,2548,48,8.666666666666666,0.4714045217910317,1.3998531625250241,A2,B0,C2,I
A2-B0-C2-r6,724,4,0.1,6.0,0.9295580110497238,0.7113835931258626,2081,48,6.0,1e-09,1.3998531625250241,A2,B0,C2,I
A2-B0-C2-r6,493,8,0.13,5.0,0.896551724137931,0.7113835931258626,1827,48,5.0,1e-09,1.3998531625250241,A2,B0,C2,I
A2-B0-C2-r6,368,16,0.16,5.0,0.8614130434782609,0.7113835931258626,1603,48,4.0,1e-09,1.3998531625250241,A2,B0,C2,I
A2-B0-C2-r7,2000,1,0.01,14.0,0.984,0.9391970706191858,3715,33,12.666666666666666,1.699673172197595,1.6500146843798236,A2,B0,C2,III
A2-B0-C2-r7,1152,2,0.05,7.0,0.9739583333333334,0.9391970706191858,2858,33,9.0,0.816496581927726,1.6500146843798236,A2,B0,C2,III
A2-B0-C2-r7,710,4,0.09,6.0,0.9577464788732394,0.9391970706191858,2408,33,6.0,1e-09,1.6500146843798236,A2,B0,C2,III
A2-B0-C2-r7,474,8,0.12,4.0,0.9367088607594937,0.9391970706191858,2115,33,5.0,1e-09,1.6500146843798236,A2,B0,C2,III
A2-B0-C2-r7,363,16,0.15,4.0,0.9173553719008265,0.9391970706191858,1874,33,4.0,1e-09,1.6500146843798236,A2,B0,C2,III
A2-B0-C2-r8,2000,1,0.02,11.0,0.982,0.9372624959400702,4032,51,11.0,0.816496581927726,1.316613554466165,A2,B0,C2,I
A2-B0-C2-r8,1146,2,0.06,8.0,0.9685863874345549,0.9372624959400702,3167,51,7.333333333333333,0.4714045217910317,1.316613554466165,A2,B0,C2,I
A2-B0-C2-r8,704,4,0.1,6.0,0.9488636363636364,0.9372624959400702,2701,51,6.0,1e-09,1.316613554466165,A2,B0,C2,I
