archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-kbar-r33__s9317361__regla__N2000.grafo.gz,O3D_kcap,2000,4678,0.8251,3.6224,5.117,77.953,77.953
A2-B0-C2-o3e-s375224-mem__s375224__mem__N2000.grafo.gz,O3E_memoria,2000,3965,0.8257,3.3083,3.479,44.477,57.168
A2-B0-C2-batch3-r15__s473284__unico__N2000.grafo.gz,OUT_pendNEG,2000,4205,0.8263,3.4293,4.225,57.823,61.011
A2-B0-C2-r2__s372023__unico__N2000.grafo.gz,F5B_40pares,2000,4094,0.8264,3.3584,3.875,51.567,60.601
A2-B0-C2-r12__s372993__unico__N2000.grafo.gz,F5B_40pares,2000,3978,0.8273,3.3326,3.854,50.052,58.868
A2-B0-C2-kbar-r27__s9316779__regla__N2000.grafo.gz,O3D_kcap,2000,4524,0.8274,3.5843,4.846,71.675,71.675
A2-B0-C2-r9v2fix__s372702__unico__N2000.grafo.gz,F5B_40pares,2000,4138,0.8282,3.362,3.825,50.615,59.274
A2-B0-C2-batch3-r31__s474836__unico__N4000.grafo.gz,O3A_N4000,4000,6445,0.8283,3.0158,2.604,28.64,78.239
A2-B0-C2-mec-r6__s90794__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4091,0.8283,3.4323,4.088,56.105,59.278
A2-B0-C2-r9__s272702__unico__N2000.grafo.gz,F5B_40pares,2000,3939,0.829,3.4032,3.625,48.958,58.418
A2-B0-C2-mec-r8__s90988__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,4047,0.8291,3.5473,3.854,55.415,57.462
A2-B0-C2-batch4-r13__s573090__unico__N2000.grafo.gz,F5B_40pares,2000,4061,0.8299,3.3178,3.708,48.528,58.951
A2-B0-C2-batch3-r9__s472702__unico__N2000.grafo.gz,F5B_40pares,2000,4069,0.8311,3.3755,3.712,49.96,60.994
A2-B0-C2-batch4-r3__s572120__unico__N2000.grafo.gz,F5B_40pares,2000,4196,0.8317,3.3812,3.954,54.145,59.994
A2-B0-C2-r1__s271926__unico__N2000.grafo.gz,F5B_40pares,2000,4078,0.8321,3.3887,3.775,51.068,57.347
A2-B0-C2-mec-r8__s90988__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,4040,0.8327,3.4923,4.033,56.918,59.196
A2-B0-C2-mec-r7__s90891__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4239,0.8335,3.5378,4.062,59.737,60.557
A2-B0-C2-mec-r6__s90794__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,3750,0.8346,3.3115,3.233,41.937,58.083
A2-B0-C2-batch4-r18__s573575__unico__N2000.grafo.gz,F5B_40pares,2000,3986,0.8368,3.2752,3.383,43.12,59.24
A2-B0-C2-mec-r8__s90988__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,4054,0.837,3.5201,3.775,56.365,58.253
A2-B0-C2-kbar-r28__s9316876__regla__N2000.grafo.gz,O3D_kcap,2000,4089,0.8374,3.3615,3.692,49.228,61.217
A2-B0-C2-r39__s375612__rewire__N2000.grafo.gz,O3B_rewiring,2000,4083,0.8376,3.3418,3.754,51.713,62.633
A2-B0-C2-o3e-s582111-nomem__s582111__nomem__N2000.grafo.gz,O3E_memoria,2000,4281,0.8382,3.4253,4.162,58.535,62.771
A2-B0-C2-kbar-r132__s9326964__regla__N2000.grafo.gz,O3D_kcap,2000,4204,0.8412,3.442,3.983,57.763,62.029
A2-B0-C2-o3e-s375224-nomem__s375224__nomem__N2000.grafo.gz,O3E_memoria,2000,4092,0.8437,3.3428,3.279,45.847,59.082
A2-B0-C2-o3e-s582111-mem__s582111__mem__N2000.grafo.gz,O3E_memoria,2000,4254,0.846,3.4101,3.646,52.563,61.288
A2-B0-C2-batch4-r94__s580947__unico__N4000.grafo.gz,O3A_N4000,4000,7151,0.8487,3.1605,2.837,34.155,87.555
A2-B0-C2-batch4-r19__s573672__unico__N4000.grafo.gz,O3A_N4000,4000,7159,0.8569,3.2425,3.308,41.747,89.904
A2-B0-C2-r19__s273672__unico__N4000.grafo.gz,O3A_N4000,4000,7337,0.8828,3.3306,3.358,48.143,89.402
A2-B0-C2-batch3-r5__s472314__unico__N4000.grafo.gz,O3A_N4000,4000,7942,0.9074,3.5152,3.746,60.938,103.026
A2-B0-C2-batch4-r13__s573090__unico__N4000.grafo.gz,O3A_N4000,4000,8185,0.9078,3.5338,3.888,62.463,110.644
A2-B0-C2-batch4-r18__s573575__unico__N4000.grafo.gz,O3A_N4000,4000,8079,0.9102,3.4749,3.733,60.805,110.032
A2-B0-C2-r39__s375612__unico__N4000.grafo.gz,O3A_N4000,4000,8289,0.9146,3.5329,3.913,66.085,113.41
A2-B0-C2-batch3-r114__s482887__unico__N4000.grafo.gz,O3A_N4000,4000,8138,0.9171,3.5866,3.704,63.707,103.154
A2-B0-C2-r9v2fix__s372702__unico__N4000.grafo.gz,O3A_N4000,4000,8233,0.9232,3.5134,3.446,59.027,106.399
A2-B0-C2-r12v1fix__s272993__unico__N4000.grafo.gz,O3A_N4000,4000,9458,0.9456,3.949,5.225,113.252,136.179
