brazo,L,N,seed,ng,defdev,fg,diam,dmean,d95,dgrow,turn,ver
REGLA,32,1024,5,31,0.00e+00,1.0,61,2.370730465767371,9.0,1.6008905709605177,1.1499729951195696,GEOMETRIA
CONTROL,32,1024,5,31,0.00e+00,1.0,38,1.3361669636039706,4.0,1.7845157666748772,1.285874458084145,GEOMETRIA
INTACTA,32,1024,6,0,0.00e+00,1.0,57,2.2492373398413665,8.0,1.5926370424193022,1.155953059155998,GEOMETRIA
CORTADA,32,1024,6,0,0.00e+00,1.0,88,1.1179072605247102,6.0,1.4344893888478807,1.184648906944133,GEOMETRIA
REGLA,32,1024,6,31,0.00e+00,1.0,57,2.2492373398413665,8.0,1.5926370424193022,1.155953059155998,GEOMETRIA
CONTROL,32,1024,6,31,0.00e+00,1.0,37,1.263117754728493,4.0,1.7625117255325913,1.3051506348471305,GEOMETRIA
INTACTA,32,1024,7,0,0.00e+00,1.0,57,2.175883491190549,8.0,1.603455128267437,1.1500867494460534,GEOMETRIA
CORTADA,32,1024,7,0,0.00e+00,1.0,87,1.1196659537631124,5.0,1.4339550257515483,1.1831940898532118,GEOMETRIA
REGLA,32,1024,7,31,0.00e+00,1.0,57,2.175883491190549,8.0,1.603455128267437,1.1500867494460534,GEOMETRIA
CONTROL,32,1024,7,31,0.00e+00,1.0,37,1.2126744067623993,3.5,1.7544518712987667,1.2837348266775939,GEOMETRIA
INTACTA,32,1024,8,0,0.00e+00,1.0,61,2.349121738247538,9.0,1.6126146643714,1.1351867935659967,GEOMETRIA
CORTADA,32,1024,8,0,0.00e+00,1.0,92,1.3543506955020814,7.0,1.4501270610263608,1.2228307041938797,GEOMETRIA
REGLA,32,1024,8,31,0.00e+00,1.0,61,2.349121738247538,9.0,1.6126146643714,1.1351867935659967,GEOMETRIA
CONTROL,32,1024,8,31,0.00e+00,1.0,38,1.3963600365519342,4.0,1.7696391844375001,1.300656067458195,GEOMETRIA
INTACTA,64,4096,1,0,0.00e+00,1.0,110,4.971547819005446,19.0,1.6674209790227486,1.099226798663079,GEOMETRIA
CORTADA,64,4096,1,0,0.00e+00,1.0,169,2.6050287575711306,13.0,1.5199115597594552,1.133630371224405,GEOMETRIA
REGLA,64,4096,1,63,0.00e+00,1.0,110,4.971547819005446,19.0,1.6674209790227486,1.099226798663079,GEOMETRIA
CONTROL,64,4096,1,63,0.00e+00,1.0,69,1.9584669415177889,7.0,1.8359784266510675,1.2208757815978468,GEOMETRIA
INTACTA,64,4096,2,0,0.00e+00,1.0,125,4.662414879560931,17.149999999997817,1.6923508658634092,1.090721813378844,GEOMETRIA
CORTADA,64,4096,2,0,0.00e+00,1.0,188,2.548937900193109,12.0,1.5375325650099974,1.1381807883698916,GEOMETRIA
REGLA,64,4096,2,63,0.00e+00,1.0,125,4.662414879560931,17.149999999997817,1.6923508658634092,1.090721813378844,GEOMETRIA
CONTROL,64,4096,2,63,0.00e+00,1.0,70,1.807729444049192,6.5,1.8685952188473125,1.2638528974813952,GEOMETRIA
INTACTA,64,4096,3,0,0.00e+00,1.0,120,4.549593082400814,18.0,1.683733564666182,1.088973150941863,GEOMETRIA
CORTADA,64,4096,3,0,0.00e+00,1.0,174,2.3553407934893182,12.0,1.5220827999080058,1.1294540713785206,GEOMETRIA
REGLA,64,4096,3,63,0.00e+00,1.0,120,4.549593082400814,18.0,1.683733564666182,1.088973150941863,GEOMETRIA
CONTROL,64,4096,3,63,0.00e+00,1.0,70,1.7141658189216684,6.0,1.8519860907703318,1.2034929102780259,GEOMETRIA
INTACTA,64,4096,4,0,0.00e+00,1.0,121,4.589795710946234,17.0,1.697915693586158,1.0905709716419358,GEOMETRIA
CORTADA,64,4096,4,0,0.00e+00,1.0,184,2.305468035369448,12.0,1.5186443418124635,1.1233317644725718,GEOMETRIA
REGLA,64,4096,4,63,0.00e+00,1.0,121,4.589795710946234,17.0,1.697915693586158,1.0905709716419358,GEOMETRIA
CONTROL,64,4096,4,63,0.00e+00,1.0,69,1.5963512552088628,5.5,1.8779283646686555,1.2541260925206614,GEOMETRIA
INTACTA,64,4096,5,0,0.00e+00,1.0,122,4.838126749809112,18.0,1.6755445848902035,1.097960188025667,GEOMETRIA
CORTADA,64,4096,5,0,0.00e+00,1.0,182,2.097022143038941,11.0,1.5244047766947273,1.1592643994451115,GEOMETRIA
REGLA,64,4096,5,63,0.00e+00,1.0,122,4.838126749809112,18.0,1.6755445848902035,1.097960188025667,GEOMETRIA
CONTROL,64,4096,5,63,0.00e+00,1.0,70,1.6813693051667091,6.0,1.863676464070956,1.2578847860230142,GEOMETRIA
