carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,par,rol,match_exacto_K_kcap,origen_par
A2-B0-C2-batch3-r143_I,A2-B0-C2-batch3-r143,I,485700,4,0.585,0.132,6.04,5,3349,1.0,2000,cosmog_00500,16920.0,1880.0000000000007,18800.0,0.10000000000000003,8,0.037,1880.0000000000002,0.39351851851851805,0.39636393698893646,0,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,I,True,v3_sobrante
A2-B0-C2-batch3-r70_III,A2-B0-C2-batch3-r70,III,478619,4,0.632,0.249,5.76,5,3398,15.0,2000,cosmog_00500,17014.0,1786.0000000000007,18800.0,0.09500000000000004,8,0.039,1785.9999999999998,0.4264705882352941,0.42787698412698416,0,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,III,True,v3_sobrante
A2-B0-C2-batch4-r11_I,A2-B0-C2-batch4-r11,I,572896,6,0.336,0.263,7.47,6,3920,11.0,2000,cosmog_00500,17183.2,1616.8000000000006,18800.0,0.08600000000000003,8,0.043,1616.8000000000002,0.30687830687830625,0.3013392857142851,0,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r0_III,A2-B0-C2-batch4-r0,III,571829,6,0.4,0.123,7.95,6,3897,14.0,2000,cosmog_00500,17108.0,1692.0000000000005,18800.0,0.09000000000000002,8,0.04,1692.0,0.4421052631578949,0.44517857142857165,0,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r31_I,A2-B0-C2-batch4-r31,I,574836,6,0.549,0.237,5.83,5,3332,13.0,2000,cosmog_00500,16948.2,1851.8000000000006,18800.0,0.09850000000000003,8,0.036,1851.8000000000002,0.523076923076923,0.5260416666666665,0,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r1_III,A2-B0-C2-batch4-r1,III,571926,6,0.398,0.285,6.18,5,3224,15.0,2000,cosmog_00500,16779.0,2021.0000000000005,18800.0,0.10750000000000003,8,0.035,2021.0,0.6307692307692309,0.6416170634920635,0,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r3_I,A2-B0-C2-batch4-r3,I,572120,5,0.766,0.205,6.09,6,4196,11.0,2000,cosmog_00500,17380.600000000002,1419.4000000000005,18800.000000000004,0.07550000000000001,8,0.042,1419.4,0.32653061224489793,0.34077380952380953,0,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r9_III,A2-B0-C2-batch4-r9,III,572702,5,0.351,0.296,4.64,6,3750,15.0,2000,cosmog_00500,17305.4,1494.6000000000004,18800.0,0.07950000000000002,8,0.049,1494.6,0.35185185185185186,0.35342261904761907,0,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r23_I,A2-B0-C2-batch4-r23,I,574060,5,0.684,0.202,5.0,5,3393,14.0,2000,cosmog_00500,17004.600000000002,1795.4000000000005,18800.000000000004,0.09550000000000002,8,0.041,1795.4,0.5081967213114754,0.511904761904762,0,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r10_III,A2-B0-C2-batch4-r10,III,572799,5,0.339,0.263,7.64,5,2994,16.0,2000,cosmog_00500,16393.600000000002,2406.4,18800.000000000004,0.12799999999999997,8,0.03,2406.3999999999996,0.9027777777777777,0.9086805555555555,0,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r15_I,A2-B0-C2-batch4-r15,I,573284,8,0.412,0.302,4.06,5,3098,14.0,2000,cosmog_00500,16816.600000000002,1983.4000000000008,18800.000000000004,0.10550000000000002,8,0.038,1983.4,0.6307692307692307,0.6339285714285714,0,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r62_III,A2-B0-C2-batch4-r62,III,577843,8,0.672,0.262,5.76,5,3299,17.0,2000,cosmog_00500,16873.0,1927.0000000000007,18800.0,0.10250000000000004,8,0.036,1927.0,0.5671641791044775,0.5709325396825395,0,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r51_I,A2-B0-C2-batch4-r51,I,576776,8,0.449,0.196,5.29,4,2483,1.0,2000,cosmog_00500,16074.0,2725.999999999999,18800.0,0.14499999999999996,8,0.031,2726.0000000000005,1.3424657534246576,1.3409722222222222,0,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r36_III,A2-B0-C2-batch4-r36,III,575321,8,0.543,0.156,6.77,4,2343,19.0,2000,cosmog_00500,15914.2,2885.7999999999993,18800.0,0.15349999999999997,8,0.023,2885.7999999999997,1.407894736842105,1.4208964646464646,0,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r38_I,A2-B0-C2-batch4-r38,I,575515,4,0.397,0.184,4.52,5,3296,13.0,2000,cosmog_00500,16929.4,1870.6000000000008,18800.000000000004,0.09950000000000002,8,0.034,1870.6,0.6439790575916231,0.6477220695970697,0,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,I,True,v4_generado_nuevo
