tipo,q_E,q_T,i_seed,n,seed_layout,seed_swap,seed_orden,n_aristas,swap_aceptados,swap_intentos,factor_swaps_nominal,factor_swaps_int,n_tocadas_orden,rms_a_ref,rms_a_ref_rel,max_a_ref,radio_giro,anisotropia,d_nn_media,d_nn_std,d_knn8_media,long_arista_media,long_arista_std,lambda2_w,lambda_max_w,mean_eig_w,std_eig_w,n_ceros_w,_tiempo_s
grilla,0.5,0.9,3,2000,12345,6003,7032,4945,172,24725,5.0,5,494,2.726639,0.288332,13.574596,9.477154,1.04612,0.195017,0.317416,0.642171,3.125618,2.066034,0.025325,10.54698,2.928721,1.950273,1,125.23
grilla,0.5,0.9,4,2000,12345,6004,7042,4945,185,24725,5.0,5,494,2.451555,0.259243,12.829811,9.506054,1.04999,0.194686,0.320345,0.631034,3.056458,2.059128,0.024072,10.71402,2.978118,1.980918,1,125.83
grilla,0.5,0.99,0,2000,12345,6000,7001,4945,160,24725,5.0,5,49,2.781053,0.294086,13.205115,9.467747,1.03372,0.199145,0.335642,0.643442,3.107911,2.060994,0.019635,9.74984,2.941355,1.960324,1,161.96
grilla,0.5,0.99,1,2000,12345,6001,7011,4945,187,24725,5.0,5,49,2.566538,0.271402,12.734822,9.484435,1.0386,0.203304,0.34222,0.644211,3.041656,2.02063,0.017891,9.93314,2.985654,1.96526,1,125.86
grilla,0.5,0.99,2,2000,12345,6002,7021,4945,184,24725,5.0,5,49,2.768998,0.292812,12.792603,9.486647,1.05547,0.198407,0.336143,0.632315,3.091799,2.076717,0.005618,10.6754,2.952822,1.966667,1,125.2
grilla,0.5,0.99,3,2000,12345,6003,7031,4945,172,24725,5.0,5,49,2.737676,0.289499,13.657102,9.478323,1.04581,0.196404,0.317705,0.64145,3.124759,2.066481,0.025312,10.51654,2.930067,1.9491,1,124.89
grilla,0.5,0.99,4,2000,12345,6004,7041,4945,185,24725,5.0,5,49,2.454403,0.259544,12.910626,9.50577,1.05079,0.197269,0.324804,0.630264,3.056689,2.058337,0.023781,10.72971,2.978876,1.979194,1,124.99
grilla,0.5,1.0,0,2000,12345,6000,7000,4945,160,24725,5.0,5,0,2.776263,0.29358,13.237081,9.467372,1.03338,0.199087,0.337253,0.642346,3.106113,2.059676,0.019139,9.70968,2.943591,1.962241,1,160.65
grilla,0.5,1.0,1,2000,12345,6001,7010,4945,187,24725,5.0,5,0,2.56697,0.271448,12.752748,9.483314,1.03791,0.207039,0.346742,0.645326,3.042326,2.019172,0.02183,9.96145,2.985045,1.963263,1,162.06
grilla,0.5,1.0,2,2000,12345,6002,7020,4945,184,24725,5.0,5,0,2.763883,0.292271,12.794251,9.487362,1.05616,0.198825,0.339242,0.632458,3.09465,2.072096,0.005784,10.65966,2.950022,1.964413,1,123.71
grilla,0.5,1.0,3,2000,12345,6003,7030,4945,172,24725,5.0,5,0,2.735904,0.289312,13.593637,9.478325,1.04584,0.195822,0.320464,0.639839,3.120864,2.068317,0.025314,10.54171,2.933554,1.952763,1,125.0
grilla,0.5,1.0,4,2000,12345,6004,7040,4945,185,24725,5.0,5,0,2.45008,0.259087,12.901515,9.506191,1.0503,0.196497,0.323894,0.629426,3.055213,2.062158,0.023931,10.70523,2.977982,1.980231,1,125.57
grilla,0.75,0.0,0,2000,12345,6000,7003,4945,64,9890,2.5,2,4945,2.106149,0.222718,12.080017,9.475685,1.04421,0.202496,0.338213,0.643179,3.089118,2.062871,0.010331,9.81035,2.954641,1.95931,1,272.3
grilla,0.75,0.0,1,2000,12345,6001,7013,4945,77,9890,2.5,2,4945,2.276496,0.240731,13.251006,9.464902,1.05682,0.199459,0.322432,0.652506,3.102683,2.064844,0.013769,10.26386,2.945605,1.956652,1,271.3
grilla,0.75,0.0,2,2000,12345,6002,7023,4945,67,9890,2.5,2,4945,2.461911,0.260338,13.069116,9.453491,1.05713,0.201975,0.322507,0.65422,3.17825,2.077798,0.00996,9.88928,2.886973,1.939757,1,210.28
grilla,0.75,0.0,3,2000,12345,6003,7033,4945,66,9890,2.5,2,4945,2.309775,0.24425,13.688717,9.474122,1.04085,0.201724,0.342244,0.640115,3.11952,2.055442,0.015989,9.51489,2.934324,1.941444,1,209.32
grilla,0.75,0.0,4,2000,12345,6004,7043,4945,63,9890,2.5,2,4945,2.272276,0.240285,13.153495,9.476745,1.04629,0.190056,0.301358,0.638942,3.090878,2.049517,0.010679,11.05119,2.954414,1.960502,1,157.58
grilla,0.75,0.9,0,2000,12345,6000,7002,4945,64,9890,2.5,2,494,2.0987,0.22193,12.016307,9.476195,1.0444,0.2024,0.338918,0.643178,3.087734,2.060577,0.01046,9.88622,2.956731,1.961022,1,273.44
grilla,0.75,0.9,1,2000,12345,6001,7012,4945,77,9890,2.5,2,494,2.281196,0.241228,13.266532,9.464324,1.05706,0.202445,0.328014,0.65474,3.100562,2.066024,0.013146,10.25431,2.946477,1.956993,1,271.83
grilla,0.75,0.9,2,2000,12345,6002,7022,4945,67,9890,2.5,2,494,2.447783,0.258844,13.064425,9.452724,1.05651,0.200393,0.31764,0.654001,3.173494,2.078551,0.01006,10.00563,2.889609,1.940895,1,210.56
grilla,0.75,0.9,3,2000,12345,6003,7032,4945,66,9890,2.5,2,494,2.304257,0.243667,13.720015,9.471588,1.04039,0.204269,0.342446,0.647493,3.117784,2.052944,0.015567,9.4201,2.935127,1.941078,1,209.09
grilla,0.75,0.9,4,2000,12345,6004,7042,4945,63,9890,2.5,2,494,2.278022,0.240893,13.124451,9.476101,1.04735,0.192916,0.307395,0.640038,3.084939,2.049102,0.010766,11.06033,2.95813,1.960275,1,157.77
grilla,0.75,0.99,0,2000,12345,6000,7001,4945,64,9890,2.5,2,49,2.081975,0.220161,12.019571,9.473889,1.04361,0.204113,0.334349,0.645545,3.085617,2.057946,0.011808,9.86333,2.958225,1.960998,1,271.88
grilla,0.75,0.99,1,2000,12345,6001,7011,4945,77,9890,2.5,2,49,2.278733,0.240968,13.246292,9.465233,1.05672,0.204466,0.331592,0.653665,3.102614,2.066032,0.014677,10.29153,2.944177,1.955629,1,271.24
grilla,0.75,0.99,2,2000,12345,6002,7021,4945,67,9890,2.5,2,49,2.44855,0.258925,13.068284,9.452159,1.05676,0.204878,0.324348,0.656964,3.176715,2.077153,0.009935,9.97219,2.885576,1.938376,1,209.1
grilla,0.75,0.99,3,2000,12345,6003,7031,4945,66,9890,2.5,2,49,2.305864,0.243837,13.695335,9.476041,1.03976,0.204531,0.346012,0.640648,3.123523,2.058385,0.016002,9.53748,2.931056,1.942178,1,209.51
grilla,0.75,0.99,4,2000,12345,6004,7041,4945,63,9890,2.5,2,49,2.275962,0.240675,13.252728,9.474296,1.04653,0.19374,0.304794,0.641567,3.084902,2.045811,0.010765,11.09567,2.959133,1.960915,1,157.27
grilla,0.75,1.0,0,2000,12345,6000,7000,4945,64,9890,2.5,2,0,2.09866,0.221926,12.032011,9.475019,1.04403,0.200861,0.332489,0.644361,3.090272,2.061651,0.011284,9.85126,2.953183,1.960785,1,305.11
grilla,0.75,1.0,1,2000,12345,6001,7010,4945,77,9890,2.5,2,0,2.28037,0.241141,13.254536,9.464351,1.0565,0.20121,0.324827,0.654002,3.100839,2.066831,0.014654,10.31896,2.947076,1.95617,1,272.37
grilla,0.75,1.0,2,2000,12345,6002,7020,4945,67,9890,2.5,2,0,2.442304,0.258265,13.067121,9.45192,1.05687,0.204278,0.32384,0.656173,3.174111,2.077541,0.010436,9.99113,2.888387,1.938969,1,267.56
grilla,0.75,1.0,3,2000,12345,6003,7030,4945,66,9890,2.5,2,0,2.305576,0.243806,13.642446,9.474304,1.04098,0.202832,0.339366,0.641869,3.121658,2.055326,0.015656,9.47304,2.932224,1.940297,1,209.81
grilla,0.75,1.0,4,2000,12345,6004,7040,4945,63,9890,2.5,2,0,2.27018,0.240063,13.159815,9.476033,1.04621,0.194363,0.310942,0.642286,3.090461,2.048257,0.01071,11.15123,2.954736,1.958655,1,208.45
grilla,1.0,0.0,0,2000,12345,6000,7003,4945,0,0,0.0,0,4945,0.267204,0.028256,2.414487,9.455773,1.05255,0.196453,0.313908,0.644643,3.159371,2.093136,0.004127,10.29614,2.903943,1.955031,1,265.91
grilla,1.0,0.0,1,2000,12345,6001,7013,4945,0,0,0.0,0,4945,0.25224,0.026673,2.611028,9.455265,1.0524,0.195928,0.313321,0.644054,3.153799,2.09764,0.004099,10.287,2.909797,1.95764,1,316.22
grilla,1.0,0.0,2,2000,12345,6002,7023,4945,0,0,0.0,0,4945,0.274801,0.029059,2.693843,9.45527,1.05222,0.197249,0.313816,0.647682,3.159405,2.093769,0.004115,10.27419,2.904441,1.954817,1,315.52
grilla,1.0,0.0,3,2000,12345,6003,7033,4945,0,0,0.0,0,4945,0.258415,0.027326,2.697266,9.456823,1.05286,0.193619,0.310636,0.642254,3.16033,2.095527,0.004107,10.26332,2.90469,1.955283,1,300.69
