N,seed,mode,n_surv,f_surv,tau,orden_color,frac_quark,frac_gluon,L2_K8,meff_K8,null_L2_K8,ratio_L2_K8,grain_K8,L2_K12,meff_K12,null_L2_K12,ratio_L2_K12,grain_K12,L2_K20,meff_K20,null_L2_K20,ratio_L2_K20,grain_K20
4000,9,shuffle_b,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.27003086243366087,0.5333333333333333,0.023935677693908454,11.281521496355325,0.2886751345948129,0.14252192813739226,0.7111111111111111,0.017230060940112778,8.271701918685112,0.22360679774997896
4000,9,shuffle_g,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,10,qcd,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,10,shuffle_b,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.27003086243366087,0.5333333333333333,0.023935677693908454,11.281521496355325,0.2886751345948129,0.14252192813739226,0.7111111111111111,0.017230060940112778,8.271701918685112,0.22360679774997896
4000,10,shuffle_g,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,11,qcd,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,11,shuffle_b,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.27003086243366087,0.5333333333333333,0.023935677693908454,11.281521496355325,0.2886751345948129,0.14252192813739226,0.7111111111111111,0.017230060940112778,8.271701918685112,0.22360679774997896
4000,11,shuffle_g,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,12,qcd,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,12,shuffle_b,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.27003086243366087,0.5333333333333333,0.023935677693908454,11.281521496355325,0.2886751345948129,0.14252192813739226,0.7111111111111111,0.017230060940112778,8.271701918685112,0.22360679774997896
4000,12,shuffle_g,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,13,qcd,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
4000,13,shuffle_b,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.27003086243366087,0.5333333333333333,0.023935677693908454,11.281521496355325,0.2886751345948129,0.14252192813739226,0.7111111111111111,0.017230060940112778,8.271701918685112,0.22360679774997896
4000,13,shuffle_g,3200,0.8,240,0.0,0.5,0.5,0.0,1.0,0.023385358667337135,0.0,0.35355339059327373,0.2041241452319315,0.6666666666666666,0.023935677693908454,8.528028654224418,0.2886751345948129,0.1118033988749895,0.8,0.017230060940112778,6.488856845230502,0.22360679774997896
